company_id,name,sectors,n_ties,n_directors,first_year,last_year
miniereribeira,Compagnie minière de la Ribeira,Groupes financiers transcoloniaux,28,15,1929,1940
banqueprivee,Banque privée,Groupes financiers transcoloniaux,27,15,1917,1920
consortiumnord,Consortium du Nord,Groupes financiers transcoloniaux,24,15,1911,1953
descourscabaud,Descours et Cabaud,Sociétés commerciales transcoloniales,21,15,1913,1918
banqueafriqueoccidentale,Banque de l'Afrique occidentale,Documents généraux (par ordre chronologique),20,15,1937,1937
creditinternationalcolonialfrance,Crédit international et colonial de France,Groupes financiers transcoloniaux,20,15,1913,1913
forgesacieriesnordlorraine,Forges et aciéries de Nord et Lorraine,Groupes industriels transcoloniaux,19,15,1919,1920
auxiliairecredit,Société Auxiliaire de crédit,Groupes financiers transcoloniaux,17,15,1911,1928
associationcotonnierecoloniale,L'Association cotonnière coloniale,Groupes industriels transcoloniaux,16,15,1925,1925
messageriesafricaines,Messageries africaines,Documents généraux (par ordre chronologique),15,15,1937,1937
unionsyndicalefinanciere,"Union syndicale financière, puis Compagnie d'exploitations industrielles, électriques et immobilières",Groupes financiers transcoloniaux,15,15,1926,1926
redevancesminieresparticipations,Société de Redevances minières et de participations,Groupes miniers transcoloniaux,51,14,1912,1940
havraisepeninsulairenavigatonvapeur,Compagnie Havraise Péninsulaire de Navigaton à vapeur,Transports maritimes,34,14,1883,1917
centraleeclairagepargaz,"Compagnie Centrale d'Éclairage par le gaz, puis Compagnie Lebon","Eau et assainissement, électricité (utilities)",31,14,1865,1953
grandemaisonbl,Grande Maison de Blanc,Groupes financiers transcoloniaux,16,14,1924,1930
banqueetatmaroc,Banque d'État du Maroc,Documents généraux (par ordre chronologique),15,14,1937,1937
banquesuisse,Banque suisse et française,Groupes financiers transcoloniaux,15,14,1906,1911
entrepriseshydrauliquestravauxpublics,Compagnie d'Entreprises hydrauliques et de travaux publics,Bâtiment et travaux publics,15,14,1922,1932
creditfonciermadagascar,Crédit foncier de Madagascar,Documents généraux (par ordre chronologique),14,14,1937,1937
marseillaisecreditindustrielcommercialdepots,Société Marseillaise de Crédit industriel et commercial et de dépôts,Documents généraux (par ordre chronologique),14,14,1937,1937
industrieelectrique,INDUSTRIE ÉLECTRIQUE,"Eau et assainissement, électricité (utilities)",14,14,1938,1938
comptoirsdufaygigandetmarseillesuccursalehavreparticipationsindochinemadagascarafriquenoire,"Comptoirs Dufay & Gigandet, Marseille. Succursale au Havre. Participations en Indochine, à Madagascar et en Afrique noire",Sociétés commerciales transcoloniales,14,14,1920,1920
colonialeindustrielle,Compagnie Française Coloniale et Industrielle,Groupes financiers transcoloniaux,14,14,1899,1899
fabriquesaubusson,Aux Fabriques d'Aubusson,Groupes financiers transcoloniaux,17,13,1923,1931
banquecommercialefrancobelge,Banque commerciale franco-belge,Groupes financiers transcoloniaux,16,13,1898,1936
comptoirsdufaygigandet,COMPTOIRS DUFAY et GIGANDET,Sociétés commerciales transcoloniales,16,13,1938,1939
banquealgerie,BANQUE DE L'ALGERIE,Documents généraux (par ordre chronologique),15,13,1937,1937
entreprisetravauxpublicsouest,Entreprise de travaux publics de l’Ouest,Bâtiment et travaux publics,15,13,1947,1953
servicescontractuelsmessageriesmaritimes,Société des Services contractuels des messageries maritimes,Documents généraux (par ordre chronologique); Transports maritimes,13,13,1921,1937
creditfoncierouestafricain,Crédit foncier de l'Ouest-Africain,Documents généraux (par ordre chronologique),13,13,1937,1937
polietchausson,Poliet et Chausson,Groupes industriels transcoloniaux,13,13,1923,1923
roumanobelgepetrole,Roumano-Belge de Pétrole,Groupes financiers transcoloniaux,13,13,1925,1925
etablissementsdecauvilleaine,Société Nouvelle des Établissements Decauville aîné,Groupes industriels transcoloniaux,35,12,1937,1953
auxiliaireafricainedeveloppementcommerce,"Société auxiliaire africaine pour le développement du commerce, de",Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,18,12,1922,1937
tramwayssaintquentin,Compagnie des Tramways de Saint-Quentin,Transports terrestres,18,12,1933,1948
rochefortaiseproduitsalimentaires,"Société Rochefortaise de produits alimentaires, puis Rochefortaise S.A.",Groupes industriels transcoloniaux,17,12,1922,1936
unionminierefinancierecoloniale,Union minière et financière coloniale,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,16,12,1929,1951
electrificationindustrielle,L’Électrification industrielle,"Eau et assainissement, électricité (utilities)",15,12,1924,1925
trustimmobilierfrance,Trust immobilier de France,Groupes financiers transcoloniaux,14,12,1929,1929
financierecoloniale,"Société financière française et coloniale, puis Société financière pour la France et les pays d'Outre-mer SFFC-SOFFO",Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,13,12,1922,1937
forcesmotricesusinesarve,Société des Forces motrices et usines de l'Arve,Groupes industriels transcoloniaux,13,12,1899,1911
banquecommercialeafricaine,Banque commerciale africaine,Documents généraux (par ordre chronologique),12,12,1937,1937
