kind,source_fr,english,n_documents
sector,Pêche et produits de la mer,Fishing and seafood,10
sector,Banque,Banking,9
sector,Banques et sociétés financières,Banks and financial companies,8
sector,"Eaux, électricité (utilities)",Water and electricity (utilities),8
sector,Artistes peintres coloniaux. — Collectionneurs d'arts exotiques,Colonial painters and collectors of exotic art,6
sector,"Collections d'anciens titres (scripophilie), cartes postales et objets divers","Collections of old share certificates (scripophily), postcards and objects",6
sector,"Filière bois : exploitation forestière, meubles, cellulose, papier…","Timber chain: forestry, furniture, cellulose, paper",6
sector,Recruteurs de main-d'œuvre (engagistes),Labour recruiters (engagistes),6
sector,"Télégraphe, téléphone, radio","Telegraph, telephone, radio",6
sector,documents,Documents,6
sector,"Bois meubles, papier","Timber, furniture, paper",5
sector,Foncier et immobilier,Land and property,5
sector,Le système monétaire indochinois,The Indochinese monetary system,5
sector,Loisirs,Leisure,5
sector,"Transports maritimes, ports et docks","Shipping, ports and docks",5
sector,"Banque, Filatures",Banking and spinning mills,4
sector,Industries pharmaceutiques et parachimie,Pharmaceutical and speciality chemical industries,4
sector,Sociétés françaises,French companies,4
sector,Autres loisirs,Other leisure,3
sector,Messages personnels,Personal messages,3
sector,"Pour une utilisation optimale de nos liens, téléchargez nos pdf. Évitez certaines versions de Firefox.",Site notice on downloading the PDFs (not a sector),3
sector,industrie,Industry,3
sector,Agriculture,Agriculture,2
sector,Enseignement,Education,2
sector,Généralités,General,2
sector,Presse coloniale métropolitaine,Colonial press published in France,2
sector,"Bâtiment-travaux publics, matériaux de construction","Construction and public works, building materials",1
sector,"Hôtellerie,tourisme",Hotels and tourism,1
sector,Industries alimentaires,Food industries,1
sector,Presse,Press,1
