person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
mines-c,Mines,Congo Mines,1,1,1,administrateur,1929,1929,Mines
tirard-p,Tirard,Paul Tirard,1,1,1,administrateur,1929,1929,Mines
brien-v,Brien,Victor Brien,1,1,1,administrateur,1932,1932,Mines
cottin-j-jean,Cottin,Jean Cottin,1,1,1,administrateur,1932,1932,Mines
fourn-g,Fourn,Gaston Fourn,1,1,1,administrateur,1932,1932,Mines
larielle-e,Larielle,Edgard Larielle,1,1,1,administrateur,1932,1932,Mines
nouvion-h,Nouvion,Henri Nouvion,1,1,1,administrateur,1932,1932,Mines
action-abonnement-seine,ACTION ABONNEMENT SEINE,ACTION ABONNEMENT SEINE,1,1,1,administrateur,1906,1906,Sociétés commerciales
fondere-a,Fondère,A. Fondère,1,1,1,administrateur,1910,1910,Sociétés commerciales
trarieux-g,Trarieux,G. Trarieux,1,1,1,administrateur,1910,1910,Sociétés commerciales
despret-g,Despret,Georges Despret,1,1,1,administrateur,1910,1910,Sociétés commerciales
josse-a-adrien,Josse,Adrien Josse,1,1,1,administrateur,1910,1910,Sociétés commerciales
matthieu,Matthieu,Matthieu,1,1,1,administrateur,1910,1910,Sociétés commerciales
cravoisier-a-cesse-d-etre-administrateur-e,Cravoisier a cessé d'être administrateur,Émile Cravoisier a cessé d'être administrateur,1,1,1,administrateur,1927,1927,Sociétés commerciales
ph-guignabaudet,Ph. Guignabaudet,Ph. Guignabaudet,1,1,1,administrateur,1930,1930,Sociétés diverses
weitz-e,Weitz,Edmond Weitz,1,1,1,administrateur,1930,1930,Sociétés diverses
farin-r,Farin,Robert Farin,1,1,1,administrateur,1930,1930,Sociétés diverses
georges-p-hurpeau,Georges-P. Hurpeau,Georges-P. Hurpeau,1,1,1,administrateur,1930,1930,Sociétés diverses
fontaine-a-armand,Fontaine,Armand Fontaine,1,1,1,administrateur,1930,1930,Sociétés diverses
wiener-l,Wiener,Lionel Wiener,1,1,1,administrateur,1930,1930,Sociétés diverses
damart-h,Damart,Henry Damart,1,1,1,administrateur,1906,1906,Mines
krol-g,Krol,Gérard Krol,1,1,1,administrateur,1906,1906,Mines
juihiet-e,JuIhiet,Édouard JuIhiet,1,1,1,administrateur,1928,1928,Mines
ed-julhiet,Ed. Julhiet,Ed. Julhiet,1,1,1,administrateur,1928,1928,Mines
gerson-f,Gerson,Fribourg Gerson,1,1,1,administrateur,1923,1923,Sociétés commerciales
en-retraite-t,en retraite,Télégraphes en retraite,1,1,1,administrateur,1923,1923,Sociétés commerciales
paquin-i,Paquin,Isidore Paquin,1,1,1,administrateur,1900,1900,Sociétés commerciales
situee-dans-le-bassin-de-la-likouala-mossaka,située dans le bassin de la Likouala-Mossaka,située dans le bassin de la Likouala-Mossaka,1,1,1,administrateur,1900,1900,Sociétés commerciales
bonga,Bonga,Bonga,1,1,1,administrateur,1900,1900,Sociétés commerciales
bongo,Bongo,Bongo,1,1,1,administrateur,1902,1902,Sociétés commerciales
boubangui,Boubangui,Boubangui,1,1,1,administrateur,1902,1902,Sociétés commerciales
olivier-p-pierre,Olivier,Pierre Olivier,1,1,1,administrateur,1942,1942,Sociétés commerciales
abadie,Abadie,Abadie,1,1,1,administrateur,1928,1928,Agro-alimentaire
decamps-p,Decamps,Decamps,1,1,1,administrateur,1928,1928,Agro-alimentaire
fontaine,Fontaine,Fontaine,1,1,1,administrateur,1928,1928,Agro-alimentaire
patey-h,Patey,Patey,1,1,1,administrateur,1928,1928,Agro-alimentaire
walford,Walford,Walford,1,1,1,administrateur,1928,1928,Agro-alimentaire
berger-h,Berger,Henri Berger,1,1,1,administrateur,1939,1939,Mines
brustier-l,Brustier,Louis Brustier,1,1,1,administrateur,1939,1939,Mines
berger-henri-brustier-h,Berger Henri Brustier,Henri Berger Henri Brustier,1,1,1,administrateur,1950,1950,Mines
molinie-h,Molinié,Henri Molinié,1,1,1,administrateur,1935,1935,Sociétés commerciales
vaille-g,Vaille,Georges Vaille,1,1,1,administrateur,1935,1935,Sociétés commerciales
lavril-m,Lavril,Max Lavril,1,1,1,president,1951,1951,Sociétés commerciales
joubert-j-jacques,Joubert,Jacques-Robert Joubert,1,1,1,administrateur,1951,1951,Sociétés commerciales
beliard-h,Béliard,Henri Béliard,1,1,1,administrateur,1930,1930,Agro-alimentaire
erckes-a,Erckès,Albert Erckès,1,1,1,administrateur,1930,1930,Agro-alimentaire
fromont-e,Fromont,Edmond Fromont,1,1,1,administrateur,1930,1930,Agro-alimentaire
agricole-du-kouilou,agricole du Kouilou,agricole du Kouilou,1,1,1,administrateur,1930,1930,Agro-alimentaire
decharneux-e,Decharneux,Émile Decharneux,1,1,1,administrateur,1928,1928,Sociétés commerciales
hamon-j,Hamon,Jean-Gabriel Hamon,1,1,1,administrateur,1928,1928,Sociétés commerciales
jarry-r-robert,Jarry,Robert-Jean Jarry,1,1,1,administrateur,1928,1928,Sociétés commerciales
leonard-p,Léonard,Philippe Léonard,1,1,1,administrateur,1928,1928,Sociétés commerciales
auquier,Auquier,Auquier,1,1,1,administrateur,1928,1928,Sociétés commerciales
poulalion-p,Poulalion,Poulalion,1,1,1,administrateur,1928,1928,Sociétés commerciales
siegfried-e,Siegfried,Ernest Siegfried,1,1,1,administrateur,1900,1900,Sociétés commerciales
raverat-g,Raverat,Georges-Pierre Raverat,1,1,1,administrateur,1900,1900,Sociétés commerciales
mellier-l,Mellier,Lucien Mellier,1,1,1,administrateur,1900,1900,Sociétés commerciales
borniche-e,Borniche,Édouard Borniche,1,1,1,administrateur,1900,1900,Sociétés commerciales
meja-e,Méja,Ernest Méja,1,1,1,administrateur,1900,1900,Sociétés commerciales
senn-o,Senn,Olivier Senn,1,1,1,administrateur,1900,1900,Sociétés commerciales
baron-de-broqueville-c,baron de Broqueville,Charles baron de Broqueville,1,1,1,administrateur,1900,1900,Sociétés commerciales
piot,Piot,Piot,1,1,1,administrateur,1930,1930,Sociétés commerciales
remplacent-mm-p-mancheron-j,remplacent MM. P. Mancheron,Jacques remplacent MM. P. Mancheron,1,1,1,administrateur,1930,1930,Sociétés commerciales
verspreeuwen,Verspreeuwen,Verspreeuwen,1,1,1,administrateur,1930,1930,Sociétés commerciales
sculfort-h,Sculfort,Henri Sculfort,1,1,1,administrateur,1930,1930,Sociétés commerciales
arthur-t,Arthur,Arthur,1,1,1,administrateur,1930,1930,Sociétés commerciales
dessort-a,Dessort,Arthur Dessort,1,1,1,administrateur,1906,1906,Sociétés commerciales
beaudinot,Beaudinot,Beaudinot,1,1,1,administrateur,1906,1906,Sociétés commerciales
lindeboom-a,Lindeboom,Lindeboom,1,1,1,administrateur,1906,1906,Sociétés commerciales
jacques,Jacques,Jacques,1,1,1,administrateur,1906,1906,Sociétés commerciales
george-e-bourdon,George-E. Bourdon,George-E. Bourdon,1,1,1,administrateur,1899,1899,Sociétés commerciales
halot-e,Halot,Édouard Halot,1,1,1,administrateur,1899,1899,Sociétés commerciales
gazengel-l,Gazengel,Lucien Gazengel,1,1,1,administrateur,1899,1899,Sociétés commerciales
josseran-de-brandon-de-liman-l,Josseran de Brandon de Liman,Louis-Marie Josseran de Brandon de Liman,1,1,1,administrateur,1900,1900,Sociétés commerciales
chandon-l,Chandon,Léon Chandon,1,1,1,administrateur,1900,1900,Sociétés commerciales
leplus-f,Leplus,François-Ernest Leplus,1,1,1,administrateur,1900,1900,Sociétés commerciales
oudin-a,Oudin,Alfred Oudin,1,1,1,administrateur,1900,1900,Sociétés commerciales
reveliere-de-la-reveliere-e,Revelière de la Revelière,Ernest-Jean-Nicolas Revelière de la Revelière,1,1,1,administrateur,1900,1900,Sociétés commerciales
edde-h,Edde,Henri Edde,1,1,1,administrateur,1900,1900,Sociétés commerciales
bousquet,Bousquet,Bousquet,1,1,1,administrateur,1899,1899,Sociétés commerciales
de-browne-de-tiege,De Browne de Tiège,De Browne de Tiège,1,1,1,administrateur,1899,1899,Sociétés commerciales
bousquet-h,Bousquet,Henri Bousquet,1,1,1,administrateur,1901,1901,Sociétés commerciales
delgutte-b,Delgutte,Benjamin Delgutte,1,1,1,administrateur,1901,1901,Sociétés commerciales
guegan-p,Guégan,Pierre Guégan,1,1,1,administrateur,1909,1909,Sociétés commerciales
lamothe-r,Lamothe,René Lamothe,1,1,1,administrateur,1909,1909,Sociétés commerciales
couturier-m,Couturier,Marie-Jules-Adrien Couturier,1,1,1,administrateur,1900,1900,Sociétés commerciales
de-ramaix-m,de Ramaix,Maurice-Paul-François de Ramaix,1,1,1,administrateur,1900,1900,Sociétés commerciales
janssen-c,Janssen,Camille Janssen,1,1,1,administrateur,1900,1900,Sociétés commerciales
grandjean-a,Grandjean,Amédée Grandjean,1,1,1,administrateur,1900,1900,Sociétés commerciales
allees-des-ormes,allées des Ormes,allées des Ormes,1,1,1,administrateur,1900,1900,Sociétés commerciales
adrien-gervais-jobet-t,Adrien-Gervais Jobet,Théophile- Adrien-Gervais Jobet,1,1,1,administrateur,1900,1900,Sociétés commerciales
couturier-a,Couturier,Adrien Couturier,1,1,1,vice_president,1901,1901,Sociétés commerciales
jobet-g,Jobet,G. Jobet,1,1,1,administrateur,1901,1901,Sociétés commerciales
e-paralleles-est-du-meridien-de-paris,11e parallèles est du méridien de Paris,11e parallèles est du méridien de Paris,1,1,1,administrateur,1901,1901,Sociétés commerciales
janssens-c,Janssens,Camille Janssens,1,1,1,administrateur,1901,1901,Sociétés commerciales
terrains,70 Terrains,70 Terrains,1,1,1,administrateur,1911,1911,Sociétés commerciales
materiel-naval-materiel,60 Matériel naval Matériel,60 Matériel naval Matériel,1,1,1,administrateur,1911,1911,Sociétés commerciales
pertes,53 Pertes,53 Pertes,1,1,1,administrateur,1911,1911,Sociétés commerciales
tant-en-france-qu-en-belgique,tant en France qu'en Belgique,tant en France qu'en Belgique,1,1,1,administrateur,1924,1924,Sociétés commerciales
ancel,Ancel,Ancel,1,1,1,administrateur_delegue,1912,1912,Sociétés commerciales
guignard-g-gaston,Guignard,Gaston Guignard,1,1,1,administrateur,1900,1900,Sociétés commerciales
wormser-e,Wormser,Ernest Wormser,1,1,1,administrateur,1900,1900,Sociétés commerciales
roose-a-arthur,Roose,Arthur Roose,1,1,1,administrateur,1900,1900,Sociétés commerciales
leroux,Leroux,Leroux,1,1,1,administrateur,1903,1903,Sociétés commerciales
bouvier,Bouvier,Bouvier,1,1,1,administrateur,1900,1900,Sociétés commerciales
bourgier,Bourgier,Bourgier,1,1,1,administrateur,1900,1900,Sociétés commerciales
berry-f,Berry,François Berry,1,1,1,administrateur,1907,1907,Sociétés commerciales
debayser-a,Debayser,A. Debayser,1,1,1,administrateur,1907,1907,Sociétés commerciales
hugot-m,Hugot,Maurice Hugot,1,1,1,administrateur,1907,1907,Sociétés commerciales
arnaud-j,Arnaud,J. Arnaud,1,1,1,administrateur,1910,1910,Mines
despret-jean-albert-enders-g,Despret Jean Albert ENDERS,G. Despret Jean Albert ENDERS,1,1,1,administrateur,1910,1910,Mines
bfce,BFCE,BFCE,1,1,1,administrateur,1910,1910,Mines
gaz,Gaz,Gaz,1,1,1,administrateur,1910,1910,Mines
etc-marie-avec-alice-georgette-penard,etc. Marié avec Alice-Georgette Penard,etc. Marié avec Alice-Georgette Penard,1,1,1,administrateur,1910,1910,Mines
guggenheim-j,Guggenheim,Jacques Guggenheim,1,1,1,administrateur,1930,1930,Mines
valabregue-g,Valabrègue,Georges Valabrègue,1,1,1,administrateur,1930,1930,Mines
cl-chabaux,Cl. Chabaux,Cl. Chabaux,1,1,1,administrateur,1930,1930,Mines
hutsebaut,Hutsebaut,Hutsebaut,1,1,1,administrateur,1930,1930,Mines
doyen-de-l-isle-g,Doyen de l'Isle,G. Doyen de l'Isle,1,1,1,administrateur_delegue,1935,1935,Mines
albrand-j,Albrand,Jean Albrand,1,1,1,administrateur,1935,1935,Mines
iselin-r,Iselin,Rodolphe Iselin,1,1,1,administrateur,1935,1935,Mines
planchot-s,Planchot,Serge Planchot,1,1,1,administrateur,1935,1935,Mines
delolte-h,Delolte,Hector Delolte,1,1,1,administrateur,1902,1902,Sociétés commerciales
watel,WATEL,WATEL,1,1,1,administrateur,1900,1900,Sociétés diverses
henrotte-fils-h,Henrotte fils,Hubert-Georges Henrotte fils,1,1,1,administrateur,1885,1885,Sociétés commerciales
kunkler-l,Kunkler,Louis-Victor Kunkler,1,1,1,administrateur,1885,1885,Sociétés commerciales
laveissiere-l,Laveissière,Louis Laveissière,1,1,1,administrateur,1885,1885,Sociétés commerciales
mestayer-a,Mestayer,André-Gaston Mestayer,1,1,1,administrateur,1885,1885,Sociétés commerciales
armand-florimond-joseph-auguste,Armand-Florimond-Joseph-Auguste,Armand-Florimond-Joseph-Auguste,1,1,1,administrateur,1885,1885,Sociétés commerciales
de-mimerel,de Mimerel,de Mimerel,1,1,1,administrateur,1885,1885,Sociétés commerciales
grande-place,Grande-Place,Grande-Place,1,1,1,administrateur,1854,1854,Sociétés commerciales
meunier-g,Meunier,Gustave Meunier,1,1,1,president,1924,1924,Sociétés commerciales
christophoridis-j,Christophoridis,Jean Christophoridis,1,1,1,administrateur_delegue,1924,1924,Sociétés commerciales
rebstock-l,Rebstock,Léon Rebstock,1,1,1,administrateur_delegue,1924,1924,Sociétés commerciales
sneersohn-a,Sneersohn,A. Sneersohn,1,1,1,administrateur,1924,1924,Sociétés commerciales
un-administrateur,UN ADMINISTRATEUR,UN ADMINISTRATEUR,1,1,1,administrateur,1954,1954,Agro-alimentaire
son-president-directeur-general-imprimerie-laroche,SON PRÉSIDENT DIRECTEUR GÉNÉRAL Imprimerie Laroche,SON PRÉSIDENT DIRECTEUR GÉNÉRAL Imprimerie Laroche,1,1,1,administrateur,1954,1954,Agro-alimentaire
dawart,Dawart,Dawart,1,1,1,administrateur,1954,1954,Agro-alimentaire
er-p,1er,Paris 1er,1,1,1,administrateur,1954,1954,Agro-alimentaire
henrotte-h,Henrotte,Hubert Henrotte,1,1,1,administrateur,1899,1899,Sociétés commerciales
