person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
berger-h,Berger,H. Berger; Henri Berger,7,7,12,administrateur,1904,1953,Documents généraux (par ordre chronologique); Mines
estier-f,Estier,F. Estier; François Estier,7,7,11,administrateur,1913,1958,"Commerce; Documents généraux (par ordre chronologique); Sociétés foncières et immobilières; Transports terrestres, garages automobiles et agricoles"
cane-l,Cane,L. Cane; L. Cane 1; L.-A. Cane; Louis-Auguste Cane,7,7,10,administrateur,1913,1953,"Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
rte-de-mediouna,rte de Médiouna,rte de Médiouna,7,7,9,administrateur,1922,1926,"Banques, groupes financiers, assureurs; Commerce; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Transports terrestres, garages automobiles et agricoles"
terrier-a,Terrier,A. Terrier; Auguste Terrier,7,7,8,administrateur,1917,1944,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
mas-p,Mas,P. A. Mas; P. Mas; P.-A. Mas; Pierre Mas,7,7,8,administrateur,1911,1952,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Imprimerie, presse, édition; Industries agro-alimentaires"
provot-g,Provot,G. A. Provot; G. Provot; G. Provot. 2; G. Provôt; Georges Provot; Georges Provôt,7,7,8,administrateur,1930,1937,Documents généraux (par ordre chronologique); Sociétés foncières et immobilières
construct,Construct,Construct,7,7,7,administrateur,1922,1930,"Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens"
vauthier-j,Vauthier,J. Vauthier; Jean Vauthier,7,7,7,administrateur,1922,1935,Commerce; Documents généraux (par ordre chronologique)
courcelle-j,Courcelle,Courcelle; J. Courcelle; Joseph Courcelle,6,6,25,administrateur,1924,1944,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Industries agro-alimentaires; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
plisson-e,Plisson,E. Plisson; Ernest Plisson,6,6,20,administrateur,1913,1944,"Documents généraux (par ordre chronologique); Industries agro-alimentaires; Industries diverses; Transports maritimes, fluviaux et aériens"
estier-h,Estier,H. Estier; HenrI Estier; Henri Estier,6,6,19,administrateur,1911,1958,"Banques, groupes financiers, assureurs; Commerce; Documents généraux (par ordre chronologique); Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens"
bardon-h-hippolyte,Bardon,Hippolyte Bardon,6,6,16,administrateur,1913,1958,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Sociétés foncières et immobilières"
marchal-c,Marchal.],C. Marchal; Ch. Marchal; Charles Marchal; Charles Marchal.],6,6,15,administrateur,1913,1958,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens"
lemoigne-e,Lemoigne,E. Lemoigne; Émile Lemoigne,6,6,14,administrateur,1912,1937,"Documents généraux (par ordre chronologique); Industries agro-alimentaires; Transports terrestres, garages automobiles et agricoles"
atthalin,Atthalin,Atthalin,6,6,13,administrateur,1913,1958,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Industries agro-alimentaires; Transports terrestres, garages automobiles et agricoles"
ruet-p,Ruet,Paul Ruet,6,6,13,administrateur,1913,1950,"Bâtiment et travaux publics, matériaux de construction, céramique; Commerce; Documents généraux (par ordre chronologique); Industries agro-alimentaires"
aguillon-j,Aguillon,J. Aguillon; Jacques Aguillon,6,6,13,administrateur,1931,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Mines; Transports terrestres, garages automobiles et agricoles"
demnati-l,Demnati,Lahoussine Demnati,6,6,12,administrateur,1927,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Mines"
guerin-a,Guérin,A. Guérin,6,6,12,administrateur,1933,1948,"Documents généraux (par ordre chronologique); Industries agro-alimentaires; Mines; Transports terrestres, garages automobiles et agricoles"
petsche-a,Petsche,A. Petsche; Albert Petsche; À. Petsche,6,6,11,president,1925,1938,"Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities)"
julien,Julien,Julien,6,6,11,administrateur,1926,1948,"Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
pagezy-h,Pagézy,H. Pagezy; H. Pagézy; Henri Pagézy; Henry Pagézy,6,6,11,administrateur,1937,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Mines"
lyautey-p,Lyautey,P. Lyautey; Pierre Lyautey,6,6,11,administrateur,1935,1969,"Banques, groupes financiers, assureurs; Commerce; Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens"
massenet-m,Massenet,Maurice Massenet,6,6,9,administrateur_delegue,1920,1958,Documents généraux (par ordre chronologique); Industries agro-alimentaires; Industries chimiques
paitel-g,Paitel,G. Paitel; Gaston Paitel; PAITEL 5,6,6,9,administrateur,1922,1937,Documents généraux (par ordre chronologique); Industries agro-alimentaires; Sociétés foncières et immobilières
julien-m,Julien,Marius Julien,6,6,9,administrateur,1937,1969,"Documents généraux (par ordre chronologique); Transports terrestres, garages automobiles et agricoles"
monnier-c,Monnier,Ch. Monnier; Christian Monnier,6,6,9,administrateur,1950,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries agro-alimentaires"
lefevre-l,Lefévre,Louis Lefèvre; Louis Lefévre,6,6,8,administrateur,1913,1954,"Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
piot,Piot,Piot; Piot. 6,6,6,8,administrateur,1915,1958,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens"
cahen-d-anvers-c,Cahen d'Anvers,Ch. Cahen d'Anvers; Charles Cahen d'Anvers,6,6,7,administrateur,1926,1950,Documents généraux (par ordre chronologique); Industries agro-alimentaires
legal-c,Legal,Ch. Legal; Charles Legal,7,6,7,administrateur,1930,1937,Documents généraux (par ordre chronologique)
defougere-g,Defougère,G. Defougère; Georges Defougère,6,6,7,administrateur,1930,1970,"Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens"
godard,Godard,Godard,6,6,6,administrateur,1917,1927,"Bâtiment et travaux publics, matériaux de construction, céramique; Commerce; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Transports maritimes, fluviaux et aériens"
bloch,Bloch,BLOCH 1; Bloch,6,6,6,administrateur,1912,1950,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries chimiques"
masset-e,Masset,Eugène Masset,6,6,6,president,1937,1951,Documents généraux (par ordre chronologique)
margot-m,Margot,Margot; Maurice Margot,5,5,27,administrateur,1913,1969,"Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Transports terrestres, garages automobiles et agricoles"
saint-rene-taillandier-g,Saint-René Taillandier*,G. Saint-René Taillandier; G. Saint-René Taillandier*; G. Saint-René-Taillandier; Georges Saint-René Taillandier; Georges Saint-René-Taillandier; Saint-René Taillandier,5,5,19,administrateur,1913,1937,"Documents généraux (par ordre chronologique); Transports terrestres, garages automobiles et agricoles"
griolet-g,Griolet,G. Griolet; Gaston Griolet,5,5,17,president,1913,1958,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Industries agro-alimentaires; Transports terrestres, garages automobiles et agricoles"
madrid,Madrid,Madrid,6,5,15,administrateur,1924,1926,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Transports terrestres, garages automobiles et agricoles"
buhot-h,Buhot,H. Buhot; Henri Buhot; Henry Buhot,5,5,14,administrateur,1911,1958,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Sociétés foncières et immobilières; Transports terrestres, garages automobiles et agricoles"
prince-d-essling,prince d'Essling,prince d'Essling,5,5,14,administrateur,1913,1969,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Industries chimiques; Transports maritimes, fluviaux et aériens"
homberg-o,Homberg,O. Homberg; Octave Homberg,5,5,13,administrateur,1913,1940,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
giros-a,Giros,A. Giros; Alexandre Giros,5,5,13,administrateur,1924,1937,"Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Transports maritimes, fluviaux et aériens"
maarec-e,Maarec,E. Maarec; Elie Maarec; Élie Maarec,5,5,13,administrateur,1922,2007,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries chimiques"
lebon-a,Lebon,A. Lebon,5,5,13,administrateur,1917,1937,"Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Mines; Transports terrestres, garages automobiles et agricoles"
renaudin-l,Renaudin,L. Renaudin; Louis Renaudin,5,5,13,administrateur,1937,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
boucard-m,Boucard,Boucard; Max Boucard,5,5,12,administrateur,1913,1958,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
peltzer-g,Peltzer,G. Peltzer; Georges Peltzer,5,5,11,administrateur,1913,1958,Documents généraux (par ordre chronologique); Industries agro-alimentaires; Mines
guerard-h,Guérard,H. Guérard; Horace Guérard,5,5,11,president,1912,1958,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Sociétés foncières et immobilières"
desbenoit-l,Desbenoit,Léon Desbenoit,6,5,11,administrateur,1926,1952,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Filière bois : exploitation forestière, meubles, cellulose, papier…; Industries agro-alimentaires"
bonfils,Bonfils,Bonfils,5,5,11,president,1926,1969,"Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities)"
delgua-a,Delgua,A. Delgua; André Delgua,5,5,10,administrateur,1945,1969,"Documents généraux (par ordre chronologique); Mines; Transports terrestres, garages automobiles et agricoles"
piaz-d,Piaz,Dal Piaz,5,5,9,administrateur,1913,1926,"Documents généraux (par ordre chronologique); Industries agro-alimentaires; Industries diverses; Transports maritimes, fluviaux et aériens"
harris-w,Harris,W. B. Harris; W. Harris; W.-B. Harris; Walter Harris,5,5,9,administrateur,1917,1938,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Mines"
chagnaud-l,Chagnaud,Chagnaud; L. Chagnaud,5,5,9,administrateur,1917,1958,"Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens"
goullioud-h,Goullioud,H. Goullioud; Henri Goullioud,5,5,9,administrateur,1922,1930,Documents généraux (par ordre chronologique); Industries agro-alimentaires; Sociétés foncières et immobilières
paris,PARIS),? Paris; PARIS); ParIs); Paris. 1; Paris. 2; Paris. 3; Paris. 6,8,5,9,administrateur,1922,1939,Commerce; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Mines; Sociétés foncières et immobilières
perrin-de-brichambaut-p,Perrin de Brichambaut,P. Perrin de Brichambaut; Pierre Perrin de Brichambaut,5,5,9,administrateur,1930,1969,"Documents généraux (par ordre chronologique); Industries agro-alimentaires; Transports maritimes, fluviaux et aériens"
