company_id,name,sectors,n_ties,n_directors,first_year,last_year
marocainetransportsmaritimes,Cie marocaine de transports maritimes,Documents généraux (par ordre chronologique),15,15,1937,1951
financierefes,Société financière de Fès,Documents généraux (par ordre chronologique),15,15,1930,1930
maroccommercialeimmob,Sté maroc. commerciale et immob,Documents généraux (par ordre chronologique),15,15,1954,1970
parismarocholdingcherifiengustavegompel,"Paris-Maroc, le holding chérifien de Gustave Gompel","Banques, groupes financiers, assureurs",15,15,1912,1924
minieregundafa,Société minière des Gundafa,Documents généraux (par ordre chronologique); Mines,38,14,1937,1953
agricolecommercialeindustriellemarocaine,"Compagnie Agricole, Commerciale, Industrielle Marocaine",Documents généraux (par ordre chronologique); Industries agro-alimentaires,27,14,1913,1938
creditfoncieragricolemaroc,Crédit foncier agricole du Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",25,14,1922,1952
superphosphatesproduitschimiquesmaroc,Compagnie des Superphosphates et des produits chimiques du Maroc,Documents généraux (par ordre chronologique); Industries chimiques,24,14,1926,1937
banquefoncieremaroc,Banque foncière du Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",24,14,1937,1951
etudeshautguir,Sté d'études du Haut-Guir,Documents généraux (par ordre chronologique); Mines,22,14,1913,1926
cherifiennehivernage,Société Chérifienne d'hivernage,"Documents généraux (par ordre chronologique); Hôtellerie, tourisme, tourisme",22,14,1928,1952
lesieurafrique,Lesieur-Afrique,Documents généraux (par ordre chronologique); Industries agro-alimentaires,22,14,1952,1969
miniereafriquenord,Compagnie Minière de l'Afrique du Nord,Documents généraux (par ordre chronologique); Mines,21,14,1923,1926
makanghia,La Makanghia,Commerce,21,14,1928,1928
fermieremarocaineexploitationsagricoles,Compagnie Fermière Marocaine d’Exploitations agricoles,Documents généraux (par ordre chronologique); Industries agro-alimentaires,19,14,1920,1937
charbonnierecasablanca,Compagnie Charbonniere de Casablanca,Commerce; Documents généraux (par ordre chronologique),17,14,1926,1937
merinosmarocain,Le Mérinos marocain,Documents généraux (par ordre chronologique); Industries agro-alimentaires,16,14,1926,1935
etablbozzibaudin,Établ. Bozzi et Baudin,Documents généraux (par ordre chronologique),16,14,1930,1930
conservesmaroc,« Les Conserves du Maroc »,Documents généraux (par ordre chronologique),16,14,1930,1930
frsenordmarocain,Cie frse du NORD-MAROCAIN,Documents généraux (par ordre chronologique),14,14,1944,1944
marocagricolecommercial,Le Maroc agricole et commercial,Documents généraux (par ordre chronologique); Industries agro-alimentaires,38,13,1922,1958
marocimmobilier,Maroc Immobilier,Documents généraux (par ordre chronologique); Sociétés foncières et immobilières,37,13,1922,1950
francomarocainefedhala,Compagnie Franco-Marocaine de Fedhala,"Documents généraux (par ordre chronologique); Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens",32,13,1912,1938
marocainemagasinsgeneraux,Société marocaine de magasins généraux,"Documents généraux (par ordre chronologique); Transports terrestres, garages automobiles et agricoles",26,13,1937,1969
brasseriesnordmarocain,Société des Brasseries du Nord-Marocain,Documents généraux (par ordre chronologique); Industries agro-alimentaires,25,13,1949,1969
