company_id_1,company_id_2,company_name_1,company_name_2,weight,shared_directors
africainecommerce,bordelaisecomptoirsafricains,Compagnie Africaine de Commerce,Compagnie Bordelaise des Comptoirs africains,3,delmas-p; frere-m; ph-delmas
auxiliaireafricainedeveloppementcommerceindustrie,banqueafriqueoccidentale,"Société auxiliaire africaine pour le développement du commerce, de l'industrie",Banque de l'Afrique occidentale,3,maurel-l; nouvion-h; ph-delmas
auxiliaireafricainedeveloppementcommerceindustrie,bordelaisecomptoirsafricains,"Société auxiliaire africaine pour le développement du commerce, de l'industrie",Compagnie Bordelaise des Comptoirs africains,3,frere-m; ph-delmas; vezia-f
auxiliaireafricainedeveloppementcommerceindustrie,salinssinesaloum,"Société auxiliaire africaine pour le développement du commerce, de l'industrie",Salins du Sine Saloum,3,maurel-l; ph-delmas; vezia-f
bordelaisecomptoirsafricains,salinssinesaloum,Compagnie Bordelaise des Comptoirs africains,Salins du Sine Saloum,3,delmas-p; ph-delmas; vezia-f
africainecommerce,electricitesenegal,Compagnie Africaine de Commerce,Compagnie d'Électricité du Sénégal,3,delmas-p; frere-m; levy
bordelaisecomptoirsafricains,electricitesenegal,Compagnie Bordelaise des Comptoirs africains,Compagnie d'Électricité du Sénégal,3,delmas-p; frere-m; prom-l
banqueafriqueoccidentale,messageriesafricaines,Banque de l'Afrique occidentale,Messageries africaines,3,decron-c; maurel-j; maurel-l
chauxcimentssenegal,etablissementsmaurelprom,Chaux et ciments du Sénégal,Établissements Maurel et Prom,3,lavigne-d; maurel-j; maurel-l
electricitesenegal,messageriesafricaines,Compagnie d'Électricité du Sénégal,Messageries africaines,3,delmas-p; maurel-l; robert-m
anciensetablissementschpeyrissaccoloniale,anciensetablissementschpeyrissaccolonialeafrique,Anciens Établissements Ch. Peyrissac et Compagnie (Compagnie coloniale de,Anciens Établissements Ch. Peyrissac et Cie (Cie coloniale de l'Afrique,3,bourrieu-g; goux-p; peyrissac-l
