company_id_1,company_id_2,company_name_1,company_name_2,weight,shared_directors
recherchesauriferescamerouno,recherchesexploitationsdiamantiferes,Société de recherches aurifères au Cameroun (S.O,Société de Recherches et d'exploitations diamantifères,3,benedic-e; claude-a; pinci-m
socoma,waagfrereslacanenghe,SOCOMA,"Waag frères, lac Anenghé",3,bangassou; berberati; bouar
minierekoulamoutou,miniereoubanghioriental,Compagnie minière de Koula-Moutou,Compagnie Minière de l'Oubanghi oriental,3,claude-a; e-benedic; pinci-m
africaineprospectionexploitation,minierenyanga,Société africaine de prospection et d'exploitation,Société minière de la Nyanga,3,ayme-r; larcelet-g; pasques-g
agricoleforestiereindustrielleafrique,banqueafriqueequatoriale,"Société Agricole, Forestière et Industrielle pour l'Afrique","Banque française de l'Afrique équatoriale, puis Banque française de l'Afrique . Suite de la Société française industrielle et coloniale.",2,superville-m; weber-j
agricoleforestiereindustrielleafrique,forestieresanghaoubangui,"Société Agricole, Forestière et Industrielle pour l'Afrique",Compagnie Forestière Sangha-Oubangui,2,superville-m; weber-j
agricoleforestiereindustrielleafrique,kouango,"Société Agricole, Forestière et Industrielle pour l'Afrique","Compagnie du Kouango français, puis Compagnie nouvelle du Kouango français",2,superville-m; weber-j
banqueafriqueequatoriale,entreprisesafricaines,"Banque française de l'Afrique équatoriale, puis Banque française de l'Afrique . Suite de la Société française industrielle et coloniale.","Société d'entreprises africaines, puis Société d'entreprises africaines et Matériel colonial réunis",2,fondere-a; superville-m
banqueafriqueequatoriale,minierecongo,"Banque française de l'Afrique équatoriale, puis Banque française de l'Afrique . Suite de la Société française industrielle et coloniale.",Cie Minière du Congo français,2,fondere-a; superville-m
creditfonciercongo,entreprisesafricaines,Crédit foncier du Congo,"Société d'entreprises africaines, puis Société d'entreprises africaines et Matériel colonial réunis",2,fondere-a; superville-m
creditfonciercongo,forestieresanghaoubangui,Crédit foncier du Congo,Compagnie Forestière Sangha-Oubangui,2,bolle-a; superville-m
creditfonciercongo,minierecongo,Crédit foncier du Congo,Cie Minière du Congo français,2,fondere-a; superville-m
creditfonciercongo,sultanatshautoubangui,Crédit foncier du Congo,Les Sultanats du Haut-Oubangui,2,fondere-a; superville-m
entreprisesafricaines,minierecongo,"Société d'entreprises africaines, puis Société d'entreprises africaines et Matériel colonial réunis",Cie Minière du Congo français,2,fondere-a; superville-m
forestieresanghaoubangui,minierecongo,Compagnie Forestière Sangha-Oubangui,Cie Minière du Congo français,2,guynet-w; superville-m
kouango,sultanatshautoubangui,"Compagnie du Kouango français, puis Compagnie nouvelle du Kouango français",Les Sultanats du Haut-Oubangui,2,josse-a; superville-m
alimaienne,fsehautcongo,L'Alimaïenne,Cie Fse du HAUT-CONGO,2,remond-j; trechot-f
alimaienne,fsecongocameroun,L'Alimaïenne,Cie Fse des CONGO-CAMEROUN,2,cruchet-l; ivoire-commerce-d-importation
bambari,kouango,BAMBARI,"Compagnie du Kouango français, puis Compagnie nouvelle du Kouango français",2,joubert-a; weber-j
banqueafriqueequatoriale,exploitationsforestieresafricaines,"Banque française de l'Afrique équatoriale, puis Banque française de l'Afrique . Suite de la Société française industrielle et coloniale.",Compagnie Exploitations forestières africaines,2,fondere-a; weber-j
banqueafriqueequatoriale,plantationspalmeraiesogooue,"Banque française de l'Afrique équatoriale, puis Banque française de l'Afrique . Suite de la Société française industrielle et coloniale.",Cie générale des Plantations et palmeraies de l'Ogooué,2,josse-p; weber-j
boiscoloniaux,plantationspalmeraiesogooue,Compagnie générale des Bois coloniaux,Cie générale des Plantations et palmeraies de l'Ogooué,2,michenot-e; weber-j
commercialesanghaoubangui,exploitationsforestieresafricaines,Compagnie Commerciale Sangha-Oubangui,Compagnie Exploitations forestières africaines,2,doumic-j; weber-j
commercialesanghaoubangui,forestieresanghaoubangui,Compagnie Commerciale Sangha-Oubangui,Compagnie Forestière Sangha-Oubangui,2,henriquez-m; weber-j
commercialesanghaoubangui,plantationspalmeraiesogooue,Compagnie Commerciale Sangha-Oubangui,Cie générale des Plantations et palmeraies de l'Ogooué,2,doumic-j; weber-j
commercialesanghaoubangui,sanghalikouala,Compagnie Commerciale Sangha-Oubangui,Compagnie Générale Sangha-Likouala,2,nenard-r; weber-j
congolaisecaoutchouc,kouango,Compagnie Congolaise du Caoutchouc,"Compagnie du Kouango français, puis Compagnie nouvelle du Kouango français",2,joubert-a; weber-j
exploitationsforestieresafricaines,forestieresanghaoubangui,Compagnie Exploitations forestières africaines,Compagnie Forestière Sangha-Oubangui,2,guynet-w; weber-j
forestieresanghaoubangui,plantationspalmeraiesogooue,Compagnie Forestière Sangha-Oubangui,Cie générale des Plantations et palmeraies de l'Ogooué,2,lavril-m; weber-j
plantationspalmeraiesogooue,sanghalikouala,Cie générale des Plantations et palmeraies de l'Ogooué,Compagnie Générale Sangha-Likouala,2,lavril-m; weber-j
exploitationsforestieresafricaines,minierecongo,Compagnie Exploitations forestières africaines,Cie Minière du Congo français,2,fondere-a; guynet-w
forestieresanghaoubangui,messageriesfluvialescongo,Compagnie Forestière Sangha-Oubangui,Messageries fluviales du Congo,2,guynet-w; produits-de-la-lobay
messageriesfluvialescongo,minierecongo,Messageries fluviales du Congo,Cie Minière du Congo français,2,guynet-w; w-guynet
creditfonciercongo,equatorialemines,Crédit foncier du Congo,Compagnie Équatoriale de mines,2,benard; bolle-a
forestieresanghaoubangui,lefiniagricolecommercialeindustrielle,Compagnie Forestière Sangha-Oubangui,"« La Léfini », Cie agricole, commerciale et industrielle",2,richmond-j; vandenperre-h
agricoleforestiereindustrielleafrique,hautengounie,"Société Agricole, Forestière et Industrielle pour l'Afrique",Compagnie de la Haute-N'Gounié,2,du-vivier-de-streel-p; gerdret-g
afriqueminiereequatoriale,kouango,Afrique minière équatoriale,"Compagnie du Kouango français, puis Compagnie nouvelle du Kouango français",2,kouango; pierre-c
messageriesfluvialescongo,proprietairekouilouniari,Messageries fluviales du Congo,Compagnie Propriétaire du Kouilou-Niari,2,beulque-g; grard-h
entreprisescommercialescongobelge,proprietairekouilouniari,Sté anon. d'entreprises commerciales au Congo belge,Compagnie Propriétaire du Kouilou-Niari,2,irvine-j; moseley-l
leverbrothersltdportsunlightcheshire,proprietairekouilouniari,"Lever Brothers Ltd, Port SUNLIGHT, Cheshire",Compagnie Propriétaire du Kouilou-Niari,2,greenhalgh-h; moseley-l
afriqueminiereequatoriale,commercialeindustrielleagricolehautogooue,Afrique minière équatoriale,"Société commerciale, industrielle et agricole du Haut-Ogooué",2,barre-o; o-barre
commercialeindustrielleagricolehautogooue,coteafrique,"Société commerciale, industrielle et agricole du Haut-Ogooué",CÔTE D'AFRIQUE,2,chabrieres-m; enjalbert-p
entreprisesafricaines,shaki,"Société d'entreprises africaines, puis Société d'entreprises africaines et Matériel colonial réunis",SHAKI,2,duchanoy-m; troutet-f
minierecongo,transportsafrique,Cie Minière du Congo français,Compagnie Générale de transports en Afrique,2,fondere-a; guynet-d
sultanatshautoubangui,transportsafrique,Les Sultanats du Haut-Oubangui,Compagnie Générale de transports en Afrique,2,fondere-a; guynet-d
aktieselskapetcongosandefjord,sandefjord,Aktieselskapet « Congo » SANDEFJORD,SANDEFJORD,2,wegger-o; wildhagen-c
aktieselshapetgabonsandefjord,sandefjord,Aktieselshapet « Gabon » SANDEFJORD,SANDEFJORD,2,hytten-e; wegger-o
afriquecongo,minierecongo,Afrique et Congo,Cie Minière du Congo français,2,guynet-d; w-guynet
agricoleindustrielleogooue,okoume,Société Agricole et Industrielle de l’Ogooué,L'Okoumé,2,gay-g; stoll-h
africaine,commercialeafriqueequatoriale,L'Africaine,"Compagnie Commerciale de l'Afrique équatoriale française, puis Commerciale, agricole et forestière",2,lefevre-c; pecqueur-w
anciensetablissementscquilliardforestiereezanga,commercialeafriqueequatoriale,Anciens Établissements C. Quilliard Société forestière d'Ezanga,"Compagnie Commerciale de l'Afrique équatoriale française, puis Commerciale, agricole et forestière",2,lefevre-c; pecqueur-w
africaineforestiereagricole,bordelaiseafricaine,Société africaine forestière et agricole,Société bordelaise africaine,2,de-rivaud-r; roullet-g
africaineforestiereagricole,cameroun,Société africaine forestière et agricole,Cie française du Cameroun,2,roullet-e; roullet-g
bordelaiseafricaine,equateur,Société bordelaise africaine,Compagnie Générale de l'Équateur,2,de-rivaud-r; roullet-g
bordelaiseafricaine,plantationssanaga,Société bordelaise africaine,Plantations de la Sanaga,2,de-rivaud-r; roullet-g
creditfonciercongo,hautbascongo,Crédit foncier du Congo,Compagnie française du Haut et Bas-Congo,2,beuque-j; henriquez-g
financierecongo,transporteafriqueparis,Société financière du Congo français,"Cie générale de transporte en Afrique, à Paris",2,de-montreuil; henriquez-g
hautbascongo,transporteafriqueparis,Compagnie française du Haut et Bas-Congo,"Cie générale de transporte en Afrique, à Paris",2,de-montreuil; henriquez-g
cotonniereequatoriale,creditfonciercongo,Cie cotonnière équatoriale française,Crédit foncier du Congo,2,benard; clerc-a
miniereoubanghioriental,transportsoubanguicameroun,Compagnie Minière de l'Oubanghi oriental,"Société de Transports Oubangui-Cameroun, puis Société des transports ouest-centrafricains",2,benedic-e; congo
transportafrique,transportsoubanguicameroun,Compagnie générale de transport en Afrique,"Société de Transports Oubangui-Cameroun, puis Société des transports ouest-centrafricains",2,benedic-e; congo
afrique,miniereoubanghioriental,L'Afrique française,Compagnie Minière de l'Oubanghi oriental,2,boussenot-g; rolin-j
huileriesmoyencongo,miniereoubanghioriental,Huileries du Moyen-Congo,Compagnie Minière de l'Oubanghi oriental,2,boussenot-g; rolin-j
commercialegabonlibrevilleef,commercialesanghaoubangui,"Cie commerciale du Gabon, LIBREVILLE A.-E. F",Compagnie Commerciale Sangha-Oubangui,2,carre-r; claude-m
forestierefernanvaz,plantationspalmeraiesogooue,Société forestière du Fernan-Vaz,Cie générale des Plantations et palmeraies de l'Ogooué,2,doumic-j; mizraki-m
cotonnierecongolaise,cotonniereequatoriale,Cie cotonnière congolaise,Cie cotonnière équatoriale française,2,de-bauw-a; landeghem-a
cotonnierecongolaise,cotonnierehautoubangui,Cie cotonnière congolaise,Cie cotonnière du Haut-Oubangui,2,de-bauw-a; landeghem-a
cotonnierecongolaise,cotonsafricains,Cie cotonnière congolaise,Societe francaise des Cotons africains,2,rhodius-j; vigneron-f
comptoirsplantationscameroun,exploitationscommercialesafricaines,Comptoirs et plantations du Cameroun,Compagnie d'Exploitations commerciales africaines,2,guiraud-a; raimond-j
groupementgabonais,minierecongo,Groupement gabonais S. A,Cie Minière du Congo français,2,monteil-j; perrin-l
groupementgabonais,recherchesauriferescamerouno,Groupement gabonais S. A,Société de recherches aurifères au Cameroun (S.O,2,perrin-l; pinci-m
minierecongo,recherchesauriferesgabon,Cie Minière du Congo français,Cie de recherches aurifères au Gabon,2,monteil-j; perrin-l
forestierenombo,unioncolonialeagricoleforestiere,Compagnie forestière de Nombo,Union coloniale agricole et forestière,2,couriol-l; martin-g
forestiereniari,proprietairekouilouniari,Société Forestière du Niari,Compagnie Propriétaire du Kouilou-Niari,2,deveaud-p; thube-a
comptoirboiscoloniaux,consortiumboisafricains,Comptoir des bois coloniaux,Consortium des bois africains,2,clement-g; clement-m
comptoirboiscoloniaux,consortiumventeacajou,Comptoir des bois coloniaux,Consortium de Vente de l'Acajou,2,clement-g; clement-m
comptoirboiscoloniaux,consortiumventeokoume,Comptoir des bois coloniaux,Consortium de Vente de l'Okoumé,2,clement-g; clement-m
consortiumboisafricains,consortiumventeacajou,Consortium des bois africains,Consortium de Vente de l'Acajou,2,clement-g; clement-m
consortiumboisafricains,consortiumventeokoume,Consortium des bois africains,Consortium de Vente de l'Okoumé,2,clement-g; clement-m
consortiumventeacajou,consortiumventeokoume,Consortium de Vente de l'Acajou,Consortium de Vente de l'Okoumé,2,clement-g; clement-m
