doc_id,snapshot_year,person_key,name_clean,surname,given,chamber,constituency,years_raw,year_start,year_end,n_firms,source_ref
empire-parlementaires-financ-1924-feb02a,1924,lederlin-p,Paul Lederlin,Lederlin,Paul,Senate,Vosges,,,,3,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,leroux-p,Paul Leroux,Leroux,Paul,Senate,Vendée,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,lesache-v,Victor Lesaché,Lesaché,Victor,Chamber of Deputies,Aube,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,levy-r,Raphaël-Georges Lévy,Lévy,Raphaël-Georges,Senate,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,lhopiteau-g,Gustave Lhopiteau,Lhopiteau,Gustave,Senate,Eure-et-Loir,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,magny-p,Paul Magny,Magny,Paul,Senate,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,maitre-h,Henri Maitre,Maitre,Henri,Chamber of Deputies,,1910-1924,1910,1924,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,marraud-p,Pierre Marraud,Marraud,Pierre,Senate,Lot-et-Garonne,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,marot-e,Émile Marot,Marot,Émile,Senate,Deux-Sèvres,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,mathis-e,Édouard Mathis,Mathis,Édouard,Chamber of Deputies,Vosges,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,menier-g,Gaston Menier,Menier,Gaston,Senate,Seine-et-Marne,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,michaut-h,Henri Michaut,Michaut,Henri,Senate,Meurthe-et-Moselle,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,michel-l,Louis Michel,Michel,Louis,Senate,Meurthe-et-Moselle,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,montaigu,Montaigu,Montaigu,,Senate,Loire-Inférieure,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,neron-e,Édouard Néron,Néron,Édouard,Senate,Loire,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,messimy,Messimy,Messimy,,Senate,Ain,1919,1919,1919,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,pate,Paté,Paté,,Chamber of Deputies,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,perchot,Perchot,Perchot,,Senate,Basses-Alpes,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,petitjean,Petitjean,Petitjean,,Chamber of Deputies,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,planche-g,Gilbert Planche,Planche,Gilbert,Chamber of Deputies,Hautes-Alpes,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,poussineau,Poussineau,Poussineau,,Chamber of Deputies,Ille-et-Vilaine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,raynaud-m,Maurice Raynaud,Raynaud,Maurice,Chamber of Deputies,,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,rouland-j,Julien Rouland,Rouland,Julien,Senate,Seine-Inférieure,,,,2,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,de-seynes-e,Étienne de Seynes,de Seynes,Étienne,Chamber of Deputies,Gard,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,thibout,Thibout,Thibout,,Chamber of Deputies,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,daladier,Daladier,Daladier,,Chamber of Deputies,Vaucluse,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,boisneuf,Boisneuf,Boisneuf,,Chamber of Deputies,Guadeloupe,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,ajam-m,Maurice Ajam,Ajam,Maurice,Chamber of Deputies,Sarthe,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,guist-hau-g,Gabriel Guist'hau,Guist'hau,Gabriel,Chamber of Deputies,Loire-Inférieure,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,lagrosilliere-j,Joseph Lagrosillière,Lagrosillière,Joseph,Chamber of Deputies,Martinique,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,painleve-p,Paul Painlevé,Painlevé,Paul,Chamber of Deputies,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,tisseyre-c,Charles Tisseyre,Tisseyre,Charles,Chamber of Deputies,Saône-et-Loire,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bartholoni-r,René Bartholoni,Bartholoni,René,Chamber of Deputies,Haute-Savoie,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,benazet-p,Paul Bénazet,Bénazet,Paul,Chamber of Deputies,Indre,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bluysen-p,Paul Bluysen,Bluysen,Paul,Chamber of Deputies,Inde,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bernier-j,Joseph Bernier,Bernier,Joseph,Chamber of Deputies,Ain,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bertrand-c,Charles Bertrand,Bertrand,Charles,Chamber of Deputies,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,binet-f,François Binet,Binet,François,Chamber of Deputies,,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,calary-de-lamaziere-r,Raoul Calary de Lamazière,Calary de Lamazière,Raoul,Chamber of Deputies,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,chagnaud-l,Léon Chagnaud,Chagnaud,Léon,Senate,Creuse,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,chassaigne-goyon-p,Paul Chassaigne-Goyon,Chassaigne-Goyon,Paul,Chamber of Deputies,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bariac-a,Adrien Bariac,Bariac,Adrien,Chamber of Deputies,Orne,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,fleury-ravarin,Fleury-Ravarin,Fleury-Ravarin,,Chamber of Deputies,Rhône,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,franklin-bouillon-h,Henry Franklin-Bouillon,Franklin-Bouillon,Henry,Chamber of Deputies,Seine-et-Oise,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,gaebele,Gaebelé,Gaebelé,,Senate,Inde,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,girod-a,Adolphe Girod,Girod,Adolphe,Chamber of Deputies,Doubs,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,lederlin-p,Paul Lederlin,Lederlin,Paul,Senate,Vosges,,,,2,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,messimy-a,Adolphe Messimy,Messimy,Adolphe,Senate,Ain,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,mollard-m,Maurice Mollard,Mollard,Maurice,Senate,Savoie,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,rouland-j,Julien Rouland,Rouland,Julien,Senate,Seine-Inférieure,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,taittinger-p,Pierre Taittinger,Taittinger,Pierre,Chamber of Deputies,Charente-Inférieure,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,donnes-modifications-aux-noms-deja,DONNÉS Modifications Aux Noms Déjà,DONNÉS Modifications Aux Noms Déjà,,Senate,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,berthoulat-g,Georges Berthoulat,Berthoulat,Georges,Senate,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,breton,Breton,Breton,,Senate,Cher,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,chaumet-c,Charles Chaumet,Chaumet,Charles,Senate,Gironde,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,coignet-j,Jean Coignet,Coignet,Jean,Senate,Rhône,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,diebolt-weber-m,Michel Diebolt-Weber,Diebolt-Weber,Michel,Senate,Haut-Rhin,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,dior-l,Lucien Dior,Dior,Lucien,Chamber of Deputies,Manche,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,duboin-j,Jacques Duboin,Duboin,Jacques,Chamber of Deputies,Haute-Savoie,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,durand-j,Jean Durand,Durand,Jean,Senate,Aude,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,elby-j,Jules Elby,Elby,Jules,Senate,Pas-de-Calais,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,flayelle-m,Maurice Flayelle,Flayelle,Maurice,Chamber of Deputies,Vosges,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,francois-marsal-f,Frédéric François-Marsal,François-Marsal,Frédéric,Senate,Cantal,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,helmer-a,Albert-Paul Helmer,Helmer,Albert-Paul,Senate,Haut-Rhin,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,lederlin-p,Paul Lederlin,Lederlin,Paul,Senate,Vosges,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,planche-g,Gilbert Planche,Planche,Gilbert,Chamber of Deputies,Hautes-Alpes,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,plichon-j,Jean Plichon,Plichon,Jean,Chamber of Deputies,Nord,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,potie-a,Auguste Potié,Potié,Auguste,Senate,Nord,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,weiller-l,Lazare Weiller,Weiller,Lazare,Senate,Bas-Rhin,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,guy-de-wendel,Guy de Wendel,Guy de Wendel,,Chamber of Deputies,Moselle,,,,2,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,donon,Donon,Donon,,Senate,Loiret,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,donon,Donon,Donon,,Senate,,,,,3,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,recevez,Recevez,Recevez,,Senate,,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,baron-c,Charles Baron,Baron,Charles,Chamber of Deputies,,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,taittinger-p,Pierre Taittinger,Taittinger,Pierre,Chamber of Deputies,,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,outrey-e,Ernest Outrey,Outrey,Ernest,Chamber of Deputies,,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,de-warren-e,Édouard de Warren,de Warren,Édouard,Chamber of Deputies,,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bertrand-w,William Bertrand,Bertrand,William,Chamber of Deputies,,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,perreau-pradier,Perreau-Pradier,Perreau-Pradier,,Chamber of Deputies,,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,poitou-duplessy,Poitou-Duplessy,Poitou-Duplessy,,Chamber of Deputies,,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,nouelle,Nouelle,Nouelle,,Chamber of Deputies,,1857-1930,1857,1930,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,flayelle,Flayelle,Flayelle,,Chamber of Deputies,,,,,0,Parlementaires et financiers
