from_company_id,to_company_id,from_name,to_name,n_observations,first_year,last_year,roles
gastondrappierpdtaguilas,ouenza,Gaston Drappier [pdt Cie d'Aguilas,OUENZA,2,1925,1925,president:2
havane,etablissementsluchaire,Havane,Établissements LUCHAIRE,2,1925,1925,administrateur:2
marrakechindustrielle,marocaine,Marrakech. Société industrielle,Compagnie MAROCAINE,2,1925,1925,president:2
manaosmarocagencecasablanca40,safti,Manaos. Maroc: Agence générale: Casablanca (40,SAFTI,2,1921,1925,directeur:2
ethomasentreprisecanalisationeau,afriquenord,E Thomas. Entreprise de canalisation d'eau,AFRIQUE DU NORD,2,1938,1938,administrateur:2
etudes,bazina,Société française d'études,Société française du Bazina,2,1945,1948,administrateur:2
creditfoncieralgerie,cheminsferroutesalgerie,Crédit foncier d'Algérie,Chemins de fer sur routes d'Algérie,2,1942,1945,administrateur:2
union,mineschabetballoutsoukahrras,Union,Société générale des mines de Chabet-Ballout à Souk-Ahrras,2,1929,1929,administrateur:2
consortiumnord,domainepotinville,Consortium du Nord,Domaine de Potinville,2,1937,1940,administrateur:2
banquecolonialeetudes,etablissementssoussanafreres,Banque coloniale d'études,Établissements Soussana frères,2,1925,1926,administrateur:2
comteleonceterves,minesfer,comte Léonce de Terves,Société Française des mines de fer,2,1909,1912,administrateur:1; president:1
geranceimmeublesmunicipaux,minesfer,Société de gérance d'immeubles municipaux,MINES DE FER,2,1932,1932,administrateur:2
omniumentreprises,portsmarocains,de l'Omnium d'entreprises],Ports marocains,2,1921,1921,administrateur:2
algeriennemines,agricolefinancierealgerie,de la Société algérienne des mines,Société Agricole et Financière d'Algérie,2,1928,1928,directeur_general:2
etablissementsmulsant,etudestravauxartmaroc,Société des Établissements Mulsant,Société d'Études et de Travaux d'art du Maroc,2,1920,1921,administrateur:2
etablissementsponcin,etudestravauxartmaroc,Société Établissements Poncin,Société d'Études et de Travaux d'art du Maroc,2,1920,1921,administrateur:2
toutee,vignobleszayana,général Toutée,Société des Vignobles de Zayana,2,1927,1927,president:2
dockslyonnais,vinsmidialgerie,Société anonyme des Docks Lyonnais,Compagnie générale des vins du Midi et d'Algérie,2,1937,1940,administrateur:2
banquecolonialeetudes,secteurelectriquevoutesalger,Banque coloniale d'études,Secteur électrique des Voûtes d'Alger,2,1929,1931,administrateur:2
colonialefoutadjallon,centreafrique,Société coloniale du Fouta-Djallon,Centre-Afrique,2,1914,1922,administrateur:2
barondurrieu,forestieresanghaoubangui,baron Durrieu,Cie forestière Sangha-Oubangui,2,1922,1922,administrateur:2
financiere,industriellebasogooue,Sté financière française,Sté anon. industrielle du Bas-Ogooué,2,1922,1922,vice_president:2
consortiumind,industriellebasogooue,Consortium ind,Sté anon. industrielle du Bas-Ogooué,2,1922,1922,administrateur:2
toutee,nationalecameroun,général Toutée,Sté nationale du Cameroun,2,1922,1926,president:2
creditfonciercongo,financierecongo,Crédit foncier du Congo,Société financière du Congo français,2,1930,1937,administrateur:2
baronppasseratchapelle,oubangui,baron P. Passerat de la Chapelle,Cie française de l'Oubangui,2,1930,1937,administrateur:2
afriquenoire,afriquecongo,Cie de l'Afrique Noire,Afrique et Congo,2,1950,1951,administrateur:2
participationcoloniale,commercialeafriqueequatoriale,Participation coloniale,Cie commerciale de l'Afrique équatoriale française (Anciens,2,1951,1951,administrateur:2
gouverneurhonfjreste,commercialecotonniereouhamenanacomouna,Gouverneur général hon. F.-J. Reste,Cie commerciale et cotonnière de l'Ouhamé-Nana « COMOUNA »,2,1951,1951,president:2
entreprisesindustrielles,exploitationscommercialesafricaines,Société d'entreprises industrielles,Cie d'exploitations commerciales africaines,2,1950,1951,administrateur:2
creditmarocain,forestieresanghaoubangui,Crédit Marocain,Cie forestière Sangha-Oubangui,2,1951,1951,administrateur:2
admminesgundafa,hautbascongo,adm. Mines de Gundafa ],Cie française du Haut et du Bas-Congo,2,1951,1951,administrateur:2
creditfonciercongo,hautbascongo,Crédit Foncier du Congo,Cie française du Haut et du Bas-Congo,2,1951,1951,administrateur:2
equatorialemines,recherchesexploitationsdiamantiferes,Cie Équatoriale de Mines,Société de recherches et d'exploitations diamantifères,2,1949,1949,administrateur:1; directeur:1
minesmindouli,minierecongo,Mines de Mindouli,Cie MINIÈRE DU CONGO FRANÇAIS,2,1925,1938,president:2
portgentilagencemaritimedakarexportation,hautogooue,Port-Gentil. Agence maritime à Dakar. Exportation,HAUT-OGOOUÉ,2,1938,1938,president:2
masquelier,cotonnierenordcamerountchad,Société Masquelier,Société Cotonnière du Nord-Cameroun et du Tchad,2,1928,1928,administrateur:2
comteaulan,alimaienne,comte d'Aulan,L'Alimaïenne,2,1901,1903,administrateur:2
plantationscameroun,tabacscameroun,plantations du Cameroun,"Cie des Tabacs du Cameroun, puis Tabacs et plantations du Cameroun, puis Plantations de Nyombé-Penja",2,1929,1929,administrateur:2
comteormesson,cheminferdakarstlouis,comte d'Ormesson,Cie du chemin de fer de Dakar à St-Louis,2,1922,1975,president:2
banquecolonialeetudes,briqueteriesbamako,Banque Coloniale d'études,Société des briqueteries de Bamako,2,1925,1926,administrateur:2
auxiliaireafricaine,eauxelectriciteouestafricain,Société auxiliaire africaine,Compagnie des eaux et électricité de l'Ouest africain,2,1937,1937,administrateur:2
wilsonsonscltd,dakarsoutes,Wilson Sons and C° Ltd,« Dakar-Soutes »,2,1937,1963,vice_president:1; administrateur:1
charbonnagesdakar,dakarsoutes,Compagnie Française des Charbonnages de Dakar,« Dakar-Soutes »,2,1937,1963,administrateur:2
lambertbrothersltd,dakarsoutes,Lambert Brothers Ltd,« Dakar-Soutes »,2,1937,1963,administrateur:2
salisburyexportersltd,dakarsoutes,Salisbury Exporters Ltd,« Dakar-Soutes »,2,1937,1963,administrateur:2
caissecommerciale,foncierecoteafrique,Caisse commerciale,Foncière de la Côte d'Afrique,2,1929,1937,administrateur:2
banqueunionparisienne,exploitationsminieresafriqueoccidentale,Banque de l'Union Parisienne,Société anonyme d'exploitations minières en Afrique Occidentale,2,1935,1937,administrateur:2
minierecoloniale,exploitationsminieresafriqueoccidentale,Compagnie Minière Coloniale,Société anonyme d'exploitations minières en Afrique Occidentale,2,1935,1937,administrateur:2
congocommerce,exploitationsminieresafriqueoccidentale,Compagnie du Congo pour le Commerce,Société anonyme d'exploitations minières en Afrique Occidentale,2,1935,1937,administrateur:2
auxiliaireafricaine,bananeriesafricaines,Société auxiliaire africaine,Bananeries africaines,2,1932,1933,president:2
luciengillycommerciale,commercialeagricoleguinee,Lucien Gilly. Société commerciale,Société commerciale et agricole de Guinée,2,1932,1963,administrateur:2
hellot,exploitationproduitscoloniaux,général Hellot,Société d'exploitation de produits coloniaux,2,1900,1932,president:2
airfrance,hotellerieafricaine,Cie Air-France,Société d'Hôtellerie africaine,2,1949,1955,administrateur:2
unionafricaineagricole,hotellerieafricaine,Union Africaine agricole,Société d'Hôtellerie africaine,2,1949,1955,administrateur:2
banqueafriqueoccidentale,hotellerieafricaine,Banque de l'Afrique Occidentale,Société d'Hôtellerie africaine,2,1949,1955,administrateur:2
gouvleonhenry,unioncomptoirsoutremerunicomer,gouv. Léon Henry,Union des Comptoirs d'Outre-Mer UNICOMER,2,1949,1955,administrateur:1; directeur_general:1
afriqueoccidentale,senegalaiseprecontrainteindustrielle,Cie française de l'Afrique occidentale,Société sénégalaise de précontrainte industrielle,2,1949,1963,president:2
entreprisesdragages,senegalaiseprecontrainteindustrielle,Société française d'entreprises de dragages,Société sénégalaise de précontrainte industrielle,2,1949,1963,administrateur:2
forestiereindenie,forestierecommercialeafricaine,Cie forestière de l'Indénié,Société forestière et commerciale africaine,2,1949,1963,administrateur:2
travauxafricains,forestierecommercialeafricaine,Société générale de travaux africains,Société forestière et commerciale africaine,2,1949,1963,administrateur:2
etsdeves,messageriesafricaines,Éts Devès,Messageries africaines,2,1949,1951,administrateur:2
niger,messageriesafricaines,Cie du Niger français,Messageries africaines,2,1949,1951,administrateur:2
commissairesgouvernementmmjeanvollant,creditfoncierouestafricain,Commissaires du Gouvernement: MM. Jean Vollant,Crédit foncier de l'Ouest africain,2,1951,1951,administrateur:2
forestier,coteivoire,Forestier,Cie française de la Côte-d'Ivoire,2,1941,1951,administrateur:2
comtetristan,domainekokumbo,comte de Tristan,Cie du domaine de Kokumbo,2,1942,1953,vice_president:2
bureauminierfranceoutremer,miniereconakry,Bureau minier de la France d'Outre-Mer,Cie minière de Conakry,2,1953,1953,administrateur:2
francoamericainemetaux,miniereconakry,Cie Franco-Américaine des métaux,Cie minière de Conakry,2,1953,1953,administrateur:2
pierredelmasetsjdelmas,culturecotonniereniger,Pierre Delmas [Éts J.-A. Delmas,Cie de culture cotonnière du Niger,2,1943,1963,administrateur:2
mariusratheauxpdtetsjacquemairelyon,comptoirimportationboisafricains,Marius Ratheaux [pdt Éts Jacquemaire à Lyon,Comptoir d'importation des bois africains,2,1951,1963,president:2
financiere,creditfoncierouestafricain,Société financière française,Crédit foncier de l'Ouest-Africain,2,1931,1931,administrateur:2
banquecommercialeafricaine,creditfoncierouestafricain,Banque commerciale africaine,Crédit foncier de l'Ouest-Africain,2,1931,1931,administrateur:2
creditfoncierindochine,creditfoncierouestafricain,Crédit foncier de l'Indochine,Crédit foncier de l'Ouest-Africain,2,1931,1931,administrateur:2
commercialeouestafricain,creditfoncierouestafricain,Société commerciale de l'Ouest-Africain,Crédit foncier de l'Ouest-Africain,2,1931,1931,administrateur:2
fmarbeaucommissairegouvernementjvollant,creditfoncierouestafricain,F. Marbeau. Commissaire du gouvernement: J. Vollant,Crédit foncier de l'Ouest-Africain,2,1945,1948,administrateur:2
