person_key,surname,given_variants,n_ties,n_name_variants,name_variants
delmas-p,Delmas,P.; Philippe; Pierre,57,4,P. Delmas; Philippe DELMAS; Philippe Delmas; Pierre Delmas
mazet-e,Mazet,E.; Emilien; Édouard; Émilien,57,7,E. MAZET; E. Mazet; Emilien MAZET; Emilien Mazet; Édouard Mazet; Émilien MAZET; Émilien Mazet
galicier-a,Galicier,A.; Albert,56,2,A. Galicier; Albert Galicier
gimon-c,Gimon,C.; Ch; Ch.; Charles,56,6,C. Gimon; Ch Gimon; Ch. GIMON; Ch. Gimon; Charles Gimon; Charles Gimon 2
gompel-r,Gompel,Robert; Robert-Gabriel; Roger,55,3,Robert Gompel; Robert-Gabriel Gompel; Roger Gompel
de-laboulaye-e,de Laboulaye,Edouard; Édouard,55,5,Edouard DE LABOULAYE; Edouard de LABOULAYE; Edouard de Laboulaye; Édouard de LABOULAYE; Édouard de Laboulaye
legrand-r,Legrand,René,55,2,René LEGRAND; René Legrand
orcel-j,Orcel,J.; Jacques,54,3,J. Orcel; Jacques Orcel; Jacques Orcel. 3
ledoux-f,LEDOUX,F.; Frédéric,54,3,F. LEDOUX; F. Ledoux; Frédéric Ledoux
benedic-e,Bénédic,E.; Edouard; Emmanuel; Édouard,54,7,E. Benedic; E. Benédic; E. Bénédic; Edouard Bénédic; Emmanuel Bénédic; Édouard Benédic; Édouard Bénédic
estier-h,Estier,H.; HenrI; Henri,53,3,H. Estier; HenrI Estier; Henri Estier
rebuffel-c,Rebuffel,C.; Ch; Ch.; Charles,53,5,C. Rebuffel; Ch Rebuffel; Ch. Rebuffel; Charles REBUFFEL; Charles Rebuffel
carrere-g,Carrère °,G.; Georges,53,5,G. CARRÈRE; G. Carrère; Georges CARRÈRE; Georges Carrère; Georges Carrère °
michel-c,Michel,C.; Ch; Ch.; Charles,52,4,C. Michel; Ch Michel; Ch. Michel; Charles Michel
toche-c,Toché,C.; Carlo; Ch.,52,7,C. TOCHÉ; C. Toché; Carlo TOCHÉ; Carlo Toché; Carlo Toché. 12; Carlo Toché. 14; Ch. Toché
thion-de-la-chaume-r,Thion de La Chaume,René; René-Jules; Robert,52,7,René THION DE LA CHAUME; René Thion de La Chaume; René Thion de la Chaume; René-Jules Thion de la Chaume; Robert THION DE LA CHAUME; Robert THION de la CHAUME; Robert Thion de la Chaume
mazet-j,Mazet,J.; J.-M.; Jean,52,5,J. MAZET; J. Mazet; J.-M. Mazet; Jean MAZET; Jean Mazet
philippar-e,Philippar,E.; Ed; Edmond,51,3,E. Philippar; Ed Philippar; Edmond Philippar
bernard-f,Bernard,F.; Fernand,51,3,F. Bernard; Fernand BERNARD; Fernand Bernard
bussy-a,Bussy,A.; Adrien; André,51,4,A. Bussy; Adrien Bussy; André BUSSY; André Bussy
piot-m,Piot,Maurice,50,1,Maurice Piot
off-lh,off. LH,,50,2,off. L.H; off. LH
boussenot-g,Boussenot,G.; Georges,50,3,G. Boussenot; Georges BOUSSENOT; Georges Boussenot
engeringh-c,Engeringh,C.; Ch; Ch.; Charles,50,4,C. Engeringh; Ch Engeringh; Ch. Engeringh; Charles Engeringh
worms-e,Worms,E.; E.-R.; Edouard; Éd; Édouard,49,6,E. Worms; E.-R. Worms; Edouard Worms; Éd Worms; Édouard Worms; Édouard Worms. 13
bouffe-g,Bouffé,G.; Gaston,48,3,G. Bouffé; Gaston Bouffe; Gaston Bouffé
roume-e,Roume,E.; Ernest,48,3,E. Roume; Ernest ROUME; Ernest Roume
katz-m,Katz,Max; Maxime,47,2,Max Katz; Maxime Katz
massenet-a,Massenet,A.; Albert; Alfred,47,4,A. Massenet; Albert Massenet; Albert Massenet. 5; Alfred Massenet
nouvion-h,Nouvion,H.; H.M.; Henri,47,5,H. NOUVION; H. Nouvion; H.M. Nouvion; Henri NOUVION; Henri Nouvion
dewez-h,Dewez,H.; Henri; Henry,47,6,H. DEWEZ; H. Dewez; H. Dewez 3; Henri Dewez; Henry DEWEZ; Henry Dewez
boulle-l,Boulle,L.; Léon,47,3,L. Boulle; Léon BOULLE; Léon Boulle
daroussin-j,DAROUSSIN,J.; Joel; Joël,47,5,J. DAROUSSIN; J. Daroussin; Joel Daroussin; Joël DAROUSSIN; Joël Daroussin
berti-v,Berti,V.; Victor,46,2,V. Berti; Victor Berti
josse-a,JOSSE,A.; Adrien,46,3,A. Josse; Adrien JOSSE; Adrien Josse
boyaval-l,Boyaval,L.; Louis,46,4,L. BOYAVAL; L. Boyaval; Louis BOYAVAL; Louis Boyaval
clerc-l,CLERC,L.; Léon,45,4,L. CLERC; L. Clerc; Léon CLERC; Léon Clerc
thierry-j,Thierry,J.; Jean; Joseph,45,5,J. THIERRY; J. Thierry; Jean THIERRY; Jean Thierry; Joseph Thierry
bousquet-h,Bousquet,H.; Henri; Horace,44,5,H. BOUSQUET; H. Bousquet; Henri BOUSQUET; Henri Bousquet; Horace Bousquet
wibratte-l,Wibratte,L.; Louis,44,6,L. Wibratte; L. Wibratte. 17; L. Wibratte. 6; Louis WIBRATTE; Louis Wibratte; Louis Wibratte. 13
simon-s,Simon,S.; Stanislas,44,3,S. Simon; Stanislas SIMON; Stanislas Simon
bourrellis-l,Bourrellis,L.; Lucien,44,2,L. Bourrellis; Lucien Bourrellis
ferasson-l,Ferasson,L.; Louis; Louis-Henri; Lucien,44,6,L. Ferasson; L. Férasson; Louis Ferasson; Louis Férasson; Louis-Henri Férasson; Lucien Ferasson
zafiropulo-g,Zafiropulo,G.; Geoges; George; Georges,44,5,G. ZAFIROPULO; G. Zafiropulo; Geoges Zafiropulo; George Zafiropulo; Georges Zafiropulo
lippens-h,Lippens,H.; Henri,44,2,H. Lippens; Henri Lippens
maurel-l,Maurel,L.; Louis; Lucien,44,5,L. MAUREL; L. Maurel; Louis Maurel; Lucien MAUREL; Lucien Maurel
furiet-c,Furiet,C.; Ch; Ch.; Charles,44,8,C. FURIET; C. Furiet; Ch FURIET; Ch Furiet; Ch. FURIET; Ch. Furiet; Charles FURIET; Charles Furiet
vigne-j,Vigne,J.; Joseph,44,4,J. VIGNE; J. Vigne; Joseph VIGNE; Joseph Vigne
teissier-du-cros-e,Teissier du Cros,E.; Ernest,43,6,E. TEISSIER DU CROS; E. TEISSIER du CROS; E. Teissier du Cros; E. Teissier du Cros. 18; Ernest Teissier du Cros; Ernest Teissier du Cros. 8
rauzy-p,RAUZY [†],P.; Paul; Pierre,43,7,P. RAUZY; P. Rauzy; Paul RAUZY; Paul RAUZY [†]; Paul Rauzy; Paul Rauzy 1; Pierre Rauzy
ville-e,VILLE,E.; Eugène,43,4,E. VILLE; E. Ville; Eugène VILLE; Eugène Ville
guynet-w,Guynet,W.; Wiliiam; Willam; William,42,4,W. Guynet; Wiliiam Guynet; Willam Guynet; William Guynet
celier-a,Célier,A.; Alexandre,42,5,A. Celier; A. Célier; Alexandre CELIER; Alexandre Celier; Alexandre Célier
peytel-a,Peytel,A.; André; À.,42,4,A. PEYTEL; A. Peytel; André Peytel; À. Peytel
bardoux-j,BARDOUX,J.; Jacques,42,4,J. BARDOUX; J. Bardoux; Jacques BARDOUX; Jacques Bardoux
dal-piaz-j,DAL PIAZ,J.; J.-H.; John; John-Henri,41,7,J. Dal Piaz; J. Dal-Piaz; J.-H. Dal Piaz; John Dal Piaz; John Dal-Piaz; John dal Piaz; John-Henri DAL PIAZ
bonnardel-j,Bonnardel,J.; J. M.; J.-M.; Jean; Jean-Marie,41,7,J. Bonnardel; J. M. BONNARDEL; J.-M. BONNARDEL; J.-M. Bonnardel; Jean BONNARDEL; Jean Bonnardel; Jean-Marie Bonnardel
chiris-g,Chiris,G.; Georges,41,2,G. Chiris; Georges Chiris
paris,? Paris,,41,16,? Paris; PARIS); PARIS. 4; PARIS. 9; ParIs); Paris); Paris. 1; Paris. 13; Paris. 15; Paris. 2; Paris. 3; Paris. 4; Paris. 6; Paris. 9; Paris.-; Paris]
boussand-l,Boussand,L.; Lucien; Léon,41,3,L. Boussand; Lucien Boussand; Léon Boussand
le-bret-j,Le Bret,J.; Jean,41,6,J. LE BRET; J. Le Bret; Jean LE BRET; Jean Le BRET; Jean Le Bret; Jean le Bret
schwob-d-hericourt-g,Schwob d'Héricourt,G.; Georges,40,8,G. SCHWOB D HÉRICOURT; G. SCHWOB D'HERICOURT; G. SCHWOB D'HÉRICOURT; G. Schwob d'Héricourt; G. Schwob-d'Héricourt; Georges SCHWOB D'HÉRICOURT; Georges Schwob (d'Héricourt; Georges Schwob d'Héricourt
boissonnas-j,Boissonnas,J.; Jean,40,2,J. Boissonnas; Jean Boissonnas
jourdanne-a,Jourdanne,A.; Alfred,39,2,A. Jourdanne; Alfred Jourdanne
tallon-p,Tallon,P.; Paris; Pierre,39,3,P. Tallon; Paris Tallon; Pierre Tallon
bertrand-l,Bertrand,L.; Léon,39,4,L. Bertrand; Léon Bertrand; Léon Bertrand 1; Léon Bertrand. 3
urruty-f,Urruty,F.; François; Frs,39,4,F. Urruty; F. Urruty. 5; François Urruty; Frs Urruty
maurel-j,MAUREL,J.; Jacques; Jean; Joseph,39,7,J. MAUREL; J. Maurel; Jacques Maurel; Jean MAUREL; Jean Maurel; Joseph MAUREL; Joseph Maurel
level-e,Level,E.; Emile; Émile,39,5,E. Level; E. Level. 11; Emile LEVEL; Emile Level; Émile Level
allain-m,Allain,Maurice,39,2,Maurice ALLAIN; Maurice Allain
lis-a,Lis,A.; André,39,4,A. LIS; A. Lis; André LIS; André Lis
buhot-h,Buhot,H.; H.-F.-D.; Henri; Henry,38,4,H. Buhot; H.-F.-D. Buhot; Henri Buhot; Henry Buhot
epinat-j,Épinat,J.; Jean,38,3,J. Epinat; J. Épinat; Jean Épinat
gendre-e,Gendre,E.; Edouard; Édouard,38,4,E. Gendre; Edouard GENDRE; Édouard GENDRE; Édouard Gendre
guerin-a,Guérin,A.; Agénor; Albert; André,38,4,A. Guérin; Agénor Guérin; Albert Guérin; André Guérin
deschars-l,Deschars,L.; Léon,38,4,L. DESCHARS; L. Deschars; Léon DESCHARS; Léon Deschars
carnot-e,Carnot1,E.; Ernest,38,4,E. Carnot; Ernest Carnot; Ernest Carnot 1; Ernest Carnot1
michenot-e,Michenot,E.; Emile; Émile,38,3,E. Michenot; Emile Michenot; Émile Michenot
fourn-g,FOURN,G.; Gaston,38,4,G. FOURN; G. Fourn; Gaston FOURN; Gaston Fourn
angoulvant-g,Angoulvant,G.; Gabriel; Georges,38,5,G. Angoulvant; G. Angoulvant 2; Gabriel ANGOULVANT; Gabriel Angoulvant; Georges Angoulvant
arnaud-de-vogue,Arnaud de Vogüé,,38,5,Arnaud de VOGUÉ; Arnaud de VOGÜE; Arnaud de VOGÜÉ; Arnaud de Vogué; Arnaud de Vogüé
begouen-m,Begouën,Max,37,6,Max Begouen; Max Begouën; Max Begouën. 18; Max Begouën. 6; Max Bégouen; Max Bégouën
superville-m,Superville,Maurice,37,1,Maurice Superville
charbonnel-h,CHARBONNEL,H.; H.-E.; Henri; Henry,37,5,H. CHARBONNEL; H. Charbonnel; H.-E. Charbonnel; Henri Charbonnel; Henry Charbonnel
dervieu-p,Dervieu,P.; Paul,37,4,P. DERVIEU; P. Dervieu; Paul DERVIEU; Paul Dervieu
de-montgolfier-j,de Montgolfier,J.; Jean; Joseph,36,3,J. DE MONTGOLFIER; Jean de Montgolfier; Joseph de Montgolfier
gaillochet-h,Gaillochet,H.; Henri,36,2,H. Gaillochet; Henri Gaillochet
de-rivaud-r,de Rivaud,René,36,2,René de RIVAUD; René de Rivaud
loste-h,LOSTE,H.; Henri; Henry,36,5,H. Loste; H. Loste. 5; Henri Loste; Henry LOSTE; Henry Loste
vereecken-h,Vereecken,H.; Henri,36,3,H. Vereecken; Henri Vereecken; Henri Vereecken. 6
caffort-l,Caffort,L.; Louis; Léon,36,5,L. CAFFORT; L. Caffort; Louis Caffort; Léon CAFFORT; Léon Caffort
jordan-p,Jordan,P.; Paul,35,3,P. Jordan; P. Jordan. 6; Paul Jordan
gorchs-chacou-f,Gorchs-Chacou,F.; Félix,35,3,F. Gorchs-Chacou; Félix Gorchs- Chacou; Félix Gorchs-Chacou
vincent-a,Vincent,A.; André,35,2,A. Vincent; André Vincent
schwob-g,Schwob,G.; Georges,35,3,G. Schwob; Georges SCHWOB; Georges Schwob
mourgnot-p,Mourgnot,P.; Paul,35,2,P. Mourgnot; Paul Mourgnot
jullien-a,JULLIEN,A.; André; Armand,35,4,A. Jullien; André Jullien; Armand JULLIEN; Armand Jullien
anthoine-f,ANTHOINE,F.; François; François Paul,35,5,F. ANTHOINE; F. Anthoine; François ANTHOINE; François Anthoine; François Paul Anthoine
mizraki-m,Mizraki,Maurice,35,1,Maurice Mizraki
brard-r,BRARD,René,35,2,René BRARD; René Brard
de-caqueray-g,de Caqueray,Gaston; Gaston-Marie-Joseph,34,2,Gaston de Caqueray; Gaston-Marie-Joseph de Caqueray
froment-guieysse-g,Froment- Guieysse,G.; Georges,34,5,G. Froment- Guieysse; G. Froment-Guieysse; Georges FROMENT-GUIEYSSE; Georges Froment- Guieysse; Georges Froment-Guieysse
boyer-j,Boyer,J.; Jacques; Jean,34,4,J. Boyer; Jacques BOYER; Jacques Boyer; Jean Boyer
mirabaud-p,Mirabaud,P.; Paul; Pierre,34,4,P. Mirabaud; P. Mirabaud. 1; Paul Mirabaud; Pierre Mirabaud
philippar-g,Philippar,G.; Georges,34,2,G. Philippar; Georges Philippar
levy-g,LÉVY,G.; Gaston; Georges,34,6,G. Levy; G. LÉVY; G. Lévy; Gaston Levy; Gaston Lévy; Georges Levy
petithuguenin-p,Petithuguenin,P.; Paul,34,3,P. Petithuguenin; Paul PETITHUGUENIN; Paul Petithuguenin
swart-a,Swart,A.; A. G. N.; A.-G.-N.; A.G.N.,34,4,A. G. N. Swart; A. Swart; A.-G.-N. Swart; A.G.N. Swart
artaud-a,Artaud,A.; Adrien; André,33,3,A. Artaud; Adrien Artaud; André Artaud
giraud-h,Giraud,H.; Henry; Hubert,33,4,H. GIRAUD; H. Giraud; Henry Giraud; Hubert Giraud
saint-rene-taillandier-g,Saint-René Taillandier,G.; Georges,33,7,G. Saint-René Taillandier; G. Saint-René Taillandier*; G. Saint-René Taillandier. 18; G. Saint-René-Taillandier; Georges Saint- René-Taillandier; Georges Saint-René Taillandier; Georges Saint-René-Taillandier
hackenberger-p,Hackenberger,P.; Paul,33,2,P. Hackenberger; Paul Hackenberger
courcelle-j,COURCELLE,J.; Joseph,33,3,J. Courcelle; Joseph COURCELLE; Joseph Courcelle
hecquet-g,HECQUET,G.; Georges,33,4,G. HECQUET; G. Hecquet; Georges HECQUET; Georges Hecquet
moreau-e,Moreau,E.; Emile; Émile,33,4,E. Moreau; Emile Moreau; Émile MOREAU; Émile Moreau
juge-a,Juge,A.; Abel,33,2,A. Juge; Abel Juge
maxime-robert-j,MAXIME-ROBERT,J.; Jean,33,5,J. Maxime- Robert; J. Maxime-Robert; Jean MAXIME-ROBERT; Jean Maxime- Robert; Jean Maxime-Robert
pierre-c,Pierre,C.; Ch.; Charles,33,3,C. Pierre; Ch. Pierre; Charles Pierre
joubert-j,Joubert. 6,J.; J. R.; J.-R.; Jacques; Jacques-Robert; Jean,33,7,J. Joubert; J. R. Joubert; J.-R. Joubert; J.-R. Joubert. 6; Jacques Joubert; Jacques-Robert Joubert; Jean Joubert
jessula-d,Jessula,D.; David,33,3,D. Jessula; David Jessula; David Jessula 2
maspero-g,MASPERO,G.; Georges,33,4,G. MASPERO; G. Maspero; Georges MASPERO; Georges Maspero
allain,Allain,,33,2,ALLAIN; Allain
fauconnier-h,Fauconnier,H.; Henri,33,4,H. FAUCONNIER; H. Fauconnier; Henri FAUCONNIER; Henri Fauconnier
besson-l,Besson,L.; Louis; Lucien; Lucienne; Léon; Léonce,32,6,L. Besson; Louis Besson; Lucien Besson; Lucienne Besson; Léon Besson; Léonce Besson
estier-f,ESTIER,F.; François,32,3,F. ESTIER; F. Estier; François Estier
hallet-a,Hallet,A.; Adrien,32,2,A. Hallet; Adrien Hallet
de-rivaud-o,de Rivaud,O.; Olivier,32,2,O. DE RIVAUD; Olivier de Rivaud
grammont-m,Grammont,Marthe; Maxime; Maxime-Ernest,32,4,Marthe Grammont; Maxime GRAMMONT; Maxime Grammont; Maxime-Ernest Grammont
griolet-g,Griolet,G.; Gaston,31,4,G. GRIOLET; G. Griolet; Gaston GRIOLET; Gaston Griolet
colas-e,Colas,E.; Eugène,31,2,E. Colas; Eugène Colas
marchal-c,Marchal,C.; Ch.; Charles,31,4,C. Marchal; Ch. Marchal; Charles Marchal; Charles Marchal.]
guynet-d,Guynet,D.; Daniel,31,2,D. Guynet; Daniel Guynet
borgeaud-l,Borgeaud,L.; Lucien,31,2,L. Borgeaud; Lucien Borgeaud
schiaffino-l,Schiaffino,L.; Laurent,31,2,L. Schiaffino; Laurent Schiaffino
renaudin-l,RENAUDIN,L.; Louis,31,3,L. Renaudin; Louis RENAUDIN; Louis Renaudin
rigal-j,Rigal,J.; Jean; Jean-Marie,31,5,J. RIGAL; J. Rigal; Jean RIGAL; Jean Rigal; Jean-Marie Rigal
aguillon-j,Aguillon,J.; Jacques,31,2,J. Aguillon; Jacques Aguillon
thiebaut-v,Thiébaut,V.; Victor,31,4,V. Thiebaut; V. Thiébaut; Victor Thièbaut; Victor Thiébaut
deves-p,Devès,P.; P.-M.; Paul; Paul Marcel; Paul-Marcel,31,5,P. Devès; P.-M. Devès; Paul Devès; Paul Marcel Devès; Paul-Marcel Devès
davillier-j,Davillier,J.; Jean,31,2,J. Davillier; Jean Davillier
hoffet-h,Hoffet,H.; Henri,31,3,H. HOFFET; H. Hoffet; Henri Hoffet
cotte-l,COTTE,L.; Ludovic; Léon,30,5,L. COTTE; L. Cotte; Ludovic Cotte; Léon COTTE; Léon Cotte
dureault-h,Duréault,H.; Henri; Henry,30,5,H. Dureault; H. Duréault; H. Duréault 2; Henri Duréault; Henry Duréault
massena-a,Massena,A.; André,30,4,A. Massena; A. Masséna; André Massena; André Masséna
boyer,Boyer,,30,2,Boyer; …Boyer
guary-l,Guary,L.; Louis,30,2,L. Guary; Louis Guary
poilay-e,Poilay,E.; Edwin,30,3,E. Poilay; Edwin Poilay; Edwin Poilay. 7
cavadia-j,Cavadia,J.; Jean,30,2,J. Cavadia; Jean Cavadia
perben-l,PERBEN,L.; Louis,30,3,L. Perben; Louis PERBEN; Louis Perben
bonniel-a,Bonniel,A.; Albert,30,3,A. BONNIEL; A. Bonniel; Albert Bonniel
baguenault-de-puchesse-a,BAGUENAULT DE PUCHESSE,A.; André,29,3,A. Baguenault de Puchesse; André BAGUENAULT DE PUCHESSE; André Baguenault de Puchesse
jurien-de-la-graviere-p,Jurien de la Gravière,P.; Pierre,29,3,P. Jurien de la Gravière; Pierre Jurien de La Gravière; Pierre Jurien de la Gravière
beigbeder-d,Beigbeder,D.; David,29,2,D. Beigbeder; David Beigbeder
merigeault-e,Mérigeault,E.; Emilien; É.; Émilien,29,7,E. Mérigeault; E. Mérigeault [; E. Mérigeault. 16; Emilien Mérigeault; É. Merigeault; Émilien Merigeault; Émilien Mérigeault
exbrayat-j,Exbrayat,J.; Jules,29,3,J. EXBRAYAT; J. Exbrayat; Jules Exbrayat
vincent-l,Vincent,L.; Louis; Louis-Eugène; Léon,29,4,L. Vincent; Louis Vincent; Louis-Eugène Vincent; Léon Vincent
candlot-c,CANDLOT,C.; Ch; Ch.; Charles,29,5,C. Candlot; Ch Candlot; Ch. CANDLOT; Ch. Candlot; Charles Candlot
halphen-j,Halphen,J.; Jacques; Julien,29,3,J. Halphen; Jacques Halphen; Julien Halphen
de-beaumont-j,de Beaumont,Jean,29,2,Jean de Beaumont; Jean de Beaumont. 2
cahen-fuzier-e,Cahen-Fuzier,E.; Edouard; Édouard,29,4,E. Cahen-Fuzier; Edouard CAHEN-FUZIER; Edouard Cahen-Fuzier; Édouard Cahen-Fuzier
ferrant-r,Ferrant,Raymond,29,2,Raymond FERRANT; Raymond Ferrant
roubaud-p,Roubaud,P.; Paul,29,2,P. Roubaud; Paul Roubaud
goury-du-roslan-l,Goury du Roslan,L.; Louis,29,3,L. Goury du Roslan; Louis Goury du Roslan; Louis Goury du Roslan 3
lejeune-c,Lejeune,C.; Camille; Camille Charles André,29,5,C. Lejeune; C. Lejeune. 11; Camille Charles André Lejeune; Camille LEJEUNE; Camille Lejeune
allain-p,Allain 2,P.; Pierre,29,4,P. Allain; Pierre ALLAIN; Pierre Allain; Pierre Allain 2
agabriel-l,Agabriel,L.; Louis,29,4,L. AGABRIEL; L. Agabriel; Louis AGABRIEL; Louis Agabriel
maggiar-a,Maggiar,A.; André,29,5,A. Maggiar; A. Maggiar. 25; André MAGGIAR; André Maggiar; André Maggiar 3
robellaz-f,Robellaz,F.; Fernand; Fernand-Georges-Charles- Emmanuel,28,3,F. Robellaz; Fernand Robellaz; Fernand-Georges-Charles- Emmanuel Robellaz
berger-h,Berger,H.; Henri,28,2,H. Berger; Henri Berger
incertains-r,incertains,Renseignements,28,1,Renseignements incertains
chapuis-h,Chapuis,H.; Henri,28,3,H. CHAPUIS; H. Chapuis; Henri Chapuis
calcat-f,Calcat,F.; Ferdinand; Fernand,28,3,F. Calcat; Ferdinand Calcat; Fernand Calcat
durand-reville-l,Durand-Reville,L.; Luc,28,5,L. Durand-Reville; L. Durand-Réville; Luc Durand- Réville; Luc Durand-Reville; Luc Durand-Réville
osterrieth-p,Osterrieth,P.; Paul,28,2,P. Osterrieth; Paul Osterrieth
villars-r,VILLARS,René,28,3,René VILLARS; René Villars; René Villars. 7
naud-j,Naud,J.; Joseph,28,4,J. NAUD; J. Naud; Joseph NAUD; Joseph Naud
hadengue-y,Hadengue,Y.; Yves,28,4,Y. HADENGUE; Y. Hadengue; Yves HADENGUE; Yves Hadengue
luc-a,Luc,A.; Achille; Albert,28,5,A. Luc; Achille Luc; Albert LUC; Albert Luc; Albert Luc […]
fontaine-e,Fontaine,E.; E. L. E.; E. P.; E.P.; Em; Emile; Eugène; Émile,28,10,E. FONTAINE; E. Fontaine; E. L. E. Fontaine; E. P. Fontaine; E.P. Fontaine; Em Fontaine; Emile FONTAINE; Eugène Fontaine; Émile FONTAINE; Émile Fontaine
laurent-atthalin-a,Laurent-Atthalin,A.; André,27,3,A. Laurent-Atthalin; André Laurent- Atthalin; André Laurent-Atthalin
tanon-a,Tanon,A.; Albert,27,2,A. Tanon; Albert Tanon
prangey-h,Prangey,H.; Henri; Henry,27,4,H. Prangey; Henri PRANGEY; Henri Prangey; Henry Prangey
boulogne-g,Boulogne,G.; Gaston,27,2,G. Boulogne; Gaston Boulogne
pallier-j,PALLIER,J.; Jean,27,3,J. Pallier; Jean PALLIER; Jean Pallier
schwob-d-hericourt-j,Schwob d'Héricourt,J.; J.-G.; James; Jean,27,5,J. Schwob d'Héricourt; J. Schwob-d'Héricourt; J.-G. Schwob d'Héricourt; James Schwob d'Héricourt; Jean Schwob d'Héricourt
bernard-l,Bernard,L.; Louis; Lucien; Léon,27,4,L. Bernard; Louis Bernard; Lucien Bernard; Léon Bernard
