company_key,name,n_mentions,first_doc_id
ouenza,OUENZA,57,afrique-du-nord-ann-indus-1925-alg-509f9d
messageriesafricaines,Messageries africaines,57,afrique-occidentale-aec-1922-aof-togo-9cef7c
cheminfertranssaharien,Chemin de fer transsaharien,56,afrique-du-nord-ch-fer-transsaharien-b5c2ae
minierecongomindouli,"Cie Minière du Congo français, Mindouli",56,afrique-equatoriale-cmcf-1905-1921-701e61
comptoirsnumidiens,Comptoirs numidiens,55,afrique-du-nord-comptoirs-numidiens-a98509
immobilierehoteliereafriquenord,Société Immobilière et hôteliere de l'Afrique du Nord,55,afrique-du-nord-immob-hoteliere-afn-b84ca0
omnibusmessageriesalgerie,Omnibus et messageries de l'Algérie,55,afrique-du-nord-omnibus-et-messageries-algerie-5d70ad
reseauaerientransafricain,Société du Réseau aérien transafricain,54,afrique-du-nord-reseau-aerien-transafricain-e72565
culturesbananeraieskinsan,Société de cultures et bananeraies du Kin-San,53,afrique-occidentale-aec-1937-aof-togo-879c40
cheminferthiesniger,Chemin de fer Thiès-Niger,52,afrique-occidentale-chfer-thies-niger-50b513
dalmatienne,Dalmatienne,51,afrique-du-nord-dalmatienne-45828b
zincguergour,Zinc du Guergour,51,afrique-du-nord-mines-zinc-guergour-7c9539
creditfoncierouestafricain,Crédit foncier de l'Ouest africain,51,afrique-occidentale-aec-1951-aof-togo-9a864d
minesouastamesloula,Cie des MINES D'OUASTA ET MESLOULA,50,afrique-du-nord-ann-indus-1925-alg-509f9d
djebeldjerissa,DJEBEL-DJERISSA,50,afrique-du-nord-ann-indus-1925-tunisie-d7c1f4
banquealgerie,BANQUE DE L'ALGERIE,50,afrique-du-nord-banque-de-l-algerie-de58aa
gazregiecointeresseeeauxtunis,Compagnie du Gaz et régie co-intéressée des eaux de Tunis,50,afrique-du-nord-gaz-et-eaux-tunis-076ef6
unionelectriquegaziereafriquenord,Union électrique et gazière de l'Afrique du Nord,50,afrique-du-nord-un-electrique-gaziere-afn-1eb111
listefrancsmaconsaefcamerounstigmatisesparregimevichy,Liste des francs-maçons d'AEF et du Cameroun stigmatisés par le régime de Vichy,50,afrique-equatoriale-francmacs-joef-aef-22d8e6
grandstravauxafricains,Grands Travaux africains,50,afrique-occidentale-aec-1937-aof-togo-879c40
jourdan,Jourdan,49,afrique-du-nord-adolphe-jourdan-1846-1916-d7557f
algeriennemines,Société Algérienne de mines,49,afrique-du-nord-algerienne-de-mines-445128
tramwaysalgeriens,TRAMWAYS ALGÉRIENS,49,afrique-du-nord-ann-indus-1925-alg-509f9d
contributionhistoirepechetunisie,Contribution à l'histoire de la pêche en Tunisie,49,afrique-du-nord-histoire-peche-tunisie-1b209e
tunisiennecultures,Société Tunisienne de cultures,49,afrique-du-nord-tunisienne-cultures-39bf25
forestiereindenie,Cie forestière de l'Indénié,49,afrique-occidentale-aec-1926-aof-togo-b4d838
banqueitalienneescomptebancaitalianadiscontorome,"Banque italienne d'escompte Banca italiana di sconto, Rome",48,afrique-du-nord-banca-italiana-di-sconto-3b76ca
gafsa,Gafsa,48,afrique-du-nord-gafsa-phosphates-63eaa1
minesgarnalfaya,Mines de Garn-Alfaya,48,afrique-du-nord-mines-de-garn-alfaya-d1676a
tramwayselectriquesoran,Tramways électriques d'Oran,48,afrique-du-nord-tramways-electriques-oran-9a3837
culturecotonniereniger,Cie de culture cotonnière du Niger,48,afrique-occidentale-aec-1922-aof-togo-9cef7c
culturesdiakandape,Société anon. des cultures de Diakandapé,48,afrique-occidentale-aec-1922-aof-togo-9cef7c
minesbouarfa,Société anon. des mines de Bou-Arfa,47,afrique-du-nord-aec-1926-maroc-e65b4d
industrieminieretunisie,L'industrie minière en Tunisie,47,afrique-du-nord-mines-tunisie-1892-1937-c36541
comptoirssenegalais,Comptoirs Sénégalais,46,afrique-occidentale-aec-1926-aof-togo-b4d838
chavanel,CHAVANEL,46,afrique-occidentale-ann-indus-1925-aof-2ae958
misevaleurvalleeniger,Mise en valeur de la vallée du Niger,46,afrique-occidentale-irrigation-niger-1919-1931-85b755
domainepotinville,Domaine de Potinville,45,afrique-du-nord-domaine-de-potinville-b17e9e
exploitationsminierestunisie,Exploitations minières en Tunisie,45,afrique-du-nord-exploitations-minieres-tunisie-84a956
distributionenergieelectrique,Compagnie Générale de Distribution d'énergie électrique,45,afrique-du-nord-gen-distribution-energie-elec-621d8c
phosphatessuperphospahtestebbaka,Société des Phosphates et superphospahtes de Tebbaka,45,afrique-du-nord-phosphates-de-tebbaka-e87418
hautbascongo,Cie française du Haut et du Bas-Congo,45,afrique-equatoriale-aec-1937-aef-cameroun-7a7058
plantationstanoe,Société des plantations de la Tanoé,45,afrique-occidentale-aec-1926-aof-togo-b4d838
cotonsproduitsagricolesalgeriensalgeraligathamboufarikcotonlin,"Compagnie française des Cotons et produits agricoles algériens, Alger, Ali-Gatham, Boufarik… Coton, lin…",44,afrique-du-nord-cotons-et-produits-agricoles-algeriens-7e3f24
creditagricolecommercialalgeriencommanditeparactions,"Crédit agricole et commercial algérien, société en commandite par actions, puis Crédit agricole, commercial et industriel algérien, S.A",44,afrique-du-nord-credagricomindus-algerien-1942f0
fabrefreresfabrefreresvinsonfabrefreresleonfabre,"Fabre frères, Fabre frères et Vinson, Fabre frères et Cie, Léon Fabre et Cie",44,afrique-du-nord-fabre-freres-et-vinson-f219d2
francecongofrancecongofrancecongo,"France-Congo, France-Congo, Nouvelle Société France-Congo",44,afrique-equatoriale-france-congo-1919-1939-f2da2d
minesfermauritanie,Mines de fer de Mauritanie,44,afrique-occidentale-miferma-1952-1974-9b803c
boyoudcelestinfilsjulesboyoudfreresjulesboyoudlouisvaillsatelierjulesboyoudmobilia,Boyoud; Célestin fils et Jules Boyoud frères; Jules Boyoud & Louis Vaills; Atelier Jules Boyoud-Mobilia,43,afrique-du-nord-celestin-boyoud-alger-9b752c
parlierkruger,"Parlier et Krüger, puis Parlier et Fermaud",43,afrique-du-nord-parlier-et-kruger-alger-7244c0
unionphosphatesrhirastocqueville,Union des Phosphates des Rhiras et de Tocqueville,43,afrique-du-nord-phosphates-rhiras-tocqueville-c44577
portsmarocains,Ports marocains,43,afrique-du-nord-ports-mehedya-et-rabat-ec71cb
companhiamossamedesoumossamedes,Companhia de Mossamedes ou Compagnie de Mossamédès,43,afrique-equatoriale-compagnie-de-mossamedes-3960b0
banquealgeriebanquealgerietunisiebanquealgerie,"Banque de l'Algérie, Banque de l'Algérie et de la Tunisie, Banque de l'Algérie",42,afrique-du-nord-banque-de-l-algerie-de58aa
banqueafriqueequatoriale,"Banque française de l'Afrique équatoriale, puis Banque française de l'Afrique. Suite de la Société française industrielle et coloniale",42,afrique-equatoriale-bq-frse-afrique-7c1621
minierefrancotunisienne,Cie MINIÈRE FRANCO-TUNISIENNE,41,afrique-du-nord-ann-indus-1925-tunisie-d7c1f4
domainechapeaugendarme,Domaine du Chapeau de Gendarme,41,afrique-du-nord-domaine-chapeau-gendarme-151a1f
domainelismara,Domaine de Lismara,41,afrique-du-nord-domaine-de-lismara-20f171
mineraisferdjebelanini,Compagnie des minerais de fer du Djebel-Anini,41,afrique-du-nord-minerais-fer-djebel-anini-5ecd8d
navigationcotierealgerienne,"Navigation côtière algérienne, puis Entreprise d'acconage et de remorquage Ch. Schiaffino & Cie",41,afrique-du-nord-navig-cotiere-algerienne-354346
extensionportnemours,Société pour l'extension du Port de Nemours,41,afrique-du-nord-port-de-nemours-3cc009
internationaleentreprisesexploitationselectriques,Société Internationale d'entreprises et exploitations électriques,41,afrique-du-nord-sieee-mascara-651f11
unionfabriquesengraisproduitschimiquessuperphosphates,"Union française de fabriques d'engrais, de produits chimiques et de superphosphates, puis Union française d'engrais et de produits chimiques",41,afrique-du-nord-uffepcs-cdeb84
kotto,Kotto,41,afrique-equatoriale-aec-1922-aef-cameroun-8e0ebc
molybdene,Société Le Molybdène,40,afrique-du-nord-aec-1937-maroc-dfc464
portmostaganem,Port de Mostaganem,40,afrique-du-nord-port-de-mostaganem-8c8af4
eauxelectriciteouestafricain,Compagnie des eaux et électricité de l'Ouest africain,40,afrique-occidentale-aec-1937-aof-togo-879c40
banquesenegal,Banque du Sénégal,40,afrique-occidentale-banque-du-senegal-41db0b
banquecommercialemaroc,Banque commerciale du Maroc,39,afrique-du-nord-aec-1922-maroc-ba808c
minesferbeniaicha,Société des mines de fer de Beni-Aïcha,39,afrique-du-nord-aec-1926-maroc-e65b4d
bateauxvapeurnord,Cie des BATEAUX A VAPEUR DU NORD,39,afrique-du-nord-ann-indus-1925-alg-509f9d
liegeshamendaspetitekabylie,LIÈGES DES HAMENDAS ET DE LA PETITE KABYLIE,39,afrique-du-nord-ann-indus-1925-alg-509f9d
phosphatesmzaita,Cie des PHOSPHATES DU M'ZAITA,39,afrique-du-nord-ann-indus-1925-alg-509f9d
unionforestiereafricaine,Union forestière africaine,39,afrique-equatoriale-aec-1937-aef-cameroun-7a7058
energieelectriquemaroc,Énergie électrique du Maroc,38,afrique-du-nord-aec-1926-maroc-e65b4d
minesentifa,Société des mines d'Entifa,38,afrique-du-nord-aec-1926-maroc-e65b4d
algerienneeclairageforce,Société Algérienne d'éclairage et de force,38,afrique-du-nord-alger-eclairage-force-dcbf2c
minesferlarrath,Cie des MINES DE FER DE LARRATH,38,afrique-du-nord-ann-indus-1925-alg-509f9d
portcasablanca,Port de Casablanca,38,afrique-du-nord-port-de-casablanca-016b35
tabacsmaroc,Tabacs au Maroc,38,afrique-du-nord-tabacs-au-maroc-7a9e5c
bordelaisecomptoirsafricains,Cie bordelaise des COMPTOIRS AFRICAINS,38,afrique-equatoriale-ann-indus-1925-aef-bf6791
minesouedoudina,Société des Mines de l'Oued Oudina,37,afrique-du-nord-aec-1937-maroc-dfc464
huileriessaheltunisien,HUILERIES DU SAHEL TUNISIEN,37,afrique-du-nord-ann-indus-1925-tunisie-d7c1f4
etudesouenza,Société d'Études de l'Ouenza,37,afrique-du-nord-etudes-de-l-ouenza-e55cf6
filtreriefrancoalgerienne,Filtrerie franco-algérienne,37,afrique-du-nord-filtrerie-fr-algerienne-29befe
froidsec,Cie française du Froid sec,37,afrique-du-nord-francaise-froid-sec-60c5d6
agricoleindustriellesudalgerien,Société Agricole et Industrielle du Sud-Algérien,37,afrique-du-nord-saisa-b2ed68
taourel,Taourel,37,afrique-du-nord-taourel-oran-alger-29d27a
gabon,Compagnie française du Gabon,37,afrique-equatoriale-aec-1951-aef-cameroun-6d0821
minesfaleme,Mines de Falémé,37,afrique-occidentale-faleme-gambie-e989de
minieremzaita,Compagnie minière du M'Zaïta,36,afrique-du-nord-aec-1937-maroc-dfc464
minesfer,MINES DE FER,36,afrique-du-nord-ann-indus-1925-alg-509f9d
phosphatestunisiens,PHOSPHATES TUNISIENS,36,afrique-du-nord-ann-indus-1938-tunisie-06d5aa
galeriesfrance,Galeries de France,36,afrique-du-nord-galeries-de-france-alger-d2619a
glacieresrazelainoran,"Glacières de Raz-el-Aïn, Oran, puis Entrepôts frigorifiques et glacières de l'Oranie",36,afrique-du-nord-glacieres-raz-el-ain-494262
grandsdomainesfrancealgerietunisie,"Grands Domaines de France, d'Algérie et de Tunisie",36,afrique-du-nord-grands-domaines-france-algerie-1a64ae
minesferrouina,Société des mines de fer Rouina,36,afrique-du-nord-mines-fer-rouina-7ad753
narbonne,Narbonne,36,afrique-du-nord-minoterie-narbonne-hussein-dey-2231d4
porttunis,Port de Tunis,36,afrique-du-nord-port-de-tunis-1885-1893-729f3d
heckmannalgertuniscasablancaagentmaritimearmateurvoyagiste,"Heckmann, Alger, Tunis, Casablanca… Agent maritime, armateur, voyagiste",36,afrique-du-nord-richard-heckmann-1893-1914-704a1a
hautcongo,Cie française du Haut-Congo,36,afrique-equatoriale-aec-1922-aef-cameroun-8e0ebc
agricoleforestiereindustrielleafrique,"Société agricole, forestière et industrielle pour l'Afrique",36,afrique-equatoriale-aec-1926-aef-cameroun-855b28
minesfalemegambie,Cie des mines de Falémé-Gambie,36,afrique-occidentale-aec-1922-aof-togo-9cef7c
coteivoiresousgouverneurgastonmondon,Côte d'Ivoire sous le gouverneur Gaston Mondon,36,afrique-occidentale-mondon-1936-1939-5c359d
maroc,Cie générale du Maroc,35,afrique-du-nord-aec-1922-maroc-ba808c
polietchaussonmaroc,Poliet-Chausson-Maroc,35,afrique-du-nord-aec-1937-maroc-dfc464
recherchesminieresfalta,Société de recherches minières du Falta,35,afrique-du-nord-aec-1937-maroc-dfc464
medaillestravailalgerie,Médaillés du travail en Algérie,35,afrique-du-nord-medailles-du-travail-algerie-d94dcf
pastoralecommercialeafricaine,Cie Pastorale et commerciale africaine,35,afrique-equatoriale-aec-1926-aef-cameroun-855b28
tabacscameroun,Cie des tabacs du Cameroun,35,afrique-equatoriale-aec-1926-aef-cameroun-855b28
pariscongo,Paris-Congo,35,afrique-equatoriale-aec-1926-aef-cameroun-855b28
commercialesanghaoubangui,Cie commerciale Sangha-Oubangui,35,afrique-equatoriale-aec-1937-aef-cameroun-7a7058
cotonniereequatoriale,Cie cotonnière équatoriale française,35,afrique-equatoriale-aec-1937-aef-cameroun-7a7058
commercialeafricainesuitepascalbuhan,"Nouvelle Société commerciale africaine, suite de Pascal Buhan et Cie",35,afrique-occidentale-nosoco-e5bb35
minesbouthaleb,MINES DU BOU-THALEB,34,afrique-du-nord-ann-indus-1925-alg-509f9d
banqueindustrielleafriquenord,Banque industrielle de l'Afrique du Nord,34,afrique-du-nord-bq-industrielle-afrique-du-nord-065e26
charbonnagesdjerada,"Charbonnages de Djerada, puis Charbonnages nord-africains",34,afrique-du-nord-charbonnages-de-djerada-ebbec3
gyrafriquenord,"Gyrafrique-Nord, puis Agricolair",34,afrique-du-nord-gyrafrique-nord-76d648
huileriessavonneriesalgeriennes,"Huileries et savonneries algériennes, puis Huilerie et savonnerie de Kabylie, Mirabeau",34,afrique-du-nord-huilerie-et-savonnerie-de-kabylie-c898fc
minesraselma,Société des mines de Ras-el-Ma,34,afrique-du-nord-mines-de-ras-el-ma-1e53d9
financierecongo,Société financière du Congo français,34,afrique-equatoriale-aec-1937-aef-cameroun-7a7058
missionmarchandoumissioncongonil,Mission Marchand ou Mission Congo-Nil,34,afrique-equatoriale-mission-marchand-b086fc
agricolealgerienne,Société AGRICOLE ALGÉRIENNE,33,afrique-du-nord-ann-indus-1925-alg-509f9d
chauxhydrauliquescimentsalgerie,Chaux hydrauliques et ciments d'Algérie,33,afrique-du-nord-chaux-ciments-algerie-bougie-b5a3c6
fusionneeliegeshamendaspetitekabylie,Société fusionnée des Lièges des Hamendas et de Petite-Kabylie,33,afrique-du-nord-lieges-hpk-3087af
minesainbarbarcuivrezincgaleneargentifere,"Compagnie des mines d'Aïn-Barbar, cuivre, zinc, galène argentifère",33,afrique-du-nord-mines-d-ain-barbar-abe0dd
minesmouzaia,Mines de Mouzaïa,33,afrique-du-nord-mines-mouzaia-1891-1912-0ab23e
soudanaise,Cie Soudanaise,33,afrique-equatoriale-aec-1951-aef-cameroun-6d0821
comptoirsimportationexportationcongocameroun,Société des comptoirs d'importation et d'exportation Congo-Cameroun,33,afrique-equatoriale-congo-cameroun-impex-b8db19
constructionsgeneralesafrique,Cie de constructions générales en Afrique française,33,afrique-occidentale-aec-1951-aof-togo-9a864d
verdier,Verdier,33,afrique-occidentale-arthur-verdier-db38c9
senegalaisephosphatestaiba,Compagnie sénégalaise des Phosphates de Taïba,33,afrique-occidentale-phosphates-de-taiba-c42c99
foncieremarocaine,Sté foncière marocaine,32,afrique-du-nord-aec-1922-maroc-ba808c
biskraouedrirh,Compagnie de Biskra et de l'Oued-Rirh,32,afrique-du-nord-biskra-et-oued-rirh-d11692
banquefrancoalgerienne,Banque franco-algérienne,32,afrique-du-nord-bq-franco-algerienne-a2fa8b
graengesberg,Graengesberg,32,afrique-du-nord-graengesberg-suede-16ec90
viticoleamourahdollfusville,"Société Viticole d'Amourah, Dollfusville",32,afrique-du-nord-viticole-d-amourah-7bdab9
equateur,Cie générale de l'Équateur,32,afrique-equatoriale-aec-1937-aef-cameroun-7a7058
importationboisexotiques,Société d'importation de bois exotiques,32,afrique-occidentale-aec-1922-aof-togo-9cef7c
boissassandra,Société des Bois de Sassandra,32,afrique-occidentale-bois-de-sassandra-b7c1ff
portabidjanvridi,Port d'Abidjan-Vridi,32,afrique-occidentale-port-d-abidjan-5f3d68
chargeursalgeriensreunis,Chargeurs algériens réunis,31,afrique-du-nord-chargeurs-algeriens-reunis-43ffea
chauxcimentsrivetalger,Chaux et ciments de Rivet-Alger,31,afrique-du-nord-chaux-ciments-rivet-1900-1922-18575c
industriellepetrolesafriquenord,Compagnie Industrielle des Pétroles de l'Afrique du Nord,31,afrique-du-nord-industrielle-petroles-afn-8324c4
vignoblesmediterranee,VIGNOBLES DE LA MÉDITERRANÉE,31,afrique-du-nord-vignobles-mediterranee-3c9663
secteurelectriquevoutesalger,Secteur électrique des Voûtes d'Alger,31,afrique-du-nord-voutes-d-alger-be61fd
plantationspalmeraiesogooue,Cie générale des plantations et palmeraies de l'Ogooué,31,afrique-equatoriale-aec-1937-aef-cameroun-7a7058
caoutchoucscacaoscameroun,Caoutchoucs et cacaos du Cameroun,31,afrique-equatoriale-aec-1937-aef-cameroun-7a7058
nationaletonneliere,"Société Nationale Tonnelière, puis Nationale du Cameroun",31,afrique-equatoriale-nationale-du-cameroun-cb1216
portpointenoire,Port de Pointe-Noire,31,afrique-equatoriale-port-de-pointe-noire-96ac7b
comptoirsreunisouestafricain,Comptoirs réunis de l'Ouest-Africain,31,afrique-occidentale-aec-1922-aof-togo-9cef7c
