company_id,name,territory,n_territories,all_territories,sector,sector_group,sector_group_en,sector_raw,n_directors,n_connected,share_connected,connection_tier,connection_tier_name,has_executive,has_legislature,has_administration,has_local,has_proxy,n_executive,n_legislature,n_administration,n_local,n_proxy,has_sitting,has_former,n_sitting,n_former,n_testable,n_concurrent,n_connected_neighbours,indirect_only,first_connection_year,last_connection_year,confidence,connected_directors
aeroclubabidjan,Aéro-Club d'Abidjan,Côte d'Ivoire,1,Côte d'Ivoire,Transports,transport,"Transport, ports and docks",Transports,1,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
aeroclubnordindochineailestonkinoisesreunishanoigialamavecleursantecedents,"Aéro-club du Nord-Indochine et Ailes tonkinoises réunis, Hanoï, Gialam. Avec leurs antécédents",Indochine,1,Indochine,Sports,transport,"Transport, ports and docks",Sports,5,1,0.2000,4,executive,1,0,1,0,0,1,0,1,0,0,1,0,2,0,0,0,2,0,1942,1942,low,Wintrebert
aeromaritime,Aéromaritime,,0,,Sociétés diverses,unclassified,Unclassified,Sociétés diverses,2,1,0.5000,1,local_or_proxy,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,9,0,1936,1936,medium,Alexis Baptifaut
aeronautique,"Société générale aéronautique, puis Moteurs et automobiles Lorraine",,0,,Groupes financiers transcoloniaux,finance,"Banking, finance and insurance",Groupes financiers transcoloniaux,12,1,0.0833,3,legislature,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,39,0,1936,1936,low,Edmond Giscard d'Estaing
aeronautiqueextremeorient,Compagnie Aéronautique Française d’Extrême-Orient,Indochine,1,Indochine,Documents généraux (par ordre chronologique),transport,"Transport, ports and docks","Transports fluviaux, maritimes et aériens",8,1,0.1250,2,administration,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,20,0,1922,1922,medium,Édouard BOURCIER SAINT-CHAFFRAY
aeropostale,Compagnie générale Aéropostale,,0,,Transports aériens,transport,"Transport, ports and docks",Transports aériens,10,1,0.1000,3,legislature,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,20,0,1929,1931,low,Bouilloux-Lafont
affichesgaillard,Affiches Gaillard,,0,,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),4,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,,
affinagemetaux,Société d’affinage des métaux,Afrique occidentale française,6,Afrique occidentale française; Afrique équatoriale française; Algérie; Indochine; Maroc; Tunisie,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),9,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,,,,
affreteurs,Affréteurs français,,0,,Documents généraux (par ordre chronologique),transport,"Transport, ports and docks",Transports maritimes,5,1,0.2000,4,executive,1,0,1,0,0,1,0,1,0,0,1,1,2,1,0,0,13,0,1924,1924,high,Henri Duréault
affreteursindochinois,"Affréteurs indochinois, puis Affréteurs maritimes indochinois",Indochine,1,Indochine,"Banque, gérance, assurances…",finance,"Banking, finance and insurance","Banque, gérance, assurances…",6,1,0.1667,2,administration,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,5,0,1928,1928,low,Darles
affreteursmaritimesindochinois,Société « Les Affréteurs maritimes indochinois »,Indochine,1,Indochine,Documents généraux (par ordre chronologique),transport,"Transport, ports and docks","Transports fluviaux, maritimes et aériens. Ports, phares",4,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,,
affreteursreunis,Affréteurs réunis,Afrique occidentale française,1,Afrique occidentale française,Documents généraux (par ordre chronologique),transport,"Transport, ports and docks",Transports maritimes,44,4,0.0909,4,executive,1,1,1,1,0,1,1,1,1,0,1,0,4,0,0,0,76,0,1912,1936,high,Giraud; Jean Sthul; Philibert; Stern
africaine,L'Africaine,Afrique occidentale française,4,Afrique occidentale française; Afrique équatoriale française; Gabon; Maroc,Commerce,trade,Trade and commerce,Commerce,63,2,0.0317,2,administration,0,0,1,1,0,0,0,1,1,0,1,0,2,0,0,0,90,0,1921,1931,medium,Jean Weber; Pierre Thureau-Dangin
africaineagricoleminiere,Compagnie africaine agricole et minière,Maroc,1,Maroc,"Banques, groupes financiers, assureurs",finance,"Banking, finance and insurance","Banques, groupes financiers, assureurs",12,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,,,,
africaineappareilsmanutention,Société africaine d'appareils de manutention,Maroc,1,Maroc,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),3,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,,
