doc_id,pdf_url,entry_type,name_listed,name_normalised,acronym,alias,principal_name,place_listed,legal_form_listed,year_start,year_end,person_surname,person_given,birth_year,death_year,region,country,sector,group_path,group_depth,all_regions,all_sectors,n_listings,qualifiers,note,source_page,title_raw
afrique-du-nord-aec-1949-maroc-26af61,https://entreprises-coloniales.fr/afrique-du-nord/AEC_1949-Maroc.pdf,source_document,Annuaire des entreprises coloniales 1949,Annuaire des entreprises coloniales 1949,,,,,,,,,,,,Maroc,Maroc,Documents généraux (par ordre chronologique),,0,Maroc,Documents généraux (par ordre chronologique),1,,Maroc,maroc.html,Annuaire des entreprises coloniales 1949 : Maroc
afrique-du-nord-aec-1951-maroc-0655fe,https://entreprises-coloniales.fr/afrique-du-nord/AEC_1951-Maroc.pdf,source_document,Annuaire des entreprises coloniales 1951,Annuaire des entreprises coloniales 1951,,,,,,,,,,,,Maroc,Maroc,Documents généraux (par ordre chronologique),,0,Maroc,Documents généraux (par ordre chronologique),1,,Maroc,maroc.html,Annuaire des entreprises coloniales 1951 : Maroc
afrique-du-nord-africaine-cultures-indus-82471f,https://entreprises-coloniales.fr/afrique-du-nord/Africaine_cultures_indus.pdf,company,"Africaine de cultures industrielles (Compagnie), Orléansville",Compagnie Africaine de cultures industrielles,,,,Orléansville,,,,,,,,Algerie,Algérie,Industries agro-alimentaires,,0,Algerie,Industries agro-alimentaires,1,Compagnie,,algerie.html,"Africaine de cultures industrielles (Compagnie), Orléansville"
afrique-du-nord-africaine-de-distilleries-f5e3bd,https://entreprises-coloniales.fr/afrique-du-nord/Africaine_de_Distilleries.pdf,company,"Africaine de Distilleries (Société)(Pernod), Casablanca",Société Africaine de Distilleries,,Pernod,,Casablanca,,,,,,,,Maroc,Maroc,Industries agro-alimentaires,,0,Maroc,Industries agro-alimentaires,1,Société; Pernod,,maroc.html,"Africaine de Distilleries (Société)(Pernod), Casablanca"
afrique-du-nord-africaine-de-travaux-d104a1,https://entreprises-coloniales.fr/afrique-du-nord/Africaine_de_Travaux.pdf,company,"Africaine de Travaux (Société)(S.A., 1924), Alger, puis Oran",Société Africaine de Travaux,,,,Alger; puis Oran,S.A,1924,,,,,,Algerie,Algérie,"Bâtiment et travaux publics, matériaux de construction, céramique",,0,Algerie,"Bâtiment et travaux publics, matériaux de construction, céramique",1,"Société; S.A., 1924",,algerie.html,"Africaine de Travaux (Société)(S.A., 1924), Alger, puis Oran"
afrique-du-nord-africaine-industrielle-automobile-4bef1f,https://entreprises-coloniales.fr/afrique-du-nord/Africaine_industrielle+automobile.pdf,company,"Africaine Industrielle et Automobile (Société), Casablanca",Société Africaine Industrielle et Automobile,,,,Casablanca,,,,,,,,Maroc,Maroc,Commerce,,0,Maroc,"Commerce; Transports terrestres, garages automobiles et agricoles",2,Société,"négoce de quincaillerie, matériel électrique, moteurs industriels, automobiles",maroc.html,"Africaine Industrielle et Automobile (Société), Casablanca : négoce de quincaillerie, matériel électrique, moteurs industriels, automobiles"
afrique-du-nord-africaine-liege-alger-71b003,https://entreprises-coloniales.fr/afrique-du-nord/Africaine_Liege-Alger.pdf,company,"Africaine du Liège (Compagnie), Alger, Hussein-Dey, Azazga","Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga",,,,,,,,,,,,Algerie,Algérie,"Filière bois : exploitation forestière, liège, meubles, cellulose, papier…",,0,Algerie,"Filière bois : exploitation forestière, liège, meubles, cellulose, papier…",1,Compagnie,,algerie.html,"Africaine du Liège (Compagnie), Alger, Hussein-Dey, Azazga"
afrique-du-nord-africaine-mines-et-transports-b3ef7b,https://entreprises-coloniales.fr/afrique-du-nord/Africaine_Mines_et_transports.pdf,company,Africaine de Mines et transports (Société)(ex-Concessionnaire des mines d'Ouenza),Société Africaine de Mines et transports,,ex-Concessionnaire des mines d'Ouenza,,,,,,,,,,Algerie,Algérie,Mines et carrières,,0,Algerie,Mines et carrières,1,Société; ex-Concessionnaire des mines d'Ouenza,,algerie.html,Africaine de Mines et transports (Société)(ex-Concessionnaire des mines d'Ouenza)
afrique-du-nord-africaine-mines-marseille-4977e7,https://entreprises-coloniales.fr/afrique-du-nord/Africaine_Mines-Marseille.pdf,company,Africaine de Mines (Société)(1900-1903),Société Africaine de Mines,,,,,,1900,1903,,,,,Algerie,Algérie,Mines et carrières,,0,Algerie,Mines et carrières,1,Société; 1900-1903,mines de l'Ouenza et de Mesloula,algerie.html,Africaine de Mines (Société)(1900-1903) : mines de l'Ouenza et de Mesloula
afrique-du-nord-afrique-et-congo-fouka-57b69f,https://entreprises-coloniales.fr/afrique-du-nord/Afrique_et_Congo-Fouka.pdf,company,Afrique et Congo,Afrique et Congo,,,,,,,,,,,,Algerie,Algérie,Industries chimiques,,0,Algerie,Industries chimiques,1,,usine de tartre de Fouka (Algérois),algerie.html,Afrique et Congo : usine de tartre de Fouka (Algérois)
afrique-du-nord-afrique-francaise-alger-6d5f90,https://entreprises-coloniales.fr/afrique-du-nord/Afrique_francaise-Alger.pdf,company,"Afrique française (L')(1887), Alger",L'Afrique française,,,,Alger,,1887,,,,,,Algerie,Algérie,"Banques et groupes financiers, assurances",,0,Algerie,"Banques et groupes financiers, assurances",1,L'; 1887,assurances,algerie.html,"Afrique française (L')(1887), Alger : assurances"
afrique-du-nord-agence-marocaine-publicite-0f0e34,https://entreprises-coloniales.fr/afrique-du-nord/Agence_marocaine_publicite.pdf,company,"Agence marocaine de publicite et d’informations, Casablanca",Agence marocaine de publicite et d’informations,,,,Casablanca,,,,,,,,Maroc,Maroc,"Imprimerie, presse, édition",,0,Maroc,"Imprimerie, presse, édition",1,,,maroc.html,"Agence marocaine de publicite et d’informations, Casablanca"
afrique-du-nord-agric-comm-indus-marocaine-48ac0e,https://entreprises-coloniales.fr/afrique-du-nord/Agric._Comm._Indus._Marocaine.pdf,company,"Agricole, Commerciale, Industrielle Marocaine (Compagnie)(CACIM)","Compagnie Agricole, Commerciale, Industrielle Marocaine",CACIM,,,,,,,,,,,Maroc,Maroc,Industries agro-alimentaires,,0,Maroc,Industries agro-alimentaires,1,Compagnie; CACIM,,maroc.html,"Agricole, Commerciale, Industrielle Marocaine (Compagnie)(CACIM)"
afrique-du-nord-agricole-des-doukkala-388559,https://entreprises-coloniales.fr/afrique-du-nord/Agricole_des_Doukkala.pdf,company,"Agricole des Doukkala (Société)(S.A., 1926)",Société Agricole des Doukkala,,,,,S.A,1926,,,,,,Maroc,Maroc,Industries agro-alimentaires,,0,Maroc,Industries agro-alimentaires,1,"Société; S.A., 1926",plantation de tara tannifère,maroc.html,"Agricole des Doukkala (Société)(S.A., 1926) : plantation de tara tannifère"
afrique-du-nord-agricole-du-maroc-1910-1931-a6ff78,https://entreprises-coloniales.fr/afrique-du-nord/Agricole_du_Maroc_1910-1931.pdf,company,Agricole du Maroc (Société)(1910-1931),Société Agricole du Maroc,,,,,,1910,1931,,,,,Maroc,Maroc,Industries agro-alimentaires,,0,Maroc,Industries agro-alimentaires,1,Société; 1910-1931,foncière et agricole,maroc.html,Agricole du Maroc (Société)(1910-1931) : foncière et agricole
afrique-du-nord-agricole-du-nord-africain-d6c765,https://entreprises-coloniales.fr/afrique-du-nord/Agricole_du_Nord-Africain.pdf,company,Agricole du Nord-Africain (Société)(1919-1934),Société Agricole du Nord-Africain,,,,,,1919,1934,,,,,Maroc,Maroc,Industries agro-alimentaires,,0,Maroc,Industries agro-alimentaires,1,Société; 1919-1934,,maroc.html,Agricole du Nord-Africain (Société)(1919-1934)
afrique-du-nord-agricole-immobiliere-tunis-69716e,https://entreprises-coloniales.fr/afrique-du-nord/Agricole_Immobiliere_Tunis.pdf,company,Agricole Immobiliere Tunisienne,Agricole Immobiliere Tunisienne,,,,,,,,,,,,Tunisie,Tunisie,Industries agro-alimentaires,,0,Tunisie,Industries agro-alimentaires,1,,,tunisie.html,Agricole Immobiliere Tunisienne
afrique-du-nord-agricole-industrielle-de-baraki-6f0d0a,https://entreprises-coloniales.fr/afrique-du-nord/Agricole&industrielle_de_Baraki.pdf,company,"Baraki (Société agricole et industrielle de), Alger",Société agricole et industrielle de Baraki,,,,Alger,,,,,,,,Algerie,Algérie,Industries agro-alimentaires,,0,Algerie,Industries agro-alimentaires,1,Société agricole et industrielle de,Sidi-Moussa,algerie.html,"Baraki (Société agricole et industrielle de), Alger : Sidi-Moussa"
afrique-du-nord-agricole-lyonnaise-nord-afrique-43a117,https://entreprises-coloniales.fr/afrique-du-nord/Agricole_Lyonnaise_Nord_Afrique.pdf,company,"Agricole Lyonnaise du Nord de l'Afrique (Société), Bône",Société Agricole Lyonnaise du Nord de l'Afrique,,,,Bône,,,,,,,,Algerie,Algérie,Industries agro-alimentaires,,0,Algerie,Industries agro-alimentaires,1,Société,,algerie.html,"Agricole Lyonnaise du Nord de l'Afrique (Société), Bône"
afrique-du-nord-agricole-marocaine-1928-9da255,https://entreprises-coloniales.fr/afrique-du-nord/Agricole_Marocaine-1928.pdf,company,Agricole Marocaine (1928-1929),Agricole Marocaine,,,,,,1928,1929,,,,,Maroc,Maroc,Industries agro-alimentaires,,0,Maroc,Industries agro-alimentaires,1,1928-1929,,maroc.html,Agricole Marocaine (1928-1929)
afrique-du-nord-agricole-oranaise-12f3da,https://entreprises-coloniales.fr/afrique-du-nord/Agricole-Oranaise.pdf,company,Agricole Oranaise (Compagnie),Compagnie Agricole Oranaise,,,,,,,,,,,,Algerie,Algérie,Industries agro-alimentaires,,0,Algerie,Industries agro-alimentaires,1,Compagnie,,algerie.html,Agricole Oranaise (Compagnie)
afrique-du-nord-agricole-torba-e2fe1d,https://entreprises-coloniales.fr/afrique-du-nord/Agricole_Torba.pdf,company,"Torba (Société agricole), Wagram","Société agricole Torba, Wagram",,,,,,,,,,,,Algerie,Algérie,Industries agro-alimentaires,,0,Algerie,Industries agro-alimentaires,1,Société agricole,,algerie.html,"Torba (Société agricole), Wagram"
afrique-du-nord-agricole-trifa-ac2f80,https://entreprises-coloniales.fr/afrique-du-nord/Agricole_Trifa.pdf,company,Trifa (Société agricole des),Société agricole des Trifa,,,,,,,,,,,,Maroc,Maroc,Industries agro-alimentaires,,0,Maroc,Industries agro-alimentaires,1,Société agricole des,,maroc.html,Trifa (Société agricole des)
afrique-du-nord-agriculture-et-industrie-marocaines-022415,https://entreprises-coloniales.fr/afrique-du-nord/Agriculture_et_industrie_marocaines.pdf,company,"Agriculture et l’Industrie marocaines (L’)(S.A., 1928), Casablanca",L’Agriculture et l’Industrie marocaines,,,,Casablanca,S.A,1928,,,,,,Maroc,Maroc,"Banques, groupes financiers, assureurs",,0,Maroc,"Banques, groupes financiers, assureurs",1,"L’; S.A., 1928",,maroc.html,"Agriculture et l’Industrie marocaines (L’)(S.A., 1928), Casablanca"
afrique-du-nord-ain-kerma-antimoine-f9914a,https://entreprises-coloniales.fr/afrique-du-nord/Ain-Kerma_antimoine.pdf,company,Aïn-Kerma (Société des mines d'),Société des mines d'Aïn-Kerma,,,,,,,,,,,,Algerie,Algérie,Mines et carrières,,0,Algerie,Mines et carrières,1,Société des mines d',antimoine dans le Constantinois,algerie.html,Aïn-Kerma (Société des mines d') : antimoine dans le Constantinois
afrique-du-nord-ain-nouba-zinc-011fad,https://entreprises-coloniales.fr/afrique-du-nord/Ain-Nouba_Zinc.pdf,company,Aïn-Nouba (Société des mines de zinc d'),Société des mines de zinc d'Aïn-Nouba,,,,,,,,,,,,Tunisie,Tunisie,Mines,,0,Tunisie,Mines,1,Société des mines de zinc d',zinc et plomb,tunisie.html,Aïn-Nouba (Société des mines de zinc d') : zinc et plomb
afrique-du-nord-air-algerie-3628f2,https://entreprises-coloniales.fr/afrique-du-nord/Air_Algerie.pdf,company,Air Algérie,Air Algérie,,,,,,,,,,,,Algerie,Algérie,Transports maritimes et aériens,,0,Algerie,Transports maritimes et aériens,1,,"Société française de constructions aéronautiques (1934), Société algérienne de constructions aéronautiques (1939)",algerie.html,"Air Algérie : Société française de constructions aéronautiques (1934), Société algérienne de constructions aéronautiques (1939)"
afrique-du-nord-air-liquide-algerie-7af0b4,https://entreprises-coloniales.fr/afrique-du-nord/Air_liquide-Algerie.pdf,company,"Air liquide (L'), Alger",L'Air liquide,,,,Alger,,,,,,,,Algerie,Algérie,Industries chimiques,,0,Algerie,Industries chimiques,1,L',,algerie.html,"Air liquide (L'), Alger"
afrique-du-nord-air-liquide-maroc-620972,https://entreprises-coloniales.fr/afrique-du-nord/Air_liquide-Maroc.pdf,company,"Marocaine de Gaz comprimés (Société)(1918-1922)(L'Air liquide), Casablanca",Société Marocaine de Gaz comprimés,,L'Air liquide,,Casablanca,,1918,1922,,,,,Maroc,Maroc,Industries chimiques,,0,Maroc,Industries chimiques,1,Société; 1918-1922; L'Air liquide,,maroc.html,"Marocaine de Gaz comprimés (Société)(1918-1922)(L'Air liquide), Casablanca"
afrique-du-nord-air-liquide-tunisie-30b862,https://entreprises-coloniales.fr/afrique-du-nord/Air_liquide-Tunisie.pdf,company,"Tunisienne de Gaz comprimés (Société)(L'Air liquide), Tunis",Société Tunisienne de Gaz comprimés,,L'Air liquide,,Tunis,,,,,,,,Tunisie,Tunisie,Industries diverses,,0,Tunisie,Industries diverses,1,Société; L'Air liquide,,tunisie.html,"Tunisienne de Gaz comprimés (Société)(L'Air liquide), Tunis"
afrique-du-nord-akkares-societe-miniere-e97288,https://entreprises-coloniales.fr/afrique-du-nord/Akkares_Societe_miniere.pdf,company,"Akkarès (Société d'), Belezma (Batna)","Société d'Akkarès, Belezma",,Batna,,,,,,,,,,Algerie,Algérie,Mines et carrières,,0,Algerie,Mines et carrières,1,Société d'; Batna,zinc,algerie.html,"Akkarès (Société d'), Belezma (Batna) : zinc"
afrique-du-nord-alban-cie-bone-aef961,https://entreprises-coloniales.fr/afrique-du-nord/Alban_&_Cie-Bone.pdf,company,"Alban & Compagnie (F.), Bône",Alban & Compagnie,,,F.,Bône,,,,,,,,Algerie,Algérie,Industries agro-alimentaires,,0,Algerie,Industries agro-alimentaires,1,F.,"cigarettes, tabacs à priser",algerie.html,"Alban & Compagnie (F.), Bône : cigarettes, tabacs à priser"
afrique-du-nord-albert-fevre-cie-alger-e2a274,https://entreprises-coloniales.fr/afrique-du-nord/Albert_Fevre_&_Cie-Alger.pdf,company,"Ateliers de réparations maritimes de l'Afrique du Nord (Albert Fèvre & Cie), Alger",Ateliers de réparations maritimes de l'Afrique du Nord,,Albert Fèvre & Cie,Albert Fèvre & Cie,Alger,,,,,,,,Algerie,Algérie,"Métallurgie, constructions navales",,0,Algerie,"Métallurgie, constructions navales",1,Albert Fèvre & Cie,"réparations navales et industrielles, matériel agricole et de travaux publics",algerie.html,"Ateliers de réparations maritimes de l'Afrique du Nord (Albert Fèvre & Cie), Alger : réparations navales et industrielles, matériel agricole et de travaux publics"
afrique-du-nord-alexandra-constantine-3064a5,https://entreprises-coloniales.fr/afrique-du-nord/Alexandra-Constantine.pdf,company,"Alexandra, Constantine",Alexandra,,,,Constantine,,,,,,,,Algerie,Algérie,"Bâtiment et travaux publics, matériaux de construction, céramique",,0,Algerie,"Bâtiment et travaux publics, matériaux de construction, céramique",1,,sculpteur,algerie.html,"Alexandra, Constantine : sculpteur"
afrique-du-nord-alfa-le-pontet-70adee,https://entreprises-coloniales.fr/afrique-du-nord/Alfa-Le-Pontet.pdf,company,Alfa (L'),L'Alfa,,,,,,,,,,,,Algerie,Algérie,"Filière bois : exploitation forestière, liège, meubles, cellulose, papier…","L'Alfa, la Cellunaf et leurs maisons mère",1,Algerie,"Filière bois : exploitation forestière, liège, meubles, cellulose, papier…",1,L',"papeterie au Pontet (Vaucluse), concession de récolte d'alfa à Djelfa",algerie.html,"Alfa (L') : papeterie au Pontet (Vaucluse), concession de récolte d'alfa à Djelfa"
afrique-du-nord-alfas-de-fermentation-98a837,https://entreprises-coloniales.fr/afrique-du-nord/Alfas_de_fermentation.pdf,company,"Alfas de fermentation (brevets H. de Montessus)(Société civile des), Tunis (1904)",Alfas de fermentation,,brevets H. de Montessus,,Tunis,Société civile des,1904,,,,,,Tunisie,Tunisie,"Bois meubles, papier",,0,Tunisie,"Bois meubles, papier",1,brevets H. de Montessus; Société civile des; 1904,,tunisie.html,"Alfas de fermentation (brevets H. de Montessus)(Société civile des), Tunis (1904)"
afrique-du-nord-alfas-tunisiens-499d1a,https://entreprises-coloniales.fr/afrique-du-nord/Alfas_tunisiens.pdf,company,Générale des Alfas tunisiens (Compagnie),Compagnie Générale des Alfas tunisiens,,,,,,,,,,,,Tunisie,Tunisie,"Bois meubles, papier",,0,Tunisie,"Bois meubles, papier",1,Compagnie,,tunisie.html,Générale des Alfas tunisiens (Compagnie)
afrique-du-nord-alfatiere-tunisienne-2d1acd,https://entreprises-coloniales.fr/afrique-du-nord/Alfatiere_Tunisienne.pdf,company,"Alfatière Tunisienne d’Affrètement et d’acconage (S.A.), Tunis",Alfatière Tunisienne d’Affrètement et d’acconage,,,,Tunis,S.A,,,,,,,Tunisie,Tunisie,Commerce,,0,Tunisie,Commerce,1,S.A.,,tunisie.html,"Alfatière Tunisienne d’Affrètement et d’acconage (S.A.), Tunis"
afrique-du-nord-alger-de-materiel-agricole-0c6b0f,https://entreprises-coloniales.fr/afrique-du-nord/Alger._de_materiel_agricole.pdf,company,Algérienne de Matériel agricole (Société)(SAMA),Société Algérienne de Matériel agricole,SAMA,,,,,,,,,,,Algerie,Algérie,Commerce,,0,Algerie,Commerce,1,Société; SAMA,"Alger, Oran, Constantine. Concessionnaire Fordson, Mathis, Oliver, Hanomag, Ford…",algerie.html,"Algérienne de Matériel agricole (Société)(SAMA) : Alger, Oran, Constantine. Concessionnaire Fordson, Mathis, Oliver, Hanomag, Ford…"
afrique-du-nord-alger-eclairage-force-dcbf2c,https://entreprises-coloniales.fr/afrique-du-nord/Alger._eclairage-force.pdf,company,Algérienne d'éclairage et de force (Société)(1920-1947),Société Algérienne d'éclairage et de force,,,,,,1920,1947,,,,,Algerie,Algérie,"Eau, gaz, électricité (Utilities)",,0,Algerie,"Eau, gaz, électricité (Utilities)",1,Société; 1920-1947,"Alger, Oran",algerie.html,"Algérienne d'éclairage et de force (Société)(1920-1947) : Alger, Oran"
afrique-du-nord-alger-glace-hygienique-2808a5,https://entreprises-coloniales.fr/afrique-du-nord/Alger._glace_hygienique.pdf,company,"Algérienne de glace hygiénique et d'entreposage frigorifique (Compagnie)(CAGH), Hussein-Dey (Alger)",Compagnie Algérienne de glace hygiénique et d'entreposage frigorifique,CAGH,Alger,,Hussein-Dey,,,,,,,,Algerie,Algérie,Industries agro-alimentaires,,0,Algerie,Industries agro-alimentaires,1,Compagnie; CAGH; Alger,,algerie.html,"Algérienne de glace hygiénique et d'entreposage frigorifique (Compagnie)(CAGH), Hussein-Dey (Alger)"
afrique-du-nord-alger-vie-ouvriere-1913-524879,https://entreprises-coloniales.fr/afrique-du-nord/Alger-Vie_ouvriere-1913.pdf,source_document,La vie ouvrière à Alger en 1913,La vie ouvrière à Alger en 1913,,,,,,,,,,,,Algerie,Algérie,Documents généraux (par ordre chronologique),,0,Algerie,Documents généraux (par ordre chronologique),1,,"effectifs, salaires, avantages sociaux",algerie.html,"La vie ouvrière à Alger en 1913 : effectifs, salaires, avantages sociaux"
afrique-du-nord-algerie-expo-paris-1867-13fa4f,https://entreprises-coloniales.fr/afrique-du-nord/Algerie_Expo_Paris_1867.pdf,source_document,"L'Algérie à l'Exposition universelle de Paris, 1867","L'Algérie à l'Exposition universelle de Paris, 1867",,,,,,,,,,,,Algerie,Algérie,Documents généraux (par ordre chronologique),,0,Algerie,Documents généraux (par ordre chronologique),1,,,algerie.html,"L'Algérie à l'Exposition universelle de Paris, 1867"
afrique-du-nord-algerienne-autos-renault-fd74b1,https://entreprises-coloniales.fr/afrique-du-nord/Algerienne_Autos_Renault.pdf,company,"Renault (Société algérienne des automobiles), Alger",Société algérienne des automobiles Renault,,,,Alger,,,,,,,,Algerie,Algérie,"Transports terrestres, garages automobiles et agricoles",,0,Algerie,"Transports terrestres, garages automobiles et agricoles",1,Société algérienne des automobiles,,algerie.html,"Renault (Société algérienne des automobiles), Alger"
afrique-du-nord-algerienne-camionnage-auto-e1be71,https://entreprises-coloniales.fr/afrique-du-nord/Algerienne_Camionnage_auto.pdf,company,Algérienne de Camionnage automobile (Société)(1911-1912),Société Algérienne de Camionnage automobile,,,,,,1911,1912,,,,,Algerie,Algérie,"Transports terrestres, garages automobiles et agricoles",,0,Algerie,"Transports terrestres, garages automobiles et agricoles",1,Société; 1911-1912,,algerie.html,Algérienne de Camionnage automobile (Société)(1911-1912)
afrique-du-nord-algerienne-chaux-ciments-328e63,https://entreprises-coloniales.fr/afrique-du-nord/Algerienne_chaux+ciments.pdf,company,"Algérienne de chaux et ciments (Compagnie)(1917-1921), usine de la Pointe-Pescade, Alger","Compagnie Algérienne de chaux et ciments, usine de la Pointe-Pescade",,,,Alger,,1917,1921,,,,,Algerie,Algérie,"Bâtiment et travaux publics, matériaux de construction, céramique",,0,Algerie,"Bâtiment et travaux publics, matériaux de construction, céramique",1,Compagnie; 1917-1921,,algerie.html,"Algérienne de chaux et ciments (Compagnie)(1917-1921), usine de la Pointe-Pescade, Alger"
