company_id,name,territory,connection_tier_name,n_directors,n_connected,share_connected,has_sitting,has_former,n_testable,n_concurrent,confidence,connected_directors
indochinoiseculturestropicales,Société Indochinoise des Cultures tropicales,Indochine,executive,65,12,0.1846,1,1,2,1,high,Bouvier; Camille Lejeune; Charles Furiet; Edmond Giscard d'Estaing; Jean Rheims; Joseph Thierry; Paul Baudouin; Paul Chassaing
tabacs,Compagnie Générale des Tabacs,Algérie,executive,63,12,0.1905,1,1,3,2,high,Amédée Reille; Barthélémy Robaglia; Bouilloux-Lafont; Charles Dumont; Charles Wurtz; Dumont; Guérin; Julien Rouland
cheminferboneguelmaprolongements,Compagnie du Chemin de fer de Bône à Guelma et prolongements,Algérie,executive,86,11,0.1279,1,1,1,1,high,Amédée Vernhette; Charles Géry; Gouin; Léonce Mahoû; Paul Devès; Richard; Salles; [Armand] Vernhette
credit,Crédit français,,executive,110,11,0.1000,1,1,3,2,high,Amédée Reille; Bouilloux-Lafont; Doumer; Gauthier; Georges Privat-Deschanel; Maurice Bouilloux-Lafont; Maurice Superville; Paul Doumer
creditfoncieralgerietunisie,Crédit foncier d'Algérie-Tunisie,Afrique occidentale française,executive,115,11,0.0957,1,1,1,0,high,Achille Villey; Emmanuel Tessandier; Eugène Regnault; Frédéric Barbedette; Georges SAINT-RENÉ TAILLANDIER; Maurice Paléologue; Philibert; Ribot
algerienne,Compagnie algérienne,Algérie,executive,68,10,0.1471,1,1,1,0,high,Alexandre Conty; Denion du Pin; Frémy; Jean Boissonnas; Jean Fabry; Jules Tarbé des Sablons; Klein; Marcel Saint- Germain
banquetransatlantique,Banque transatlantique,Afrique occidentale française,executive,121,10,0.0826,1,1,0,0,high,Charles Géry; Eugène Regnault; Faure; Henri Durangel; Jean Astruc; Jean-François-Eugène CHARLES; Maurice Rouvier; Piétri
chargeursreunis,Chargeurs réunis,Afrique occidentale française,executive,98,10,0.1020,1,1,1,1,high,Alexandre Celier; Alexis Baptifaut; Charles Chaumet; Denis Pérouse; Giraud; Henri Tasso; Henry Bérenger; Jean Boissonnas
airfrance,Air France,Afrique occidentale française,executive,50,9,0.1800,1,1,0,0,high,Ernest Roume; Henry Borromée; Léon Renault; Paul Baudoin; Paul Baudouin; Paul Blanchard de la Brosse; Paul Tirard; René Mayer
banquemadagascarcomores,Banque de Madagascar et des Comores,Afrique occidentale française,executive,46,9,0.1957,1,1,1,1,high,Blaise Diagne; Charles Michel-Côte; Gaston Raynal; Henri Saurin; Hoarau; Marcel Delanney; Philibert; Pierre Chaudun
etudesentreprisescoloniales,Compagnie française d'Études et entreprises coloniales,Algérie,executive,86,9,0.1047,1,0,0,0,high,Boyer; Charles Michel-Côte; Denis; Gallieni; Girod; Henri Mège; Henry Roulleaux-Dugage; Keller
forestieresanghaoubangui,Compagnie Forestière Sangha-Oubangui,Afrique équatoriale française,executive,64,9,0.1406,1,1,1,0,high,Eugène Lautier; Jean Weber; Luc Durand-Reville; Léon Mougeot; Maurice Superville; Noguès; Pagès; Pierre Pagès
francoespagnolecheminfertangerfez,Compagnie franco-espagnole du Chemin de fer de Tanger à Fez,Maroc,executive,55,9,0.1636,1,1,2,0,high,Alexandre Celier; Arsène Henry; Camille Krantz; Denis Pérouse; Georges SAINT-RENÉ TAILLANDIER; Gustave Mercier; Jules Charles-Roux; Philippe Crozier
industriellefonciere,"L'Industrielle Foncière, puis Industrielle Foncière et Routière",,executive,82,9,0.1098,1,1,2,2,high,André Thiers; Edmond Grody; Hesse; Laurent; Lebon; Lucien Dior; Paul Doumer; Simon
tramways,Compagnie Générale Française de Tramways,Indochine,executive,119,9,0.0756,1,1,1,1,low,Dugué de la Fauconnerie; Hesse; Janssen; Monnier; Pavie; Pierre Caillaux; Reynaud; Roger
asiatiqueafricaine,Compagnie Asiatique et africaine,Indochine,executive,40,8,0.2000,1,1,1,0,high,Delpech; Ernest Carnot; Fernand Pila; Guesde; Jacques DUBOIN; Paul Valayer; Pierre Guesde; René Robin
banquecommercialeindustrielle,Banque commerciale et industrielle,Algérie,executive,34,8,0.2353,1,1,3,0,high,Bourgeois; Chapsal; Edmond Develle; Eugène Sarlin; Fernand Chapsal; Léon Mougeot; Meunier; Émile Mauger
banqueeuropeennebruxellesparistentativereprisedomainesagricolesconcessionramassagealfafrancoalgerienne,"Banque européenne, Bruxelles, Paris. Tentative de reprise des domaines agricoles et de la concession de ramassage d'alfa de la Compagnie franco-algérienne",,executive,19,8,0.4211,1,1,0,0,high,Alfred Blanche; E. Fourcand; Hubert; J. PALOTTE; Jean-Paul David; Philippart; Romero Robledo; Émile Brelay
bienhoaindustrielleforestiere,Biênhoà industrielle et forestière,Indochine,executive,45,8,0.1778,1,1,1,1,high,Charles Furiet; Fernand Louis Posth; François Pietri; Guy; Patry; Édouard BOURCIER SAINT-CHAFFRAY; Émile Girard; Étienne
cheminferdakarsaintlouis,Compagnie du Chemin de fer de Dakar à Saint-Louis,Afrique occidentale française,executive,52,8,0.1538,1,1,1,0,high,Alexandre Conty; Devès; Klein; Maxime-Alexandre Ficatier; Paul Devès; René Bouvier; Robert Vasselle; Étienne Ganderax
creditfoncierouestafricain,Crédit foncier de l'Ouest-Africain,Afrique occidentale française,executive,37,8,0.2162,1,1,2,1,high,Barthélémy Robaglia; Edmond Giscard d'Estaing; Emmanuel Rousseau; Ernest Roume; Guillaume de Tarde; Merlin; Paul Baudouin; René Bouvier
foncierecambodge,Société Foncière du Cambodge,Indochine,executive,20,8,0.4000,1,1,3,2,high,Charles Lambert; Crémazy; Ernest Outrey; Georges Maspero; Maurice Le Gallen; Maxime Outrey; [Charles] Lambert; [Georges] Maspero
francoalgerienne,Compagnie Franco-algérienne,Algérie,executive,32,8,0.2500,1,1,1,0,high,Bourgeois; Dufour; Edmond Develle; Fournier; Garnier; Laisant; Sazerac de Forge; [Albert] Garnier
maroc,Compagnie du Maroc,Indochine,executive,72,8,0.1111,1,1,2,1,high,Adolphe Vincent; Alexandre Celier; Arsène Henry; Camille Krantz; Jacques-Achille Bardoux; Jean Boissonnas; Philippe Crozier; San Simon
messageriesfluvialescochinchine,Messageries fluviales de Cochinchine,Indochine,executive,57,8,0.1404,1,1,1,1,high,Camille Lejeune; François Pietri; Guesde; Jean-Paul David; Léon de Tinseau; Pierre Guesde; Sébastien Foy; Émile Brelay
afriquecongo,Afrique et Congo,Afrique occidentale française,executive,52,7,0.1346,1,0,0,0,high,Alphonse Fondère; Antoine BLANC; Jacques-Marie-Joseph Delorme; Jean Weber; Josse; Prosper Josse; [Prosper] Josse
agricoleminoterie,Compagnie Agricole de minoterie,,executive,36,7,0.1944,1,1,2,2,high,Brière; Donon; Gervais; Guy de Wendel; Laroche-Joubert; Marcel Donon; Raynaud
agricolesudindochinoise,Cie Agricole Sud-Indochinoise,Afrique occidentale française,executive,21,7,0.3333,1,1,2,0,high,Aubry; Barthélémy Robaglia; Georges Mahé; Mahé; Paul Simoni; Pierre Valude; Valude
airunion,Air Union,Syrie-Liban,executive,22,7,0.3182,1,1,0,0,high,Allègre; Beneyton; Ernest Roume; Georges Bonnet; Louis Arène; Léon Renault; Roume
assurancefinanciere,L'Assurance financière,,executive,33,7,0.2121,1,1,2,2,high,Charles Savary; G. Blanchet; Lucien Arbel; PAUL CÈRE; Paul Morin; Travot; [Lucien] Arbel
banquecommercialeafricaine,Banque commerciale africaine,Afrique occidentale française,executive,54,7,0.1296,1,1,1,0,high,Angoulvant; Charles Furiet; Frédéric FRANÇOIS-MARSAL; Frédéric-Victor-Adolphe MANAUT; Jean Weber; Méray; René Bouvier
cheminsfermaroc,Compagnie des Chemins de fer du Maroc,Afrique occidentale française,executive,80,7,0.0875,1,1,0,0,high,Denis Pérouse; Ernest Roume; Georges SAINT-RENÉ TAILLANDIER; Gustave Mercier; Lebon; Roume; Étienne Ganderax
cheminsferouestalgerien,Compagnie des Chemins de fer de l'Ouest-Algérien,Algérie,executive,72,7,0.0972,1,1,1,1,high,François Gérard; Gustave Schelle; Henri Villain; Isidore Salles; Olivier Bascou; Salles; Tirman
commercialeindustrielleagricolehautogooue,"Société commerciale, industrielle et agricole du Haut-Ogooué",Afrique équatoriale française,executive,42,7,0.1667,1,1,1,1,high,Félix Coquelle; Jean Boissonnas; Joseph Vadier; Luc Durand-Reville; Médard Béraud; [Médard] Béraud; Édouard Jules Charles Roulet
creditfoncierindochine,Crédit foncier de l’Indochine,Indochine,executive,45,7,0.1556,1,1,1,1,high,Edmond Giscard d'Estaing; Emmanuel Rousseau; Ernest Roume; Guillaume de Tarde; Joël Daroussin; P. Legentilhomme; Pierre Guesde
creditmarocain,Crédit marocain,Afrique équatoriale française,executive,71,7,0.0986,1,0,1,0,high,Edmond Giscard d'Estaing; Gaston Gradis; Guillaume de Tarde; Lasserre; Marcel Bernard; Maurice Lasserre; René Bouvier
culturecotonniereniger,"Compagnie de Culture cotonnière du Niger, puis Compagnie générale du Niger",Afrique occidentale française,executive,35,7,0.2000,1,1,0,0,high,Henri Hirsch; Jules Carde; Lebrun; Marcel Hirsch; Patey; Xavier Loisy; Émile Level
decauvilleaineetablissements,"Decauville aîné, Société, Société nouvelle des Établissements)",,executive,63,7,0.1111,1,1,1,1,high,Boyer; Charles; Denis; Guy; Marcel Saint- Germain; Paul Decauville; SAINT-GERMAIN
houilleresbassinloirehouillerescevennesdauphine,Houillères du bassin de la Loire + Houillères des Cévennes… du Dauphiné,,executive,82,7,0.0854,1,1,0,0,low,Aube; Barthélémy; Boniface; Bosc; Chauvet; Keller; Étienne
indochinefilmscinemas,Indochine films et cinémas,Indochine,executive,26,7,0.2692,1,1,1,0,high,Charles Furiet; Jacques Cazaux; Luciani; Maurice LANGLOIS; Nesty; Pierre Guesde; René Bousquet
indochinoiseelectricite,Société Indochinoise d'électricité,Indochine,executive,52,7,0.1346,1,1,0,0,high,Dupuy; Frédéric Mettetal; Isidore Paquin; Klein; Paul Baudouin; Paul Simoni; Servoise
industriellebasogooue,Société Industrielle du Bas-Ogooué,Afrique équatoriale française,executive,46,7,0.1522,1,1,1,0,high,Emmanuel Rousseau; Georges Chiris; Lallemand; Lévy; René Bouvier; Rocca; Émile Lambert
industrielleplatine,Cie industrielle du platine,Afrique occidentale française,executive,81,7,0.0864,1,1,1,0,high,Charles Michel; Jacques-Achille Bardoux; Luquet; Lévy; Morel; Patey; Wladimir Rokassowsky
messageriesafricaines,Messageries africaines,Afrique occidentale française,executive,38,7,0.1842,1,1,1,0,high,Chaumet; Devès; Fernand Philippart; Henri Hirsch; Jules Carde; Luc Durand-Reville; Paul Devès
mimot,Mimot,Indochine,executive,20,7,0.3500,1,1,2,1,high,Ernest Outrey; François Pietri; Gaston Fourn; Jean Rheims; Pierre Guesde; Saint-Ange; Sébastien Foy
navigationvapeurfranceindochine,Société de Navigation à vapeur France-Indochine,Indochine,executive,25,7,0.2800,1,1,0,0,high,Alexandre Celier; Breton; Denis Pérouse; Raymond Rouelle; Rouelle; San Simon; Simon
phosphatestunisiens,"Société des Phosphates tunisiens, puis Pierrefitte–Kalaa-Djerba, puis Pierrefitte .",Tunisie,executive,39,7,0.1795,1,1,1,1,high,Charles Michel; François Urruty; Gustave Mercier; Jean Maroger; Léon Mougeot; Mougeot; Yves le Trocquer
plantesparfumsmadagascar,Plantes à parfums de Madagascar,Madagascar,executive,23,7,0.3043,1,1,2,1,high,Bouvier; Edmond Giscard d'Estaing; Henri Saurin; Joseph Thierry; René Bouvier; Rocca; Saurin
servicescontractuelsmessageriesmaritimes,Société des Services contractuels des messageries maritimes,,executive,24,7,0.2917,1,1,1,0,high,Ernest Carnot; François Manceron; Gaston Doumergue; J. Noulens; Lucien Lacaze; Maurice Le Gallen; Milliès-Lacroix
unioncommercialeindochinoiseafricaine,L'Union commerciale indochinoise et africaine,Afrique occidentale française,executive,75,7,0.0933,1,1,1,1,high,Barthou; Joseph Thierry; Jules Borel; Lacaze; Léonard Fontaine; Pierre Legrand; Émile Level
charbonnagestonkin,Charbonnages du Tonkin,Algérie,executive,65,6,0.0923,1,1,2,2,high,Henri de Monplanet; Kling; Louis Passy; Paul Baudouin; Robert Thoumyre; San Simon
colonies,Compagnie Générale des colonies,Afrique occidentale française,executive,106,6,0.0566,1,1,1,1,high,Adolphe-Marie Messimy; Gabriel ANGOULVANT; Georges Schwob; Grandjean; Xavier Loisy; Émile Level
creditfonciersyrie,Crédit foncier de Syrie,Syrie-Liban,executive,21,6,0.2857,1,1,0,0,high,Eugène Regnault; Georges SAINT-RENÉ TAILLANDIER; Lebon; Léon Orosdi; Maurice Le Gallen; Olivier Sainsère
credithypothecaireindochine,Crédit hypothécaire de l’Indochine,Chine,executive,25,6,0.2400,1,1,1,1,high,Edmond Giscard d'Estaing; Emmanuel Rousseau; Ernest Roume; Guillaume de Tarde; Joël Daroussin; Pierre Guesde
ergho,Ergho,Maroc,executive,35,6,0.1714,1,1,0,0,low,Baudouin; Charles; Guernier; Henry; Michel; Paul
estasiatique,Est-Asiatique français,Afrique occidentale française,executive,17,6,0.3529,1,1,1,0,high,Ernest Carnot; Félix Joseph Martin-Feuillée; H. N. Andersen; Joseph Thierry; Pierre Guesde; Émile Ogier
maisonetudiantsindochineciteuniversitaireparissuccesetudiantsindochinoisfrance,Maison des étudiants de l'Indochine à la Cité universitaire de Paris . Succès des étudiants indochinois en France,Indochine,executive,10,6,0.6000,1,1,1,1,high,Albert Sarraut; Fontaine; Gaston Doumergue; Paul Blanchard de la Brosse; Paul Doumer; Paul Simoni
metallurgiqueminierefrancomarocaine,Compagnie Métallurgique et minière franco-marocaine,Algérie,executive,47,6,0.1277,1,1,3,1,high,Amédée Damour; Charles Michel; Guy Wendel; Guy de Wendel; Pierre Desforges; Xavier Reille
mineraisfermagnetiquesmoktaelhadid,Cie des minerais de fer magnétiques de Mokta-el-Hadid,Algérie,executive,77,6,0.0779,1,1,1,0,high,Denis Pérouse; Jules Tarbé des Sablons; Louis Frémy; Paulin Talabot; Rodier; TEISSERENC DE BORT
mpretreadministrateur2eclasseservicescivils,"M. PRÊTRE *, administrateur de 2e classe des Services civils",Indochine,executive,22,6,0.2727,1,1,0,0,high,Auguste Darles; Camille Lejeune; Charles Vézin; François Giacomoni; Prêtre; Tournois
nouvelleshebrides,Société française des Nouvelles-Hébrides,Nouvelle-Calédonie (Mélanésie),executive,31,6,0.1935,1,0,2,2,high,Descemet; Gabriel Thaly; Jean Molinié; Loisy; Marchessou; Émile-André Faure
occidentalemadagascar,Compagnie Occidentale de Madagascar,Algérie,executive,56,6,0.1071,1,1,0,0,medium,Damour; Georges Bonnet; Gustave Binger; Léon Mougeot; Mougeot; Émile Henry
officeniger,L'Office du Niger,Afrique occidentale française,executive,16,6,0.3750,1,1,2,2,high,Blaise Diagne; Louis Marin; Paul Jourdain; Roume; Susset; Waddington
ouestafricain,Compagnie de l'Ouest-Africain français [Compagnie de l'Ouest-Africain français],Afrique occidentale française,executive,50,6,0.1200,1,1,0,0,medium,Angoulvant; Gustave Binger; Henry; Léonard Fontaine; Richard; Émile Henry
scieriesafricaines,Compagnie des Scieries africaines,Afrique occidentale française,executive,44,6,0.1364,1,1,1,1,high,Adolphe-Marie Messimy; Edmond Bertrand; Gaston Fourn; Georges Schwob; Louis PASQUET; Xavier Loisy
sicaf,SICAF,Indochine,executive,29,6,0.2069,1,1,1,0,high,Charles Poirson; Jules Lionel-Marie; Laroche; Lionel-Marie; Pierre Guesde; Émile Lambert
sucreriescoloniales,Sucreries coloniales,La Réunion,executive,63,6,0.0952,1,1,0,0,high,Antony Ratier; Briand; Grandjean; Léon Boulloche; Léonus Bénard; Émile Level
tramwayseclairageelectriquesshanghai,Compagnie française de Tramways et d’éclairage électriques de Shanghaï,Chine,executive,35,6,0.1714,1,1,1,0,medium,Jules Aubrun; Lucien Michelot; Marcel Borduge; Paul Baudouin; Paul Tirard; Émile Francqui
transatlantique,Cie Générale Transatlantique,Afrique occidentale française,executive,38,6,0.1579,1,1,1,0,high,Joseph-Honoré Ricard; Max Hymans; Olivier; Pierre Marraud; Raoul Marie Louis Calary de Lamazière; Wilfrid Baumgartner
transportsmaritimesvapeur,Société générale de transports maritimes à vapeur,Maroc,executive,91,6,0.0659,1,1,0,0,medium,Armand; Giraud; Gouin; Maurel; Paulin Talabot; Peyrouton
afrique,L'Afrique française,Afrique occidentale française,executive,52,5,0.0962,1,1,0,0,high,Charles-Émile Halais; Eugène LECOCQ; Gaston Raynal; Georges Boussenot; Louis Dubois
bamako,Société de Bamako,Afrique occidentale française,executive,17,5,0.2941,1,0,1,1,high,Achille Fould; Charles Poirson; Henri Hirsch; Marcel Hirsch; Émile Level
banquecommercialemaroc,Banque commerciale du Maroc,Afrique occidentale française,executive,51,5,0.0980,1,1,0,0,low,Boniface; Faure; Paul Dutasta; Piot; Piétri
banqueetatmaroc,Banque d'État du Maroc,Afrique occidentale française,executive,102,5,0.0490,1,1,0,0,high,Gaston Guiot; Gouin; Jules Cambon; Laurent; Renouard
banquefrancochinoisecommerceindustrie,Banque franco-chinoise pour le commerce et l'industrie,Chine,executive,56,5,0.0893,1,1,0,0,high,André Lorgère; Eugène Regnault; François; Maurice Le Gallen; [Maurice] Le Gallen
banqueimperialeottomane,"Banque impériale ottomane, puis Banque ottomane ou Osmanli Bankasi, 289 p.",Empire ottoman/Turquie,executive,35,5,0.1429,1,1,0,0,high,André Berthelot; Arsène Henry; Laurent; Pyrame Naville; Rouvier
banqueprivee,Banque privée,Afrique occidentale française,executive,22,5,0.2273,1,0,1,1,high,Achille Fould; Gaston Guiot; Stern; Van Eetvelde; Xavier Reille
caoutchoucskompongthom,Caoutchoucs de Kompong-Thom,Afrique occidentale française,executive,26,5,0.1923,1,1,2,1,high,Camille Lejeune; Ernest Outrey; Jules Lionel-Marie; Lionel-Marie; René Thion de la Chaume
centraleeclairagepargaz,"Compagnie Centrale d'Éclairage par le gaz, puis Compagnie Lebon",,executive,42,5,0.1190,1,1,2,1,high,André Lebon; Billiet; Jules Bozérian; Jules Herbette; Pierre Lebon
chargeursextremeorient,Chargeurs d'Extrême-Orient,Indochine,executive,43,5,0.1163,1,0,0,0,low,Gallieni; Girod; Guernier; Laurent; Émile Level
cheminfertangerfez,Chemin de fer Tanger-Fez,Madagascar,executive,18,5,0.2778,1,0,1,0,high,Camille Krantz; Denis Pérouse; Georges SAINT-RENÉ TAILLANDIER; Philippe Crozier; Étienne Ganderax
cheminfertranssaharien,Le Chemin de fer transsaharien,Algérie,executive,15,5,0.3333,1,1,0,0,high,Beau; Edmond du Vivier de Streel; Pierre Laval; Surleau; Édouard de Warren
comptoirnationalescompteparis,Comptoir national d'Escompte de Paris,Afrique occidentale française,executive,26,5,0.1923,1,1,1,0,high,Alexandre Celier; Camille Krantz; Charles Farnier; Charles Laurent; San Simon
comptoirsgenerauxindochine,Comptoirs généraux de l’Indochine,Indochine,executive,33,5,0.1515,1,1,0,0,high,AUGUSTE THOLANCE; Edmond Bertrand; Paul Simoni; Pierre Guesde; Touzet
concessionnaireportpapeete,Cie concessionnaire du port de Papeete,Tahiti (Polynésie),executive,19,5,0.2632,1,1,1,0,high,André Ballande; Ballande; Ernest Roume; Paul Ristelhueber; Roume
cotonsafricains,Societe francaise des Cotons africains,Afrique équatoriale française,executive,35,5,0.1429,1,1,1,0,high,Barthélémy Georges; Boussenot; Gaston Fourn; Georges Boussenot; Maurice VIOLLETTE
creditfoncieragricolealgerie,Crédit foncier et agricole d'Algérie,Afrique occidentale française,executive,60,5,0.0833,1,1,1,1,high,Alphandéry; Gastu; Maillard; Olivier; René Brice
creditfonciermadagascar,Crédit foncier de Madagascar,Indochine,executive,39,5,0.1282,1,1,0,0,high,Charles Michel-Côte; Henri Michel; Lucien Lacaze; Maurice Le Gallen; Xavier Loisy
creditmobilierindochinois,Crédit mobilier indochinois,Indochine,executive,16,5,0.3125,1,1,0,0,high,Guillaume de Tarde; Lotzer; Nouailhetas; Pierre Guesde; Rivoal
domainechapeaugendarme,Domaine du Chapeau de Gendarme,Algérie,executive,23,5,0.2174,1,1,1,1,high,Froger; Henri Borgeaud; Jack Chevallier; Lucien Borgeaud; Léon Deyron
energieindustrielle,L'Énergie industrielle,Indochine,executive,57,5,0.0877,1,0,2,2,high,Adhémar Péchadre; Durand; Fernand Brun; Laurent; Louis Durand
equatorialemines,Compagnie Équatoriale de mines,Afrique occidentale française,executive,60,5,0.0833,1,1,1,0,low,Brunel; George Moulaert; Joseph Vadier; Marcel Bénard; Émile Lambert
extremeorient,Compagnie générale d’Extrême-Orient,Chine,executive,22,5,0.2273,1,1,1,0,high,Arnaud; Laurent; Ludovic-Oscar Frossard; Olivier; Roy
financierecaoutchoucs,Financière des Caoutchoucs,Algérie,executive,69,5,0.0725,1,0,0,0,high,André Berthelot; Charles Poirson; Henri GOURDON; N. Arnold; de Beaumont
fonciereimmobilierevillealger,Compagnie Foncière et Immobilière de la Ville d'Alger,Algérie,executive,42,5,0.1190,1,0,0,0,medium,Dislère; Gastu; Pélegri; Rougier; [François] Gastu
gabon,Compagnie Française du Gabon,Afrique équatoriale française,executive,28,5,0.1786,1,0,1,0,high,Autran; Durand; Edmond du Vivier de Streel; Fontaine; Louis Marin
indochinoiseculturescambodge,Compagnie indochinoise de cultures Compagnie du Cambodge,Indochine,executive,19,5,0.2632,1,1,1,0,high,Ernest Outrey; Jean de Beaumont; Joseph Faisant; Paul Vidal; de Beaumont
indochinoiseplantationsreuniesmimot,Société indochinoise des plantations réunies de Mimot,Indochine,executive,20,5,0.2500,1,1,1,0,high,Gaston Fourn; Jean Rheims; Pierre Guesde; René Thion de la Chaume; Sébastien Foy
lyonmaroc,Lyon-Maroc,Maroc,executive,20,5,0.2500,1,0,1,0,low,CLÉMENT; François; Henry; Joannès Déchelette; Paul
minesbouarfa,Société des Mines de Bou-Arfa,Afrique occidentale française,executive,41,5,0.1220,1,1,1,1,high,Léon Mougeot; Michaux; Mougeot; Paul Bénazet; Yves le Trocquer
mineslaurium,Compagnie française des Mines du Laurium,Indochine,executive,90,5,0.0556,1,1,0,0,high,Chabert; Ernest Outrey; François Urruty; Henry; Huet
minierekanguet,"Société minière du Kanguet, puis Société nouvelle du Kanguet",Tunisie,executive,43,5,0.1163,1,1,0,0,low,Aubaret; Faure; Guérin; Maugras; Édouard Hunebelle
nickel,Société Le Nickel,Algérie,executive,84,5,0.0595,1,1,1,0,high,Ernest Roume; Henry Loste; Marcel Borduge; Paul Baudouin; Roume
optorg,Optorg,Indochine,executive,35,5,0.1429,1,1,0,0,high,André Thiers; Eugène CHARLES; Jean Raymond Schwob; Luc Durand-Reville; Raymond Poincaré
paysmoi,Pays moï,Indochine,executive,7,5,0.7143,1,1,0,0,high,Lalaurette; Monlaü; Pierre Marty; Renault; Rivoal
pekinsyndicateltd,The Pekin Syndicate Ltd,Chine,executive,32,5,0.1562,1,1,0,0,high,André Berthelot; Charles Victor; Gaston Camille Kahn; Jacques Arnavon; Émile Francqui
plantationsindochinoises,Plantations Indochinoises de thé,Indochine,executive,30,5,0.1667,1,1,0,0,high,Charles Michel-Côte; Jean de Beaumont; Pierre Guesde; Pierre Pagès; René Bouvier
sffc,SFFC,,executive,22,5,0.2273,1,1,1,1,high,Bouvier; Camille Barrère; Charles Aubert; Edmond Giscard d'Estaing; René Bouvier
sifa,SIFA,Indochine,executive,19,5,0.2632,1,1,0,0,high,Georges Mahé; Georges Maspero; Laurent; Mahé; [Georges] Mahé
socgenetsbergougnan,Soc. gén. Éts Bergougnan,,executive,19,5,0.2632,1,1,1,1,high,Dietin; Jacques-Achille Bardoux; Josse; ROBIN; René Bouvier
tabacsindochine,Tabacs d’Indochine,Empire ottoman/Turquie,executive,29,5,0.1724,1,0,0,0,medium,Girod; Monnier; San Simon; Simon; Stern
tramwayselectriquesoran,Tramways électriques d'Oran,Algérie,executive,34,5,0.1471,1,1,2,1,high,Chapsal; Fernand Chapsal; Georges Berthoulat; Guillon; SAINT-GERMAIN
transportsafrique,Compagnie Générale de transports en Afrique,Afrique équatoriale française,executive,25,5,0.2000,1,1,0,0,high,Antoine BLANC; Jacques-Marie-Joseph Delorme; Joseph Vadier; Marcel Bénard; Pierre Robert
unionelectriquerurale,Union électrique rurale,,executive,21,5,0.2381,1,1,2,2,high,Edmond Largier; Jacques DUBOIN; Jean de Ganay; Paul Bénazet; Yves le Trocquer
unionindustriellecredit,Union industrielle de crédit,Indochine,executive,57,5,0.0877,1,1,0,0,high,Alexandre Celier; Charles Sergent; Clément Moret; Jean Maroger; Émile Level
unionmines,Union des mines,Algérie,executive,73,5,0.0685,1,1,2,2,high,Alexandre Celier; Emmanuel Rousseau; François Pietri; Henri de Peyerimhoff; Jean Plichon
affreteursreunis,Affréteurs réunis,Afrique occidentale française,executive,44,4,0.0909,1,0,0,0,high,Giraud; Jean Sthul; Philibert; Stern
agricolethescafeskontum,Compagnie agricole des thés et cafés du Kontum,Indochine,executive,16,4,0.2500,1,1,0,0,high,Gaston Fourn; Georges Maspero; Maspero; Maurice Le Gallen
alfa,L'Alfa,Algérie,executive,39,4,0.1026,1,1,3,2,high,Adolphe-Marie Messimy; Georges Berthoulat; Pierre Desforges; Victor Blanchet
