company_id,name,placement_level,anchor,anchor_territory,group,lat,lon,filed_territory,n_countries_listed,sector_group,degree,weighted_degree,reason
rizeriesindochinoises,Rizeries indochinoises,city,Haïphong,Indochine,empire,20.865,106.684,Algérie,4,mining,56,122,place_listed
commercialeindustriellecoteafrique,Société Commerciale et Industrielle de la Côte d'Afrique,city,Marseille,France,metropole,43.296,5.37,Afrique occidentale française,1,trade,95,149,place_listed
commercialetunisienne,Société Commerciale Tunisienne,city,Paris,France,metropole,48.857,2.352,Afrique occidentale française,5,transport,120,192,head_office_observed
creditfonciermadagascar,Crédit foncier de Madagascar,unplaced,,,,,,Indochine,4,finance,175,272,filed under 4 countries
creditfonciermadagascarcreditfonciermadagascarreunion,"Crédit foncier de Madagascar, Crédit foncier de Madagascar et de la Réunion",city,Paris,France,metropole,48.857,2.352,Madagascar,1,finance,125,198,place_listed
industriellebasogooue,Société Industrielle du Bas-Ogooué,city,Casablanca,Maroc,empire,33.573,-7.59,Afrique équatoriale française,4,finance,186,238,head_office_observed
socindbasogooue,Soc. an. ind. du BAS-OGOOUÉ,territory,Afrique équatoriale française,Afrique équatoriale française,empire,0.915,12.745,Afrique équatoriale française,1,not_a_sector,119,139,single filing country
internationaleregiecointeresseetabacsmaroc,Société internationale de régie co-intéressée des Tabacs au Maroc,unplaced,,,,,,Algérie,2,food_processing,110,157,filed under 2 countries
tabacsmaroc,Tabacs au Maroc,territory,Maroc,Maroc,empire,33.261,-6.988,Maroc,1,food_processing,123,184,single filing country
kratie,Kratié,city,Casablanca,Maroc,empire,33.573,-7.59,Indochine,1,plantations,84,149,head_office_observed
plantationskratie,Société des plantations de Kratié,territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,plantations,81,142,single filing country
magasinsmodernesfilialecommunenouvellesgaleriesparisfrance,"Magasins modernes, filiale commune des Nouvelles Galeries et de Paris-France",city,Paris,France,metropole,48.857,2.352,Empire (transversal),0,trade,51,75,head_office_observed
parisfrance,Paris-France,city,Paris,France,metropole,48.857,2.352,Empire (transversal),0,trade,42,68,head_office_observed
ouenza,Société de l'Ouenza,unplaced,,,,,,Algérie,3,mining,230,327,filed under 3 countries
socouenza,Soc. de l'OUENZA,territory,Algérie,Algérie,empire,35.905,3.334,Algérie,1,not_a_sector,77,103,single filing country
aiglevie,Aigle-Vie,unplaced,,,,,,Algérie,2,not_a_sector,49,98,filed under 2 countries
soleilvie,Soleil-Vie,unplaced,,,,,,Algérie,2,not_a_sector,49,96,filed under 2 countries
ballandefils,Ballande et fils,city,Nouméa,Nouvelle-Calédonie,empire,-22.276,166.458,Nouvelle-Calédonie (Mélanésie),1,unclassified,24,67,head_office_observed
etablissementsballande,Établissements Ballande,city,Bordeaux,France,metropole,44.838,-0.579,Nouvelle-Calédonie (Mélanésie),2,unclassified,41,86,place_listed
banquealgerie,BANQUE DE L'ALGERIE,city,Paris,France,metropole,48.857,2.352,Afrique occidentale française,9,finance,218,314,head_office_observed
banqueindustrielleafriquenord,Banque industrielle de l'Afrique du Nord,city,Paris,France,metropole,48.857,2.352,Afrique occidentale française,3,finance,238,311,place_listed
banquemadagascar,Banque de Madagascar,city,Paris,France,metropole,48.857,2.352,Madagascar,2,finance,191,240,head_office_observed
banquemadagascarcomores,Banque de Madagascar et des Comores,unplaced,,,,,,Afrique occidentale française,7,finance,232,303,filed under 7 countries
distilleriesiindochine,Société française des Distilleries de I'Indochine,territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,unclassified,197,281,single filing country
distilleriesindochine,Distilleries de l’Indochine,city,Paris,France,metropole,48.857,2.352,Indochine,1,food_processing,270,394,head_office_observed
frsephosphatesoceanie,Cie frse des PHOSPHATES de l'OCÉANIE,territory,Tahiti (Polynésie),Tahiti (Polynésie),empire,-17.535,-149.57,Tahiti (Polynésie),1,unclassified,78,131,single filing country
phosphatesoceanie,Compagnie française des Phosphates de l'Océanie,city,Paris,France,metropole,48.857,2.352,Tahiti (Polynésie),1,unclassified,108,190,head_office_observed
agricoleindustriellemadagascar,Compagnie Agricole et Industrielle de Madagascar,city,Marseille,France,metropole,43.296,5.37,Madagascar,1,food_processing,96,165,head_office_observed
marseillaisemadagascar,Compagnie Marseillaise de Madagascar,unplaced,,,,,,Indochine,2,trade,56,103,filed under 2 countries
aiglecapitalisation,Aigle-Capitalisation,unplaced,,,,,,Empire (transversal),0,not_a_sector,36,81,no country listed
aigleincendie,Aigle-Incendie,unplaced,,,,,,Empire (transversal),0,not_a_sector,49,71,no country listed
soleilincendie,Soleil-Incendie,unplaced,,,,,,Algérie,3,not_a_sector,49,70,filed under 3 countries
centraleenergieelectrique,Centrale d'Énergie électrique,city,Paris,France,metropole,48.857,2.352,Algérie,2,utilities,146,205,head_office_observed
centraleenergieelectriquerouenchateauroux,"Cie Centrale d'énergie électrique, Rouen, Châteauroux",city,Alger,Algérie,empire,36.753,3.06,Algerie,0,utilities,171,231,place_listed
chadeholdingespagnol,CHADE (holding espagnol),unplaced,,,,,,Empire (transversal),0,not_a_sector,42,81,no country listed
sodecelectriciteholdingluxembourgeois,SODEC (Société d’électricité)(holding luxembourgeois),unplaced,,,,,,Empire (transversal),0,not_a_sector,39,78,no country listed
sucreriescolonialescolonialeagricolecommerciale,"Sucreries coloniales (Société coloniale, agricole, commerciale et",territory,La Réunion,La Réunion,empire,-20.882,55.45,La Réunion,1,unclassified,42,74,single filing country
constructionafricaine,La Construction africaine,unplaced,,,,,,Afrique occidentale française,8,construction,183,262,filed under 8 countries
financieretransportsentreprisesindustrielles,Société Financière de Transports et d'entreprises industrielles,city,Bruxelles,Belgique,foreign,50.851,4.352,Empire (transversal),0,utilities,29,53,place_listed
sofinafinancieretransportsentreprisesindustrielles,SOFINA (Société financière de transports et d’entreprises industrielles),unplaced,,,,,,Empire (transversal),0,not_a_sector,48,96,no country listed
grandeile,Société La Grande Île,city,Nossi-Bé,Madagascar,empire,-13.317,48.258,Madagascar,1,unclassified,22,44,head_office_observed
grandelle,Grande lle,territory,Madagascar,Madagascar,empire,-17.592,47.361,Madagascar,1,not_a_sector,12,25,single filing country
indochinoiseculturestropicales,Société Indochinoise des Cultures tropicales,territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,plantations,328,625,single filing country
socindochinoiseculturestropicales,Soc. Indochinoise des CULTURES TROPICALES,territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,not_a_sector,121,155,single filing country
industrielleexportationextremeorient,Société Industrielle d'Exportation en Extrême-Orient,city,Toulouse,France,metropole,43.605,1.444,Indochine,1,trade,18,30,place_listed
mmhbaudonmonygrenierjchaussonpboyegpincemin,"MM. H. Baudon de Mony, A. Grenier, J. Chausson, P. Boyé, G. Pincemin et Cie",territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,trade,8,20,single filing country
minesfaleme,Mines de Falémé,territory,Sénégal,Sénégal,empire,14.496,-16.75,Sénégal,1,mining,50,70,single filing country
minesfalemegambie,Compagnie des Mines de Falémé-Gambie,city,Paris,France,metropole,48.857,2.352,Afrique occidentale française,6,mining,90,125,head_office_observed
minieremetallurgiqueindochinemineschodienfonderiezincquangyen,"Cie Minière et métallurgique de l'Indochine, mines à Cho-Diên, fonderie de zinc à Quang-Yên",territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,mining,100,149,single filing country
socminesetainhauttonkin,Soc. des MINES D'ÉTAIN DU HAUT-TONKIN,territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,not_a_sector,104,154,single filing country
poinsardveyret,POINSARD et VEYRET,city,Pnom-Penh,Indochine,empire,11.562,104.916,Indochine,1,not_a_sector,72,109,head_office_observed
rizeriesextremeorient,Rizeries d'Extrême-Orient,city,Cholon,Indochine,empire,10.75,106.65,Algérie,4,mining,167,258,place_listed
soctramwaysalgeriens,Soc. des TRAMWAYS ALGÉRIENS,territory,Algérie,Algérie,empire,35.905,3.334,Algérie,1,not_a_sector,16,28,single filing country
tramwaysalgeriens,Société des Tramways algériens,city,Paris,France,metropole,48.857,2.352,Algérie,1,transport,62,79,head_office_observed
ufeo,UFEO,territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,conglomerate,109,149,single filing country
unionfinanciereextremeorient,Union financière d'Extrême-Orient,city,Djibouti,Djibouti,empire,11.588,43.145,Indochine,1,conglomerate,104,146,head_office_observed
abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,city,Casablanca,Maroc,empire,33.573,-7.59,Maroc,1,food_processing,141,209,head_office_observed
afriquenord,AFRIQUE du NORD,territory,Algérie,Algérie,empire,35.905,3.334,Algérie,1,construction,33,62,single filing country
commercialeminiereafriquenord,Société Commerciale et Minière pour l'Afrique du Nord,city,Alger,Algérie,empire,36.753,3.06,Algérie,2,construction,31,57,place_listed
reassurancesvie,Compagnie générale de réassurances-vie,unplaced,,,,,,Empire (transversal),0,not_a_sector,36,79,no country listed
soleilcapitalisation,Soleil-Capitalisation,unplaced,,,,,,Empire (transversal),0,not_a_sector,35,77,no country listed
anciensetablissementschpeyrissaccoloniale,Anciens Établissements Ch. Peyrissac et Compagnie (Compagnie coloniale de,city,Bordeaux,France,metropole,44.838,-0.579,Afrique occidentale française,1,trade,39,81,head_office_observed
anciensetablissementschpeyrissaccolonialeafrique,Anciens Établissements Ch. Peyrissac et Cie (Cie coloniale de l'Afrique,territory,Afrique occidentale française,Afrique occidentale française,empire,11.05,-8.462,Afrique occidentale française,1,not_a_sector,50,98,single filing country
auxiliaireafricaine,Société Auxiliaire africaine,city,Bordeaux,France,metropole,44.838,-0.579,Afrique occidentale française,6,food_processing,120,196,place_listed
auxiliaireafricainedeveloppementcommerce,"Société auxiliaire africaine pour le développement du commerce, de",territory,Afrique occidentale française,Afrique occidentale française,empire,11.05,-8.462,Afrique occidentale française,1,finance,89,139,single filing country
banquealgerietunisie,Banque de l’Algérie et de la Tunisie,unplaced,,,,,,Empire (transversal),0,not_a_sector,37,56,no country listed
banquesyriegrandliban,Banque de Syrie et du Grand-Liban,city,Paris,France,metropole,48.857,2.352,Empire ottoman/Turquie,2,finance,156,199,head_office_observed
banquesyrieliban,Banque de Syrie et du Liban,unplaced,,,,,,Algérie,6,finance,157,202,filed under 6 countries
chargeursreunis,Chargeurs réunis,unplaced,,,,,,Afrique occidentale française,6,finance,212,288,filed under 6 countries
navigationsudatlantique,Compagnie de Navigation Sud-Atlantique,city,Paris,France,metropole,48.857,2.352,Afrique occidentale française,4,transport,268,353,head_office_observed
cheminsfertramwaysvargard,Société des Chemins de fer et tramways du Var et du Gard,city,Toulon,France,metropole,43.125,5.93,Empire (transversal),0,transport,75,125,head_office_observed
tramways,Compagnie Générale Française de Tramways,city,Paris,France,metropole,48.857,2.352,Indochine,2,finance,179,337,head_office_observed
commercialeagricolemaroc,Commerciale et Agricole du Maroc,city,Meknès,Maroc,empire,33.895,-5.555,Maroc,1,food_processing,22,38,place_listed
leoncegiraud,Léonce Giraud,territory,Maroc,Maroc,empire,33.261,-6.988,Maroc,1,not_a_sector,23,40,single filing country
creditfoncieragricolealgerie,Crédit foncier et agricole d'Algérie,city,Alger,Algérie,empire,36.753,3.06,Afrique occidentale française,5,finance,108,138,head_office_observed
creditfoncierouestafricain,Crédit foncier de l'Ouest-Africain,city,Dakar,Sénégal,empire,14.716,-17.467,Afrique occidentale française,2,finance,210,320,place_listed
djebeldjerissa,Société du Djebel-Djerissa,unplaced,,,,,,Afrique occidentale française,6,finance,125,206,filed under 6 countries
mineraisfermagnetiquesmoktaelhadid,Cie des minerais de fer magnétiques de Mokta-el-Hadid,unplaced,,,,,,Algérie,2,mining,173,293,filed under 2 countries
energieelectriqueindochinoise,Énergie électrique indochinoise,city,Paris,France,metropole,48.857,2.352,Algérie,3,utilities,121,186,head_office_observed
etudesmarocainescommerceagriculturemines,"Société d'Études marocaines pour le commerce, l'agriculture et les mines",city,Londres,Royaume-Uni,foreign,51.507,-0.128,Maroc,1,finance,106,143,head_office_observed
etudesmarocainescommerceiindustriemines,"Sté d'études marocaines pour le commerce, I'industrie et les mines",territory,Maroc,Maroc,empire,33.261,-6.988,Maroc,1,transport,57,70,single filing country
uniontropicaleplantations,Union tropicale de plantations,unplaced,,,,,,Afrique occidentale française,2,food_processing,54,151,filed under 2 countries
franconeerlandaiseculturecommerce,Société Franco-néerlandaise de culture et de commerce,city,La Haye,Pays-Bas,foreign,52.078,4.31,Java et Sumatra (Indes néerlandaises),1,plantations,91,120,head_office_observed
tunisiennecultures,Société Tunisienne de cultures,unplaced,,,,,,Madagascar,3,food_processing,99,120,filed under 3 countries
graphitessahanavo,"Société des Graphites de la Sahanavo, puis Sahanavo, société malgache d'exploitations minières",territory,Madagascar,Madagascar,empire,-17.592,47.361,Madagascar,1,mining,54,68,single filing country
socgraphitessahanavo,Soc. des GRAPHITES de la SAHANAVO,territory,Madagascar,Madagascar,empire,-17.592,47.361,Madagascar,1,not_a_sector,28,40,single filing country
huileriesrizeriesouestafricaines,Société des Huileries et rizeries ouest-africaines,city,Kaolack,Sénégal,empire,14.152,-16.073,Sénégal,1,food_processing,72,105,head_office_observed
huileriesrizeriesouestafricainesh,Société des huileries et rizeries ouest-africaines (S.H,territory,Afrique occidentale française,Afrique occidentale française,empire,11.05,-8.462,Afrique occidentale française,1,not_a_sector,73,123,single filing country
hydrauliqueasie,L'Hydraulique-Asie,city,Saïgon,Indochine,empire,10.776,106.7,Indochine,2,construction,104,145,head_office_observed
hydrauliqueasiesaigoncorr,L'HYDRAULIQUE-ASIE Saïgon. Corr,territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,construction,89,127,single filing country
plantationskantroioukantroy,Plantations de Kantroï ou Kantroy,territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,plantations,128,203,single filing country
indochinoiseforestiereallumettes,Société indochinoise forestière et des allumettes,city,Saïgon,Indochine,empire,10.776,106.7,Indochine,1,not_a_sector,119,176,head_office_observed
sifa,SIFA,city,Saïgon,Indochine,empire,10.776,106.7,Indochine,1,wood_paper,111,156,head_office_observed
manufacturesindochinoisescigarettes,Manufactures indochinoises de cigarettes,city,Cholon,Indochine,empire,10.75,106.65,Indochine,1,food_processing,131,222,place_listed
messageriesfluvialescochinchine,Messageries fluviales de Cochinchine,territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,finance,181,295,single filing country
mineraisferkrivoirog,Société des Minerais de fer de Krivoï-Rog,territory,Tunisie,Tunisie,empire,36.049,10.005,Tunisie,1,mining,133,176,single filing country
minesouastamesloula,Compagnie des mines de Ouasta et de Mesloula,city,Paris,France,metropole,48.857,2.352,Algérie,2,mining,85,137,head_office_observed
phosphatescheminsfergafsa,Compagnie des phosphates et chemins de fer de Gafsa,city,Paris,France,metropole,48.857,2.352,Algérie,4,finance,157,270,head_office_observed
minieremetallurgiqueindochine,Cie minière et métallurgique de l'Indochine,territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,conglomerate,169,237,single filing country
palmeraiescameroun,Compagnie des Palmeraies du Cameroun,unplaced,,,,,,Afrique occidentale française,7,food_processing,49,82,filed under 7 countries
tabacscameroun,"Cie des Tabacs du Cameroun, puis Tabacs et plantations du Cameroun, puis Plantations de Nyombé-Penja",unplaced,,,,,,Afrique équatoriale française,2,food_processing,27,44,filed under 2 countries
unionpapeteries,Union française de papeteries,city,Lyon,France,metropole,45.764,4.836,Empire (transversal),0,trade,25,44,head_office_observed
phosphatesconstantine,Compagnie des Phosphates de Constantine,unplaced,,,,,,Algérie,2,mining,114,196,filed under 2 countries
unionmines,Union des mines,city,Paris,France,metropole,48.857,2.352,Algérie,6,finance,196,268,head_office_observed
portsmarocains,Ports marocains,territory,Maroc,Maroc,empire,33.261,-6.988,Maroc,1,transport,210,305,single filing country
portsmarocainsmehedyakenitrarabatsale,Société des Ports marocains de Mehedya-Kenitra et Rabat-Salé,city,Paris,France,metropole,48.857,2.352,Algérie,2,transport,107,159,head_office_observed
salinesdjiboutimadagascar,Salines de Djibouti et de Madagascar,territory,Tunisie,Tunisie,empire,36.049,10.005,Tunisie,1,mining,194,308,single filing country
salinesdjiboutisfaxmadagascar,"Salines de Djibouti, Sfax et Madagascar",city,Paris,France,metropole,48.857,2.352,Djibouti,2,mining,187,273,head_office_observed
soctabacsindochine,Soc. des TABACS DE L'INDO-CHINE,territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,not_a_sector,53,72,single filing country
tabacsindochine,Tabacs d’Indochine,city,Saïgon,Indochine,empire,10.776,106.7,Empire ottoman/Turquie,3,food_processing,174,250,place_listed
sucreriesmarseillaisesmadagascar,Sucreries marseillaises de Madagascar,territory,Madagascar,Madagascar,empire,-17.592,47.361,Madagascar,1,food_processing,53,84,single filing country
sucreriesmarseillaisesmadagascarnamakia,"Sucreries marseillaises de Madagascar, Namakia",city,Marseille,France,metropole,43.296,5.37,Madagascar,1,food_processing,58,90,head_office_observed
acierieslongwy,Société des Aciéries de Longwy,city,Marseille,France,metropole,43.296,5.37,Maroc,1,construction,87,108,head_office_observed
banqueindustriellechine,La Banque industrielle de Chine,unplaced,,,,,,Afrique occidentale française,3,finance,191,248,filed under 3 countries
afrique,L'Afrique française,city,Alger,Algérie,empire,36.753,3.06,Afrique occidentale française,5,food_processing,104,139,place_listed
huileriesmoyencongo,Huileries du Moyen-Congo,city,Pointe-Noire,Congo-Brazzaville,empire,-4.795,11.864,Afrique équatoriale française,2,food_processing,22,41,head_office_observed
afriquecongo,Afrique et Congo,unplaced,,,,,,Afrique occidentale française,4,finance,144,224,filed under 4 countries
messageriesfluvialescongo,Messageries fluviales du Congo,territory,Afrique équatoriale française,Afrique équatoriale française,empire,0.915,12.745,Afrique équatoriale française,1,finance,90,149,single filing country
caissereassurances,Caisse générale de réassurances,territory,Algérie,Algérie,empire,35.905,3.334,Algérie,1,finance,63,84,single filing country
alfa,L'Alfa,city,Paris,France,metropole,48.857,2.352,Algérie,1,wood_paper,102,126,head_office_observed
alfasocfabricationpatescellulose,"L'ALFA, Soc. an. pour la fabrication des pâtes de cellulose",territory,Algérie,Algérie,empire,35.905,3.334,Algérie,1,wood_paper,56,67,single filing country
anciensetablissementschpeyrissac,Anciens Établissements Ch. Peyrissac et Cie,city,Bordeaux,France,metropole,44.838,-0.579,Afrique occidentale française,1,finance,34,65,head_office_observed
poursuitescontredirigeantsbanqueindustriellechine,Les poursuites contre les dirigeants de la Banque industrielle de Chine,territory,Chine,Chine,foreign,31.141,116.503,Chine,1,unclassified,38,58,single filing country
brasseriesnordmarocain,Société des Brasseries du Nord-Marocain,city,Fès,Maroc,empire,34.034,-5.003,Maroc,1,food_processing,88,160,place_listed
brasseriesouestafricain,Société des Brasseries de l'Ouest Africain,city,Dakar,Sénégal,empire,14.716,-17.467,Afrique occidentale française,3,food_processing,125,212,place_listed
centraleindustrieelectrique,"Société Centrale pour l'industrie électrique, puis Centrale pour l'industrie . Participations en France, Algérie, Tunisie, Indochine, etc.",city,Paris,France,metropole,48.857,2.352,Empire ottoman/Turquie,2,utilities,189,251,head_office_observed
industrieelectrique,INDUSTRIE ÉLECTRIQUE,unplaced,,,,,,Empire (transversal),0,utilities,93,120,no country listed
charbonnagesbeeringen,Charbonnages de Beeringen,unplaced,,,,,,Empire (transversal),0,not_a_sector,44,64,no country listed
charbonnbeeringenb,Charbonn. de Beeringen (B.),unplaced,,,,,,Empire (transversal),0,not_a_sector,40,58,no country listed
cheminsfermarocoriental,Compagnie des Chemins de fer de du Maroc oriental,territory,Maroc,Maroc,empire,33.261,-6.988,Maroc,1,transport,155,235,single filing country
minesbouarfa,Société des Mines de Bou-Arfa,city,Paris,France,metropole,48.857,2.352,Afrique occidentale française,6,construction,132,204,head_office_observed
cherifiennepetroles,Société Chérifienne des Pétroles,city,Rabat,Maroc,empire,34.021,-6.841,Maroc,1,mining,92,139,head_office_observed
constructioncivile,Construction civile,territory,Maroc,Maroc,empire,33.261,-6.988,Maroc,1,not_a_sector,107,166,single filing country
constructionmarocaine,Construction marocaine (Anciennement,unplaced,,,,,,Empire ottoman/Turquie,2,not_a_sector,101,152,filed under 2 countries
marocaineentrepriseimmobilieremobiliere,"Société Marocaine d'entreprise générale immobilière et mobilière, puis La Construction marocaine et La Construction civile",city,Casablanca,Maroc,empire,33.573,-7.59,Maroc,1,construction,107,174,place_listed
constructions,Société de constructions,unplaced,,,,,,Empire (transversal),0,construction,111,152,no country listed
socindustrielleconstructions,Soc. industrielle de CONSTRUCTIONS,city,Paris,France,metropole,48.857,2.352,Afrique équatoriale française,2,not_a_sector,33,43,head_office_observed
dabou,DABOU,territory,Afrique occidentale française,Afrique occidentale française,empire,11.05,-8.462,Afrique occidentale française,1,not_a_sector,30,79,single filing country
eloka,ELOKA,territory,Afrique occidentale française,Afrique occidentale française,empire,11.05,-8.462,Afrique occidentale française,1,not_a_sector,20,40,single filing country
plantationsafriqueoccidentaleeloka,Plantations de l'Afrique occidentale à Éloka,territory,Côte d'Ivoire,Côte d'Ivoire,empire,5.883,-4.187,Côte d'Ivoire,1,food_processing,20,43,single filing country
