doc_id,company_key,company_name,member_key,name_clean,role,year,source_ref,annotation,region,country,sector,anchor_type,trigger,member_raw
afrique-du-nord-aec-1926-maroc-e65b4d,boulognemaroc,Boulogne-Maroc,unioncommercialeindochinoise,L'Union commerciale indochinoise,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,L'Union commerciale indochinoise
afrique-du-nord-aec-1926-maroc-e65b4d,boulognemaroc,Boulogne-Maroc,cimentsportlandboulonnais,Cie nouvelle des ciments Portland du Boulon-nais,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Cie nouvelle des ciments Portland du Boulon-nais
afrique-du-nord-aec-1926-maroc-e65b4d,habitationsmaroc,Société d'Habitations au Maroc,petschemarocainedistributioneau,Petsche (Société marocaine de distribution d'eau,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Petsche (Société marocaine de distribution d'eau
afrique-du-nord-aec-1926-maroc-e65b4d,immobilieremarrakech,Société immobilière de Marrakech,banquecolonialeetudes,Banque coloniale d'études,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Banque coloniale d'études
afrique-du-nord-aec-1926-maroc-e65b4d,charbonnierecasablanca,Cie charbonnière de Casablanca,barbermaroc,L. Barber. Cie française du Maroc,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),dash_entry,conseil_colon,L. Barber. Cie française du Maroc
afrique-du-nord-aec-1926-maroc-e65b4d,marocaineasiatiquepetroles,Cie marocaine et asiatique des pétroles,debenhamtramways,A.-S. Debenham. Cie des tramways,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),dash_entry,conseil_colon,A.-S. Debenham. Cie des tramways
afrique-du-nord-aec-1926-maroc-e65b4d,domainekorifla,Société an. du domaine de Korifla,henryvantichelenideautomobile,Henry van Tichelen Ide. Société Automobile,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),dash_entry,conseil_colon,Henry van Tichelen Ide. Société Automobile
afrique-du-nord-aec-1926-maroc-e65b4d,etudesentreprisesmaroc,Société d'études et d'entreprises au Maroc,leongerauddistilleriesmarocaines,Léon Géraud. Société des Distilleries marocaines,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),dash_entry,conseil_colon,Léon Géraud. Société des Distilleries marocaines
afrique-du-nord-aec-1926-maroc-e65b4d,fashionablehouse,Société « Fashionable House »,cboixfseindustrielle,C. Boix. Société fse industrielle,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),dash_entry,conseil_colon,C. Boix. Société fse industrielle
afrique-du-nord-aec-1926-maroc-e65b4d,industrielleagricolemarrakech,Société industrielle et agricole de Marrakech,paulvandenvenmarocaineagriculture,Paul Van den Ven. Société marocaine d'agriculture,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),dash_entry,conseil_colon,Paul Van den Ven. Société marocaine d'agriculture
