person_id,name,name_as_parsed,positionality,positionality_group,confidence,evidence,regions,countries,n_board_companies,n_board_ties,first_year,last_year
deveaud-p,Pierre Deveaud,Pierre Deveaud,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Afrique occidentale francaise,Afrique occidentale française; Afrique équatoriale française; Côte d'Ivoire,7,8,1932,1937
senn-e,E. Senn,E. Senn,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Empire (transversal); Indochine; Madagascar et Djibouti,Afrique équatoriale française; Indochine; Madagascar,7,5,1926,1956
assemat-g,Georges Assémat,Georges Assémat,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Empire (transversal),Afrique équatoriale française,7,1,1947,1956
de-lestang-l,Lucien de Lestang,Lucien de Lestang,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Empire (transversal),Afrique occidentale française; Côte d'Ivoire; Sénégal,7,4,1947,1963
impr-paris,Paris,impr. Paris,colonial,european_unspecified,low,residual_no_indigenous_marker;name_recovered,Afrique occidentale francaise; Indochine,Indochine; Sénégal,7,8,1927,1951
normand-g,G. Normand,G. Normand,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Proche-Orient,Empire ottoman/Turquie,7,3,1921,1956
jacque-l,L. Jacque,L. Jacque,colonial,european_unspecified,low,residual_no_indigenous_marker,Indochine,Indochine,7,8,1928,1938
boulle-r,René Boulle,René Boulle,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Indochine,Indochine,7,2,1951,1971
berthon-r,René Berthon,René Berthon,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
coquebert-de-neuville,Coquebert de Neuville,Coquebert de Neuville,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
curial-de-brevannes-f,François Amédée Curial de Brévannes,François Amédée Curial de Brévannes,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
fabry-jacques-ne-en-fils-de-rene-et-de-blanche-coc,Fils de René et de Blanche Cochery),Fabry (Jacques) (Né en 1906. Fils de René et de Blanche Cochery),unclassified,unusable_name,,name_is_parse_artefact,Empire (transversal),,7,0,1956,1956
peugeot,Peugeot,Peugeot,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
reumaux-pcomm-cptes,Reumaux (P.)(comm. cptes),Reumaux (P.)(comm. cptes),unclassified,unusable_name,,name_is_parse_artefact,Empire (transversal),,7,0,1956,1956
bloch-m,Marcel Bloch,Marcel Bloch,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Empire (transversal); Maroc; Tunisie,Maroc; Sénégal; Tunisie,7,7,1922,1958
meunier-r,R Meunier,R Meunier,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Empire (transversal); Madagascar et Djibouti; Maroc,Afrique occidentale française; Dahomey (Bénin); Djibouti; Maroc,7,5,1922,1963
construct,Construct,Construct,colonial,european_unspecified,low,residual_no_indigenous_marker,Maroc,Maroc,7,7,1921,1930
allier-j,Jacques Allier,Jacques Allier,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Maroc,Maroc,7,1,1935,1956
desbriere-g,Georges Desbrière,Georges Desbrière,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Maroc,Maroc,7,2,1949,1969
fonderies-de-pont-a-mousson,Fonderies de Pont-à-Mousson,Fonderies de Pont-à-Mousson,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Indochine; Maroc,Chine; Indochine; Maroc,7,7,1912,1969
keller,Keller,Keller,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Empire (transversal); Maroc,Afrique équatoriale française; Maroc,7,6,1921,1956
merlin-j,J. Merlin,J. Merlin,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Maroc,Maroc,7,1,1954,1956
textil-s,Soc Textil,Soc Textil,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Maroc,Maroc,7,1,1953,1956
debray-j,J Debray,J Debray,colonial,european_unspecified,low,residual_no_indigenous_marker,Algerie; Empire (transversal),Algérie,7,1,1945,1956
lorain-m,Lorain,Lorain,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Maroc,Maroc,7,3,1937,1956
fabre-f,F. FABRE,F. FABRE,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Indochine; Tunisie,Indochine; Tunisie,7,2,1904,1956
guerin-l,L. Guérin,L. Guérin,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Algerie; Empire (transversal); Pacifique,Afrique occidentale française; Algérie; Tahiti (Polynésie),7,3,1951,1956
metallurgique-de-l-indochine,métallurgique de l'Indochine,métallurgique de l'Indochine,unclassified,unusable_name,,name_is_parse_artefact,Afrique equatoriale francaise; Empire (transversal); Indochine,Afrique équatoriale française; Indochine,7,7,1890,1951
rocca,Rocca,Rocca,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Indochine; Madagascar et Djibouti; Pacifique,Afrique équatoriale française; Indochine; Madagascar; Tahiti (Polynésie),7,7,1890,1955
legrand-a,A.L Legrand,A.L Legrand,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Afrique occidentale francaise; Antilles-Guyane; Empire (transversal),Afrique occidentale française; Cameroun; Guadeloupe et Martinique; Guyane française,7,5,1922,1956
vidal-l,L. Vidal,L. Vidal,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Empire (transversal),Afrique occidentale française,7,4,1937,1963
mayer,Mayer,Mayer,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Indochine,Indochine,7,6,1920,1956
marterer-e,E. Marterer,E. Marterer,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,1,1931,1956
fontaine-j,J Fontaine,J Fontaine,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Indochine; Proche-Orient,Indochine; Syrie-Liban,7,4,1929,1956
de-lauzieres-j,Jean de Lauzières,Jean de Lauzières,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Indochine,Indochine,7,2,1933,1971
r-legrand,R LEGRAND,R LEGRAND,colonial,european_unspecified,low,residual_no_indigenous_marker,Indochine; Madagascar et Djibouti,Indochine; Madagascar,7,7,1938,1943
