person_id_1,person_id_2,weight,shared_companies
epinat-j,paris-e,6,africainetransports; franceauto; marocaineexploitationsminieres; minierebouazzergraara; omniumnordafricain; prospectionetudesminieresmaroc
benedic-e,guynet-d,6,afriquecongo; agencefrance; entreprisesafricaines; transportafrique; transporteafriqueparis; transportsafrique
epinat-j,grand-p,6,africainetransports; agencefrance; marocaineautomobiles; omniumnordafricain; prospectionetudesminieresmaroc; tifnouttiranimine
hersent-g,perrin-de-brichambaut-p,6,briqueteriesfedala; energieelectriquevillebizerte; francomarocainefedala; portfedala; salinesfedala; salinesmaroc
remond-j,trechot-f,6,alimaienne; bascongo; francbascongo; fsehautcongo; hautbascongo; hautcongo
joubert-j,lavril-m,6,assinie; commercialeafrique; forestieresanghaoubangui; immobilierefinanciereafricaine; importationboisexotiques; sanghalikouala
deveaud-p,faure-a,6,aboisso; commercialeafricaine; coteivoire; miniereniger; niger; proprietairekouilouniari
faure-a,thube-a,6,aboisso; commercialeafricaine; coteivoire; miniereniger; niger; proprietairekouilouniari
desbriere,nicol,6,afriqueequatoriale; agricolecommercialeindustriellelefini; congo; messageriesfluvialescongo; nkemenkeni; oubanguiombella
de-beaumont-j,de-rivaud-r,6,africaineforestiereagricole; dabou; equateur; forestiereequatoriale; forestiereequatorialeetudedvlpt; plantationssanaga
roullet-g,vieljeux-c,6,africaineforestiereagricole; culturescoteivoire; delmasvieljeux; equateur; navaledelmasvieljeux; plantationssanaga
maurel-j,maurel-l,6,chauxcimentssenegal; etablissementsmaurelhprom; etablissementsmaurelprom; maurelfreres; maurelprom; messageriesafricaines
cahen-fuzier-e,hirsch-h,6,agricoleindustriellesoudan; bamako; culturecotonniereniger; elevagenigerdire; messageriesafricaines; tambacuunda
cahen-fuzier-e,villars-r,6,agricoleindustriellesoudan; bamako; culturecotonniereniger; elevagenigerdire; messageriesafricaines; tambacuunda
hirsch-h,villars-r,6,agricoleindustriellesoudan; bamako; culturecotonniereniger; elevagenigerdire; messageriesafricaines; tambacuunda
braunschvig-g,godard-l,5,abattoirsmunicipauxindustrielsmaroc; abattoirsmunicipauxmaroc; chauxcimentsmateriauxconstructionmaroc; constructioncivile; huileriesmaghreb
godard-l,gompel-r,5,abattoirsmunicipauxindustrielsmaroc; abattoirsmunicipauxmaroc; chauxcimentsmateriauxconstructionmaroc; huileriesmaghreb; moulinsmaghreb
hersent,mesnier-j,5,entrepotsfrigorifiquesafriquenord; manutentionmarocaine; marocainecharbonsbriquettes; ouenza; portfedhala
hersent-g,murat-c,5,atlantide; marocainetransittransportatlantide; portfedhala; transportsmazeres; vulcanisationmoderne
gompel-r,katz,5,chargeursmarocains; chauxcimentsmateriauxconstruction; chauxcimentsmateriauxconstructionmaroc; etudesconstructions; moulinsmaghreb
ardoin-p,margot-m,5,cheminsfermaroc; cheminsfermarocoriental; energieelectriquemaroc; francoespagnolecheminfertangerfez; idem1948
godard-l,l-godard,5,fasielectricite; habitationsmaroc; marocaineentrepriseimmobilieremobiliere; moulinsmaghreb; portsmarocains
faivre-h,kreiss-p,5,brasseriescoteivoire; brasseriesmaroc; brasseriesnordmarocain; brasseriesouestafricain; renegastondreyfus
faivre-h,monnier-c,5,brasseriescoteivoire; brasseriesmaroc; brasseriesnordmarocain; brasseriesouestafricain; renegastondreyfus
faivre-h,orcel-j,5,brasseriescoteivoire; brasseriesmaroc; brasseriesnordmarocain; brasseriesouestafricain; renegastondreyfus
kreiss-p,monnier-c,5,brasseriescoteivoire; brasseriesmaroc; brasseriesnordmarocain; brasseriesouestafricain; renegastondreyfus
kreiss-p,orcel-j,5,brasseriescoteivoire; brasseriesmaroc; brasseriesnordmarocain; brasseriesouestafricain; renegastondreyfus
monnier-c,orcel-j,5,brasseriescoteivoire; brasseriesmaroc; brasseriesnordmarocain; brasseriesouestafricain; renegastondreyfus
atthalin-a,bourrellis-l,5,constructionafricaine; energieelectriquemaroc; entreprisesmaroc; francomarocaine; sebou
ph-fougerolle,rebuffel-c,5,constructionafricaine; entreprisesmaroc; portsmarocains; portsmarocainsmehedyakenitrarabatsale; portsmarocainsmehedyakenitrasalerabat
massenet-a,massenet-m,5,agricolenordafricain; comptoirminesgrandstravauxmaroc; directioncasablanca; marocaineexplosifsaccessoiresmines; marocaineexplosifscasablancamelilla
maarec-e,s-ettedgui-i,5,grandsbazarsmarocains; miroiteriemaroc; mobiliereimmobilierefrancomarocaine; parfumerieparisfiorquartieriatffoctobre; parisflor
berti-v,epinat-j,5,africaineateliersconstructionschwartzhautmont; africainetransports; franceauto; marocaineautomobiles; marocaineexploitationsminieres
froment-guieysse-g,lemoigne-e,5,algeriennemateriauxconstruction; etablissementssoussanafreres; immobilieremarrakech; nordafricaineetudesentreprises; sudmarocain
delgua-a,ferasson-l,5,cheminsfermarocoriental; idem1948; marocaineexploitationsminieresbouarfa; marocaineexploitationsminieresbouarfaparoujda; minesbouarfa
froment-guieysse-g,picot-h,5,chauxcimentssenegal; fonciereouestafricain; immobilierethies; immobilierethies20; sudmarocain
epinat-j,toussaint-g,5,automobilemarocaine; etablbozzibaudin; franceauto; nordautomobiles; omniumnordafricain
de-beaumont-j,hallet-r,5,equateur; forestiereequatoriale; granddrewin; minieremzaita; plantationssanaga
hersent-j,perrin-de-brichambaut-p,5,conservesfedalasardineriecascadec; energieelectriquevillebizerte; entrepotsfrigorifiquesafriquenord; portfedala; salinesfedala
de-montureux,th-ansbacher,5,milazzo; millaul; minesalgerietunisieomnium; omniumminesalgerietunisie; phosphatesconstantine
michenot-e,zafiropulo-d,5,acajouscoteivoire; boiscoloniaux; escande; exploitationsforestieresafricaines; plantationspalmeraiesogooue
ponche-e,remond-j,5,bascongo; francbascongo; fsehautcongo; hautbascongo; hautcongo
ponche-e,trechot-f,5,bascongo; francbascongo; fsehautcongo; hautbascongo; hautcongo
ponche-e,trechot-h,5,bascongo; francbascongo; fsehautcongo; hautbascongo; hautcongo
remond-j,trechot-h,5,bascongo; francbascongo; fsehautcongo; hautbascongo; hautcongo
trechot-f,trechot-h,5,bascongo; francbascongo; fsehautcongo; hautbascongo; hautcongo
desouches-b,weber-j,5,commercialeindustriellepalmeraiesafricaines; commercialesanghaoubangui; comptoirsreunisouestafricain; plantationstanoe; raymondbuurmans
mizraki-m,vacheret-c,5,agricolegabon; hautebokoue; kong; unionforestiereafricaine; unionforestiereogooue
benedic-e,pinci-m,5,diamantifereauriferehautesangha; diamantiferedarchalla; miniereoubanghioriental; recherchesauriferescamerouno; recherchesexploitationsdiamantiferes
calcat-f,mizraki-m,5,agboville; comptoirsafricains; cotonafricain; forestiereindenie; kong
barris-p,corbin-p,5,exploitationportservicespublicsportetiennesuivirezzousportetienne; industriellegrandepeche; industriellegrandepecheportetienne; ouestafricainecabotage; portetienne
hermann-du-pasquier,villars-r,5,agricoleindustrielleouestafricainissueabsorption; agricoleindustriellesoudan; culturecotonniereniger; elevagenigerdire; tambacuunda
bricard-l,fourn-g,5,alsaciennecoteivoire; bordelaiseforestiere; koba; occidentaleafricaine; scieriesafricaines
bricard-l,fousse-p,5,alsaciennecoteivoire; bordelaiseforestiere; koba; occidentaleafricaine; scieriesafricaines
fourn-g,fousse-p,5,alsaciennecoteivoire; bordelaiseforestiere; koba; occidentaleafricaine; scieriesafricaines
bedouet-j,begouen-m,5,agricoleindustriellesoudan; alsaciennecoteivoire; colonialegeranceetudes; culturesdiakandape; plantationshuileriesbingerville
begouen-m,godet-r,5,agricoleindustriellesoudan; alsaciennecoteivoire; culturesdiakandape; plantationsambidedisisal; plantationshuileriesbingerville
begouen-m,demachy-r,5,alsaciennecoteivoire; colonialegeranceetudes; plantationscasamance; plantationshautevolta; plantationshautevoltasisal
demachy-r,renoux-l,5,alsaciennecoteivoire; colonialegeranceetudes; plantationscasamance; plantationshautevolta; plantationshautevoltasisal
atthalin-a,braunschvig-g,4,abattoirsmunicipauxindustrielsmaroc; abattoirsmunicipauxmaroc; entreprisesmaroc; huileriesmaghreb
atthalin-a,godard-l,4,abattoirsmunicipauxindustrielsmaroc; abattoirsmunicipauxmaroc; huileriesmaghreb; sebou
braunschvig-g,gompel-r,4,abattoirsmunicipauxindustrielsmaroc; abattoirsmunicipauxmaroc; chauxcimentsmateriauxconstructionmaroc; huileriesmaghreb
de-caqueray-g,godard-l,4,abattoirsmunicipauxindustrielsmaroc; abattoirsmunicipauxmaroc; moulinsmaghreb; sebou
godard-l,katz-m,4,abattoirsmunicipauxindustrielsmaroc; abattoirsmunicipauxmaroc; huileriesmaghreb; moulinsmaghreb
berti-v,guerard-h,4,agricolemaroc; banquecommercialemaroc; developpementcasablanca; manutentionmarocaine
moreau-e,wibratte-l,4,banqueetatmaroc; cheminsfermaroc; energieelectriquemaroc; francoespagnolecheminfertangerfez
verge-c,wibratte-l,4,banqueetatmaroc; cheminsfermaroc; energieelectriquemaroc; scieriesafricaines
gradis-g,sicot-l,4,brasseriesmaroc; brasseriesnordmarocain; cherifienneengraisproduitschimiques; creditmarocain
monnier-c,sicot-l,4,brasseriesmaroc; brasseriesnordmarocain; creditmarocain; nordafricainefinancementparticipations
bonan-f,gradis-g,4,comptoirmaroc; culturesindustriellesmaroc; fruitieremaroc; marocainepiecommerceavecunionfseetranger
dal-piaz-j,piaz-d,4,entrepotsfrigorifiquesafriquenord; loiremaroc; marocainecharbonsbriquettes; portfedhala
godard-l,toussaint-g,4,habitationsmaroc; marocaineapprovisionnement; marocaineapprovisionnements; moulinsmaghreb
bouffe-g,marceron-m,4,africainearmement; charbonniereouestafricain; foncierafricain; marocainecharbonsbriquettes
gorchs-chacou-f,marceron-m,4,africainearmement; afriquenord; manutentionmarocaine; marocainecharbonsbriquettes
hersent,hersent-j,4,entrepotsfrigorifiquesafriquenord; marocainecharbonsbriquettes; ouenza; portfedhala
hersent,piaz-d,4,entrepotsfrigorifiquesafriquenord; manutentionmarocaine; marocainecharbonsbriquettes; portfedhala
hersent-j,mesnier-j,4,entrepotsfrigorifiquesafriquenord; marocainecharbonsbriquettes; ouenza; portfedhala
mesnier-j,piaz-d,4,entrepotsfrigorifiquesafriquenord; manutentionmarocaine; marocainecharbonsbriquettes; portfedhala
hersent-g,massena-a,4,atlantide; marocainetransittransportatlantide; pecheriesmarocaines; portfedhala
hersent-g,weisweiller-j,4,atlantide; cherifiennehivernage; marocainetransittransportatlantide; portfedhala
berthet-j,ferrant-r,4,chargeurs; chargeursmarocains; chauxcimentsmateriauxconstruction; chauxcimentsmateriauxconstructionmaroc
berthet-j,gompel-p,4,chargeurs; chargeursmarocains; chauxcimentsmateriauxconstruction; chauxcimentsmateriauxconstructionmaroc
berthet-j,katz,4,chargeurs; chargeursmarocains; chauxcimentsmateriauxconstruction; chauxcimentsmateriauxconstructionmaroc
ferrant-r,gompel-p,4,chargeurs; chargeursmarocains; chauxcimentsmateriauxconstruction; chauxcimentsmateriauxconstructionmaroc
ferrant-r,katz,4,chargeurs; chargeursmarocains; chauxcimentsmateriauxconstruction; chauxcimentsmateriauxconstructionmaroc
garenne-l,plisson-e,4,chargeursmarocains; cherifienneagricultureelevage; huileriessavonneriescherifiennes; moulinscherifiens
plisson-e,plisson-j,4,chargeursmarocains; cherifiennenavigation; huileriessavonneriescherifiennes; moulinscherifiens
ardoin-p,ferasson-l,4,cheminsfermaroc; cheminsfermarocoriental; idem1948; minesbouarfa
ardoin-p,guerin-a,4,cheminsfermaroc; cherifienneenergie; marocaineapplicationselectriques; minesbouarfa
atthalin-a,griolet-g,4,cheminsfermaroc; energieelectriquemaroc; maroc; sebou
e-du-marais,griolet-g,4,cheminsfermaroc; francoespagnolecheminfertangerfez; francoespagnolecheminfertangerfezconcessionobtenue; maroc
ferasson-l,guerin-a,4,cheminsfermaroc; marocaineexploitationsminieresbouarfa; marocaineexploitationsminieresbouarfaparoujda; minesbouarfa
griolet-g,masson-r,4,cheminsfermaroc; energieelectriquemaroc; francoespagnolecheminfertangerfez; maroc
griolet-g,moreau-e,4,cheminsfermaroc; energieelectriquemaroc; francoespagnolecheminfertangerfez; maroc
masson-r,moreau-e,4,cheminsfermaroc; energieelectriquemaroc; francoespagnolecheminfertangerfez; maroc
bonfils-m,thuillier-j,4,fasielectricite; hydrauliqueafrique; marocaineapplicationselectriques; marocainedistributioneaugazelectricite
danset-m,laroche-h,4,frsepetrolesmaroc; fsepetrolesmaroc; marocaineasiatiquepetroles; petrolesmaroc
hersent-g,michel-cote-c,4,francomarocainefedala; francomarocainefedhala; portfedala; portfedhala
hersent-g,thomas-g,4,briqueteriesfedhala; energieelectriquevillebizerte; francomarocainefedhala; portfedhala
michel-c,riollot-j,4,metallurgiqueminierefrancomarocaine; mineszaghouan; minieredjebellorbeus; minieredjendli
hersent-j,murat-c,4,portfedhala; stearineriemarocaine200; transportsmazeres; vulcanisationmoderne
massena-a,prince-d-essling,4,cherifienneengraisproduitschimiques; culturesdiakandape; moulinsmaghreb; portfedhala
estier-f,estier-h,4,entreprisemaritimecommerciale; etudescommercemaroc; foncieremarocaine; manutentionmarocaine
marchal,marchal-c,4,francomarocaine; omniumentreprises; ouenza; portsmarocains
faivre-h,gaston-dreyfus-r,4,brasseriescoteivoire; brasseriesmaroc; brasseriesnordmarocain; brasseriesouestafricain
gaston-dreyfus-r,kreiss-p,4,brasseriescoteivoire; brasseriesmaroc; brasseriesnordmarocain; brasseriesouestafricain
gaston-dreyfus-r,monnier-c,4,brasseriescoteivoire; brasseriesmaroc; brasseriesnordmarocain; brasseriesouestafricain
bourrellis-l,dayde-j,4,entreprisesmaroc; francomarocaine; portsmarocains; portsmarocainsmehedyaportlyautey
bourrellis-l,julien,4,energieelectriquemaroc; entreprisesmaroc; marocaineexploitationsforestieres; portsmarocains
dayde-h,ph-fougerolle,4,entreprisesmaroc; portsmarocains; portsmarocainsmehedyakenitrarabatsale; portsmarocainsmehedyakenitrasalerabat
dayde-h,rebuffel-c,4,entreprisesmaroc; portsmarocains; portsmarocainsmehedyakenitrarabatsale; portsmarocainsmehedyakenitrasalerabat
aug-galtier,rebuffel-c,4,portsmarocains; portsmarocainsmehedyakenitrarabatsale; portsmarocainsmehedyakenitrasalerabat; portsmarocainsmehedyaportlyautey
bourrellis-l,godard-l,4,habitationsmaroc; marocaineexploitationsforestieres; portsmarocains; sebou
hornung-j,piot-m,4,cherifiennecolonisation; foncierecasablanca; foncierecasablanca3; immobilierecasablanca
buhot-h,zafiropulo-d,4,constructionelectrique; creditfoncieralgerietunisie; foncieremarocaine; mineschabetkohol
bonan-f,maarec-e,4,miroiteriemaroc; mobiliereimmobilierefrancomarocaine; parfumerieparisfiorquartieriatffoctobre; parisflor
bonan-f,murat-c,4,miroiteriemaroc; mobiliereimmobilierefrancomarocaine; parfumerieparisfiorquartieriatffoctobre; parisflor
bonan-f,s-ettedgui-i,4,miroiteriemaroc; mobiliereimmobilierefrancomarocaine; parfumerieparisfiorquartieriatffoctobre; parisflor
maarec-e,murat-c,4,miroiteriemaroc; mobiliereimmobilierefrancomarocaine; parfumerieparisfiorquartieriatffoctobre; parisflor
murat-c,s-ettedgui-i,4,miroiteriemaroc; mobiliereimmobilierefrancomarocaine; parfumerieparisfiorquartieriatffoctobre; parisflor
renaudin-l,trelat-m,4,algerienneproduitschimiquesengrais; cheminsfertunisiens; creditfoncieralgerietunisie; marocaine
epinat-j,lyon-levy,4,africaineateliersconstructionschwartzhautmont; agencefrance; omniumnordafricain; transportstourismemaroc
cahen-d-anvers-c,ledoux-f,4,fruitieremaroc; marocainebenimtir; marocainesiditaibi; materieltravauxagricoles
berti-v,guerin-a,4,marocaineexploitationsminieres; marocaineexploitationsminieresbouarfa; marocaineexploitationsminieresbouarfaparoujda; minesbouarfa
de-joannis-e,gradis-g,4,agricoledoukkala; culturesindustriellesmaroc; fruitieremaroc; marocainesiditaibi
ortal-g,paitel-g,4,immobilierenordmarocain; merinosmarocain; olivettesmarocaines; olivettesnordmarocain
sagot-a,toussaint-g,4,agavesagadir; agavesmaroc; approvisionnement; lesieurafrique
granier-deferre-h,mory-g,4,cherifienneetablissementsmory; dakaroisepetrolesmory; marocainepetrolesmory; unioncomptoirsoutremerunicomer
grand-p,mourgnot-p,4,agencefrance; omniumnordafricain; prospectionetudesminieresmaroc; tifnouttiranimine
de-beaumont-j,japhet-e,4,dabou; forestiereequatoriale; forestiereequatorialeetudedvlpt; minieremzaita
de-lapeyriere-j,hersent-m,4,briqueteriesfedala; francomarocainefedala; hersent; portfedala
de-lapeyriere-j,perrin-de-brichambaut-p,4,briqueteriesfedala; francomarocainefedala; hersent; portfedala
hersent-m,perrin-de-brichambaut-p,4,briqueteriesfedala; francomarocainefedala; hersent; portfedala
foucault-g,perrin-de-brichambaut-p,4,conservesfedalasardineriecascadec; entrepotsfrigorifiquesafriquenord; francomarocainefedala; salinesfedala
curral-j,orcel-j,4,brasseriescoteivoire; brasseriesouestafricain; carrieresmarocaines; renegastondreyfus
benedic-e,congo,4,africaine; miniereoubanghioriental; transportafrique; transportsoubanguicameroun
brussel-j,dromel-p,4,africaine; eloka; messageriesafricaines; plantationsafriqueoccidentaleeloka
brussel-j,lehideux-p,4,africaine; eloka; messageriesafricaines; plantationsafriqueoccidentaleeloka
dromel-p,lehideux-p,4,africaine; eloka; messageriesafricaines; plantationsafriqueoccidentaleeloka
guynet-w,weber-j,4,africaine; commercialeindustriellepalmeraiesafricaines; exploitationsforestieresafricaines; forestieresanghaoubangui
lefevre-c,pecqueur-w,4,africaine; commercialeafriqueequatoriale; equatoriale; forestiereezanga
bricka-c,de-montaigu-r,4,dakaroisepetrolesmory; depotspetroliersafriqueoccidentale; depotspetrolierscamerounbp; marocainepetrolesmory
faivre-h,glacieres-de-l-indochine,4,brasseriescoteivoire; brasseriesnordmarocain; brasseriesouestafricain; renegastondreyfus
gaston-dreyfus-r,glacieres-de-l-indochine,4,brasseriescameroun; brasseriescoteivoire; brasseriesnordmarocain; brasseriesouestafricain
glacieres-de-l-indochine,kreiss-p,4,brasseriescoteivoire; brasseriesnordmarocain; brasseriesouestafricain; renegastondreyfus
glacieres-de-l-indochine,monnier-c,4,brasseriescoteivoire; brasseriesnordmarocain; brasseriesouestafricain; renegastondreyfus
glacieres-de-l-indochine,orcel-j,4,brasseriescoteivoire; brasseriesnordmarocain; brasseriesouestafricain; renegastondreyfus
delattre-l,delgua-a,4,cheminsfermarocoriental; idem1948; marocaineexploitationsminieresbouarfa; marocaineexploitationsminieresbouarfaparoujda
delattre-l,ferasson-l,4,cheminsfermarocoriental; idem1948; marocaineexploitationsminieresbouarfa; marocaineexploitationsminieresbouarfaparoujda
bellanger-a,boissonnas-r,4,minesbouskour; minesbouskourfiliale1956607boleo; minesissougri; miniereafema
chev-lh,off-lh,4,algerienneglacehygieniqueentreposagefrigorifique; cheminferdakarsaintlouis; cheminsferestalgerien; fonciereimmobilierevillealger
mirabaud-e,pallier-j,4,algerienne; algerienneproduitschimiquesengrais; cheminsferroutesalgerie; gafsa
godet-r,laminoirs-du-havre,4,africainearmement; constructionelectrique; forestiereafrique; unionfrancosyriennecomptoirsmediterraneens
montet-p,richard-e,4,clanet; commercialefrancoalgerienne; comptoirrepresentationsafrique; nationalecommerce
montet-p,viriville-g,4,clanet; commercialefrancoalgerienne; comptoirrepresentationsafrique; nationalecommerce
richard-e,viriville-g,4,clanet; commercialefrancoalgerienne; comptoirrepresentationsafrique; nationalecommerce
buhot-h,lebon-a,4,constructionelectrique; creditfoncieralgerietunisie; minesbouthaleb; mineschabetkohol
f-faure,faure-j,4,minesbouthaleb; minesfedjeladoum; mineszincguergour; minierekanguet
de-montureux,kapferer,4,milazzo; millaul; omniumminesalgerietunisie; phosphatesconstantine
kapferer,th-ansbacher,4,milazzo; millaul; omniumminesalgerietunisie; phosphatesconstantine
boussenot-g,rolin-j,4,afrique; entreprisestravaux; huileriesmoyencongo; miniereoubanghioriental
carnot-e,zafiropulo-d,4,boiscoloniaux; mineschabetkohol; phosphatescheminfergafsa; tunisiennephosphatesdjebelmdilla
davis-e,zafiropulo-d,4,boiscoloniaux; escande; phosphatescheminfergafsa; tunisiennephosphatesdjebelmdilla
gittens-w,zafiropulo-d,4,boiscoloniaux; escande; menzeldjemil; metallurgiquetunisie
michenot-e,zafiropulo-g,4,acajouscoteivoire; boiscoloniaux; escande; exploitationsforestieresafricaines
zafiropulo-d,zafiropulo-g,4,acajouscoteivoire; boiscoloniaux; escande; exploitationsforestieresafricaines
bouffe-g,fossorier-r,4,agenceabidjan; charbonniereouestafricain; foncierafricain; oranaisecharbonnages
fossorier-r,marceron-m,4,charbonniereouestafricain; foncierafricain; messageriesafricaines; senegalapprovisionnement
conchon-h,toutee-h,4,cameroun; nationalecameroun; nationaletonneliere; vignobleszayana
brack-g,remond-j,4,alimaienne; bascongo; francbascongo; hautcongo
brack-g,trechot-f,4,alimaienne; bascongo; francbascongo; hautcongo
remond-j,trechot-l,4,alimaienne; bascongo; hautbascongo; hautcongo
trechot-f,trechot-l,4,alimaienne; bascongo; hautbascongo; hautcongo
doumic-j,weber-j,4,commercialesanghaoubangui; exploitationsforestieresafricaines; plantationspalmeraiesogooue; plantationstanoe
michenot-e,weber-j,4,acajouscoteivoire; boiscoloniaux; exploitationsforestieresafricaines; plantationspalmeraiesogooue
weber-j,zafiropulo-d,4,acajouscoteivoire; boiscoloniaux; exploitationsforestieresafricaines; plantationspalmeraiesogooue
superville-m,weber-j,4,agricoleforestiereindustrielleafrique; banqueafriqueequatoriale; forestieresanghaoubangui; kouango
levy-g,picanon-e,4,boiscoloniaux; boiscoteivoire; kong; unionforestiereafricaine
monteil-j,perrin-l,4,groupementgabonais; minierecongo; miniereoubanghioriental; recherchesauriferesgabon
cahen-fuzier-e,hirsch-m,4,bamako; culturecotonniereniger; palmeraiescameroun; tabacscameroun
achard-g,poilay-e,4,banquecommercialeafricaine; creditfoncierafrique; creditfoncierafriqueequatorialebrazzaville; creditfoncierouestafricain
castres-saint-martin-g,tanqueray-g,4,agricolecommercialeindustriellebadikaha; agricolecommercialeindustriellebadikahacacib; creditfoncierafrique; foncierecoteafrique
castres-saint-martin-g,vezin-m,4,agricolecommercialeindustriellebadikaha; agricolecommercialeindustriellebadikahacacib; creditfoncierafrique; foncierecoteafrique
tanqueray-g,vezin-m,4,agricolecommercialeindustriellebadikaha; agricolecommercialeindustriellebadikahacacib; creditfoncierafrique; foncierecoteafrique
carre-r,guignabaudet-p,4,brulerie; commercialesanghaoubangui; commercialesanghaoubanguibrazzavillegroupe; plantationstanoe
clement-g,clement-m,4,comptoirboiscoloniaux; consortiumboisafricains; consortiumventeacajou; consortiumventeokoume
auvray-m,mizraki-m,4,agricolegabon; kong; maurelfreres; unionforestiereogooue
labat-r,mizraki-m,4,agricolegabon; hautebokoue; unionforestiereafricaine; unionforestiereogooue
labat-r,vacheret-c,4,agricolegabon; hautebokoue; unionforestiereafricaine; unionforestiereogooue
lemaitre-r,mizraki-m,4,agricolegabon; forestiereindenie; hautebokoue; plantationshuileriesbingerville
couriol-l,martin-g,4,forestiereabanga; forestierenombo; hautemondah; unioncolonialeagricoleforestiere
barris-p,benedic-e,4,industriellecoloniale; transportafrique; transporteafriqueparis; transportsafrique
perrin-l,pinci-m,4,groupementgabonais; miniereoubanghioriental; recherchesauriferescamerouno; recherchesauriferesgabon
de-rivaud-r,roullet-g,4,africaineforestiereagricole; bordelaiseafricaine; equateur; plantationssanaga
de-rivaud-r,ph-langlois-berthelot,4,bordelaiseafricaine; dabou; forestiereequatoriale; forestiereequatorialeetudedvlpt
beaujolin-j,girod-f,4,materielcolonial; materielcolonialfusion1953avecentreprisesafricaines; plantationsfoumban; plantationsfoumbankouti
colombes,lille-bonnieres-s,4,depotspetroliersafriqueoccidentale; depotspetrolierscamerounbp; depotspetroliersefbrazzavillebp; distributionpetrolesafrique
curral-j,glacieres-de-l-indochine,4,brasseriescameroun; brasseriescoteivoire; brasseriesouestafricain; renegastondreyfus
merle-m,mizraki-m,4,importationboisexotiques; kong; pecheralcharpentiertiassale; plantationshuileriesbingerville
buhan-p,thube-a,4,bordeauxdirectionnantes; commercialeafricaine; commercialeafricainesuitepascalbuhan; nigerguinee
duchesne-fournet-p,legrand-g,4,messageriesafricaines; minesfaleme; minesfalemegambie; minessenegambie
fossorier-r,lemaignen-r,4,agenceabidjan; dakarsoutes; messageriesafricaines; senegalapprovisionnement
