doc_id,territory,entry_type,name_listed,n_chars,register,n_name_forms,n_board_list,n_person_career,n_apposition,n_certificate,n_deed,n_press
inde-indochine-cci-hanoi-electeurs-1940-d90183,Indochine,source_document,Chambre de commerce et d'industrie de Hanoï,182403,board_list,54,1,76,0,0,0,3
inde-indochine-bq-indoch-hanoi-41e349,Indochine,company,"Banque de l’Indochine, Hanoï",181744,person_career,64,0,4,16,0,1,138
inde-indochine-michelin-ic-1925-1945-406aa0,Indochine,company,1925-1945,179601,apposition,27,0,0,12,0,0,81
inde-indochine-dtp-indochine-3c34da,Indochine,company,DTP,178760,person_career,61,0,4,7,0,0,106
empire-bordeaux-colonial-recueil-eb1fbb,(unfiled),source_document,Bordeaux colonial,173715,apposition,9,0,0,4,0,0,23
empire-vepc1-361127,(unfiled),company,"Vie économique Poitou-Charentes, n° 1",173422,no_signal,16,0,0,0,0,0,0
inde-indochine-eiffel-indochine-2b6337,Indochine,company,Eiffel et Constructions de Levallois-Perret en Indochine (1881-1965),172963,person_career,70,0,4,9,0,2,105
afrique-du-nord-merite-agricole-tunisie-be226a,Tunisie,source_document,Mérite agricole,170567,press,55,0,0,0,0,0,102
inde-indochine-bq-indus-chine-indochine-8e0af2,Chine,company,La Banque industrielle de Chine en Indochine,170146,apposition,19,0,0,6,0,2,59
afrique-occidentale-berry-aof-1956-1957-0ac4a6,Afrique occidentale française,source_document,"L'A.O.F. vue de l'A.O.F., par André et Madeleine Berry (21 articles dans « Combat », 28 juin 1956-27 juillet 1957)",169283,press,10,0,0,0,0,0,20
inde-indochine-expo-marseille-indo-chine-1906-413359,Indochine,source_document,Exposition nationale coloniale de Marseille (1906),164463,press,13,0,0,0,0,0,47
afrique-occidentale-frontiere-cote-ivoire-ghana-a12ce4,Côte d'Ivoire,source_document,Délimitation de la frontière entre la Côte d'Ivoire et le Ghana (1890),164111,press,12,0,0,0,0,0,20
inde-indochine-mission-economique-japonaise-ic-1925-fb5fac,Indochine,source_document,Mission économique japonaise en Indochine (1925),160892,apposition,14,0,0,4,0,0,28
afrique-occidentale-voyage-millies-lacroix-aof-47eef7,Afrique occidentale française,source_document,"Le voyage en A.O.F. de Milliès-Lacroix, ministre des colonies (13 avril-21 mai 1908)",158287,person_career,5,0,1,0,0,0,9
inde-indochine-haiphong-vs-chinois-1927-d90ea7,Indochine,source_document,Haïphong,157552,press,10,0,0,0,0,0,34
inde-indochine-hopital-lalung-bonnaire-cholon-ca1350,Indochine,company,"Hôpital municipal (ca 1893), hôpital indigène de Cochinchine (1920), hôpital Lalung-Bonnaire (1934), maternité, écoles d",152526,person_career,36,0,1,0,0,0,116
inde-indochine-amicale-corse-cochinchine-a4042e,Indochine,source_document,"Amicale corse de Cochinchine et la Fraternité ajaccienne, Saïgon",152100,person_career,21,0,4,0,0,2,71
inde-indochine-sfdic-tonkin-0698a4,Indochine,company,Distilleries de l’Indochine,151565,person_career,67,0,1,4,0,0,144
inde-indochine-direction-sante-cochinchine-1925-a6e5b6,Indochine,company,Direction de la Santé de la Cochinchine,149560,person_career,147,0,4,0,0,0,65
empire-legion-honneur-1931-expo-ec4fb6,(unfiled),source_document,Exposition coloniale internationale de Paris-Vincennes (1931),146105,person_career,4,0,7,0,0,0,2
inde-indochine-massacres-cite-heraud-ab2804,Indochine,source_document,"Massacres de la cité Héraud, Saïgon (25 septembre 1945)",145549,person_career,39,0,1,0,0,0,34
afrique-equatoriale-mission-marchand-b086fc,Afrique équatoriale française,source_document,Mission Marchand ou Mission Congo-Nil,144884,person_career,19,0,1,0,0,0,30
inde-indochine-ecole-rosel-saigon-979929,Indochine,company,"École des mécaniciens asiatiques dite École Rosel (1906), Saïgon. Cours de navigation (1930)",144171,person_career,32,0,2,0,0,0,66
inde-indochine-grands-magasins-reunis-3aa98c,Indochine,company,"Grands Magasins Réunis, Hanoï",143615,apposition,38,0,0,8,0,0,120
afrique-du-nord-dupont-interets-frs-c-f-e0d3df,Tunisie,company,"Maurice Dupont, « Les intérêts français contre l'intérêt de la France en Afrique du Nord » (Esprit, juillet 1952)",142413,no_signal,4,0,0,0,0,0,0
inde-indochine-port-nam-dinh-de66b8,Indochine,company,Nam-dinh,142394,press,16,0,0,0,0,0,31
inde-indochine-guillaumat-mines-indochine-40705c,Indochine,company,"L’industrie minérale de l’Indochine en 1937, par Pierre Guillaumat, suivi de la liste des concessions mortes et vives. R",141999,press,143,0,0,0,0,0,2
inde-indochine-o-connell-decimes-7578c7,Indochine,source_document,O'Connell (Hugues Joseph Eustache),141785,person_career,31,0,3,0,0,0,46
afrique-du-nord-francmacs-joef-maroc-2d5708,Maroc,source_document,Liste des francs-maçons du Maroc stigmatisés par le régime de Vichy,136076,press,52,0,0,0,0,0,109
empire-desfosses-1956-societes-ef2da0,(unfiled),source_document,Annuaire Desfossés 1956,135567,no_signal,66,0,0,0,0,0,0
inde-indochine-foropon-delegue-sam-neua-dd0845,Indochine,source_document,Un assassinat étouffé chez les Houa-Phan (Laos)(4 septembre 1927) ? Campagne d'Amédée Clémenti (L'Argus indochinois) con,133977,person_career,8,0,1,0,0,0,20
inde-indochine-exposition-san-francisco-ic-93f9ec,Indochine,source_document,Exposition internationale de San Francisco (Golden Gate international Exposition)(mars-octobre 1939),133701,press,10,0,0,0,0,0,30
inde-indochine-cci-haiphong-electeurs-1940-47571d,Indochine,source_document,Chambre de commerce et d'industrie de Haïphong,133695,person_career,36,0,36,0,0,0,2
inde-indochine-victor-demange-hanoi-f9a628,Indochine,person,"Demange (Victor)(1870-1940), Hanoï",130630,apposition,102,0,0,1,0,2,167
inde-indochine-anciens-tonkinois-hanoi-c453d3,Indochine,source_document,"Amicale des Anciens Tonkinois, Hanoï",130405,apposition,12,0,0,3,0,0,36
inde-indochine-expo-marseille-indo-chine-1922-89cffe,Indochine,source_document,Exposition nationale coloniale de Marseille (1922),129079,press,6,0,0,0,0,0,38
inde-indochine-officiers-academie-indochine-090a38,Indochine,source_document,Palmes académiques,128077,apposition,14,0,0,1,0,2,62
empire-musee-permanent-des-colonies-a0ba38,(unfiled),source_document,"Musée permanent des colonies (« musée des colonies ») (1931), puis Musée de la France d'outre-mer (1935), Musée des arts",126175,press,24,0,0,0,0,0,26
inde-indochine-merite-agricole-indochine-bf86f8,Indochine,source_document,Mérite agricole,125460,person_career,79,0,2,0,0,0,176
afrique-occidentale-antonetti-1918-1924-c815c7,Côte d'Ivoire,source_document,La Côte d’Ivoire sous le lieutenant-gouverneur Raphaël Antonetti (1918-1924)(43 p.),125455,press,15,0,0,0,0,0,24
afrique-du-nord-mines-maroc-1909-1938-fb57f1,Maroc,company,L'industrie minière au Maroc (1909-1938),120218,person_career,33,0,1,1,0,0,18
inde-indochine-route-mandarine-dc4567,Indochine,company,Route coloniale 1 (route Mandarine),118693,press,17,0,0,0,0,0,19
inde-indochine-servais-durban-1871-1942-af113c,Indochine,person,Durban (Servais)(1871-1942),117481,person_career,6,0,1,0,0,13,44
inde-indochine-expo-univ-paris-1900-ic-76677f,Indochine,source_document,Exposition universelle de Paris (1900),116806,press,3,0,0,0,0,0,10
inde-indochine-jean-dupuis-c162ce,Indochine,person,Dupuis (Jean)(1828-1912),116064,person_career,20,0,1,0,0,0,53
afrique-occidentale-pierre-herve-afrique-1949-3f98ca,Afrique occidentale française,source_document,Afrique noire,115337,press,23,0,0,0,0,0,13
afrique-du-nord-camp-de-djenien-bou-rezg-3d62b4,Algérie,source_document,Djenien-Bou-Rezg (Sud-Oranais),113663,person_career,19,0,1,0,0,0,11
inde-indochine-agonie-indochine-frse-1940-1945-1897b8,Indochine,source_document,Agonie de l'Indochine française (1940-1945) par Alain Léger (1997) comprenant un résumé critique des mémoires de l'amira,113271,press,1,0,0,0,0,0,1
inde-indochine-foires-expositions-saigon-08552d,Indochine,source_document,Foires-expositions et kermesses de Saïgon (1925-1948),111750,apposition,11,0,0,13,0,0,32
inde-indochine-opium-saint-mathurin-dcbffb,Indochine,company,"Saint-Mathurin (René de), fermier de l'opium au Tonkin et en Annam (1888-1893). — Société fermière de l'opium au Tonkin",111119,person_career,37,0,1,1,0,0,46
inde-indochine-lacroix-numismatique-annamite-b26c61,Indochine,company,"Tableau des mines à l'époque précoloniale, in Désiré Lacroix, Numismatique annamite (Saïgon, 1900, chap. IV, p. 28-39)",111030,person_career,3,0,1,0,0,0,0
afrique-occidentale-bramali-5077b2,"Soudan français (Mali, Haute-Volta — ou Burkina-Fasso — et Niger)",company,"Brasseries du Mali (Bramali)(1985), Bamako. Absorption de la Société malienne des boissons gazeuses (1995). Nouvelle dén",108262,apposition,33,0,0,1,0,0,0
afrique-occidentale-gonfreville-par-dubresson-26173d,Côte d'Ivoire,company,Gonfreville (Établissements Robert)(E.R.G.) par Alain Dubresson (1988),108109,no_signal,2,0,0,0,0,0,0
inde-indochine-chambre-mixte-cambodge-82448e,Indochine,source_document,Chambre mixte de commerce et d'agriculture du Cambodge,107826,person_career,33,0,73,0,0,0,4
inde-indochine-gustave-hierholtz-1881-1956-20944a,Indochine,person,"Hierholtz (Gustave)(1881-1956) et non « Hieroltz », « Hierotz », etc.",105533,press,37,0,0,0,0,0,65
inde-indochine-billiottet-conseils-aux-mamans-e41c7b,Indochine,person,Billiottet (Dr Jean),104465,no_signal,1,0,0,0,0,0,0
afrique-occidentale-parisienne-a-la-cote-d-ivoire-e7cbc8,Côte d'Ivoire,source_document,Germaine Thomann,104024,apposition,0,0,0,1,0,0,0
inde-indochine-abattoirs-hanoi-aaab21,Indochine,company,Abattoirs de Hanoï,103856,apposition,20,0,0,1,0,0,58
empire-coll-serge-volper-7cfb54,(unfiled),company,Collection de titres coloniaux de Serge Volper (1950-2023),103612,no_signal,5,0,0,0,0,0,0
inde-indochine-samson-hotel-reynaud-a2b337,Indochine,company,"Hôtels Nhiêu, Fortin, Grangier, Reynaud, Robinson, Flots bleus, à Samson",102873,press,23,0,0,0,0,0,48
inde-indochine-heveas-de-caukhoi-ducret-574cea,Indochine,company,Caukhoï (ou Cauk-hoi),102781,no_signal,4,0,0,0,0,0,0
