company_id_1,company_id_2,name_1,name_2,reason
africaineforestiereagricole,africaineforestiereagricolesafacameroun,Société africaine forestière et agricole,Société africaine forestière et agricole (SAFA au Cameroun),key_prefix
africaineimportationcharbonsbriquettesnordpas,africaineimportationcharbonsbriquettesnordpascalais,Société africaine d'importation de charbons et briquettes du Nord et du Pas,Société Africaine d’Importation de charbons et briquettes du Nord et du Pas-de-Calais,key_prefix
africaineindustrielle,africaineindustrielleautomobile,Cie africaine générale industrielle,Société Africaine Industrielle et Automobile,key_prefix
africaineindustrielle,africaineindustrielleforestiere,Cie africaine générale industrielle,Compagnie Africaine Industrielle et Forestière,key_prefix
africainemagasinage,africainemagasinagetransit,Société africaine de magasinage,Société africaine de Magasinage et de Transit,key_prefix
africaineplacages,africaineplacagesportgentil,Société Africaine de placages,"Cie Africaine de placages, PORT-GENTIL, A",key_prefix
africainesisal,africainesisaloyenbamparrufisque,Compagnie africaine de sisal,"Compagnie Africaine de Sisal, Oyenbam, par Rufisque",key_prefix
africainetransports,africainetransportstropicaux,Compagnie Africaine de Transports,Société africaine des Transports tropicaux,key_prefix
afrique,afriquecentrale,L'Afrique française,Compagnie Française de l’Afrique Centrale,key_prefix
afrique,afriquecommerce,L'Afrique française,Cie de l'Afrique française pour le commerce,key_prefix
afrique,afriqueconstrucgales,L'Afrique française,Afrique française (Compagnie de construc. gales en),key_prefix
afrique,afriqueocccid,L'Afrique française,Cie française de l'Afrique occcid,key_prefix
afriquenord,afriquenordsud,AFRIQUE du NORD,L'Afrique du Nord et du Sud,key_prefix
agencerepresentationcoteivoire,agencerepresentationcoteivoirebp,Agence de représentation générale en Côte-d'Ivoire,Agence de représentation générale en Côte-d'Ivoire B. P,key_prefix
agricole,agricoleannam,Compagnie agricole,Compagnie Agricole d'Annam,key_prefix
agricole,agricoleannamcada,Compagnie agricole,Compagnie agricole d’Annam (CADA),key_prefix
agricole,agricoleasieeanoet,Compagnie agricole,"Compagnie Agricole d'Asie, Ea-Noët",key_prefix
agricole,agricoledarlac,Compagnie agricole,Compagnie Agricole du Darlac,key_prefix
agricole,agricolekouilou,Compagnie agricole,Compagnie Agricole du Kouilou,key_prefix
agricole,agricoleoranaise,Compagnie agricole,Compagnie Agricole Oranaise,key_prefix
agricole,agricoleouezzan,Compagnie agricole,Compagnie Agricole d'Ouezzan,key_prefix
agricole,agricolephuquoc,Compagnie agricole,Compagnie Agricole de Phuquoc,key_prefix
agricole,agricolesaharaalgerien1926,Compagnie agricole,"Compagnie Agricole du Sahara algérien, S.A., 1926",key_prefix
agricole,agricolesucrierenossibe,Compagnie agricole,Compagnie Agricole et Sucrière de Nossi-Bé,key_prefix
agricole,agricolethescafeskontum,Compagnie agricole,Compagnie agricole des thés et cafés du Kontum,key_prefix
agricole,agricolethescafeskontumannam,Compagnie agricole,Compagnie agricole des Thés et Cafés du Kontum-Annam,key_prefix
agricolealgerienne,agricolealgeriennebertagna,Société Agricole Algérienne,Société agricole algérienne Bertagna,key_prefix
agricoleannam,agricoleannamcada,Compagnie Agricole d'Annam,Compagnie agricole d’Annam (CADA),key_prefix
agricolecommercialeindustriellebadikaha,agricolecommercialeindustriellebadikahacacib,"Compagnie agricole, commerciale et industrielle de Badikaha","Compagnie Agricole, Commerciale et Industrielle de Badikaha CACIB)",key_prefix
agricoledoukkala,agricoledoukkaladomainebenihellalparsidiben,Société Agricole des Doukkala,"Société agricole des Doukkala, Domaine des Beni-Hellal, par Sidi Ben",key_prefix
agricolefinanciere,agricolefinancierealgerie,Société agricole financière,Société Agricole et Financière d'Algérie,key_prefix
agricoleimmobilierefrancoafricaine,agricoleimmobilierefrancoafricaineenfida,Société agricole et immobilière franco-africaine,Société agricole et immobilière franco-africaine Enfida,key_prefix
agricoleindustriellemadagascar,agricoleindustriellemadagascarcaim,Compagnie Agricole et Industrielle de Madagascar,Compagnie agricole et industrielle de Madagascar (CAIM),key_prefix
agricolenordafricain,agricolenordafricainagence,Société Agricole du Nord-Africain,Cie agricole du Nord-Africain. Agence,key_prefix
agricolethanhtuyhatantuongprovince,agricolethanhtuyhatantuongprovincebienhoasud,"Société agricole de Thanh-Tuy-Ha, TAN-TUONG, province de","Société agricole de Thanh-Tuy-Ha, TAN-TUONG, province de Bien-Hoa (Sud",key_prefix
agricolethescafeskontum,agricolethescafeskontumannam,Compagnie agricole des thés et cafés du Kontum,Compagnie agricole des Thés et Cafés du Kontum-Annam,key_prefix
agriculture,agriculturecolonialeafricaine,Cie d'agriculture,Société d'agriculture coloniale africaine,key_prefix
agriculture,agriculturecommerceindustrieafrique,Cie d'agriculture,"Cie d'Agriculture, de commerce et d'industrie d’Afrique",key_prefix
agriculture,agriculturecommerceindustrieafriquecci,Cie d'agriculture,"Compagnie d'agriculture, de commerce et d'industrie d'Afrique (C. A. C. I",key_prefix
agriculture,agricultureindustriecoloniales,Cie d'agriculture,Compagnie d'Agriculture et d’industrie coloniales,key_prefix
agriculture,agricultureindustriemarocaines,Cie d'agriculture,L’Agriculture et l’Industrie marocaines,key_prefix
agriculturecommerceindustrieafrique,agriculturecommerceindustrieafriquecci,"Cie d'Agriculture, de commerce et d'industrie d’Afrique","Compagnie d'agriculture, de commerce et d'industrie d'Afrique (C. A. C. I",key_prefix
algerienne,algeriennechauxcimentsusinepointepescade,Compagnie algérienne,"Compagnie Algérienne de chaux et ciments, usine de la Pointe-Pescade",key_prefix
algerienne,algeriennecreditbanque,Compagnie algérienne,Société nouvelle de la Compagnie algérienne de crédit et de banque,key_prefix
algerienne,algeriennecreditbanquefrancealgerietunisiemaroctangerliban,Compagnie algérienne,"Compagnie algérienne de crédit et de banque : France, Algérie, Tunisie, Maroc, Tanger, Liban,",key_prefix
algerienne,algerienneeaux,Compagnie algérienne,Société Algérienne des eaux,key_prefix
algerienne,algerienneeclairageforce,Compagnie algérienne,Société Algérienne d'éclairage et de force,key_prefix
algerienne,algerienneelevage,Compagnie algérienne,Société Algérienne d'élevage,key_prefix
algerienne,algerienneetudes,Compagnie algérienne,Société Algérienne d’Études,key_prefix
algerienne,algeriennegeorgessprecher,Compagnie algérienne,Société Algérienne Georges Sprecher,key_prefix
algerienne,algeriennegueldaman,Compagnie algérienne,Cie algérienne de Gueldaman,key_prefix
algerienne,algeriennehuilesmineralesstelline,Compagnie algérienne,Société Algérienne des Huiles minérales Stelline,key_prefix
algerienne,algeriennehuilesolive,Compagnie algérienne,Compagnie Algérienne des huiles d'olive,key_prefix
algerienne,algeriennekenitraamwramansellem,Compagnie algérienne,Cie Algérienne.. KÉNITRA Amwram Ansellem,key_prefix
algerienne,algeriennematerielagricole,Compagnie algérienne,Société Algérienne de Matériel agricole,key_prefix
algerienne,algeriennemeunerie,Compagnie algérienne,Compagnie Algérienne de Meunerie,key_prefix
algerienne,algeriennemines,Compagnie algérienne,Société Algérienne de mines,key_prefix
algerienne,algerienneoubrasseriealgerienneoran,Compagnie algérienne,L'Algérienne ou Brasserie l'Algérienne d'Oran,key_prefix
algerienne,algeriennepetrolesmory,Compagnie algérienne,Société Algérienne de pétroles Mory,key_prefix
algerienne,algeriennepetrolesstandard,Compagnie algérienne,Compagnie Algérienne des Pétroles Standard,key_prefix
algerienne,algeriennepetrolestliouanet,Compagnie algérienne,Société Algérienne des pétroles de Tliouanet,key_prefix
algerienne,algerienneproduitschimiquesengrais,Compagnie algérienne,Société Algérienne de produits chimiques et d'engrais,key_prefix
algerienne,algeriennesels,Compagnie algérienne,Compagnie Algérienne des sels,key_prefix
algerienne,algeriennetaxiscitroen,Compagnie algérienne,Société Algérienne des Taxis Citroën,key_prefix
algerienne,algeriennezinc,Compagnie algérienne,Société Algérienne du Zinc . Anc. Société nord-africaine du plomb,key_prefix
algerienneconstruction,algerienneconstructionoutillagemachineagricole,Société Algérienne de construction,Société algérienne de Construction d'outillage et machine agricole,key_prefix
algeriennecreditbanque,algeriennecreditbanquefrancealgerietunisiemaroctangerliban,Société nouvelle de la Compagnie algérienne de crédit et de banque,"Compagnie algérienne de crédit et de banque : France, Algérie, Tunisie, Maroc, Tanger, Liban,",key_prefix
allumettes,allumettestonkin,Société Française des Allumettes,Allumettes du Tonkin,key_prefix
alsacienne,alsaciennebanque,de la Société Société alsacienne,Société générale alsacienne de banque,key_prefix
alsacienne,alsaciennebanquesogenal,de la Société Société alsacienne,Société générale alsacienne de Banque (SOGÉNAL),key_prefix
alsacienne,alsaciennecoteivoire,de la Société Société alsacienne,Société Alsacienne de la Côte d’Ivoire,key_prefix
alsacienne,alsacienneextremeorient,de la Société Société alsacienne,Société alsacienne pour l'Extrême-Orient,key_prefix
alsacienne,alsaciennefilature,de la Société Société alsacienne,Société Alsacienne de filature,key_prefix
alsaciennebanque,alsaciennebanquesogenal,Société générale alsacienne de banque,Société générale alsacienne de Banque (SOGÉNAL),key_prefix
anciensetablissementschpeyrissac,anciensetablissementschpeyrissaccoloniale,Anciens Établissements Ch. Peyrissac et Cie,Anciens Établissements Ch. Peyrissac et Compagnie (Compagnie coloniale de,key_prefix
anciensetablissementschpeyrissac,anciensetablissementschpeyrissaccolonialeafrique,Anciens Établissements Ch. Peyrissac et Cie,Anciens Établissements Ch. Peyrissac et Cie (Cie coloniale de l'Afrique,key_prefix
anciensetablissementschpeyrissaccoloniale,anciensetablissementschpeyrissaccolonialeafrique,Anciens Établissements Ch. Peyrissac et Compagnie (Compagnie coloniale de,Anciens Établissements Ch. Peyrissac et Cie (Cie coloniale de l'Afrique,key_prefix
annuaireentreprisescoloniales,annuaireentreprisescoloniales1922caledoniesuivilisteentreprisesdonneeparcahierscoloniaux,Annuaire des entreprises coloniales,Annuaire des entreprises coloniales 1922-Nouvelle-Calédonie. Suivi de la liste d'entreprises donnée par les Cahiers coloniaux,key_prefix
annuaireentreprisescoloniales,annuaireentreprisescoloniales1926caledonie,Annuaire des entreprises coloniales,Annuaire des entreprises coloniales 1926-Nouvelle-Calédonie,key_prefix
annuaireentreprisescoloniales,annuaireentreprisescoloniales1937caledonie,Annuaire des entreprises coloniales,Annuaire des entreprises coloniales 1937-Nouvelle-Calédonie,key_prefix
annuaireentreprisescoloniales,annuaireentreprisescoloniales1951caledonie,Annuaire des entreprises coloniales,Annuaire des entreprises coloniales 1951-Nouvelle-Calédonie,key_prefix
annuaireentreprisescoloniales,annuaireentreprisescoloniales1951guinee,Annuaire des entreprises coloniales,Annuaire des entreprises coloniales 1951-Guinée,key_prefix
annuaireentreprisescoloniales,annuaireentreprisescoloniales1951senegal,Annuaire des entreprises coloniales,Annuaire des entreprises coloniales 1951-Sénégal,key_prefix
anthracitestonkin,anthracitestonkinmaokhetrangbach,Société des anthracites du Tonkin,"Anthracites du Tonkin, Mao-Khé, Trang-bach",key_prefix
antillaise,antillaiseculturecommerce,Cie Antillaise,Société de Antillaise de Culture et de commerce,key_prefix
approvisionnement,approvisionnementdistributionextremeorient,Société anonyme nouvelle d'approvisionnement,Société française d'Approvisionnement et de distribution pour l'Extrême-Orient,key_prefix
approvisionnement,approvisionnementnordafricaine,Société anonyme nouvelle d'approvisionnement,Société d'Approvisionnement nord-africaine,key_prefix
asiatiqueafricaine,asiatiqueafricainecaa,Compagnie Asiatique et africaine,Compagnie asiatique et africaine (CAA),key_prefix
asiatiqueboissonsindigenes,asiatiqueboissonsindigeneshankeou,Société asiatique des boissons indigènes,"Société Asiatique des boissons indigènes, Hankéou",key_prefix
associationfonciereimmobiliere,associationfonciereimmobiliereparispresidents,Association foncière et immobilière,"Association foncière et immobilière, Paris. Présidents",key_prefix
assurancesgenerales,assurancesgeneralescontreincendie,Compagnie d'assurances générales,Compagnie d'assurances générales contre l'incendie,key_prefix
assurancesgenerales,assurancesgeneralesincendie,Compagnie d'assurances générales,Assurances générales-Incendie,key_prefix
assurancesgenerales,assurancesgeneralesmaritimes,Compagnie d'assurances générales,Assurances générales maritimes,key_prefix
assurancesgenerales,assurancesgeneralesprimesfixes,Compagnie d'assurances générales,Compagnie d'assurances générales à primes fixes,key_prefix
assurancesgenerales,assurancesgeneralesvie,Compagnie d'assurances générales,Compagnie d'assurances générales sur la vie,key_prefix
asturiennemines,asturienneminesroyaletonnaychte,Compagnie Asturienne des Mines,Asturienne des mines (Compagnie royale)(> Tonnay-Chte),key_prefix
ateliersreparationsmaritimesbeliard,ateliersreparationsmaritimesbeliardcrighton,ATELIERS DE RÉPARATIONS MARITIMES BELIARD,"ATELIERS DE RÉPARATIONS MARITIMES BELIARD, CRIGHTON et Cie",key_prefix
auxiliaireafricainedeveloppementcommerce,auxiliaireafricainedeveloppementcommerceindustrie,"Société auxiliaire africaine pour le développement du commerce, de","Société auxiliaire africaine pour le développement du commerce, de l'industrie",key_prefix
auxiliaireentreprises,auxiliaireentreprisescoloniales,Cie auxiliaire d'entreprises,Société Auxiliaire d'Entreprises coloniales,key_prefix
bamako,bamakofaitapportvente,Société de Bamako,Société de Bamako a fait apport-vente,key_prefix
banque,banqueafrique,Banque française,BANQUE FRANÇAISE de l'AFRIQUE,key_prefix
banque,banqueafriquepaysorient,Banque française,Banque de l'Afrique française et des pays d'Orient,key_prefix
banque,banqueasie,Banque française,Banque française de l'Asie,key_prefix
banque,banquebresil,Banque française,de la Banque française du Brésil,key_prefix
banque,banquecentrale,Banque française,Banque centrale française,key_prefix
banque,banquecommerce,Banque française,de la Banque française pour le commerce,key_prefix
banque,banquecommerceexterieurbfce,Banque française,Banque française du commerce extérieur (BFCE),key_prefix
banque,banquedepots,Banque française,Société française de banque et de dépôts,key_prefix
banque,banqueitalocreditparistunisbejaangelodonati,Banque française,"Banque italo-française de crédit, Paris, Tunis, Béja. Angelo Donati",key_prefix
banque,banquemaroc,Banque française,Banque française du Maroc,key_prefix
banque,banquepaysorient,Banque française,Banque française des pays d’Orient,key_prefix
banque,banquerioplata,Banque française,Banque française du rio de la Plata,key_prefix
banque,banquesuisse,Banque française,Banque suisse et française,key_prefix
banque,banquesyrie,Banque française,Banque française de Syrie,key_prefix
banque,banqueunion,Banque française,Banque de l'Union française,key_prefix
banqueafrique,banqueafriquepaysorient,BANQUE FRANÇAISE de l'AFRIQUE,Banque de l'Afrique française et des pays d'Orient,key_prefix
banqueafriqueoccidentale,banqueafriqueoccidentalebao,Banque de l'Afrique occidentale,Banque de l’Afrique occidentale (BAO),key_prefix
banquecoloniale,banquecolonialeetudes,Banque coloniale,Banque coloniale d'études,key_prefix
banquecoloniale,banquecolonialenordafricaine,Banque coloniale,Banque coloniale nord-africaine,key_prefix
banquecoloniale,banquecolonialetravauxpublics,Banque coloniale,Banque coloniale et de travaux publics,key_prefix
banquecolonialeetudesentreprisesmutuelles,banquecolonialeetudesentreprisesmutuellesditebanquecoloniale,Banque coloniale d'études et d'entreprises mutuelles,Banque coloniale d'études et d'entreprises mutuelles dite Banque coloniale,key_prefix
banquecommerce,banquecommerceexterieurbfce,de la Banque française pour le commerce,Banque française du commerce extérieur (BFCE),key_prefix
banquecommerciale,banquecommercialeafricaine,Banque française commerciale,Banque commerciale africaine,key_prefix
banquecommerciale,banquecommercialeagricoleegypte,Banque française commerciale,Banque française commerciale et agricole d'Égypte,key_prefix
banquecommerciale,banquecommercialefinanciere,Banque française commerciale,Banque française commerciale et financière,key_prefix
banquecommerciale,banquecommercialefrancobelge,Banque française commerciale,Banque commerciale franco-belge,key_prefix
banquecommerciale,banquecommercialemaroc,Banque française commerciale,Banque commerciale du Maroc,key_prefix
banqueindochine,banqueindochinebangkok,Banque de l’Indochine,"Banque de l’Indochine, Bangkok",key_prefix
banqueindochine,banqueindochinekouangtcheouwan,Banque de l’Indochine,"Banque de l’Indochine, Kouang-tchéou-Wan",key_prefix
banqueindochine,banqueindochinepapeete,Banque de l’Indochine,La Banque de l'Indochine à Papeete,key_prefix
banqueindustrielle,banqueindustrielleafriquenord,Banque générale industrielle,Banque industrielle de l'Afrique du Nord,key_prefix
banqueindustrielle,banqueindustriellebgiheninfusion1949participationcredit,Banque générale industrielle,Banque générale industrielle BGI-La Hénin (fusion en 1949 de la S.A. de participation et de crédit,key_prefix
banqueindustrielle,banqueindustriellechine,Banque générale industrielle,La Banque industrielle de Chine,key_prefix
banqueindustrielle,banqueindustriellechineindochine,Banque générale industrielle,La Banque industrielle de Chine en Indochine,key_prefix
banqueindustrielle,banqueindustriellecolonialeparisruetaitbout23,Banque générale industrielle,"Banque industrielle et coloniale, Paris, rue Taitbout, 23",key_prefix
banqueindustrielle,banqueindustriellecommercialeregionnordparis,Banque générale industrielle,Banque industrielle et commerciale de la région nord de Paris,key_prefix
banqueindustrielle,banqueindustriellecommercialeregionsudparis,Banque générale industrielle,Banque industrielle et commerciale de la région sud de Paris,key_prefix
banqueindustriellechine,banqueindustriellechineindochine,La Banque industrielle de Chine,La Banque industrielle de Chine en Indochine,key_prefix
banqueinternationale,banqueinternationalecommerce,de la Banque internationale,Banque internationale de commerce,key_prefix
banquemadagascar,banquemadagascarcomores,Banque de Madagascar,Banque de Madagascar et des Comores,key_prefix
banquemutuelleetudes,banquemutuelleetudes3,"Banque mutuelle d'études, puis Banque mutuelle d'études et de crédit",Banque mutuelle d'études. 3,key_prefix
banquenationalecommerce,banquenationalecommerceexterieur,Banque nationale pour le commerce,Banque nationale française du commerce extérieur,key_prefix
banquenationalecommerce,banquenationalecommerceindusbnci,Banque nationale pour le commerce,Banque nationale pour le commerce et l’indus. (BNCI),key_prefix
banquenationalecommerce,banquenationalecommerceindustrie,Banque nationale pour le commerce,Banque nationale pour le commerce et l'industrie,key_prefix
banquenationalecommerce,banquenationalecommerceindustrieafriquebncialger,Banque nationale pour le commerce,"Banque nationale pour le commerce et l'industrie (Afrique) : BNCI (A.), Alger",key_prefix
banquenationalecommerce,banquenationalecommerceindustrieindochine,Banque nationale pour le commerce,Banque nationale pour le commerce et l'industrie -Indochine,key_prefix
banquenationalecommerceindustrie,banquenationalecommerceindustrieafriquebncialger,Banque nationale pour le commerce et l'industrie,"Banque nationale pour le commerce et l'industrie (Afrique) : BNCI (A.), Alger",key_prefix
banquenationalecommerceindustrie,banquenationalecommerceindustrieindochine,Banque nationale pour le commerce et l'industrie,Banque nationale pour le commerce et l'industrie -Indochine,key_prefix
banquenationalecredit,banquenationalecreditassocie,de la Banque nationale de crédit,Banque nationale de Crédit. Associé,key_prefix
banqueunionparisienne,banqueunionparisiennebup,Banque de l'Union Parisienne,Banque de l’Union parisienne (BUP),key_prefix
bec,becj,Bec,Le Bec (J.),key_prefix
begue,begue9,Bègue,Bègue 9,key_prefix
belge,belgecreditfoncier,Société belge,Société belge de Crédit foncier,key_prefix
belge,belgeminesdjebelslatadjebelhameima,Société belge,Société belge des mines du Djebel-Slata et Djebel-Hameïma,key_prefix
belge,belgeminesreunies,Société belge,Société belge des Mines réunies,key_prefix
benedictine,benedictinefecamp,Bénédictine,"La Bénédictine, Fécamp",key_prefix
bertrand,bertrandfreresgrasse,Bertrand,Bertrand frères (Grasse),key_prefix
bertrand,bertrandhoabinh,Bertrand,"Bertrand, Hoabinh",key_prefix
beton,betonarme,Le Béton S.A,BÉTON ARMÉ,key_prefix
biscuiterie,biscuiteriealsacienne,Biscuiterie,"Biscuiterie alsacienne (Anc. Éts G. Chauveau et Compagnie et Léon réunis), Maisons-Alfort",key_prefix
biscuiterie,biscuiteriefrancomarocaine,Biscuiterie,Biscuiterie franco-marocaine,key_prefix
biscuiterie,biscuiteriekhamza,Biscuiterie,Biscuiterie Khamza,key_prefix
boisafricainscontreplaques,boisafricainscontreplaquesgabon,Bois africains contreplaqués,Société des bois africains contreplaqués du Gabon,key_prefix
boisafricainscontreplaques,boisafricainscontreplaquesmoyencongo,Bois africains contreplaqués,Société des bois africains contreplaqués du Moyen-Congo,key_prefix
boisindochine,boisindochinescieriesongphan,Cie des bois d'Indochine,"Cie des Bois d'Indochine, scierie, Song-Phan",key_prefix
bongolalokundji,bongolalokundjinyong,Bongola-Lokundji,Bongola-Lokundji-Nyong,key_prefix
bordelaisemaroc,bordelaisemarocf,"Compagnie Bordelaise du Maroc, puis Bordelaise de commerce au Maroc","Sté bordelaise du Maroc — Sté an., f",key_prefix
bourgeois,bourgeoisp,Bourgeois,Le Bourgeois (P.),key_prefix
brasseries,brasseriesbouake,Société des Brasseries,Société des Brasseries de Bouaké,key_prefix
brasseries,brasseriesbourbon,Société des Brasseries,Les Brasseries de Bourbon,key_prefix
brasseries,brasseriescameroun,Société des Brasseries,Société anonyme des Brasseries du Cameroun,key_prefix
brasseries,brasseriescongokinshasa,Société des Brasseries,"Brasseries du Congo, Kinshasa",key_prefix
brasseries,brasseriescoteivoire,Société des Brasseries,Société des Brasseries de la Côte-d'Ivoire,key_prefix
brasseries,brasseriescoteivoirebracodi,Société des Brasseries,Brasseries de la Côte-d’Ivoire (Bracodi),key_prefix
brasseries,brasseriesglacieresalgerie,Société des Brasseries,Brasseries et glacières d'Algérie,key_prefix
brasseries,brasseriesglacieresindochine,Société des Brasseries,Brasseries et glacières de l’Indochine,key_prefix
brasseries,brasseriesglacieresindochinebgi,Société des Brasseries,Brasseries et glacières de l’Indochine (BGI),key_prefix
brasseries,brasseriesglaciereslaos,Société des Brasseries,Brasseries et glacières du Laos,key_prefix
brasseries,brasserieslogonemoundouboissonsglacierestchadndjamenabrasseriestchad,Société des Brasseries,"Brasseries du Logone, Moundou, Boissons et glacières du Tchad, N'Djaména, Brasseries du Tchad",key_prefix
brasseries,brasseriesmalibamakoabsorptionmalienneboissonsgazeuses,Société des Brasseries,"Brasseries du Mali, Bamako. Absorption de la Société malienne des boissons gazeuses . Nouvelle dénomination",key_prefix
brasseries,brasseriesmaroc,Société des Brasseries,"Société des Brasseries du Maroc, puis Boissons du Maroc",key_prefix
brasseries,brasseriesnordmarocain,Société des Brasseries,Société des Brasseries du Nord-Marocain,key_prefix
brasseries,brasseriesnordmarocainbranoma,Société des Brasseries,Brasseries du Nord marocain (Branoma),key_prefix
brasseries,brasseriesouestafricain,Société des Brasseries,Société des Brasseries de l'Ouest Africain,key_prefix
brasseries,brasseriesouestafricainsoboa,Société des Brasseries,Brasseries de l’ouest africain (SOBOA),key_prefix
brasseries,brasseriesreuniesentrepotsmaxeville,Société des Brasseries,Brasseries réunies et entrepôts de Maxéville,key_prefix
brasseries,brasseriestaverneszimmer,Société des Brasseries,Brasseries et tavernes Zimmer,key_prefix
brasseries,brasseriestchadfortlamy,Société des Brasseries,"Brasseries du Tchad, Fort-Lamy",key_prefix
brasseriescoteivoire,brasseriescoteivoirebracodi,Société des Brasseries de la Côte-d'Ivoire,Brasseries de la Côte-d’Ivoire (Bracodi),key_prefix
brasseriesglacieresindochine,brasseriesglacieresindochinebgi,Brasseries et glacières de l’Indochine,Brasseries et glacières de l’Indochine (BGI),key_prefix
brasseriesglacieresinternationales,brasseriesglacieresinternationalesethiopie,Brasseries et glacières internationales,Brasseries et glacières internationales-Éthiopie,key_prefix
brasseriesnordmarocain,brasseriesnordmarocainbranoma,Société des Brasseries du Nord-Marocain,Brasseries du Nord marocain (Branoma),key_prefix
brasseriesouestafricain,brasseriesouestafricainsoboa,Société des Brasseries de l'Ouest Africain,Brasseries de l’ouest africain (SOBOA),key_prefix
bulohkasaprubber,bulohkasaprubberplantltd,Buloh Kasap Rubber,Buloh Kasap rubber plant. ltd,key_prefix
bungalow,bungalowangkor,Bungalow,Bungalow d'Angkor,key_prefix
bungalow,bungalowbanghoiprescamranh,Bungalow,"Bungalow, Banghoï, près Cam-ranh",key_prefix
bungalow,bungalowbentre,Bungalow,"Bungalow, Bentré",key_prefix
bungalow,bungalowbockor,Bungalow,Bungalow de Bockor,key_prefix
bungalow,bungalowcantho,Bungalow,Bungalow — Cantho,key_prefix
bungalow,bungalowchaudoc,Bungalow,"Bungalow, Chaudoc",key_prefix
bungalow,bungalowdongha,Bungalow,"Bungalow, Dông-hà",key_prefix
bungalow,bungalowgocong,Bungalow,"Bungalow, Gocong",key_prefix
bungalow,bungalowhatien,Bungalow,"Bungalow, Hatiên",key_prefix
bungalow,bungalowkampot,Bungalow,Bungalow de Kampot,key_prefix
bungalow,bungalowkompongcham,Bungalow,Bungalow de Kompong-Cham,key_prefix
bungalow,bungalowkompongthom,Bungalow,Bungalow de Kompong-Thom,key_prefix
bungalow,bungalowkontumaubergetroischevaux,Bungalow,"Bungalow, Kontum. Auberge des Trois Chevaux",key_prefix
