city_1,city_2,territory_1,territory_2,group_1,group_2,n_interlocks
Alger,Pnom-Penh,Algérie,Indochine,empire,empire,7
Genève,Paris,Suisse,France,foreign,metropole,7
Alger,Grand-Bassam,Algérie,Côte d'Ivoire,empire,empire,7
Meknès,Rabat,Maroc,Maroc,empire,empire,7
Dakar,Meknès,Sénégal,Maroc,empire,empire,7
Abidjan,Marseille,Côte d'Ivoire,France,empire,metropole,7
Haïphong,Tanger,Indochine,Maroc,empire,empire,7
Casablanca,Port-Lyautey,Maroc,Maroc,empire,empire,7
Casablanca,Papeete,Maroc,Tahiti (Polynésie),empire,empire,7
Oujda,Paris,Maroc,France,empire,metropole,7
Bruxelles,Londres,Belgique,Royaume-Uni,foreign,foreign,7
Casablanca,Nantes,Maroc,France,empire,metropole,7
Casablanca,Toulon,Maroc,France,empire,metropole,7
Paris,Ziguinchor,France,Sénégal,metropole,empire,7
Dakar,Tuléar,Sénégal,Madagascar,empire,empire,7
Grenoble,Paris,France,France,metropole,metropole,7
Dakar,Kaolack,Sénégal,Sénégal,empire,empire,7
Dakar,Fedhala,Sénégal,Maroc,empire,empire,7
Brazzaville,Libreville,Congo-Brazzaville,Gabon,empire,empire,7
Brazzaville,Hanoï,Congo-Brazzaville,Indochine,empire,empire,7
Alger,Bangui,Algérie,Oubangui-Chari,empire,empire,7
Hué,Saïgon,Indochine,Indochine,empire,empire,7
Bruxelles,Pnom-Penh,Belgique,Indochine,foreign,empire,6
Grand-Bassam,Libreville,Côte d'Ivoire,Gabon,empire,empire,6
Fès,Meknès,Maroc,Maroc,empire,empire,6
Hué,Paris,Indochine,France,empire,metropole,6
Nouméa,Saïgon,Nouvelle-Calédonie,Indochine,empire,empire,6
Bamako,Saïgon,Soudan français,Indochine,empire,empire,6
Lyon,Tanger,France,Maroc,metropole,empire,6
Dakar,Tanger,Sénégal,Maroc,empire,empire,6
Bône,Casablanca,Algérie,Maroc,empire,empire,6
Casablanca,Tlemcen,Maroc,Algérie,empire,empire,6
La Haye,Le Havre,Pays-Bas,France,foreign,metropole,6
La Haye,Rufisque,Pays-Bas,Sénégal,foreign,empire,6
Abidjan,Cholon,Côte d'Ivoire,Indochine,empire,empire,6
Djibouti,Lyon,Djibouti,France,empire,metropole,6
Tananarive,Tuléar,Madagascar,Madagascar,empire,empire,6
Casablanca,Kaolack,Maroc,Sénégal,empire,empire,6
Fès,Rabat,Maroc,Maroc,empire,empire,6
Bamako,Dakar,Soudan français,Sénégal,empire,empire,6
Marrakech,Rabat,Maroc,Maroc,empire,empire,6
Casablanca,Le Havre,Maroc,France,empire,metropole,6
Brazzaville,Rabat,Congo-Brazzaville,Maroc,empire,empire,6
Brazzaville,Le Havre,Congo-Brazzaville,France,empire,metropole,6
Nouméa,Port-Vila,Nouvelle-Calédonie,Nouvelles-Hébrides,empire,empire,6
Londres,Saïgon,Royaume-Uni,Indochine,foreign,empire,6
Abidjan,Alger,Côte d'Ivoire,Algérie,empire,empire,6
Fedhala,Hanoï,Maroc,Indochine,empire,empire,6
Alger,Sousse,Algérie,Tunisie,empire,empire,6
Grand-Bassam,Tunis,Côte d'Ivoire,Tunisie,empire,empire,6
Paris,Sidi-bel-Abbès,France,Algérie,metropole,empire,6
Abidjan,Conakry,Côte d'Ivoire,Guinée Conakry,empire,empire,6
Dakar,Tunis,Sénégal,Tunisie,empire,empire,6
Dakar,Oran,Sénégal,Algérie,empire,empire,6
Amsterdam,Paris,Pays-Bas,France,foreign,metropole,6
Conakry,Saïgon,Guinée Conakry,Indochine,empire,empire,6
Alger,Mostaganem,Algérie,Algérie,empire,empire,6
Meknès,Pnom-Penh,Maroc,Indochine,empire,empire,5
Grand-Bassam,Pnom-Penh,Côte d'Ivoire,Indochine,empire,empire,5
Pnom-Penh,Tunis,Indochine,Tunisie,empire,empire,5
Alger,Bordeaux,Algérie,France,empire,metropole,5
Meknès,Tanger,Maroc,Maroc,empire,empire,5
Haïphong,Meknès,Indochine,Maroc,empire,empire,5
Grand-Bassam,Kayes,Côte d'Ivoire,Soudan français,empire,empire,5
Grand-Bassam,Tananarive,Côte d'Ivoire,Madagascar,empire,empire,5
Londres,Tanger,Royaume-Uni,Maroc,foreign,empire,5
Fedhala,Tanger,Maroc,Maroc,empire,empire,5
Casablanca,Majunga,Maroc,Madagascar,empire,empire,5
Casablanca,Nossi-Bé,Maroc,Madagascar,empire,empire,5
Haïphong,Tourane,Indochine,Indochine,empire,empire,5
Brazzaville,Cholon,Congo-Brazzaville,Indochine,empire,empire,5
Marseille,Tourane,France,Indochine,metropole,empire,5
Marseille,Tananarive,France,Madagascar,metropole,empire,5
Marseille,Nossi-Bé,France,Madagascar,metropole,empire,5
Douala,Kaolack,Cameroun,Sénégal,empire,empire,5
Dakar,Nossi-Bé,Sénégal,Madagascar,empire,empire,5
Bienhoa,Saïgon,Indochine,Indochine,empire,empire,5
Alger,La Haye,Algérie,Pays-Bas,empire,foreign,5
Mytho,Paris,Indochine,France,empire,metropole,5
Dakar,Fès,Sénégal,Maroc,empire,empire,5
Bordeaux,Fès,France,Maroc,metropole,empire,5
Bordeaux,Brazzaville,France,Congo-Brazzaville,metropole,empire,5
Constantinople,Tunis,Empire ottoman/Turquie,Tunisie,foreign,empire,5
Fès,Tunis,Maroc,Tunisie,empire,empire,5
Hanoï,Marseille,Indochine,France,empire,metropole,5
Haïphong,Majunga,Indochine,Madagascar,empire,empire,5
Bordeaux,Fedhala,France,Maroc,metropole,empire,5
Casablanca,Mostaganem,Maroc,Algérie,empire,empire,5
Abidjan,Kayes,Côte d'Ivoire,Soudan français,empire,empire,5
Hanoï,Lyon,Indochine,France,empire,metropole,5
Papeete,Rabat,Tahiti (Polynésie),Maroc,empire,empire,5
Brazzaville,Conakry,Congo-Brazzaville,Guinée Conakry,empire,empire,5
Bangui,Dakar,Oubangui-Chari,Sénégal,empire,empire,5
Cantho,Paris,Indochine,France,empire,metropole,5
Mogador,Paris,Maroc,France,empire,metropole,5
Saïgon,Shanghai,Indochine,Chine,empire,foreign,5
Alger,Port-Lyautey,Algérie,Maroc,empire,empire,5
Pnom-Penh,Tanger,Indochine,Maroc,empire,empire,4
Pnom-Penh,Tourane,Indochine,Indochine,empire,empire,4
Bordeaux,Singapour,France,Malaisie,metropole,foreign,4
Bordeaux,La Haye,France,Pays-Bas,metropole,foreign,4
Bordeaux,Philippeville,France,Algérie,metropole,empire,4
Bordeaux,Rufisque,France,Sénégal,metropole,empire,4
Bordeaux,Toulouse,France,France,metropole,metropole,4
Grand-Bassam,Tanger,Côte d'Ivoire,Maroc,empire,empire,4
Bordeaux,Grand-Bassam,France,Côte d'Ivoire,metropole,empire,4
Grand-Bassam,Lyon,Côte d'Ivoire,France,empire,metropole,4
Alger,Meknès,Algérie,Maroc,empire,empire,4
Libreville,Marseille,Gabon,France,empire,metropole,4
Conakry,Marseille,Guinée Conakry,France,empire,metropole,4
Oran,Tanger,Algérie,Maroc,empire,empire,4
Port-Lyautey,Tanger,Maroc,Maroc,empire,empire,4
Casablanca,Philippeville,Maroc,Algérie,empire,empire,4
Lille,Paris,France,France,metropole,metropole,4
Paris,Saint-Denis,France,La Réunion,metropole,empire,4
Bruxelles,Douala,Belgique,Cameroun,foreign,empire,4
Abidjan,Bruxelles,Côte d'Ivoire,Belgique,empire,foreign,4
Cholon,Tourane,Indochine,Indochine,empire,empire,4
Cholon,Hanoï,Indochine,Indochine,empire,empire,4
Diégo-Suarez,Marseille,Madagascar,France,empire,metropole,4
Alger,Toulon,Algérie,France,empire,metropole,4
Alger,Marrakech,Algérie,Maroc,empire,empire,4
Alger,Diégo-Suarez,Algérie,Madagascar,empire,empire,4
Hanoï,Londres,Indochine,Royaume-Uni,empire,foreign,4
Constantinople,Djibouti,Empire ottoman/Turquie,Djibouti,foreign,empire,4
Dakar,Majunga,Sénégal,Madagascar,empire,empire,4
Casablanca,Tourane,Maroc,Indochine,empire,empire,4
Kaolack,Saïgon,Sénégal,Indochine,empire,empire,4
Paris,Pointe-à-Pitre,France,Guadeloupe et Martinique,metropole,empire,4
Libreville,Toulon,Gabon,France,empire,metropole,4
Fès,Saïgon,Maroc,Indochine,empire,empire,4
Rabat,Tunis,Maroc,Tunisie,empire,empire,4
Bordeaux,Conakry,France,Guinée Conakry,metropole,empire,4
Constantinople,Le Caire,Empire ottoman/Turquie,Égypte,foreign,foreign,4
Hanoï,Tourane,Indochine,Indochine,empire,empire,4
Hanoï,Tanger,Indochine,Maroc,empire,empire,4
Fedhala,Londres,Maroc,Royaume-Uni,empire,foreign,4
Haïphong,Londres,Indochine,Royaume-Uni,empire,foreign,4
Haïphong,Nossi-Bé,Indochine,Madagascar,empire,empire,4
Abidjan,Haïphong,Côte d'Ivoire,Indochine,empire,empire,4
Majunga,Tananarive,Madagascar,Madagascar,empire,empire,4
Lyon,Tananarive,France,Madagascar,metropole,empire,4
Brazzaville,Yaoundé,Congo-Brazzaville,Cameroun,empire,empire,4
Douala,Libreville,Cameroun,Gabon,empire,empire,4
Dakar,Libreville,Sénégal,Gabon,empire,empire,4
Haïphong,Tuléar,Indochine,Madagascar,empire,empire,4
Alger,Tlemcen,Algérie,Algérie,empire,empire,4
Alger,Cholon,Algérie,Indochine,empire,empire,4
Fedhala,Rabat,Maroc,Maroc,empire,empire,4
Tourane,Tunis,Indochine,Tunisie,empire,empire,4
Hambourg,Paris,Allemagne,France,foreign,metropole,4
Brazzaville,Cotonou,Congo-Brazzaville,Dahomey (Bénin),empire,empire,4
Abidjan,Hanoï,Côte d'Ivoire,Indochine,empire,empire,4
Alger,Fedhala,Algérie,Maroc,empire,empire,4
Lyon,Majunga,France,Madagascar,metropole,empire,4
Hanoï,Papeete,Indochine,Tahiti (Polynésie),empire,empire,4
Libreville,Saïgon,Gabon,Indochine,empire,empire,4
Abidjan,Le Havre,Côte d'Ivoire,France,empire,metropole,4
Cotonou,Grand-Bassam,Dahomey (Bénin),Côte d'Ivoire,empire,empire,4
Kayes,Rabat,Soudan français,Maroc,empire,empire,4
Kayes,Meknès,Soudan français,Maroc,empire,empire,4
Constantine,Hussein-Dey,Algérie,Algérie,empire,empire,4
Bruxelles,Djibouti,Belgique,Djibouti,foreign,empire,4
Hussein-Dey,Lyon,Algérie,France,empire,metropole,4
Alexandrie,Marseille,Égypte,France,foreign,metropole,4
Dakar,Hanoï,Sénégal,Indochine,empire,empire,4
Hanoï,Vinh,Indochine,Indochine,empire,empire,4
Lomé,Saïgon,Togo,Indochine,empire,empire,4
Bamako,Casablanca,Soudan français,Maroc,empire,empire,4
Paris,Yaoundé,France,Cameroun,metropole,empire,4
Libreville,Oujda,Gabon,Maroc,empire,empire,4
Paris,Shanghai,France,Chine,metropole,foreign,4
Dalat,Saïgon,Indochine,Indochine,empire,empire,4
Nouméa,Pnom-Penh,Nouvelle-Calédonie,Indochine,empire,empire,3
Pnom-Penh,Vinh,Indochine,Indochine,empire,empire,3
Conakry,Pnom-Penh,Guinée Conakry,Indochine,empire,empire,3
Grand-Bassam,Kaolack,Côte d'Ivoire,Sénégal,empire,empire,3
Djibouti,Grand-Bassam,Djibouti,Côte d'Ivoire,empire,empire,3
Lyon,Meknès,France,Maroc,metropole,empire,3
Alexandrie,Meknès,Égypte,Maroc,foreign,empire,3
Marseille,Meknès,France,Maroc,metropole,empire,3
Rufisque,Saïgon,Sénégal,Indochine,empire,empire,3
Cotonou,Marseille,Dahomey (Bénin),France,empire,metropole,3
Fès,Tanger,Maroc,Maroc,empire,empire,3
Tananarive,Tanger,Madagascar,Maroc,empire,empire,3
Cayenne,Tanger,Guyane française,Maroc,empire,empire,3
Constantinople,Tanger,Empire ottoman/Turquie,Maroc,foreign,empire,3
Casablanca,Strasbourg,Maroc,France,empire,metropole,3
Casablanca,Dap-Cau,Maroc,Indochine,empire,empire,3
Alger,Tourane,Algérie,Indochine,empire,empire,3
Bruxelles,Rabat,Belgique,Maroc,foreign,empire,3
Bruxelles,Dakar,Belgique,Sénégal,foreign,empire,3
Dakar,La Haye,Sénégal,Pays-Bas,empire,foreign,3
Cholon,Tananarive,Indochine,Madagascar,empire,empire,3
Cholon,Tunis,Indochine,Tunisie,empire,empire,3
Cholon,Marseille,Indochine,France,empire,metropole,3
Lomé,Marseille,Togo,France,empire,metropole,3
Bangui,Marseille,Oubangui-Chari,France,empire,metropole,3
Alger,Nantes,Algérie,France,empire,metropole,3
Alger,Nossi-Bé,Algérie,Madagascar,empire,empire,3
Alger,Douala,Algérie,Cameroun,empire,empire,3
Saïgon,Toulouse,Indochine,France,empire,metropole,3
Dakar,Londres,Sénégal,Royaume-Uni,empire,foreign,3
Djibouti,Rabat,Djibouti,Maroc,empire,empire,3
Cholon,Djibouti,Indochine,Djibouti,empire,empire,3
Dakar,Nouméa,Sénégal,Nouvelle-Calédonie,empire,empire,3
Dakar,Marrakech,Sénégal,Maroc,empire,empire,3
Dakar,Dap-Cau,Sénégal,Indochine,empire,empire,3
Cholon,Dakar,Indochine,Sénégal,empire,empire,3
Hussein-Dey,Marseille,Algérie,France,empire,metropole,3
La Haye,Saïgon,Pays-Bas,Indochine,foreign,empire,3
Nossi-Bé,Tananarive,Madagascar,Madagascar,empire,empire,3
Fedhala,Marseille,Maroc,France,empire,metropole,3
Lyon,Marrakech,France,Maroc,metropole,empire,3
Abidjan,Fès,Côte d'Ivoire,Maroc,empire,empire,3
Constantine,Dakar,Algérie,Sénégal,empire,empire,3
Bordeaux,Douala,France,Cameroun,metropole,empire,3
Bamako,Bordeaux,Soudan français,France,empire,metropole,3
Bordeaux,Ziguinchor,France,Sénégal,metropole,empire,3
Beyrouth,Constantinople,Syrie-Liban,Empire ottoman/Turquie,empire,foreign,3
Constantinople,Rabat,Empire ottoman/Turquie,Maroc,foreign,empire,3
Moroni,Saïgon,Comores,Indochine,empire,empire,3
Libreville,Tanger,Gabon,Maroc,empire,empire,3
Marrakech,Tanger,Maroc,Maroc,empire,empire,3
Casablanca,Nam-Dinh,Maroc,Indochine,empire,empire,3
Bordeaux,Hué,France,Indochine,metropole,empire,3
Brazzaville,Cayenne,Congo-Brazzaville,Guyane française,empire,empire,3
Brazzaville,Marrakech,Congo-Brazzaville,Maroc,empire,empire,3
Hanoï,Libreville,Indochine,Gabon,empire,empire,3
Le Havre,Libreville,France,Gabon,metropole,empire,3
Bangui,Nouméa,Oubangui-Chari,Nouvelle-Calédonie,empire,empire,3
Léopoldville,Nouméa,Congo-Kinshasa,Nouvelle-Calédonie,foreign,empire,3
Bordeaux,Nouméa,France,Nouvelle-Calédonie,metropole,empire,3
Alger,Tuléar,Algérie,Madagascar,empire,empire,3
Constantinople,Saïgon,Empire ottoman/Turquie,Indochine,foreign,empire,3
Brazzaville,Majunga,Congo-Brazzaville,Madagascar,empire,empire,3
Alger,Port-Gentil,Algérie,Gabon,empire,empire,3
Paris,Rouen,France,France,metropole,metropole,3
Marseille,Rabat,France,Maroc,metropole,empire,3
Fedhala,Port-Lyautey,Maroc,Maroc,empire,empire,3
Fedhala,Kayes,Maroc,Soudan français,empire,empire,3
Bône,Tunis,Algérie,Tunisie,empire,empire,3
Bône,Oran,Algérie,Algérie,empire,empire,3
Oran,Saïgon,Algérie,Indochine,empire,empire,3
Bienhoa,Brazzaville,Indochine,Congo-Brazzaville,empire,empire,3
Brazzaville,Bône,Congo-Brazzaville,Algérie,empire,empire,3
Casablanca,Mogador,Maroc,Maroc,empire,empire,3
Alger,Sfax,Algérie,Tunisie,empire,empire,3
Haïphong,Nam-Dinh,Indochine,Indochine,empire,empire,3
Bangui,Casablanca,Oubangui-Chari,Maroc,empire,empire,3
Abidjan,Majunga,Côte d'Ivoire,Madagascar,empire,empire,3
Dakar,Papeete,Sénégal,Tahiti (Polynésie),empire,empire,3
Dakar,Port-Lyautey,Sénégal,Maroc,empire,empire,3
Dakar,Fort-de-France,Sénégal,Guadeloupe et Martinique,empire,empire,3
Le Havre,Port-Gentil,France,Gabon,metropole,empire,3
Maison-Carrée,Paris,Algérie,France,empire,metropole,3
Cayenne,Lyon,Guyane française,France,empire,metropole,3
Bône,Hussein-Dey,Algérie,Algérie,empire,empire,3
Djibouti,Oran,Djibouti,Algérie,empire,empire,3
Brazzaville,Djibouti,Congo-Brazzaville,Djibouti,empire,empire,3
Dakar,Toulouse,Sénégal,France,empire,metropole,3
Hanoï,Marrakech,Indochine,Maroc,empire,empire,3
Léopoldville,Paris,Congo-Kinshasa,France,foreign,metropole,3
Douala,Grand-Bassam,Cameroun,Côte d'Ivoire,empire,empire,3
Hadong,Paris,Indochine,France,empire,metropole,3
Pointe-Noire,Saïgon,Congo-Brazzaville,Indochine,empire,empire,3
Bône,Saïgon,Algérie,Indochine,empire,empire,3
Hanoï,Lomé,Indochine,Togo,empire,empire,3
Kayes,Port-Vila,Soudan français,Nouvelles-Hébrides,empire,empire,3
Alger,Nam-Dinh,Algérie,Indochine,empire,empire,3
Douala,Marseille,Cameroun,France,empire,metropole,3
Fès,Port-Lyautey,Maroc,Maroc,empire,empire,3
Cayenne,Dakar,Guyane française,Sénégal,empire,empire,3
Anvers,Londres,Belgique,Royaume-Uni,foreign,foreign,3
Alger,Oujda,Algérie,Maroc,empire,empire,3
Bône,Constantine,Algérie,Algérie,empire,empire,3
Bienhoa,Hanoï,Indochine,Indochine,empire,empire,3
Nossi-Bé,Pnom-Penh,Madagascar,Indochine,empire,empire,2
Londres,Pnom-Penh,Royaume-Uni,Indochine,foreign,empire,2
Majunga,Pnom-Penh,Madagascar,Indochine,empire,empire,2
Brazzaville,Pnom-Penh,Congo-Brazzaville,Indochine,empire,empire,2
Pnom-Penh,Rufisque,Indochine,Sénégal,empire,empire,2
Constantinople,Pnom-Penh,Empire ottoman/Turquie,Indochine,foreign,empire,2
Bordeaux,Tunis,France,Tunisie,metropole,empire,2
Grand-Bassam,Majunga,Côte d'Ivoire,Madagascar,empire,empire,2
Grand-Bassam,Haïphong,Côte d'Ivoire,Indochine,empire,empire,2
Le Caire,Meknès,Égypte,Maroc,foreign,empire,2
Meknès,Saïgon,Maroc,Indochine,empire,empire,2
Saïgon,Tuléar,Indochine,Madagascar,empire,empire,2
Le Caire,Tanger,Égypte,Maroc,foreign,empire,2
Bamako,Tanger,Soudan français,Maroc,empire,empire,2
Bruxelles,Tanger,Belgique,Maroc,foreign,empire,2
Philippeville,Tanger,Algérie,Maroc,empire,empire,2
Casablanca,Dunkerque,Maroc,France,empire,metropole,2
Casablanca,Sfax,Maroc,Tunisie,empire,empire,2
Casablanca,Cotonou,Maroc,Dahomey (Bénin),empire,empire,2
Casablanca,Thiès,Maroc,Sénégal,empire,empire,2
Alger,Majunga,Algérie,Madagascar,empire,empire,2
Bruxelles,Rufisque,Belgique,Sénégal,foreign,empire,2
Brazzaville,Bruxelles,Congo-Brazzaville,Belgique,empire,foreign,2
Bruxelles,Léopoldville,Belgique,Congo-Kinshasa,foreign,foreign,2
Bruxelles,Constantine,Belgique,Algérie,foreign,empire,2
Anvers,Bruxelles,Belgique,Belgique,foreign,foreign,2
Brazzaville,Lyon,Congo-Brazzaville,France,empire,metropole,2
Douala,Lyon,Cameroun,France,empire,metropole,2
La Haye,Lisbonne,Pays-Bas,Portugal,foreign,foreign,2
Anvers,La Haye,Belgique,Pays-Bas,foreign,foreign,2
Douala,La Haye,Cameroun,Pays-Bas,empire,foreign,2
Hanoï,La Haye,Indochine,Pays-Bas,empire,foreign,2
Cholon,La Haye,Indochine,Pays-Bas,empire,foreign,2
Marseille,Nantes,France,France,metropole,metropole,2
Marseille,Pointe-Noire,France,Congo-Brazzaville,metropole,empire,2
Bruxelles,Tunis,Belgique,Tunisie,foreign,empire,2
Casablanca,Grenoble,Maroc,France,empire,metropole,2
Douala,Haïphong,Cameroun,Indochine,empire,empire,2
Douala,Nouméa,Cameroun,Nouvelle-Calédonie,empire,empire,2
Londres,Tunis,Royaume-Uni,Tunisie,foreign,empire,2
Londres,Oran,Royaume-Uni,Algérie,foreign,empire,2
Djibouti,Tananarive,Djibouti,Madagascar,empire,empire,2
Djibouti,Hué,Djibouti,Indochine,empire,empire,2
Dakar,Tamatave,Sénégal,Madagascar,empire,empire,2
Dakar,Port-Vila,Sénégal,Nouvelles-Hébrides,empire,empire,2
Dakar,Le Caire,Sénégal,Égypte,empire,foreign,2
Kaolack,Marseille,Sénégal,France,empire,metropole,2
La Haye,Tunis,Pays-Bas,Tunisie,foreign,empire,2
La Haye,Pointe-Noire,Pays-Bas,Congo-Brazzaville,foreign,empire,2
Haïphong,Kaolack,Indochine,Sénégal,empire,empire,2
Abidjan,Kaolack,Côte d'Ivoire,Sénégal,empire,empire,2
Douala,Toulon,Cameroun,France,empire,metropole,2
Constantine,Lyon,Algérie,France,empire,metropole,2
Fès,Kayes,Maroc,Soudan français,empire,empire,2
Libreville,Rabat,Gabon,Maroc,empire,empire,2
Constantine,Rabat,Algérie,Maroc,empire,empire,2
Beyrouth,Bordeaux,Syrie-Liban,France,empire,metropole,2
Constantinople,Marseille,Empire ottoman/Turquie,France,foreign,metropole,2
Alexandrie,Constantinople,Égypte,Empire ottoman/Turquie,foreign,foreign,2
Bruxelles,Constantinople,Belgique,Empire ottoman/Turquie,foreign,foreign,2
Tourane,Vinh,Indochine,Indochine,empire,empire,2
Casablanca,Oujda,Maroc,Maroc,empire,empire,2
Fès,Marseille,Maroc,France,empire,metropole,2
Fès,Tananarive,Maroc,Madagascar,empire,empire,2
Marseille,Strasbourg,France,France,metropole,metropole,2
Marseille,Oujda,France,Maroc,metropole,empire,2
Marrakech,Marseille,Maroc,France,empire,metropole,2
Bruxelles,Haïphong,Belgique,Indochine,foreign,empire,2
Hué,Tananarive,Indochine,Madagascar,empire,empire,2
Dunkerque,Marseille,France,France,metropole,metropole,2
Bordeaux,Libreville,France,Gabon,metropole,empire,2
Brazzaville,Port-Gentil,Congo-Brazzaville,Gabon,empire,empire,2
Brazzaville,Tunis,Congo-Brazzaville,Tunisie,empire,empire,2
Brazzaville,Ziguinchor,Congo-Brazzaville,Sénégal,empire,empire,2
Bangui,Libreville,Oubangui-Chari,Gabon,empire,empire,2
Libreville,Port-Vila,Gabon,Nouvelles-Hébrides,empire,empire,2
Haïphong,Nouméa,Indochine,Nouvelle-Calédonie,empire,empire,2
Marseille,Nouméa,France,Nouvelle-Calédonie,metropole,empire,2
Nossi-Bé,Tuléar,Madagascar,Madagascar,empire,empire,2
Abidjan,Tuléar,Côte d'Ivoire,Madagascar,empire,empire,2
Dap-Cau,Tuléar,Indochine,Madagascar,empire,empire,2
Lyon,Tuléar,France,Madagascar,metropole,empire,2
Rabat,Saïgon,Maroc,Indochine,empire,empire,2
Brazzaville,Léopoldville,Congo-Brazzaville,Congo-Kinshasa,empire,foreign,2
Brazzaville,Pointe-Noire,Congo-Brazzaville,Congo-Brazzaville,empire,empire,2
Brazzaville,Haïphong,Congo-Brazzaville,Indochine,empire,empire,2
Alger,Pointe-Noire,Algérie,Congo-Brazzaville,empire,empire,2
Alger,Le Havre,Algérie,France,empire,metropole,2
Alger,Philippeville,Algérie,Algérie,empire,empire,2
Alger,Anvers,Algérie,Belgique,empire,foreign,2
Pointe-Noire,Tunis,Congo-Brazzaville,Tunisie,empire,empire,2
Bangui,Pointe-Noire,Oubangui-Chari,Congo-Brazzaville,empire,empire,2
Anvers,Pointe-Noire,Belgique,Congo-Brazzaville,foreign,empire,2
La Haye,Libreville,Pays-Bas,Gabon,foreign,empire,2
Diégo-Suarez,Tananarive,Madagascar,Madagascar,empire,empire,2
Fedhala,Marrakech,Maroc,Maroc,empire,empire,2
Fedhala,Philippeville,Maroc,Algérie,empire,empire,2
Douala,Fedhala,Cameroun,Maroc,empire,empire,2
Majunga,Saïgon,Madagascar,Indochine,empire,empire,2
Libreville,Marrakech,Gabon,Maroc,empire,empire,2
Casablanca,Conakry,Maroc,Guinée Conakry,empire,empire,2
Casablanca,Lisbonne,Maroc,Portugal,empire,foreign,2
Lisbonne,Tunis,Portugal,Tunisie,foreign,empire,2
Abidjan,Rufisque,Côte d'Ivoire,Sénégal,empire,empire,2
Abidjan,Cotonou,Côte d'Ivoire,Dahomey (Bénin),empire,empire,2
Abidjan,Lyon,Côte d'Ivoire,France,empire,metropole,2
Saïgon,Singapour,Indochine,Malaisie,empire,foreign,2
Port-Vila,Saïgon,Nouvelles-Hébrides,Indochine,empire,empire,2
Cayenne,Tunis,Guyane française,Tunisie,empire,empire,2
Hanoï,Tunis,Indochine,Tunisie,empire,empire,2
Casablanca,Yaoundé,Maroc,Cameroun,empire,empire,2
Majunga,Tunis,Madagascar,Tunisie,empire,empire,2
Lyon,Sousse,France,Tunisie,metropole,empire,2
Le Havre,Lyon,France,France,metropole,metropole,2
Moroni,Papeete,Comores,Tahiti (Polynésie),empire,empire,2
Papeete,Rufisque,Tahiti (Polynésie),Sénégal,empire,empire,2
Mostaganem,Papeete,Algérie,Tahiti (Polynésie),empire,empire,2
Bamako,Papeete,Soudan français,Tahiti (Polynésie),empire,empire,2
Marrakech,Papeete,Maroc,Tahiti (Polynésie),empire,empire,2
Libreville,Papeete,Gabon,Tahiti (Polynésie),empire,empire,2
Papeete,Thiès,Tahiti (Polynésie),Sénégal,empire,empire,2
Nossi-Bé,Papeete,Madagascar,Tahiti (Polynésie),empire,empire,2
Bône,Dakar,Algérie,Sénégal,empire,empire,2
Alger,Lisbonne,Algérie,Portugal,empire,foreign,2
Douala,Londres,Cameroun,Royaume-Uni,empire,foreign,2
Douala,Vinh,Cameroun,Indochine,empire,empire,2
Alger,Mogador,Algérie,Maroc,empire,empire,2
Alger,Cotonou,Algérie,Dahomey (Bénin),empire,empire,2
Abidjan,Nossi-Bé,Côte d'Ivoire,Madagascar,empire,empire,2
Djibouti,Nossi-Bé,Djibouti,Madagascar,empire,empire,2
Bienhoa,Cotonou,Indochine,Dahomey (Bénin),empire,empire,2
Douala,Fort-de-France,Cameroun,Guadeloupe et Martinique,empire,empire,2
Diégo-Suarez,Douala,Madagascar,Cameroun,empire,empire,2
Anvers,Casablanca,Belgique,Maroc,foreign,empire,2
Hanoï,Philippeville,Indochine,Algérie,empire,empire,2
Djibouti,Kayes,Djibouti,Soudan français,empire,empire,2
Casablanca,Port-Gentil,Maroc,Gabon,empire,empire,2
Cantho,Casablanca,Indochine,Maroc,empire,empire,2
Dap-Cau,Saïgon,Indochine,Indochine,empire,empire,2
Bangui,Douala,Oubangui-Chari,Cameroun,empire,empire,2
Bordeaux,Port-Vila,France,Nouvelles-Hébrides,metropole,empire,2
Port-Lyautey,Tananarive,Maroc,Madagascar,empire,empire,2
Djibouti,Fedhala,Djibouti,Maroc,empire,empire,2
Hanoï,Port-Lyautey,Indochine,Maroc,empire,empire,2
Abidjan,Nantes,Côte d'Ivoire,France,empire,metropole,2
Dakar,Ziguinchor,Sénégal,Sénégal,empire,empire,2
Hanoï,Rufisque,Indochine,Sénégal,empire,empire,2
Lyon,Nam-Dinh,France,Indochine,metropole,empire,2
Moroni,Rabat,Comores,Maroc,empire,empire,2
Mogador,Tananarive,Maroc,Madagascar,empire,empire,2
Alger,Dunkerque,Algérie,France,empire,metropole,2
Abidjan,Cayenne,Côte d'Ivoire,Guyane française,empire,empire,2
Alger,Pointe-à-Pitre,Algérie,Guadeloupe et Martinique,empire,empire,2
Abidjan,Singapour,Côte d'Ivoire,Malaisie,empire,foreign,2
Bône,Marseille,Algérie,France,empire,metropole,2
Kaolack,Nam-Dinh,Sénégal,Indochine,empire,empire,2
Marseille,Port-Vila,France,Nouvelles-Hébrides,metropole,empire,2
Conakry,Port-Vila,Guinée Conakry,Nouvelles-Hébrides,empire,empire,2
Alger,Bamako,Algérie,Soudan français,empire,empire,2
Hanoï,Le Havre,Indochine,France,empire,metropole,2
