city_1,city_2,territory_1,territory_2,group_1,group_2,n_interlocks
Casablanca,Rome,Maroc,Italie,empire,foreign,1
Abidjan,Port-Gentil,Côte d'Ivoire,Gabon,empire,empire,1
Alger,La Rochelle,Algérie,France,empire,metropole,1
Bangui,La Rochelle,Oubangui-Chari,France,empire,metropole,1
Conakry,Douala,Guinée Conakry,Cameroun,empire,empire,1
Conakry,Kayes,Guinée Conakry,Soudan français,empire,empire,1
Conakry,Fort-de-France,Guinée Conakry,Guadeloupe et Martinique,empire,empire,1
Athènes,Constantinople,Grèce,Empire ottoman/Turquie,foreign,foreign,1
Athènes,Hanoï,Grèce,Indochine,foreign,empire,1
Casablanca,Pointe-Noire,Maroc,Congo-Brazzaville,empire,empire,1
Haïphong,Sfax,Indochine,Tunisie,empire,empire,1
Constantine,Majunga,Algérie,Madagascar,empire,empire,1
Oran,Rabat,Algérie,Maroc,empire,empire,1
Oran,Port-Lyautey,Algérie,Maroc,empire,empire,1
Sousse,Tunis,Tunisie,Tunisie,empire,empire,1
Dalat,Moroni,Indochine,Comores,empire,empire,1
Bangui,Port-Lyautey,Oubangui-Chari,Maroc,empire,empire,1
Athènes,Oran,Grèce,Algérie,foreign,empire,1
Kayes,Tunis,Soudan français,Tunisie,empire,empire,1
Douala,Tunis,Cameroun,Tunisie,empire,empire,1
Lille,Port-Lyautey,France,Maroc,metropole,empire,1
Bamako,Ziguinchor,Soudan français,Sénégal,empire,empire,1
Londres,Sousse,Royaume-Uni,Tunisie,foreign,empire,1
Alger,Dalat,Algérie,Indochine,empire,empire,1
Fort-Lamy,Paris,Tchad,France,empire,metropole,1
Hanoï,Mostaganem,Indochine,Algérie,empire,empire,1
Bruxelles,Hanoï,Belgique,Indochine,foreign,empire,1
Hanoï,Saint-Louis,Indochine,Sénégal,empire,empire,1
Haïphong,Sousse,Indochine,Tunisie,empire,empire,1
Abidjan,Rome,Côte d'Ivoire,Italie,empire,foreign,1
Alger,Dap-Cau,Algérie,Indochine,empire,empire,1
Fort-Lamy,Rufisque,Tchad,Sénégal,empire,empire,1
Dakar,Fort-Lamy,Sénégal,Tchad,empire,empire,1
Dap-Cau,Lisbonne,Indochine,Portugal,empire,foreign,1
Constantine,Sousse,Algérie,Tunisie,empire,empire,1
Sousse,Tanger,Tunisie,Maroc,empire,empire,1
Bordeaux,Hanoï,France,Indochine,metropole,empire,1
Londres,Marseille,Royaume-Uni,France,foreign,metropole,1
Casablanca,Hadong,Maroc,Indochine,empire,empire,1
Bruxelles,Lisbonne,Belgique,Portugal,foreign,foreign,1
Biskra,Marseille,Algérie,France,empire,metropole,1
Majunga,Saint-Denis,Madagascar,La Réunion,empire,empire,1
Constantine,Fort-de-France,Algérie,Guadeloupe et Martinique,empire,empire,1
Oran,Sidi-bel-Abbès,Algérie,Algérie,empire,empire,1
Alger,Mytho,Algérie,Indochine,empire,empire,1
Conakry,Saint-Louis,Guinée Conakry,Sénégal,empire,empire,1
Lyon,Saint-Denis,France,La Réunion,metropole,empire,1
Douala,Rabat,Cameroun,Maroc,empire,empire,1
Léopoldville,Toulon,Congo-Kinshasa,France,foreign,metropole,1
Haïphong,Port-Gentil,Indochine,Gabon,empire,empire,1
Fort-de-France,Grand-Bassam,Guadeloupe et Martinique,Côte d'Ivoire,empire,empire,1
Hanoï,Nam-Dinh,Indochine,Indochine,empire,empire,1
Londres,Nouméa,Royaume-Uni,Nouvelle-Calédonie,foreign,empire,1
Battambang,Haïphong,Indochine,Indochine,empire,empire,1
