person_id,name_clean,chambers,both_chambers,constituencies,n_constituencies,also_minister,first_year,last_year,tenure_years,n_snapshots,snapshots,key_ambiguous,in_network,n_companies,n_proxy_firms,territories,n_territories,evidence
bergeon-c,Charles Bergeon,Senate,0,Bouches-du-Rhône,1,0,,,,1,1924,0,1,1,0,Tunisie,1,roster
berger-g,Georges Berger,Chamber of Deputies,0,Seine,1,0,1889,1910,21,0,,0,1,2,0,Empire (transversal); Madagascar,2,mention
berger-p,Philippe Berger,Senate,0,Belfort,1,0,,,,0,,0,0,0,0,,0,mention
bergerot-a,Auguste Bergerot,Chamber of Deputies,0,Nord,1,0,1928,1928,0,2,1930; 1932,0,0,0,0,,0,roster
berlet,Berlet,Senate,0,,0,1,,,,0,,1,0,0,0,,0,mention
bernard-c,Charles Bernard,Chamber of Deputies,0,Seine,1,1,,,,0,,0,0,0,0,,0,mention
bernard-g-gaston,Georges Bernard,Senate,0,Eure,1,0,,,,1,1954,0,1,6,0,Empire (transversal); Guyane française; Maroc,3,roster
bernier-j,Joseph Bernier,Chamber of Deputies,0,Ain,1,0,,,,1,1924,0,1,2,0,Empire (transversal),1,roster
bert-p,Paul Bert,Chamber of Deputies,0,Vendée,1,0,1906,1914,8,0,,0,1,1,0,Algérie,1,mention
berthelot-a,André Berthelot,Chamber of Deputies; Senate,1,Seine,1,0,,,,1,1924,0,1,15,0,Afrique occidentale française; Algérie; Chine; Empire ottoman/Turquie; Indochine; Java et Sumatra (Indes néerlandaises),6,mention; roster
berthoulat-g,Georges Berthoulat,Chamber of Deputies; Senate,1,Seine; Seine-et-Oise,2,0,1902,1906,4,3,1924; 1930; 1932,0,1,4,0,Afrique équatoriale française; Algérie; Empire (transversal),3,mention; roster
bertier-de-sauvigny,BERTIER DE SAUVIGNY,Senate,0,Moselle,1,0,1922,1926,4,1,1924,0,1,2,0,Algérie; Indochine,2,mention; roster
bertrand-c,Charles BERTRAND,Chamber of Deputies,0,Seine,1,0,1918,1929,11,2,1924; 1930,0,1,2,0,Afrique équatoriale française; Madagascar,2,mention; roster
bertrand-w,William Bertrand,Chamber of Deputies,0,Charente-Inférieure,1,1,,,,1,1924,0,0,0,0,,0,mention; roster
besnard-r,René Besnard,Senate,0,Indre-et-Loire,1,0,,,,2,1932; 1936,0,0,0,0,,0,roster
bessonneau-j,Julien Bessonneau,Chamber of Deputies,0,Angers; Maine-et-Loire,2,0,,,,1,1924,0,1,5,0,Algérie; Empire (transversal); Maroc,3,mention; roster
bessonneau-l,Louis Bessonneau,Chamber of Deputies,0,Maine-et-Loire,1,0,,,,0,,0,0,0,0,,0,mention
bessonneau-p,P. Bessonneau,Chamber of Deputies,0,Angers,1,0,1919,1924,5,0,,0,0,0,0,,0,mention
bettencourt-a,André Bettencourt,Chamber of Deputies,0,Seine-Inférieure,1,0,,,,1,1954,0,0,0,0,,0,roster
bichet-r,Robert Bichet,Chamber of Deputies,0,Seine-et-Oise,1,0,,,,1,1954,0,0,0,0,,0,roster
bietry-p,Pierre Biétry,Chamber of Deputies,0,Finistère,1,0,,,,0,,0,0,0,0,,0,mention
bignon-p,Paul BIGNON,Chamber of Deputies; Senate,1,Seine-Inférieure,1,0,1902,1927,25,3,1924; 1930; 1932,0,1,2,0,Afrique équatoriale française; Empire (transversal),2,mention; roster
binder-m,Maurice Binder,Chamber of Deputies,0,Landes,1,0,,,,1,1924,0,1,2,0,Empire (transversal); Nouvelles-Hébrides (Mélanésie),2,roster
binet,Binet,Chamber of Deputies,0,Creuse,1,1,,,,0,,1,0,0,0,,0,mention
binet-f,François BINET,Chamber of Deputies; Senate,1,Creuse,1,0,1908,1914,6,3,1924; 1930; 1932,0,0,0,0,,0,mention; roster
bischoffsheim,Bischoffsheim,Chamber of Deputies,0,,0,0,,,,1,1893,1,1,4,0,Afrique occidentale française; Algérie; Empire (transversal); Maroc,4,mention; roster
blachette-g,Georges Blachette,Chamber of Deputies,0,Alger,1,0,,,,1,1954,0,1,2,0,Algérie; Maroc,2,roster
blacque-belair-a,Aimery Blacque-Belair,Chamber of Deputies,0,Seine,1,0,1928,1936,8,3,1930; 1932; 1936,0,1,1,0,Empire (transversal),1,roster
blanc-a,Antoine BLANC,Chamber of Deputies,0,Ain,1,0,,,,1,1930,0,1,7,0,Afrique occidentale française; Afrique équatoriale française; Empire (transversal),3,mention; roster
blanc-p,Prosper Blanc,Chamber of Deputies,0,DE,1,0,,,,0,,0,1,4,0,Afrique occidentale française; Empire (transversal); Indochine,3,mention
blanchet-v,Victor Blanchet,Chamber of Deputies,0,Isère,1,0,1919,1924,5,1,1924,0,1,6,3,Algérie; Indochine,2,mention; roster
blancsube,Blancsubé,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
bloch-p,Pierre Bloch,Chamber of Deputies,0,Aisne,1,0,,,,0,,0,1,3,0,Empire (transversal); Maroc,2,mention
blois-l,Louis Blois,Senate,0,Maine-et-Loire,1,0,,,,3,1930; 1932; 1936,0,1,2,0,Empire (transversal),1,roster
blondel-e,Edmond Blondel,Chamber of Deputies,0,Seine-Inférieure,1,0,1928,1932,4,2,1930; 1932,0,1,1,0,Maroc,1,roster
bloud-e,Edmond Bloud,Chamber of Deputies,0,Seine,1,0,1928,1936,8,3,1930; 1932; 1936,0,0,0,0,,0,roster
bluysen,Bluysen,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
bluysen-p,Paul Bluysen,Chamber of Deputies,0,Inde; Indes,2,1,1910,1914,4,1,1924,0,1,1,0,Algérie,1,mention; roster
bocher-e,Édouard Bocher,Senate,0,,0,0,,,,0,,0,0,0,0,,0,mention
boisde-r,Raymond Boisdé,Chamber of Deputies,0,Cher,1,0,,,,1,1954,0,1,4,0,Empire (transversal); Indochine,2,roster
boisneuf,Boisneuf,Chamber of Deputies,0,Guadeloupe,1,0,,,,1,1924,1,0,0,0,,0,mention; roster
boisneuf-r,René Boisneuf,Chamber of Deputies,0,Guadeloupe,1,0,1914,1924,10,0,,0,0,0,0,,0,mention
boivin-champaux,Boivin-Champaux,Senate,0,Calvados,1,0,,,,1,1924,1,0,0,0,,0,roster
boivin-champeaux-j,Boivin-Champeaux,Senate,0,,0,0,,,,0,,1,1,2,0,Afrique occidentale française; Empire (transversal),2,mention
bokanovski-m,Michel-Maurice BOKANOVSKI,Chamber of Deputies,0,Seine,1,0,,,,1,1954,0,0,0,0,,0,mention; roster
bompard,Bompard,Senate,0,,0,0,,,,0,,1,0,0,0,,0,mention
bon,Bon,Senate,0,,0,0,,,,0,,1,1,1,0,Indochine,1,mention
bon-l,Léon Bon,Senate,0,Bouches-du-Rhône,1,0,,,,1,1936,0,1,2,0,Empire (transversal),1,mention; roster
bonnaure-g,Gaston Bonnaure,Chamber of Deputies,0,Seine,1,0,,,,1,1936,0,0,0,0,,0,roster
bonnefous-e,Édouard BONNEFOUS,Chamber of Deputies,0,Seine-et-Oise,1,0,,,,1,1954,0,1,1,0,Guinée Conakry,1,mention; roster
bonnet-j,Joseph-Louis Bonnet,Chamber of Deputies,0,Seine,1,0,,,,0,,0,1,4,0,Empire (transversal),1,mention
borel-a,Antoine Borel,Senate,0,Savoie,1,1,,,,0,,0,0,0,0,,0,mention
boret-v,Victor Boret,Senate,0,Vienne,1,0,,,,1,1936,0,0,0,0,,0,roster
borgeaud-h,Henri Borgeaud,Senate,0,Alger,1,0,,,,1,1954,0,1,14,0,Algérie; Empire (transversal); Indochine; Maroc,4,roster
borlot-a,André Borlot,Chamber of Deputies,0,Loir-et-Cher,1,0,,,,1,1954,0,0,0,0,,0,roster
borrel-a,Antoine Borrel,Chamber of Deputies,0,Savoie,1,0,1909,1931,22,3,1930; 1932; 1936,0,0,0,0,,0,roster
bosquette-m,Maurice BOSQUETTE,Chamber of Deputies,0,Ardennes,1,0,,,,1,1930,0,0,0,0,,0,mention; roster
boucher,Boucher,Chamber of Deputies,0,Vosges,1,0,,,,0,,1,1,3,0,Indochine; Madagascar; Russie,3,mention
boucher-m,Marcel Boucher,Chamber of Deputies,0,Vosges,1,0,,,,0,,0,0,0,0,,0,mention
boudenoot,Boudenoot,Chamber of Deputies,0,,0,0,,,,0,,1,1,1,0,Algérie,1,mention
bouesse,Bouesse,Chamber of Deputies,0,,0,1,,,,0,,1,0,0,0,,0,mention
bouge,Bouge,Chamber of Deputies,0,Marseille,1,0,,,,0,,1,0,0,0,,0,mention
bougere-f,Ferdinand Bougère,Chamber of Deputies,0,Maine-et-Loire,1,0,1898,1933,35,3,1924; 1930; 1932,0,1,1,0,Afrique occidentale française,1,mention; roster
bouilloux-laffont-m,Maurice Bouilloux-Laffont,Chamber of Deputies,0,Finistère,1,0,,,,0,,0,1,1,0,Indochine,1,mention
bouilloux-lafont,Bouilloux-Lafont,Chamber of Deputies,0,Finistère,1,0,,,,1,1924,1,1,9,0,Afrique occidentale française; Algérie; Congo-Brazzaville ou Moyen-Congo; Empire (transversal); Maroc,5,roster
bouilloux-lafont-m-marcel,Maurice Bouilloux-Lafont,Chamber of Deputies,0,Finistère,1,0,1914,1932,18,2,1930; 1932,0,1,7,0,Afrique occidentale française; Algérie; Empire (transversal); Indochine; Maroc,5,mention; roster
