person_id,surname,given_variants,n_companies,n_board_companies,n_observations,top_role,roles,first_year,last_year,regions,sectors,n_name_variants,name_variants,merged_keys,affiliation_notes
roudy-a,Roudy,A.; Anathase; Athanase,28,28,63,administrateur,administrateur:53; president:7; administrateur_delegue:1; vice_president:1; commissaire_aux_comptes:1,1913,1969,Afrique occidentale francaise; Algerie; Empire (transversal); Madagascar et Djibouti; Maroc; Proche-Orient,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux; Documents généraux (par ordre chronologique); Filière bois : exploitation forestière, liège, meubles, cellulose, papier…; Groupes financiers transcoloniaux; Industries agro-alimentaires; Transports terrestres; Transports terrestres, garages automobiles et agricoles",6,A. Roudy; Anathase Roudy; Anathase Roudy4; Athanase Roudy; ROUDY; Roudy,roudy; roudy-a,Anathase; Anathase; BPPB; Athanase; Athanase; BPPB; BPPB
bouvier-r,Bouvier,René,28,28,59,administrateur,administrateur:41; administrateur_delegue:7; vice_president:6; president:5,1890,1973,Afrique equatoriale francaise; Afrique occidentale francaise; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Tunisie,"Autres industries alimentaires; Banque; Banques, groupes financiers, assureurs; Bois, meubles, papier, allumettes; Café, thé, épices, coco, quinquina, vanille; Documents généraux; Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux; Héveas et caoutchouc; Industries; Industries agro-alimentaires; Industries diverses; Mines",2,René BOUVIER; René Bouvier,bouvier-r,1883-1954; SFFC; Soffo; Soffo/Papindo
michel-cote-c,Michel-Côte,C.; Ch; Ch.; Charles,28,27,84,administrateur,administrateur:53; president:29; directeur:1; vice_president:1,1912,1975,Afrique occidentale francaise; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc,"Banque, gérance, assurances…; Banques et groupes financiers; Café, thé, épices, coco, quinquina, vanille; Commerce; Documents généraux; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Mines; Sociétés; Sociétés foncières et immobilières; Sociétés françaises ou à participation française; Transports fluviaux, maritimes et aériens; Transports maritimes, fluviaux et aériens",10,C. Michel- Cote; C. Michel-Cote; C. Michel-Côte; Ch Michel-Côte; Ch. Michel- Côte; Ch. Michel-Cote; Ch. Michel-Côte; Ch. Michel-Côte. 2; Charles Michel-Cote; Charles Michel-Côte,michel-cote-c,Bq Indoch.; Cie de l'Afr. or.; Cie Études et entrep. col.; arles; depuis 1934; pdt Ch. de fer Djibouti-Addis-Abéba…
bernard-j,Bernard,J; J.; Jacques; Jules,27,26,80,administrateur,administrateur:76; president:2; administrateur_delegue:1; commissaire_aux_comptes:1,1907,1956,Afrique equatoriale francaise; Afrique occidentale francaise; Algerie; Empire (transversal); Indochine; Maroc; Tunisie,"Café, thé, épices, coco, quinquina, vanille; Documents généraux (par ordre chronologique); Filière bois : exploitation forestière, meubles, cellulose, papier…; Groupes financiers transcoloniaux; Groupes industriels transcoloniaux; Industries agro-alimentaires; Mines et carrières; Plantations à participation française",4,J Bernard; J. Bernard; Jacques Bernard; Jules Bernard,bernard-j,BFCE; Bernard moteurs; Moteurs Salmson; comm. cptes Indoch. Bastos
fontaine-l,Fontaine,L.; Lucien; Léonard,26,26,38,administrateur,administrateur:27; president:6; vice_president:3; administrateur_delegue:2,1890,1975,Afrique occidentale francaise; Algerie; Empire (transversal); Indochine; Maroc,"Autres industries alimentaires; Banque, gérance, assurances…; Commerce; Cuirs et textiles; Documents généraux (par ordre chronologique); Groupes indochinois et dirigeants d'affaires diverses; Industries diverses; Mines; Sociétés commerciales transcoloniales; Transports fluviaux, maritimes et aériens. Ports, phares",4,L. FONTAINE; L. Fontaine; Lucien Fontaine; Léonard Fontaine,fontaine-l,Distill. Indoch.; Distill. Indoch. (SFDIC); LUCIA; SFDIC; frère cadet d'A.- R.
godard-l,Godard,L; L.; Louis,25,25,40,administrateur,administrateur:29; president:8; vice_president:2; president_directeur_general:1,1913,1958,Empire (transversal); Maroc,"Bâtiment et travaux publics, matériaux de construction, céramique; Commerce; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Filière bois : exploitation forestière, meubles, cellulose, papier…; Industries agro-alimentaires; Transports maritimes, fluviaux et aériens",3,L Godard; L. Godard; Louis Godard,godard-l,Cie gén. du Maroc; Compagnie générale du Maroc; Société générale des Abattoirs municipaux et industriels au Maroc; adg Sucreries Millet; dir. Cie gén. du Maroc; pdg Genvrain
froment-guieysse-g,Froment-Guieysse,G.; Georges,25,25,38,administrateur,administrateur:28; president:6; administrateur_delegue:3; vice_president:1,1921,1975,Afrique equatoriale francaise; Afrique occidentale francaise; Algerie; Empire (transversal); Maroc; Pacifique,"Agriculture; Banques et groupes financiers, assurances; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Foncier et immobilier; Groupes financiers transcoloniaux; Hôtellerie, tourisme, tourisme; Industrie; Industries; Industries agro-alimentaires; Sociétés; mines et industries",6,Froment-Guieysse; G. Froment- Guieysse; G. Froment-Guieysse; Georges FROMENT-GUIEYSSE; Georges Froment- Guieysse; Georges Froment-Guieysse,froment-guieysse; froment-guieysse-g,BCEEM; Georges; BCEEM; Georges; Bq col. étd et entrep. mut.
rueff-g,Rueff,G.; Gaston,24,24,58,administrateur,administrateur:32; president:13; administrateur_delegue:7; vice_president:5; directeur_general:1,1887,1971,Afrique occidentale francaise; Empire (transversal); Indochine; Maroc,"Autres industries alimentaires; Commerce; Documents généraux (par ordre chronologique); Groupes indochinois et dirigeants d'affaires diverses; Héveas et caoutchouc; Mines; Métallurgie, constructions mécaniques, électriques, navales; Sociétés foncières et immobilières; Transports fluviaux, maritimes et aériens. Ports, phares",3,G. RUEFF; G. Rueff; Gaston Rueff,rueff-g,Messageries fluviales de Cochinchine
loisy-x,Loisy,X.; Xavier,24,24,57,administrateur,administrateur:29; president:19; vice_president:7; commissaire_aux_comptes:2,1913,1948,Afrique occidentale francaise; Algerie; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Tunisie,"Agro-alimentaire; Banques et groupes financiers; Banques et groupes financiers, assurances; Bâtiment et travaux publics; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Groupes financiers transcoloniaux; Groupes indochinois et dirigeants d'affaires diverses; Industrie; Industries; Industries agro-alimentaires; Transports terrestres et garages; Transports terrestres, garages automobiles et agricoles",3,X. Loisy; Xavier LOISY; Xavier Loisy,loisy-x,CFAT; Cie gén. colonies
delmas-p,Delmas,P; P.; Philippe; Pierre,27,24,56,administrateur,administrateur:33; president:20; gerant:3,1912,1975,Afrique equatoriale francaise; Afrique occidentale francaise; Empire (transversal),Agro-alimentaire; Commerce; Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux; Industries; Industries agro-alimentaires; Mines; Sociétés commerciales transcoloniales; Transports,5,P Delmas; P. Delmas; Philippe DELMAS; Philippe Delmas; Pierre Delmas,delmas-p,Auxiliaire africaine; BFCE; Cie générale du Niger; J.-A. Delmas; J.-A. Delmas et Cie; J.A. Delmas et Cie; J.A. Delmas et Cie/Bordelaise des Comptoirs africains; J.A. Delmas et Cie/Bordelaise des comptoirs afr.; pdt délégué Auxiliaire africaine
paris,Paris],,31,24,39,administrateur,administrateur:31; directeur:4; gerant:3; president:1,1907,1971,Afrique equatoriale francaise; Afrique occidentale francaise; Algerie; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Pacifique,"Agro-alimentaire; Banques et groupes financiers, assurances; Commerce; Documentation générale (par ordre chronologique); Documents généraux (par ordre chronologique); Filière bois : exploitation forestière, meubles, cellulose, papier…; Groupes financiers transcoloniaux; Groupes industriels transcoloniaux; Groupes miniers transcoloniaux; Industries; Industries agro-alimentaires; Mines; Mines et métallurgie; Sociétés; Sociétés commerciales transcoloniales; Transports; industries agro-alimentaires",11,? Paris; PARIS); PARIS. 4; PARIS. 9; ParIs); Paris); Paris. 1; Paris. 2; Paris. 4; Paris.-; Paris],paris,1920
giscard-d-estaing-e,Giscard d'Estaing,E.; Edmond,23,23,60,administrateur,administrateur:38; president:18; president_directeur_general:2; directeur_general:1; vice_president:1,1900,1973,Afrique occidentale francaise; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc,"Autres industries alimentaires; Banque; Banque, gérance, assurances…; Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux; Héveas et caoutchouc; Industries agro-alimentaires; Industries diverses; Mines; Transports fluviaux, maritimes et aériens. Ports, phares; Transports maritimes, fluviaux et aériens",6,E. GISCARD D'ESTAING; E. GISCARD d'ESTAING; E. Giscard d'Estaing; E. Giscard-d'Estaing; Edmond GISCARD d'ESTAING; Edmond Giscard d'Estaing,giscard-d-estaing-e,SOFFO; Soffo
zafiropulo-d,Zafiropulo,D.; Demetrius; Dimitri; Démétriu; Démétrius; Démétrius ou Dimitro,23,23,49,administrateur,administrateur:34; president:12; vice_president:2; directeur:1,1908,1958,Afrique equatoriale francaise; Afrique occidentale francaise; Algerie; Antilles-Guyane; Empire (transversal); Maroc; Tunisie,"Agro-alimentaire; Banques et groupes financiers; Banques et groupes financiers, assurances; Documentation générale; Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux; Industrie; Industries chimiques; Industries diverses; Mines; Mines et carrières; Pétrole et gaz; Sociétés foncières et immobilières; Transports maritimes",6,D. Zafiropulo; Demetrius Zafiropulo; Dimitri Zafiropulo; Démétriu Zafiropulo; Démétrius Zafiropulo; Démétrius ou Dimitro Zafiropulo,zafiropulo-d,SGTM; bq marseillais; financier marseillais d'origine grecque; pdt Djebel-Hallouf
benedic-e,Bénédic,E.; Edouard; Emmanuel; Édouard,23,23,43,administrateur,administrateur:24; president:16; administrateur_delegue:2; vice_president:1,1921,1968,Afrique equatoriale francaise; Afrique occidentale francaise; Antilles-Guyane; Empire (transversal); Indochine; Maroc; Pacifique,"Banques et groupes financiers; Bâtiment-travaux publics, matériaux de construction, céramiques; Documentation générale (par ordre chronologique); Documents généraux (par ordre chronologique); Eau et assainissement, électricité (utilities); Groupes miniers transcoloniaux; Mines; Mines et placers",7,E. Benedic; E. Benédic; E. Bénédic; Edouard Bénédic; Emmanuel Bénédic; Édouard Benédic; Édouard Bénédic,benedic-e,CMOO; gendre de William Guynet; Édouard
baudouin-p,Baudouin,P.; Paul,23,23,43,administrateur,administrateur:30; president:10; directeur_general:2; vice_president:1,1887,1964,Afrique occidentale francaise; Empire (transversal); Indochine; Maroc; Pacifique; Tunisie,"Autres industries alimentaires; Banque; Bâtiment-travaux publics, matériaux de construction, céramiques; Documentation générale (par ordre chronologique); Documents généraux (par ordre chronologique); Eau et assainissement, électricité (Utilities); Groupes financiers transcoloniaux; Groupes miniers transcoloniaux; Héveas et caoutchouc; Mines; Mines et métallurgie; Sociétés françaises ou à participation française; Sports",3,P. Baudouin; Paul BAUDOUIN; Paul Baudouin,baudouin-p,= Banque de l'Indochine; Banque de l'Indochine
guerin-a,Guérin,A.; Agénor; Albert; André,24,23,39,administrateur,administrateur:33; administrateur_delegue:3; president:2; directeur_general:1,1930,1969,Afrique equatoriale francaise; Afrique occidentale francaise; Algerie; Empire (transversal); Maroc,"Commerce; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Foncières et immobilières; Industries agro-alimentaires; Mines; Transports terrestres, garages automobiles et agricoles",4,A. Guérin; Agénor Guérin; Albert Guérin; André Guérin,guerin-a,148; Bordelaise de CIC; Bou- Arfa; Bou-Arfa; Ch. fer Maroc et Tanger-Fez; Ch. fer Maroc et Tanger-Fez+Maroc. d'expl. min.; Dunlop; Mines de Bou Arfa; Minière des Terres-Rouges; SMD; ph AMISOL
legrand-r,Legrand,R; René,24,23,38,administrateur,administrateur:28; president:4; vice_president:3; administrateur_delegue:2; commissaire_aux_comptes:1,1887,1973,Afrique occidentale francaise; Empire (transversal); Indochine; Madagascar et Djibouti,"Agro-alimentaire; Banque, gérance, assurances…; Bâtiment et travaux publics; Bâtiment-travaux publics, matériaux de construction, céramiques; Café, thé, épices, coco, quinquina, vanille; Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux; Industries; Industries agro-alimentaires; Transports terrestres et garages",2,R Legrand; René Legrand,legrand-r,"Cie gén. colonies; Cie générale des colonies; Cégépar; comm. cptes Docks des alcools, lubrifiants et carburants; dir. Cie générale des colonies"
de-laboulaye-e,de Laboulaye,Édouard,24,23,34,administrateur,administrateur:30; vice_president:3; directeur:1,1887,1971,Afrique occidentale francaise; Indochine; Maroc,"Autres industries alimentaires; Café, thé, épices, coco, quinquina, vanille; Documents généraux (par ordre chronologique); Eau et assainissement, électricité (Utilities); Groupes indochinois et dirigeants d'affaires diverses; Héveas et caoutchouc; Mines; Métallurgie, constructions mécaniques, électriques, navales; Sociétés françaises ou à participation française; Transports fluviaux, maritimes et aériens. Ports, phares",2,Édouard de LABOULAYE; Édouard de Laboulaye,de-laboulaye-e,1883-1955; 1883-1955; secr. gén. Bq IC; Banque de l'Indochine; secr. gén. Bq IC; 1883-1955
decazes-v,Decazes,Vte M,24,23,27,administrateur,administrateur:25; commissaire_aux_comptes:2,1921,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,Decazes; Vte M Decazes,decazes; decazes-v,Affinage métaux; Bq Tunisie; Bq comm. Maroc; adm. Soie artificielle de Tubize; comm. cptes Reports et dépôts
weber-j,Weber,J.; Jean,22,22,49,administrateur,administrateur:29; president:18; directeur_general:2,1914,1975,Afrique equatoriale francaise; Afrique occidentale francaise; Empire (transversal),"Agro-alimentaire; Agro-alimentaire, cultures industrielles; Banque; Banques et groupes financiers; Documents généraux (par ordre chronologique); Industrie; Sociétés commerciales; Sociétés commerciales transcoloniales; industrie; mines et industries",3,J. Weber; J. Wéber; Jean Weber,weber-j,CFSO; CFSO…; groupe CFSO; ép. Dlle Guynet
mizraki-m,Mizraki,Maurice,22,22,43,administrateur,administrateur:32; president:8; administrateur_delegue:3,1921,1975,Afrique equatoriale francaise; Afrique occidentale francaise,"Agro-alimentaire; Agro-alimentaire, cultures industrielles; Commerce; Documents généraux (par ordre chronologique); Industrie; Industries; Mines; Transports; industries agro-alimentaires",2,Maurice Mizraki; Mizraki,mizraki; mizraki-m,Kong; Maurice; aurice; aurice; Kong
incertains-r,incertains,Renseignements,22,22,24,administrateur,administrateur:24,1927,1937,Afrique occidentale francaise; Antilles-Guyane; Indochine; Madagascar et Djibouti; Maroc,"Café, thé, épices, coco, quinquina, vanille; Divers; Documentation générale; Documents généraux; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Mines et placers; Transports",1,Renseignements incertains,incertains-r,
superville-m,Superville,Maurice,21,21,47,administrateur,administrateur:43; president:3; administrateur_delegue:1,1892,1943,Afrique equatoriale francaise; Afrique occidentale francaise; Empire (transversal); Maroc,Agro-alimentaire; Banques et groupes financiers; Bâtiment et travaux publics; Commerce; Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux; Industrie; Industries; Mines; Pétrole et gaz; mines et industries,2,Maurice Superville; Superville,superville; superville-m,Bq frse de l'Af. équat.; Bq fse de l'Af. équat.; aurice; off. LH
gompel-r,Gompel,Robert; Roger; Roger E,20,20,38,administrateur,administrateur:27; president:8; vice_president:2; president_directeur_general:1,1913,1956,Afrique occidentale francaise; Empire (transversal); Madagascar et Djibouti; Maroc,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Sociétés; Sociétés commerciales transcoloniales",3,Robert Gompel; Roger E Gompel; Roger Gompel,gompel-r,= Paris-France (magasins « Aux Dames de France »); Paris- Maroc; Paris-Maroc; adg Paris-France; fils de Gustave; pdg Aux Trois Quartiers
launay-l,Launay,L.; Lucien,20,20,35,administrateur,administrateur:27; president:6; administrateur_delegue:2,1890,1948,Afrique occidentale francaise; Empire (transversal); Indochine,"Banque, gérance, assurances…; Bois, meubles, papier, allumettes; Documents généraux (par ordre chronologique); Groupes indochinois et dirigeants d'affaires diverses; Groupes miniers transcoloniaux; Héveas et caoutchouc",2,L. Launay; Lucien Launay,launay-l,CCNEO
mazet-e,Mazet,E; E.; Édouard; Émilien,22,20,35,administrateur,administrateur:26; president:5; vice_president:2; gerant:1; commissaire_aux_comptes:1,1887,1956,Empire (transversal); Indochine,"Autres industries alimentaires; Bâtiment-travaux publics, matériaux de construction, céramiques; Documents généraux (par ordre chronologique); Héveas et caoutchouc; Pêche et produits de la mer; Rizières, rizeries, négoce de riz et autres céréales; Sociétés commerciales transcoloniales; Sociétés foncières et immobilières; Sociétés françaises ou à participation française",5,E Mazet; E. MAZET; E. Mazet; Édouard Mazet; Émilien Mazet,mazet-e,Anc. Éts Gradis; Caoutch. Mékong; comm. cptes Mobil
carrere-g,Carrère,G.; Georges,20,20,33,administrateur,administrateur:32; president:1,1919,1971,Empire (transversal); Indochine,"Bois, meubles, papier, allumettes; Bâtiment-travaux publics, matériaux de construction, céramiques; Documents généraux (par ordre chronologique); Héveas et caoutchouc; Sociétés foncières et immobilières; Sociétés françaises ou à participation française",6,Carrère; Carrère. 4; G. CARRÈRE; G. Carrère; Georges Carrère; Georges Carrère °,carrere; carrere-g,Bq fr.-chinoise; Bq franco-chinoise; dir. Sté gérance Bq ind. Chine
ledoux-f,Ledoux,F.; Frédéric,20,20,32,administrateur,administrateur:29; president:3,1890,1971,Afrique equatoriale francaise; Empire (transversal); Indochine; Maroc; Tunisie,Agro-alimentaire; Commerce; Documents généraux (par ordre chronologique); Groupes miniers transcoloniaux; Industries agro-alimentaires; Industries chimiques; Mines,2,F. Ledoux; Frédéric Ledoux,ledoux-f,Peñarroya; Peñarroya/Cie min. de l'Af. du Nord; rédéric; rédéric; Peñarroya
deposes-chez-me-moyne-s,déposés chez Me Moyne,Statuts,20,20,22,administrateur,administrateur:21; conseil_surveillance:1,1908,1920,Afrique equatoriale francaise; Afrique occidentale francaise; Algerie; Empire (transversal); Maroc; Proche-Orient,"Agro-alimentaire; Agro-alimentaire, cultures industrielles; Banques, groupes financiers, assureurs; Eau et assainissement, électricité (utilities); Eau, gaz, électricité (Utilities); Groupes financiers transcoloniaux; Industries agro-alimentaires; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles",1,Statuts déposés chez Me Moyne,deposes-chez-me-moyne-s,
gendre-e,Gendre,E.; Édouard,22,19,39,administrateur,administrateur:25; president:8; president_directeur_general:2; directeur:2; commissaire_aux_comptes:2,1910,1969,Algerie; Empire (transversal); Maroc; Proche-Orient; Tunisie,"Banques et groupes financiers, assurances; Banques, groupes financiers, assureurs; Documents généraux; Documents généraux (par ordre chronologique); Foncières et immobilières; Industries agro-alimentaires; Sociétés diverses; Transports terrestres, garages automobiles et agricoles",3,E. Gendre; Gendre; Édouard Gendre,gendre; gendre-e,Bastos; CFAT; EGTH; Havraise Péninsulaire; Indoch. Bastos; Régie fonc. de la ville d’Alger; pdt Tramw.+autobus Casablanca
