doc_id,entry_type,is_annuaire,n_chars,n_segments,n_ties,n_xrefs
afrique-du-nord-bruttos-du-tselfat-bfba07,company,0,13936,6,0,0
afrique-du-nord-caam-1d5c6e,company,0,11974,18,17,4
afrique-du-nord-caboteurs-algeriens-3ba408,company,0,2023,2,10,0
afrique-du-nord-cacciuttolo-alger-4f5833,company,0,2732,7,0,0
afrique-du-nord-cado-1942-1976-5cec7d,company,0,10876,4,0,0
afrique-du-nord-caisse-agricole-tlemcen-eb8723,company,0,2254,2,7,0
afrique-du-nord-caisse-agricomm-guelma-9022f4,company,0,1554,2,9,0
afrique-du-nord-caisse-credit-rivet-1e2b94,company,0,1151,2,0,1
afrique-du-nord-caisse-fonciere-tunisie-cfa7c6,company,0,9693,6,0,0
afrique-du-nord-caisse-prets-immob-maroc-c7cedc,company,0,44594,37,33,3
afrique-du-nord-caisse-tunis-credit-consolidation-cf3dd7,company,0,4759,7,0,2
afrique-du-nord-calorifuges-lieges-fedhala-d20970,company,0,9292,11,9,1
afrique-du-nord-camionnage-maroc-alger-22df81,company,0,3960,6,6,0
afrique-du-nord-camp-de-djenien-bou-rezg-3d62b4,source_document,0,113663,12,0,0
afrique-du-nord-campenon-bernard-algerie-f0a4ed,company,0,4373,4,0,0
afrique-du-nord-cargos-algeriens-648be5,company,0,16599,10,4,0
afrique-du-nord-carmode-alger-8171bf,company,0,1362,2,0,0
afrique-du-nord-carpet-nord-africaine-0bd9fb,company,0,3123,3,0,1
afrique-du-nord-carrelages-mosaiques-castan-7e4353,company,0,15664,6,0,4
afrique-du-nord-carrieres-algeroises-a8f1c3,company,0,4870,8,6,3
afrique-du-nord-carrieres-marocaines-4756ca,company,0,12526,3,20,0
afrique-du-nord-carrosserie-lievin-alger-6e226e,company,0,7860,2,0,0
afrique-du-nord-caruana-freres-sousse-2b2371,company,0,3889,2,0,0
afrique-du-nord-casablanca-1953-e4b6b1,source_document,0,29973,2,0,1
afrique-du-nord-casablanca-debarquement-873f70,company,0,763,2,0,0
afrique-du-nord-casablancaise-construc-eco-c25ab7,company,0,2631,3,12,0
afrique-du-nord-castel-algerie-b87960,company,0,32135,7,0,1
afrique-du-nord-caves-du-chateau-alger-f0f605,company,0,16217,12,7,1
afrique-du-nord-celestin-boyoud-alger-9b752c,company,0,41758,43,0,1
afrique-du-nord-celluloses-af-frse-nord-52beca,company,0,39778,18,22,0
afrique-du-nord-cellunaf-4c0ca2,company,0,11398,6,0,0
afrique-du-nord-cenpa-1893-1960-aaf3f8,company,0,19210,9,68,2
afrique-du-nord-centrale-d-expl-rech-minieres-995ae5,company,0,6049,7,11,1
afrique-du-nord-centrale-des-phosphates-920242,company,0,30482,28,15,5
afrique-du-nord-centrale-marocaine-231535,company,0,27359,38,19,6
afrique-du-nord-centre-et-sud-tunis-ae3b43,company,0,1773,2,6,0
afrique-du-nord-ceramique-afn-audoyer-9feaea,company,0,14878,11,0,0
afrique-du-nord-cerruti-ets-alger-692e44,company,0,4731,2,0,0
afrique-du-nord-cfa-1933-1962-270741,company,0,106906,45,0,0
afrique-du-nord-cfat-maroc-89ed07,company,0,6840,8,0,3
afrique-du-nord-ch-de-fer-maroc-5b5f1f,company,0,145963,107,184,9
afrique-du-nord-ch-de-fer-tanger-fez-2af025,company,0,79098,58,116,8
afrique-du-nord-ch-fer-algeriens-1860-1863-c5b448,company,0,23381,7,0,3
afrique-du-nord-ch-fer-maroc-oriental-56cdb0,company,0,19418,21,30,7
afrique-du-nord-ch-fer-nemours-marnia-a63ffd,company,0,16168,10,0,0
