doc_id,company_key,company_name,person_key,name_clean,surname,given,role,year,source_ref,annotation,region,country,sector,anchor_type,trigger,parse_note,member_raw
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,katz-m,Maxime Katz,Katz,Maxime,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,initials_or_forename,Maxime Katz
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,lacoin-g,Gaston Lacoin,Lacoin,Gaston,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,initials_or_forename,Gaston Lacoin
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,de-montgolfier-j,Joseph de Montgolfier,de Montgolfier,Joseph,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,initials_or_forename,Joseph de Montgolfier
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,gerard-e,Émile Gérard,Gérard,Émile,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,initials_or_forename,Émile Gérard
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,gompel-r,Robert Gompel,Gompel,Robert,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,initials_or_forename,Robert Gompel
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,tabard-t,Tranquille Tabard,Tabard,Tranquille,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,positional_forename,Tranquille Tabard
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,weil-l,Léon Weil,Weil,Léon,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,initials_or_forename,Léon Weil
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,yver-de-la-bruchollerie,Yver de la Bruchollerie,Yver de la Bruchollerie,,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,surname_only,Yver de la Bruchollerie
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,marches-au-maroc,marchés au Maroc,marchés au Maroc,,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,surname_only,marchés au Maroc
afrique-du-nord-abattoirs-industriels-maroc-9a3243,,,pres-m-anathase-roudy,Prés.: M. Anathase Roudy,Prés.: M. Anathase Roudy,,administrateur,1938,Annuaire industriel 1938,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,cons_adm_abbrev,surname_only,Prés.: M. Anathase Roudy
afrique-du-nord-abattoirs-industriels-maroc-9a3243,,,adm-mm-gaston-de-caqueray,Adm.: MM. Gaston de Caqueray,Adm.: MM. Gaston de Caqueray,,administrateur,1938,Annuaire industriel 1938,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,cons_adm_abbrev,surname_only,Adm.: MM. Gaston de Caqueray
afrique-du-nord-abattoirs-industriels-maroc-9a3243,,,cotte-l,Ludovic Cotte,Cotte,Ludovic,administrateur,1938,Annuaire industriel 1938,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,cons_adm_abbrev,initials_or_forename,Ludovic Cotte
afrique-du-nord-abattoirs-industriels-maroc-9a3243,,,gompel-r,Robert Gompel,Gompel,Robert,administrateur,1938,Annuaire industriel 1938,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,cons_adm_abbrev,initials_or_forename,Robert Gompel
afrique-du-nord-abattoirs-industriels-maroc-9a3243,,,jordan-p,Paul Jordan,Jordan,Paul,administrateur,1938,Annuaire industriel 1938,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,cons_adm_abbrev,initials_or_forename,Paul Jordan
afrique-du-nord-abattoirs-industriels-maroc-9a3243,,,katz-m,Maxime Katz,Katz,Maxime,administrateur,1938,Annuaire industriel 1938,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,cons_adm_abbrev,initials_or_forename,Maxime Katz
afrique-du-nord-abattoirs-industriels-maroc-9a3243,,,lacoin-g,Gaston Lacoin,Lacoin,Gaston,administrateur,1938,Annuaire industriel 1938,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,cons_adm_abbrev,initials_or_forename,Gaston Lacoin
afrique-du-nord-abattoirs-industriels-maroc-9a3243,,,tabard-recherche-t,Tranquille Tabard. Recherche,Tabard. Recherche,Tranquille,administrateur,1938,Annuaire industriel 1938,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,cons_adm_abbrev,positional_forename,Tranquille Tabard. Recherche
afrique-du-nord-abri-familial-oranais-320b63,abrifamilialoranais,L'Abri familial oranais,bisch-r,René Bisch,Bisch,René,administrateur,1928,"L'Écho d'Oran, 17 février 1928",,Algerie,Algérie,Foncières et immobilières,citation,conseil_nomme,surname_first_bare,MM. Bisch René
afrique-du-nord-abri-familial-oranais-320b63,abrifamilialoranais,L'Abri familial oranais,blanchet-l,Louis Blanchet,Blanchet,Louis,administrateur,1928,"L'Écho d'Oran, 17 février 1928",,Algerie,Algérie,Foncières et immobilières,citation,conseil_nomme,surname_first_bare,Blanchet Louis
afrique-du-nord-abri-familial-oranais-320b63,abrifamilialoranais,L'Abri familial oranais,mohamed-b,Boudali Mohamed,Mohamed,Boudali,administrateur,1928,"L'Écho d'Oran, 17 février 1928",,Algerie,Algérie,Foncières et immobilières,citation,conseil_nomme,positional_forename,Boudali Mohamed
afrique-du-nord-abri-familial-oranais-320b63,abrifamilialoranais,L'Abri familial oranais,fouque-l,Léon Fouque,Fouque,Léon,administrateur,1928,"L'Écho d'Oran, 17 février 1928",,Algerie,Algérie,Foncières et immobilières,citation,conseil_nomme,surname_first_bare,Fouque Léon
afrique-du-nord-abri-familial-oranais-320b63,abrifamilialoranais,L'Abri familial oranais,frassati-c,César Frassati,Frassati,César,administrateur,1928,"L'Écho d'Oran, 17 février 1928",,Algerie,Algérie,Foncières et immobilières,citation,conseil_nomme,surname_first_bare,Frassati César
