person_id,company_key,company_name,role,year,source_ref,doc_id,annotation,from_company_id,match_method,n_observations,source_genre
bedat-de-monlaur-p,eauxhanoi,Compagnie des Eaux de Hanoï,administrateur,1971,"Saint-Nicolas-de-la-Taille, Seine-Inférieure, 7 juin 1878-Dalat, 1971",inde-indochine-aec-1951-indochine-96799d,Eaux de Hanoï,indochineluminescenceradio,name,3,annotation
benedic-e-edouard,miniereoubanghioriental,Compagnie Minière de l'Oubanghi oriental,administrateur,1949,"J. O. R. F., 4 janvier 1949, p. 218",afrique-equatoriale-aec-1951-aef-cameroun-6d0821,CMOO,recherchesexploitationsdiamantiferes,acronym,3,annotation
blot-lefevre-a,colonies,Compagnie Générale des colonies,administrateur,1963,"Doc af., 1963",afrique-occidentale-aec-1951-aof-togo-9a864d,Cie générale des colonies,scieriesafricaines,name,3,annotation
bordet-l-lucien,algerienne,Compagnie algérienne,administrateur,1944,"Mâcon, 1872-Paris, 1944",afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,Cie algérienne,phosphatesdyr,name,3,annotation
boyer,omniumindochinois,Omnium indochinois,administrateur,1971,"Saint-Nicolas-de-la-Taille, Seine-Inférieure, 7 juin 1878-Dalat, 1971",inde-indochine-aec-1951-indochine-96799d,Omnium indochinois,indochinoisemessageriesautomobiles,name,3,annotation
brandela-i,banqueindochine,Banque de l’Indochine,administrateur,1971,"Saint-Nicolas-de-la-Taille, Seine-Inférieure, 7 juin 1878-Dalat, 1971",inde-indochine-aec-1951-indochine-96799d,Banque de l'Indochine,immobiliereindochine,name,3,annotation
bucquet-a,havraisepeninsulaire,Cie havraise péninsulaire,administrateur,1973,"Roanne, 7 juillet 1881-Limeil-Brévannes, 1973",madagascar-et-djibouti-aec-1951-madagascar-36cc19,Havraise Péninsulaire,wharftamatave,name,3,annotation
bussy-a-andre,banquefrancochinoise,La Banque franco-chinoise,administrateur,1951,"AEC 1951, p. 126",inde-indochine-credit-hypothecaire-ic-a07d9f,Banque franco-chinoise,credithypothecaireindochine,name,3,annotation
cabaud-c,comptoirmetallurgiquemaroc,Comptoir métallurgique du Maroc,administrateur,1923,"Marseille, 1923",afrique-du-nord-aec-1922-maroc-ba808c,Comptoir métallurgique du Maroc,marocainedistributioneaugazelectricite,name,3,annotation
carrier,nickel,Société Le Nickel,administrateur,1922,Annuaire des entreprises coloniales,pacifique-aec-1922-polynesie-fd5136,SLN,phosphatesoceanie,acronym,3,annotation
carrier-m,phosphatesoceanie,Compagnie française des Phosphates de l'Océanie,administrateur,1922,Annuaire des entreprises coloniales,pacifique-aec-1922-nlle-caledonie-a888d5,> Phosphates Océanie,nickel,name,3,annotation
cavallier-c,pontmousson,Pont-à-Mousson,administrateur,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,Pont-à- Mousson,metallurgiqueminierefrancomarocaine,name,3,annotation
champion-g-gilbert,colonies,Compagnie Générale des colonies,administrateur,1953,"Grenoble, 1883-Saint-Mandé, 1953",inde-indochine-aec-1951-indochine-96799d,Cie générale des colonies,indochinoiseculturecaoutchoucsmekong,name,3,annotation
chapuis,airliquide,L'Air liquide,administrateur,1919,"Cote de la Bourse et de la banque, 4 février 1919",afrique-du-nord-air-liquide-maroc-620972,Air liquide,marocainegazcomprimes,name,3,annotation
charbonnier-a,brasseriesmaroc,"Société des Brasseries du Maroc, puis Boissons du Maroc",administrateur,1969,"Troyes, 1912-Marseille, 1969",afrique-du-nord-aec-1951-maroc-0655fe,Brasseries du Maroc,carrieresmarocaines,name,3,annotation
dal-piaz-j,transatlantique,Cie Générale Transatlantique,administrateur,1915,"S.N.C., Bordeaux, 5 mars 1915",inde-indochine-aec-1922-indochine-c3f1fb,Cie générale transatlantique,unioncommercialeindochinoiseafricaine,name,3,annotation
de-rouvre-c,agricolemaroc,Société Agricole du Maroc,administrateur,1975,"Paris, 1874-Paris, 1975",afrique-occidentale-aec-1922-aof-togo-9cef7c,Agricole du Maroc,minesfalemegambie,name,3,annotation
de-saboulin-bollena-p,messageriesmaritimes,Société des Messageries maritimes,administrateur,1951,"AEC 1951, p. 1124",inde-indochine-asiatique-africaine-b1d709,Messageries maritimes,asiatiqueafricaine,name,3,annotation
de-sincay-e,vieillemontagne,Vieille Montagne,administrateur,1915,"S.N.C., Bordeaux, 5 mars 1915",inde-indochine-aec-1922-indochine-c3f1fb,Vieille Montagne,minieremetallurgiqueindochine,name,3,annotation
de-vienne-h,industrielle,Compagnie générale industrielle,administrateur,1938,Annuaire industriel 1938,empire-cie-gen-indus-1921-1949-44a65b,Cie générale industrielle,bazacle,name,3,annotation
delcourt-e,centralemarocaine,Société Centrale marocaine,administrateur,1922,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-lieges-de-la-mamora-4d4f69,Centrale Marocaine,liegesmamora,name,3,annotation
delcroix-a,pecheriesmarocaines,Pêcheries marocaines,administrateur,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,Pêcheries marocaines,etudesmarocainescommerceiindustriemines,name,3,annotation
delmas-p-pierre,auxiliaireafricaine,Société Auxiliaire africaine,administrateur,1963,"Doc af., 1963",afrique-occidentale-aec-1951-aof-togo-9a864d,Auxiliaire africaine,salinssinesaloum,name,3,annotation
delorme,airliquide,L'Air liquide,administrateur,1925,Annuaire industriel 1925,inde-indochine-aec-1922-indochine-c3f1fb,Air liquide,industriellechimieextremeorient,name,3,annotation
delorme-p,airliquide,L'Air liquide,administrateur,1915,"S.N.C., Bordeaux, 5 mars 1915",inde-indochine-aec-1922-indochine-c3f1fb,L'Air liquide,anthracitestonkin,name,3,annotation
delpech-j-jean,unioncommercialeindochinoiseafricaine,L'Union commerciale indochinoise et africaine,administrateur,1927,"JORF, 22 août 1927",afrique-du-nord-aec-1922-maroc-ba808c,LUCIA,industriellemarocaine,acronym,3,annotation
deschars,airliquide,L'Air liquide,administrateur,1919,"Cote de la Bourse et de la banque, 4 février 1919",afrique-du-nord-air-liquide-maroc-620972,Air liquide,marocainegazcomprimes,name,3,annotation
dumard-h,havraisepeninsulaire,Cie havraise péninsulaire,administrateur,1973,"Roanne, 7 juillet 1881-Limeil-Brévannes, 1973",madagascar-et-djibouti-aec-1951-madagascar-36cc19,Havraise Péninsulaire,wharftamatave,name,3,annotation
duperon-p,banquefrancochinoise,La Banque franco-chinoise,administrateur,1971,"Saint-Nicolas-de-la-Taille, Seine-Inférieure, 7 juin 1878-Dalat, 1971",inde-indochine-aec-1951-indochine-96799d,Banque franco-chinoise,hydrauliqueasie232,name,3,annotation
dupont-e-edmond,algerienneproduitschimiquesengrais,Société Algérienne de produits chimiques et d'engrais,administrateur,1969,"Troyes, 1912-Marseille, 1969",afrique-du-nord-aec-1951-maroc-0655fe,Algérienne de produits chimiques et d'engrais,cherifienneengraisproduitschimiques,name,3,annotation
durrieu,forestieresanghaoubangui,Compagnie Forestière Sangha-Oubangui,administrateur,1922,"AEC 1922, p. 248",afrique-equatoriale-cefa-gabon-f9a898,CFSO,exploitationsforestieresafricaines,acronym,3,annotation
fabry-r,algerienne,Compagnie algérienne,administrateur,1958,"Espalion, Ardèche, 1880-Paris, 1958",afrique-du-nord-aec-1922-maroc-ba808c,Cie algérienne…,rharbkhlot,name,3,annotation
ferrant-r,cimentsportlandartificielsindochine,Ciments Portland artificiels de l'Indochine,administrateur,1922,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-chaux-ciments-maroc-b5536d,Ciments Portland artificiels de l'Indochine,chauxcimentsmateriauxconstructionmaroc,name,3,annotation
fremaux-p,industriellematerieltransport,Compagnie Industrielle de matériel de transport,administrateur,1958,"Espalion, Ardèche, 1880-Paris, 1958",afrique-du-nord-aec-1922-maroc-ba808c,CIMT,algeromarocaineculturecommerce,acronym,3,annotation
gallenca-h,cotonniereouestafricaine,Compagnie cotonnière ouest-africaine,administrateur,1963,"Doc af., 1963",afrique-occidentale-aec-1951-aof-togo-9a864d,COTOA,tambacounda,acronym,3,annotation
garbe-d,algerienne,Compagnie algérienne,administrateur,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,Cie algérienne,magasinsgenerauxwarrantsmaroc,name,3,annotation
gauran-h,banqueetatmaroc,Banque d'État du Maroc,administrateur,1926,Annuaire des entreprises coloniales,afrique-du-nord-aec-1926-maroc-e65b4d,Banque d'État du Maroc,habitationsmaroc,name,3,annotation
gimon-c,afriqueorientale,Compagnie de l'Afrique Orientale,administrateur,1975,"Paris, 1874-Paris, 1975",afrique-occidentale-aec-1922-aof-togo-9cef7c,Cie de l'Afrique orientale,minesfalemegambie,name,3,annotation
gronier-j,creditfoncieralgerietunisie,Crédit foncier d'Algérie-Tunisie,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,afrique-du-nord-grands-travaux-algeriens-c89dea,Crédit foncier d'Algérie et de Tunisie,grandstravauxalgeriens,name,3,annotation
guy-du-boisrouvray,equatorialemines,Compagnie Équatoriale de mines,administrateur,1951,Annuaire des entreprises coloniales,afrique-equatoriale-aec-1951-aef-cameroun-6d0821,Équatoriale des mines,miniereoubanghioriental,name,3,annotation
guynet-w,forestieresanghaoubangui,Compagnie Forestière Sangha-Oubangui,administrateur,1975,"Paris, 1874-Paris, 1975",afrique-occidentale-aec-1922-aof-togo-9cef7c,CFSO,commercialeindustriellepalmeraiesafricaines,acronym,3,annotation
hackenberger-p,gazeauxtunis,Gaz et eaux Tunis,administrateur,1950,"Brignolles, 1879-Paris, 1950",afrique-du-nord-aec-1922-maroc-ba808c,Gaz et eaux Tunis,immobilieremaroc,name,3,annotation
hecquet-g,unioncommercialeindochinoiseafricaine,L'Union commerciale indochinoise et africaine,administrateur,1915,"S.N.C., Bordeaux, 5 mars 1915",inde-indochine-aec-1922-indochine-c3f1fb,LUCIA,colonialegrandsmagasins,acronym,3,annotation
herisson-a,marseillaisecredit,Marseillaise de crédit,administrateur,1969,"Troyes, 1912-Marseille, 1969",afrique-du-nord-aec-1951-maroc-0655fe,Marseillaise de Crédit,maroc,name,3,annotation
hermann-de-clermont,chargeursreunis,Chargeurs réunis,administrateur,1904,"Douai, 1904",inde-indochine-aec-1922-indochine-c3f1fb,Chargeurs réunis,navigationvapeurfranceindochine,name,3,annotation
herrenschmidt-p,creditnational,Crédit national,administrateur,1973,"Roanne, 7 juillet 1881-Limeil-Brévannes, 1973",madagascar-et-djibouti-aec-1951-madagascar-36cc19,Crédit national,francomalgacheentreprises,name,3,annotation
hersent-g-gilbert,etsquillery,Éts Quillery,administrateur,1951,Annuaire des entreprises coloniales,afrique-du-nord-aec-1951-maroc-0655fe,BTP,banquecommercialemaroc,acronym,3,annotation
