person_id,annotation_raw,candidate_company_id,candidate_company_name,match_method,from_company_id,year,source_ref,doc_id,n_observations
mirabaud-a,Banque de Syrie et du Liban,banquesyrieliban,Banque de Syrie et du Liban,name,banquesyrieliban,,Compagnie algérienne,afrique-du-nord-compagnie-algerienne-9cd828,7
lebon-a,Crédit foncier de France,creditfoncierfrance,Crédit foncier de France,name,creditfoncierfrance,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,7
lebon-a,Crédit foncier d'Algérie,creditfoncieralgerie,Crédit foncier d'Algérie,name,creditfoncieralgerie,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,7
de-neuflize-b,Banque impériale ottomane,banqueimperialeottomane,"Banque impériale ottomane, puis Banque ottomane ou Osmanli Bankasi, 289 p.",name,banqueimperialeottomane,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,7
de-neuflize-b,Banque de Syrie et du Liban,banquesyrieliban,Banque de Syrie et du Liban,name,banquesyrieliban,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,7
de-neuflize-b,Tabacs de l’Indo-Chine,tabacsindochine,Tabacs d’Indochine,name,manufacturetabacsindochine,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,7
de-neuflize-b,Société hippique française,hippique,Société hippique,name,hippique,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,7
roudy-a,Banque commerciale du Maroc,banquecommercialemaroc,Banque commerciale du Maroc,name,banquecommercialemaroc,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,7
roudy-a,Compagnie générale des colonies,colonies,Compagnie Générale des colonies,name,colonies,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,7
godard-l,Cie gén. du Maroc,genmaroc,Cie gén. Maroc],name,abattoirsmunicipauxmaroc,1922,"AEC 1922, p. 519",afrique-du-nord-abattoirs-industriels-maroc-9a3243,6
estier-h,LUCIA,unioncommercialeindochinoiseafricaine,L'Union commerciale indochinoise et africaine,acronym,industriellemarocaine,1927,"JORF, 22 août 1927",afrique-du-nord-aec-1922-maroc-ba808c,6
c-drosso,Cie industrielle du platine,industrielleplatine,Cie industrielle du platine,name,minieremaroc,1938,"ANNUAIRE INDUSTRIEL, 1938",afrique-du-nord-ann-indus-1938-maroc-992aca,6
philippar-g,Messageries maritimes,messageriesmaritimes,Société des Messageries maritimes,name,aeriennefrancealgerie,1925,"Les Annales coloniales, 6 juillet 1925",afrique-du-nord-cie-aerienne-f-algerie-1dd0af,6
picot-h,BCEEM,banquecolonialeetudesentreprisesmutuellesditebanquecoloniale,Banque coloniale d'études et d'entreprises mutuelles dite Banque coloniale,acronym,sudmarocain,1925,Annuaire industriel 1925,afrique-du-nord-cie-sud-marocain-7647fe,6
anthoine-f,Cie générale des colonies,colonies,Compagnie Générale des colonies,name,alsaciennecoteivoire,1963,"Doc af., 1963",afrique-occidentale-aec-1951-aof-togo-9a864d,6
rueff-g,Messageries fluviales de Cochinchine,messageriesfluvialescochinchine,Messageries fluviales de Cochinchine,name,chantiersateliersreunisindochine,1971,"Saint-Nicolas-de-la-Taille, Seine-Inférieure, 7 juin 1878-Dalat, 1971",inde-indochine-aec-1951-indochine-96799d,6
petithuguenin-p,Cie générale des Colonies,colonies,Compagnie Générale des colonies,name,immobilieresudasie,1971,"Saint-Nicolas-de-la-Taille, Seine-Inférieure, 7 juin 1878-Dalat, 1971",inde-indochine-aec-1951-indochine-96799d,6
charbonnel-r,Études du Nord,etudesnord,Société d'Études du Nord,name,nosybeenneindustriesagricoles,1958,"Espalion, Ardèche, 1880-Paris, 1958",madagascar-et-djibouti-aec-1922-madagascar-1deb0e,6
gallois-c,BCEEM,banquecolonialeetudesentreprisesmutuellesditebanquecoloniale,Banque coloniale d'études et d'entreprises mutuelles dite Banque coloniale,acronym,francotahitienne,1922,Annuaire des entreprises coloniales,pacifique-aec-1922-polynesie-fd5136,6
h-picot,BCEEM,banquecolonialeetudesentreprisesmutuellesditebanquecoloniale,Banque coloniale d'études et d'entreprises mutuelles dite Banque coloniale,acronym,comptoirsoceanie,1922,"Ann. entrep. col., 1922",pacifique-aec-1922-polynesie-fd5136,6
bechmann-a,Comptoir national d'escompte de Paris,comptoirnationalescompteparis,Comptoir national d'Escompte de Paris,name,comptoirnationalescompteparis,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
bousquet-h,Banque nationale de crédit,banquenationalecredit,de la Banque nationale de crédit,name,banquenationalecredit,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
bousquet-h,Société française radio-électrique,radioelectrique,Société française radio-électrique,name,radioelectrique,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
cahen-fuzier-e,Palmeraies du Cameroun,palmeraiescameroun,Compagnie des Palmeraies du Cameroun,name,palmeraiescameroun,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
delpech-estier-j,l’Entreprise maritime et commerciale,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,name,entreprisemaritimecommerciale,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
delpech-estier-j,Coloniale de Grands Magasins,colonialegrandsmagasins,Société Coloniale des Grands Magasins,name,colonialegrandsmagasins,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
delpech-estier-j,Société maritime nationale,maritimenationale,Société maritime nationale,name,maritimenationale,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
dietz-j,Messageries maritimes,messageriesmaritimes,Société des Messageries maritimes,name,messageriesmaritimes,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
giraud-h,Banque de Syrie,banquesyrie,Banque française de Syrie,name,banquesyrie,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
griolet-h,Banque nationale française du commerce extérieur,banquenationalecommerceexterieur,Banque nationale française du commerce extérieur,name,banquenationalecommerceexterieur,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
griolet-h,Crédit foncier égyptien,creditfoncieregyptien,Crédit foncier égyptien,name,creditfoncieregyptien,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
level-j,Mines de Bou-Arfa,minesbouarfa,Société des Mines de Bou-Arfa,name,minesbouarfa,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
level-j,Société lyonnaise des eaux et de l’éclairage,lyonnaiseeauxeclairage,SOCIÉTÉ LYONNAISE DES EAUX ET DE L'ÉCLAIRAGE,name,lyonnaiseeauxeclairage,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
level-j,Potasas ibericas,potasasibericas,Potasas ibericas,name,potasasibericas,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
de-neuflize-j,Société générale des mines de Chabet-Ballout,mineschabetballout,Société générale des mines de Chabet-Ballout,name,mineschabetballout,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
de-neuflize-j,Banque franco-polonaise,banquefrancopolonaise,Banque franco-polonaise,name,banquefrancopolonaise,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
pacquement-a,Banque nationale de crédit,banquenationalecredit,de la Banque nationale de crédit,name,banquenationalecredit,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
pacquement-a,Société tunisienne minière et métallurgique,tunisienneminieremetallurgique,Société Tunisienne Minière et Métallurgique,name,tunisienneminieremetallurgique,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
pacquement-a,Affinage des métaux,affinagemetaux,Société d’affinage des métaux,name,affinagemetaux,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
philippar-e,Compagnie des Messageries maritimes,messageriesmaritimes,Société des Messageries maritimes,name,messageriesmaritimes,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
rodocanachi-e,Cafés de l’Indochine,cafesindochine,Société des Cafés de l’Indochine,name,cafesindochine,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
rodocanachi-e,Caoutchoucs de Kompong-Thom,caoutchoucskompongthom,Caoutchoucs de Kompong-Thom,name,caoutchoucskompongthom,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
rodocanachi-e,Mines du Bou-Thaleb,minesbouthaleb,Mines du Bou-Thaleb,name,minesbouthaleb,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
rodocanachi-e,Banque de l'Algérie,banquealgerie,BANQUE DE L'ALGERIE,name,banquealgerie,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,6
barthou-l,Compagnie africaine de transports,africainetransports,Compagnie Africaine de Transports,name,africainetransports,,Qui êtes-vous ? 1924,afrique-du-nord-qui-etes-vous-1924-maroc-0164e8,6
berti-v,Banque commerciale du Maroc,banquecommercialemaroc,Banque commerciale du Maroc,name,banquecommercialemaroc,,Qui êtes-vous ? 1924,afrique-du-nord-qui-etes-vous-1924-maroc-0164e8,6
levy-r,Crédit mobilier français,creditmobilier,Crédit mobilier français,name,creditmobilier,,Qui êtes-vous ? 1924,afrique-du-nord-qui-etes-vous-1924-maroc-0164e8,6
crequi-montfort-m,Crédit mobilier français,creditmobilier,Crédit mobilier français,name,creditmobilier,,Crédit mobilier français,empire-credit-mobilier-frs-4656b5,6
p-jurien-de-la-graviere,Cie algérienne,algerienne,Compagnie algérienne,name,marocaine,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,5
gontard-a,Docks lyonnais,dockslyonnais,Docks lyonnais,name,marocaineapprovisionnement,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,5
lemoigne-e,BCEEM,banquecolonialeetudesentreprisesmutuellesditebanquecoloniale,Banque coloniale d'études et d'entreprises mutuelles dite Banque coloniale,acronym,magasinsgenerauxwarrantsmaroc,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,5
katz,Paris- Maroc,parismaroc,« Paris-Maroc »,name,marocaineeclairageforcemotrice,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,5
petit-j,Omnium lyonnais,omniumlyonnais,Omnium lyonnais,name,minieremaroc,1958,"Espalion, Ardèche, 1880-Paris, 1958",afrique-du-nord-aec-1922-maroc-ba808c,5
aries-j,Union des mines,unionmines,Union des mines,name,creditmarocain,1952,"Vie financière ???, 4 septembre 1952",afrique-du-nord-aec-1951-maroc-0655fe,5
pallier-j,Cie algérienne,algerienne,Compagnie algérienne,name,marocaine,1952,"Vie financière ???, 4 septembre 1952",afrique-du-nord-aec-1951-maroc-0655fe,5
brincard-c,Crédit lyonnais,creditlyonnais,Crédit lyonnais,name,francoespagnolecheminfertangerfez,1969,"Troyes, 1912-Marseille, 1969",afrique-du-nord-aec-1951-maroc-0655fe,5
l-godard,Cie gén. du Maroc,genmaroc,Cie gén. Maroc],name,explosifs,1938,"ANNUAIRE INDUSTRIEL, 1938",afrique-du-nord-ann-indus-1938-maroc-992aca,5
godard-l,Cie gén. Maroc,genmaroc,Cie gén. Maroc],name,chauxcimentsmateriauxconstructionmaroc,1922,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-chaux-ciments-maroc-b5536d,5
rebuffel,GTM,grandstravauxmarseillemaroc,Grands Travaux de Marseille -Maroc,acronym,distributionenergieelectrique,1909,"Le Temps, 11 octobre 1909",afrique-du-nord-gen-distribution-energie-elec-621d8c,5
wolfram-du-tonkin,EWT,etainswolframtonkin,"Étains et wolfram du Tonkin, puis Compagnie immobilière et financière Ewoto",acronym,comptoirdiamant,1951,Annuaire des entreprises coloniales,afrique-equatoriale-aec-1951-aef-cameroun-6d0821,5
castres-saint-martin-g,Crédit foncier d'Afrique,creditfoncierafrique,Crédit foncier de l'Afrique française,name,creditfoncierouestafricain,1951,Annuaire des entreprises coloniales,afrique-occidentale-aec-1951-aof-togo-9a864d,5
foy-s,Messageries fluviales de Cochinchine,messageriesfluvialescochinchine,Messageries fluviales de Cochinchine,name,hautsplateauxindochinoisbanmethuot,1953,"Grenoble, 1883-Saint-Mandé, 1953",inde-indochine-aec-1951-indochine-96799d,5
beigbeder-d,Société du Djebel-Djerissa,djebeldjerissa,Société du Djebel-Djerissa,name,djebeldjerissa,,Compagnie des phosphates et chemins de fer de Gafsa,afrique-du-nord-gafsa-phosphates-63eaa1,5
michel-c,Société des mines du Bou-Thaleb,minesbouthaleb,Mines du Bou-Thaleb,name,minesbouthaleb,,"Société des Phosphates tunisiens, puis Pierrefitte–Kalaa-Djerba, puis Pierrefitte .",afrique-du-nord-phosphates-tunisiens-d9a457,5
michel-c,Société métallurgique et minière franco-marocaine,metallurgiqueminierefrancomarocaine,Compagnie Métallurgique et minière franco-marocaine,name,metallurgiqueminierefrancomarocaine,,"Société des Phosphates tunisiens, puis Pierrefitte–Kalaa-Djerba, puis Pierrefitte .",afrique-du-nord-phosphates-tunisiens-d9a457,5
michel-c,Mines de fer d’Heras-Santander,minesferherassantander,Mines de fer de Héras-Santander,name,minesferherassantander,,"Société des Phosphates tunisiens, puis Pierrefitte–Kalaa-Djerba, puis Pierrefitte .",afrique-du-nord-phosphates-tunisiens-d9a457,5
michel-c,Société commerciale française de l’Indochine,commercialeindochine,Société Commerciale française de l'Indochine,name,commercialeindochine,,"Société des Phosphates tunisiens, puis Pierrefitte–Kalaa-Djerba, puis Pierrefitte .",afrique-du-nord-phosphates-tunisiens-d9a457,5
michel-c,Rizeries indochinoises,rizeriesindochinoises,Rizeries indochinoises,name,rizeriesindochinoises,,"Société des Phosphates tunisiens, puis Pierrefitte–Kalaa-Djerba, puis Pierrefitte .",afrique-du-nord-phosphates-tunisiens-d9a457,5
anthoine-f,Compagnie générale des colonies,colonies,Compagnie Générale des colonies,name,colonies,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
anthoine-f,Moulins du Maghreb…,moulinsmaghreb,Société des Moulins du Maghreb,name,moulinsmaghreb,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
baguenault-de-puchesse-r,Crédit lyonnais,creditlyonnais,Crédit lyonnais,name,creditlyonnais,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
dal-piaz-j,Compagnie générale transatlantique,transatlantique,Cie Générale Transatlantique,name,transatlantique,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
dal-piaz-j,Comité central des Armateurs de France,comitecentralarmateursfrance,COMITÉ CENTRAL DES ARMATEURS DE FRANCE,name,comitecentralarmateursfrance,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
dal-piaz-j,Banque d'Algérie,banquealgerie,BANQUE DE L'ALGERIE,name,banquealgerie,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
delpech-estier-j,Société lorraine des anciens établissements de Dietrich,lorraine,"Lorraine des Anciens Éts de Dietrich, Lunéville, Argenteuil, Bagnères-de-Bigorre",name,lorraine,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
gorchs-chacou-f,Société commerciale tunisienne,commercialetunisienne,Société Commerciale Tunisienne,name,commercialetunisienne,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
gorchs-chacou-f,Société du Djebel-Djerissa,djebeldjerissa,Société du Djebel-Djerissa,name,djebeldjerissa,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
herbette-m,l’Union minière et financière coloniale,unionminierefinancierecoloniale,Union minière et financière coloniale,name,unionminierefinancierecoloniale,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
lacour-gayet-j,Compagnie fermière des chemins de fer tunisiens,fermierecheminsfertunisiens,Cie Fermière des chemins de fer tunisiens,name,fermierecheminsfertunisiens,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
le-chatelier-h,Société d'études et d'exploitation du Congo français,etudesexploitationcongo,Société d’Études et d'exploitation du Congo français,name,etudesexploitationcongo,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
le-chatelier-h,Société française de constructions mécaniques,constructionsmecaniques,Constructions mécaniques,name,constructionsmecaniques,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
le-chatelier-h,Société commerciale et industrielle du Congo français,commercialeindustriellecongo,Société Commerciale et Industrielle du Congo français,name,commercialeindustriellecongo,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
d-ollone-m,Société française des mines de fer,minesfer,Société Française des mines de fer,name,minesfer,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
patey-h,Compagnie de culture cotonnière du Niger,culturecotonniereniger,"Compagnie de Culture cotonnière du Niger, puis Compagnie générale du Niger",name,culturecotonniereniger,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
patey-h,Compagnie industrielle du platine,industrielleplatine,Cie industrielle du platine,name,industrielleplatine,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
philippar-e,Compagnie fermière des chemins de fer tunisiens …,fermierecheminsfertunisiens,Cie Fermière des chemins de fer tunisiens,name,fermierecheminsfertunisiens,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
robellaz-f,Mines d’or de Litcho en Thaïlande,minesorlitchothailande,Mines d’or de Litcho (Thailande),name,minesorlitchothailande,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
rouland-j,Conseil d’État,conseiletat,au Conseil d'État,name,conseiletat,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
weyl-lambert-l,Banque transatlantique,banquetransatlantique,Banque transatlantique,name,banquetransatlantique,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
wibratte-l,Compagnie des Chemins de fer du Maroc,cheminsfermaroc,Compagnie des Chemins de fer du Maroc,name,cheminsfermaroc,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,5
henry-m,Banque impériale ottomane,banqueimperialeottomane,"Banque impériale ottomane, puis Banque ottomane ou Osmanli Bankasi, 289 p.",name,banqueimperialeottomane,,Qui êtes-vous ? 1924,afrique-du-nord-qui-etes-vous-1924-maroc-0164e8,5
rebuffel-c,Compagnie générale des colonies,colonies,Compagnie Générale des colonies,name,colonies,,Qui êtes-vous ? 1924,afrique-du-nord-qui-etes-vous-1924-maroc-0164e8,5
rebuffel-c,Forces motrices de la Haute-Durance,forcesmotriceshautedurance,Société des forces motrices de la Haute-Durance,name,forcesmotriceshautedurance,,Qui êtes-vous ? 1924,afrique-du-nord-qui-etes-vous-1924-maroc-0164e8,5
rebuffel-c,Banque transatlantique,banquetransatlantique,Banque transatlantique,name,banquetransatlantique,,Qui êtes-vous ? 1924,afrique-du-nord-qui-etes-vous-1924-maroc-0164e8,5
