company_id,name,city,lat,lon,city_territory,group,source_field,place_raw
cheminsfertramwaysvargard,Société des Chemins de fer et tramways du Var et du Gard,Toulon,43.125,5.93,France,metropole,head_office_observed,"Toulon, Bureaux à Paris"
acieriesnord,Aciéries du Nord,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
creditfoncierouestafricain,Crédit foncier de l'Ouest-Africain,Dakar,14.716,-17.467,Sénégal,empire,place_listed,Dakar
entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,,,,,,,
manufacturetapiscouvertures,Manufacture française de tapis et couvertures,,,,,,,
optorg,Optorg,,,,,,,
etudesexploitationsminieresindochine,Société d'Études et d'exploitations minières de l’Indochine,,,,,,,
etainswolframtonkin,"Étains et wolfram du Tonkin, puis Compagnie immobilière et financière Ewoto",Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 19"
eauxelectriciteouestafricain,Eaux et électricité de l'Ouest-Africain,Dakar,14.716,-17.467,Sénégal,empire,head_office_observed,Dakar
colonialeagricolecommercialeindustriellesucreriescoloniales,"Société coloniale, agricole, commerciale et industrielle Sucreries coloniales",,,,,,,
banquemadagascarcomores,Banque de Madagascar et des Comores,,,,,,,
mineshuaron,Compagnie des Mines de Huaron,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 57"
malfidano,Malfidano,,,,,,,
cotonniereequatoriale,Cie cotonnière équatoriale française,Brazzaville,-4.269,15.271,Congo-Brazzaville,empire,head_office_observed,Brazzaville. Bureaux à Paris
alfa,L'Alfa,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 11"
commercialeindochine,Société Commerciale française de l'Indochine,Pnom-Penh,11.562,104.916,Indochine,empire,head_office_observed,). — Haïphong. — Cambodge : Pnom-Penh
minesorandavakoera,Société des mines d'or de l'Andavakoera,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 24"
boiscoloniaux,Compagnie générale des Bois coloniaux,,,,,,,
creditfoncieragricolealgerie,Crédit foncier et agricole d'Algérie,Alger,36.753,3.06,Algérie,empire,head_office_observed,"ALGER — Siège administratif : PARIS, 43"
huelvacoppersulfurminesltd,"Huelva Copper and Sulfur Mines, Ltd",Londres,51.507,-0.128,Royaume-Uni,foreign,head_office_observed,Londres
omniumlyonnais,Omnium lyonnais,Lyon,45.764,4.836,France,metropole,head_office_observed,Lyon
francoindochinoise,Compagnie Franco-indochinoise,Paris,48.857,2.352,France,metropole,head_office_observed,"23, r. de la Pépinière, Paris, 8e"
minierekanguet,"Société minière du Kanguet, puis Société nouvelle du Kanguet",Paris,48.857,2.352,France,metropole,head_office_observed,Paris
eauxelectriciteindochine,Compagnie des Eaux et d'électricité de l'Indochine,,,,,,,
caissehypothecaireegypte,Caisse hypothécaire d'Égypte,Anvers,51.22,4.402,Belgique,foreign,place_listed,Anvers
charbonnagestonkin,Charbonnages du Tonkin,,,,,,,
minesouastamesloula,Compagnie des mines de Ouasta et de Mesloula,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
algerienneproduitschimiquesengrais,Société Algérienne de produits chimiques et d'engrais,Alger,36.753,3.06,Algérie,empire,head_office_observed,"Alger, 17"
minierecongo,Cie Minière du Congo français,,,,,,,
sucreriesbresiliennes,Sucreries brésiliennes,Paris,48.857,2.352,France,metropole,head_office_observed,"est à Paris, 25"
syndicatlyonnaismadagascar,Syndicat lyonnais de Madagascar,,,,,,,
fasielectricite,Compagnie Fasi d'Électricité,Fès,34.034,-5.003,Maroc,empire,place_listed,Fez
centraleindustrieelectrique,"Société Centrale pour l'industrie électrique, puis Centrale pour l'industrie . Participations en France, Algérie, Tunisie, Indochine, etc.",Paris,48.857,2.352,France,metropole,head_office_observed,Paris
brasseriesglacieresindochine,Brasseries et glacières de l’Indochine,,,,,,,
phosphatesconstantine,Compagnie des Phosphates de Constantine,,,,,,,
minesetainhauttonkin,Société des Mines d'étain du Haut-Tonkin,,,,,,,
portsmarocains,Ports marocains,,,,,,,
cotonsafricains,Societe francaise des Cotons africains,Bangui,4.361,18.555,Oubangui-Chari,empire,place_listed,Bangui
commercialeindustriellecoteafrique,Société Commerciale et Industrielle de la Côte d'Afrique,Marseille,43.296,5.37,France,metropole,place_listed,Marseille
orosdiback,Orosdi-Back,,,,,,,
tramwayselectriquesoran,Tramways électriques d'Oran,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 19"
etablissementsluchaire,Établissements LUCHAIRE,,,,,,,
marocainedistributioneaugazelectricite,"Société Marocaine de distribution d'eau, de gaz et d'électricité",Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 45"
scieriesafricaines,Compagnie des Scieries africaines,Grand-Bassam,5.196,-3.739,Côte d'Ivoire,empire,place_listed,Grand-Bassam
guet,"Guët & Cie, puis Guët, Raffard & Cie",Paris,48.857,2.352,France,metropole,place_listed,Paris
manufacturesindochinoisescigarettes,Manufactures indochinoises de cigarettes,Cholon,10.75,106.65,Indochine,empire,place_listed,Cholon
minesbaliakaraidin,Mines de Balia-Karaïdin,Constantinople,41.008,28.978,Empire ottoman/Turquie,foreign,head_office_observed,"de la société : Merkez Rihtim Han Galata, Istanbul, où les"
minierefoncierebandama,Société minière et foncière du Bandama,,,,,,,
soieriesfducharne,Soieries F.Ducharne,Lyon,45.764,4.836,France,metropole,place_listed,Lyon
tramwaystunis,Tramways de Tunis,Paris,48.857,2.352,France,metropole,head_office_observed,"Tunis, av. Jules-Ferry prolongée. Bureaux à Paris"
unionovineafriquenord,Union ovine de l'Afrique du Nord,,,,,,,
banquepretsnantissementsmontspieteegyptiens,banque de prêts sur nantissements Société des monts-de-piété égyptiens,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 16"
arsenalmarine,Arsenal de la Marine,Saïgon,10.776,106.7,Indochine,empire,place_listed,Saïgon
fonciereimmobilierevillealger,Compagnie Foncière et Immobilière de la Ville d'Alger,,,,,,,
houilleresbassinloirehouillerescevennesdauphine,Houillères du bassin de la Loire + Houillères des Cévennes… du Dauphiné,,,,,,,
industrielle,Compagnie générale industrielle,,,,,,,
industriellebasogooue,Société Industrielle du Bas-Ogooué,Casablanca,33.573,-7.59,Maroc,empire,head_office_observed,"Casablanca, 10, r. de l’Industrie"
electrometallurgiedives,Société d'Électro-Métallurgie de Dives,Paris,48.857,2.352,France,metropole,head_office_observed,"est à Paris, 11 bis"
asiatiqueafricaine,Compagnie Asiatique et africaine,Paris,48.857,2.352,France,metropole,head_office_observed,Paris. 12
tramwaysautobuscasablanca,Compagnie des Tramways et autobus de Casablanca,Casablanca,33.573,-7.59,Maroc,empire,head_office_observed,"au Maarif, CASABLANCA"
companhiamossamedes,Companhia de Mossamédès,Lisbonne,38.722,-9.139,Portugal,foreign,head_office_observed,"Lisbonne, est, à partir du 24"
coteafrique,CÔTE D'AFRIQUE,Grand-Bassam,5.196,-3.739,Côte d'Ivoire,empire,head_office_observed,Grand-Bassam (Côte-d'Ivoire). Ad. t. Jacor-Grand-Bassam. Soc. an. au cap. de
omniumminesalgerietunisie,Omnium Société générale de mines d'Algérie-Tunisie,,,,,,,
tapanoelie,Tapanoëlie,La Haye,52.078,4.31,Pays-Bas,foreign,head_office_observed,La Haye (P.-B.)
exploitationcheminsferorientaux,Compagnie d'exploitation des Chemins de fer orientaux,Constantinople,41.008,28.978,Empire ottoman/Turquie,foreign,head_office_observed,"Constantinople, il est tout"
kong,Compagnie française de Kong,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
creditfonciercolonialbanque,Société de Crédit foncier colonial et de banque,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
plantationscaoutchoucsumatra,Société des Plantations de caoutchouc de Sumatra,La Haye,52.078,4.31,Pays-Bas,foreign,head_office_observed,La Haye (Pays-Bas)
oxygeneacetyleneextremeorient,Société d’Oxygène et d’acétylène d’Extrême-Orient,Paris,48.857,2.352,France,metropole,head_office_observed,PARIS - 75
minieredjebelfelten,Société minière du Djebel-Felten,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
mineslucette,Société nouvelle des mines de La Lucette,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
usinesmetallurgiquesbasseloireantecedents,Usines métallurgiques de la Basse-Loire et antécédents,Paris,48.857,2.352,France,metropole,head_office_observed,"est à Paris, 25"
energieindustrielle,L'Énergie industrielle,,,,,,,
magasinsmodernesfilialecommunenouvellesgaleriesparisfrance,"Magasins modernes, filiale commune des Nouvelles Galeries et de Paris-France",Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 30"
mineraisferkrivoirog,Société des Minerais de fer de Krivoï-Rog,,,,,,,
affreteursreunis,Affréteurs réunis,Paris,48.857,2.352,France,metropole,place_listed,Paris
banqueimperialeottomane,"Banque impériale ottomane, puis Banque ottomane ou Osmanli Bankasi, 289 p.",,,,,,,
gazregiecointeresseeeauxtunis,Compagnie du Gaz et régie co-intéressée des eaux de Tunis,,,,,,,
minesbouthaleb,MINES DU BOU-THALEB,,,,,,,
messageriesfluvialescongo,Messageries fluviales du Congo,,,,,,,
brasseriesouestafricain,Société des Brasseries de l'Ouest Africain,Dakar,14.716,-17.467,Sénégal,empire,place_listed,Dakar
banquefonciereegyptelandbankegyptalexandrie,"Banque foncière d'Égypte Land Bank of Egypt, Alexandrie",Alexandrie,31.2,29.918,Égypte,foreign,head_office_observed,"est à Alexandrie (Égypte), a pour objet de"
minieremaroc,Compagnie Minière du Maroc,Marrakech,31.63,-8.008,Maroc,empire,place_listed,Marrakech
exploitationselectriques,"Exploitations électriques, puis Exploitations électriques et industrielles",Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 19"
rizeriesindochinoises,Rizeries indochinoises,Haïphong,20.865,106.684,Indochine,empire,place_listed,Haïphong
navigationtransoceanique,Société Navigation transocéanique,Paris,48.857,2.352,France,metropole,place_listed,Paris
internationaleregiecointeresseetabacsmaroc,Société internationale de régie co-intéressée des Tabacs au Maroc,,,,,,,
constructionelectrique,CONSTRUCTION ÉLECTRIQUE,,,,,,,
industriellemaritime,Compagnie Industrielle maritime,,,,,,,
maritimeafriqueorientale,Compagnie Maritime de l'Afrique Orientale,Djibouti,11.588,43.145,Djibouti,empire,place_listed,Djibouti
miniereguinee,Compagnie Minière de la Guinée française,,,,,,,
nosybeenneindustriesagricoles,Compagnie Nosybéenne d’Industries agricoles,,,,,,,
proprietairekouilouniari,Compagnie Propriétaire du Kouilou-Niari,Brazzaville,-4.269,15.271,Congo-Brazzaville,empire,head_office_observed,BRAZZAVILLE (A.E.F.)
phosphatescheminsfergafsa,Compagnie des phosphates et chemins de fer de Gafsa,Paris,48.857,2.352,France,metropole,head_office_observed,"du syndicat est à Paris, 55"
foncieretonkinannam,Société Foncière du Tonkin et de l'Annam,Hanoï,21.028,105.854,Indochine,empire,place_listed,Hanoï
developpementcasablanca,Société Générale pour le Développement de Casablanca,Paris,48.857,2.352,France,metropole,head_office_observed,"PARIS, 18"
industriellecommercialeemyrne,Société Industrielle et Commerciale de l'Émyrne,,,,,,,
pekinsyndicateltd,The Pekin Syndicate Ltd,,,,,,,
imperialecheminsferethiopiens,Compagnie Impériale des Chemins de fer éthiopiens,Paris,48.857,2.352,France,metropole,head_office_observed,était à Paris. Cette société
marocaineapprovisionnement,Marocaine d'approvisionnement,Casablanca,33.573,-7.59,Maroc,empire,head_office_observed,"admin. : boul. Circulaire, CASABLANCA"
marocainemetallurgique,Société Marocaine Métallurgique,Casablanca,33.573,-7.59,Maroc,empire,place_listed,Casablanca
grandstravauxbetonarme,Société des Grands Travaux en béton armé,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 25"
sucreriesraffineriesindochine,Sucreries et raffineries de l'Indochine,,,,,,,
anciensetablissementschpeyrissac,Anciens Établissements Ch. Peyrissac et Cie,Bordeaux,44.838,-0.579,France,metropole,head_office_observed,"allées d'Orléans, 42 – Bordeaux"
aerienne,Compagnie Aérienne française,,,,,,,
explosifs,Société générale d'explosifs,Paris,48.857,2.352,France,metropole,head_office_observed,"35, r. St-Dominique, Paris, 7e. Soc"
electricitealep,Électricité d'Alep,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 156"
bienhoaindustrielleforestiere,Biênhoà industrielle et forestière,,,,,,,
domainechapeaugendarme,Domaine du Chapeau de Gendarme,Bône,36.9,7.765,Algérie,empire,place_listed,Bône
tunisiennecultures,Société Tunisienne de cultures,,,,,,,
entreprisesafricaines,"Société d'entreprises africaines, puis Société d'entreprises africaines et Matériel colonial réunis",Libreville,0.416,9.467,Gabon,empire,head_office_observed,"LIBREVILLE (B. P. 128), Gabon"
minesetaintekkah,Société des Mines d'étain de Tekkah,Bordeaux,44.838,-0.579,France,metropole,place_listed,Bordeaux
nationalenavigation,Compagnie Nationale de Navigation,Marseille,43.296,5.37,France,metropole,place_listed,Marseille
tramwayseclairageelectriquesshanghai,Compagnie française de Tramways et d’éclairage électriques de Shanghaï,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 16"
plantationsheveasxuanloc,Société des plantations d'hévéas de Xuan-Loc,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
plantationstanoe,Société des plantations de la Tanoé,Abidjan,5.345,-4.024,Côte d'Ivoire,empire,head_office_observed,Abidjan
abattoirsmunicipauxindustrielsmaroc,Société générale des Abattoirs municipaux et industriels au Maroc,Casablanca,33.573,-7.59,Maroc,empire,place_listed,Casablanca
indochinoiseplantationsheveas,Société indochinoise de plantations d'hévéas,,,,,,,
minierealmagrera,Société minière d'Almagrera,,,,,,,
airfrance,Air France,,,,,,,
sebou,Compagnie du Sebou,,,,,,,
kotto,La Kotto,Paris,48.857,2.352,France,metropole,head_office_observed,est francs à Paris
ottomaneheraclee,"Société ottomane d'Héraclée, puis Société française d'Héraclée",,,,,,,
velvetrum,VELVET-RUM,,,,,,,
etablissementsballande,Établissements Ballande,Bordeaux,44.838,-0.579,France,metropole,place_listed,Bordeaux
banquemutuelleetudes,"Banque mutuelle d'études, puis Banque mutuelle d'études et de crédit",Paris,48.857,2.352,France,metropole,place_listed,Paris
bordelaisecomptoirsafricains,Compagnie Bordelaise des Comptoirs africains,,,,,,,
portstunissoussesfax,"Compagnie des Ports de Tunis, Sousse et Sfax",,,,,,,
descourscabaud,Descours et Cabaud,Lyon,45.764,4.836,France,metropole,place_listed,Lyon
francoalgerienne,Compagnie Franco-algérienne,,,,,,,
ouestafricain,Compagnie de l'Ouest-Africain français [Compagnie de l'Ouest-Africain français],,,,,,,
parisfrance,Paris-France,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, a-t-on appris de source"
commerceaveccoloniesetranger,"Sociéte française pour le commerce avec les colonies et l’étranger, puis Sociéte française pour le commerce avec l'outre-mer",,,,,,,
indochinoiseeauxelectriciteannam,Société Indochinoise pour les Eaux et l'électricité en Annam,Hué,16.463,107.59,Indochine,empire,place_listed,Huê
entreprisesasiatiques,Société d'Entreprises asiatiques,,,,,,,
huileriessaheltunisien,Société générale des Huileries du Sahel tunisien,Sousse,35.826,10.637,Tunisie,empire,place_listed,Sousse
cambodge,Compagnie du Cambodge,Saïgon,10.776,106.7,Indochine,empire,head_office_observed,"est à Saïgon, 236"
omniumentreprises,Omnium d'entreprises,,,,,,,
graphitessahanavo,"Société des Graphites de la Sahanavo, puis Sahanavo, société malgache d'exploitations minières",,,,,,,
portetienne,Port-Étienne,,,,,,,
cherifiennepetroles,Société Chérifienne des Pétroles,Rabat,34.021,-6.841,Maroc,empire,head_office_observed,"27, av. Urbain-Blanc, Rabat (Maroc). — Bureau : 19"
banquesyrie,Banque française de Syrie,,,,,,,
chargeurs,Chargeurs français,,,,,,,
kalitengah,Kalitengah,La Haye,52.078,4.31,Pays-Bas,foreign,head_office_observed,La Haye. Corr. à Paris
