source,target,source_name,target_name,weight,shared_companies,source_chamber,target_chamber,same_chamber,mandates_overlap
accambray-l,cosnier-h,Léon Accambray,Henri Cosnier,2,"Cie d'Agriculture, de commerce et d'industrie d’Afrique; Compagnie Africaine de Commerce",Chamber of Deputies,Chamber of Deputies; Senate,0,1
adam-a,reille-a,Achille Adam,Amédée Reille,2,Caisse commerciale et industrielle de Paris; Société Pyrénéenne d'Énergie électrique,Chamber of Deputies,Chamber of Deputies,1,1
angoulvant-g-georges,messimy-a,Gabriel ANGOULVANT,Adolphe-Marie Messimy,2,Compagnie Générale des colonies; La Silico-Calcaire africaine,Chamber of Deputies,Chamber of Deputies; Senate,0,
angoulvant-g-georges,thierry-j,Gabriel ANGOULVANT,Joseph Thierry,2,Riz d'Indochine Denis frères; Société Indochinoise des Cultures tropicales,Chamber of Deputies,Chamber of Deputies,1,
bardoux-j,renaud-f,Jacques-Achille Bardoux,Félix Renaud,2,"Compagnie Fermière des Étains d'Extrême-Orient; Étains et wolfram du Tonkin, puis Compagnie immobilière et financière Ewoto",Chamber of Deputies; Senate,Chamber of Deputies,0,0
bartholoni-j,bartholoni-r,Jean Bartholoni,René Bartholoni,2,"Société d'Études et d'exploitations minières de l’Indochine; Société d'études, puis Société minière du Haut-Guir",Chamber of Deputies,Chamber of Deputies,1,
berthelot-a,calary-de-lamaziere,André Berthelot,Calary de Lamazière,2,La Banque industrielle de Chine; Les poursuites contre les dirigeants de la Banque industrielle de Chine,Chamber of Deputies; Senate,Chamber of Deputies,0,
berthelot-a,charles-roux-j,André Berthelot,Jules Charles-Roux,2,Compagnie de Navigation Sud-Atlantique; Société d'études du Chemin de fer transafricain,Chamber of Deputies; Senate,Chamber of Deputies,0,
berthelot-a,de-beaumont-j,André Berthelot,Jean de Beaumont,2,Compagnie des Caoutchoucs de Padang; Sennah Rubber,Chamber of Deputies; Senate,Chamber of Deputies,0,
berthelot-a,espivent-de-la-villesboisnet-a,André Berthelot,Arthur Espivent de la Villesboisnet,2,La Banque industrielle de Chine; Les poursuites contre les dirigeants de la Banque industrielle de Chine,Chamber of Deputies; Senate,Chamber of Deputies,0,
berthelot-a,perchot-j,André Berthelot,Justin Perchot,2,La Banque industrielle de Chine; Les poursuites contre les dirigeants de la Banque industrielle de Chine,Chamber of Deputies; Senate,Chamber of Deputies; Senate,1,
bessonneau-j,hauet-a,Julien Bessonneau,Albert Hauet,2,Cargos français; Cie Chérifienne de Carpettes,Chamber of Deputies,Chamber of Deputies,1,
borgeaud-h,chevallier-j,Henri Borgeaud,Jack Chevallier,2,"Domaine du Chapeau de Gendarme; S.A., 1918 Domaines des Beni Sliman, , Tablat",Senate,Chamber of Deputies,0,
brelay-e,david-j,Émile Brelay,Jean-Paul David,2,"Banque européenne, Bruxelles, Paris. Tentative de reprise des domaines agricoles et de la concession de ramassage d'alfa de la Compagnie franco-algérienne; Messageries fluviales de Cochinchine",Chamber of Deputies,Chamber of Deputies,1,
calary-de-lamaziere,chautard-p,Calary de Lamazière,Paul Chautard,2,La Banque industrielle de Chine; Les poursuites contre les dirigeants de la Banque industrielle de Chine,Chamber of Deputies,Chamber of Deputies,1,
calary-de-lamaziere,espivent-de-la-villesboisnet-a,Calary de Lamazière,Arthur Espivent de la Villesboisnet,2,La Banque industrielle de Chine; Les poursuites contre les dirigeants de la Banque industrielle de Chine,Chamber of Deputies,Chamber of Deputies,1,
calary-de-lamaziere,perchot-j,Calary de Lamazière,Justin Perchot,2,La Banque industrielle de Chine; Les poursuites contre les dirigeants de la Banque industrielle de Chine,Chamber of Deputies,Chamber of Deputies; Senate,0,
carnot-e,dumont-c,Ernest Carnot,Charles Dumont,2,"Société Coloniale de Bambao, puis Comores-Bambao; Société coloniale de Bambao, BAMBAO",Chamber of Deputies,Chamber of Deputies; Senate,0,
carnot-e,heuzey-c,Ernest Carnot,Charles Heuzey,2,Compagnie tunisienne des Phosphates du Djebel-M'dilla; Entreprises industrielles et minieres,Chamber of Deputies,Chamber of Deputies,1,0
charles-roux-j,krantz-c,Jules Charles-Roux,Camille Krantz,2,"Banque foncière d'Égypte Land Bank of Egypt, Alexandrie; Compagnie franco-espagnole du Chemin de fer de Tanger à Fez",Chamber of Deputies,Chamber of Deputies,1,1
chautard-p,espivent-de-la-villesboisnet-a,Paul Chautard,Arthur Espivent de la Villesboisnet,2,La Banque industrielle de Chine; Les poursuites contre les dirigeants de la Banque industrielle de Chine,Chamber of Deputies,Chamber of Deputies,1,0
chautard-p,heuzey-c,Paul Chautard,Charles Heuzey,2,"Société d'Études marocaines pour le commerce, l'agriculture et les mines; Sté d'études marocaines pour le commerce, I'industrie et les mines",Chamber of Deputies,Chamber of Deputies,1,1
chautard-p,perchot-j,Paul Chautard,Justin Perchot,2,La Banque industrielle de Chine; Les poursuites contre les dirigeants de la Banque industrielle de Chine,Chamber of Deputies,Chamber of Deputies; Senate,0,
coquelle-f,durand-reville-l,Félix Coquelle,Luc Durand-Reville,2,"HAUT-OGOOUÉ; Société commerciale, industrielle et agricole du Haut-Ogooué",Chamber of Deputies,Senate,0,
de-wendel-f,renaud-f,FRANÇOIS DE WENDEL,Félix Renaud,2,"Compagnie Fermière des Étains d'Extrême-Orient; Étains et wolfram du Tonkin, puis Compagnie immobilière et financière Ewoto",Chamber of Deputies; Senate,Chamber of Deputies,0,0
donon-m,guy-de-wendel,Marcel Donon,Guy de Wendel,2,"Compagnie Agricole de minoterie; Société Meunière du Levant, Damas, Jaffa",Senate,Chamber of Deputies,0,1
duchesne-fournet-p,roulleaux-dugage-h,Pierre Duchesne-Fournet,Henry Roulleaux-Dugage,2,Compagnie des Mines de Falémé-Gambie; Mines de Falémé,Chamber of Deputies,Chamber of Deputies,1,0
espivent-de-la-villesboisnet-a,perchot-j,Arthur Espivent de la Villesboisnet,Justin Perchot,2,La Banque industrielle de Chine; Les poursuites contre les dirigeants de la Banque industrielle de Chine,Chamber of Deputies,Chamber of Deputies; Senate,0,
giscard-d-estaing-e,thierry-j,Edmond Giscard d'Estaing,Joseph Thierry,2,Plantes à parfums de Madagascar; Société Indochinoise des Cultures tropicales,Chamber of Deputies,Chamber of Deputies,1,0
krantz-c,simon-s,Camille Krantz,San Simon,2,Compagnie du Maroc; Comptoir national d'Escompte de Paris,Chamber of Deputies,Senate,0,
lebon-a-alfred,michel-h,André Lebon,Henri Michel,2,"Crédit foncier de Madagascar; Crédit foncier de Madagascar, Crédit foncier de Madagascar et de la Réunion",Chamber of Deputies,Chamber of Deputies; Senate,0,
outrey-e,thion-de-la-chaume-r-robert,Ernest Outrey,René Thion de la Chaume,2,Caoutchoucs de Kompong-Thom; Les Caoutchoucs de Phuôc-Hoà,Chamber of Deputies,Chamber of Deputies; Senate,0,1
reille-a,reille-x,Amédée Reille,Xavier Reille,2,Compagnie générale industrielle; Société Pyrénéenne d'Énergie électrique,Chamber of Deputies,Chamber of Deputies,1,
renaud-f,wendel-f,Félix Renaud,François Wendel,2,"Compagnie Fermière des Étains d'Extrême-Orient; Étains et wolfram du Tonkin, puis Compagnie immobilière et financière Ewoto",Chamber of Deputies,Chamber of Deputies,1,0
abelin-p,bernard-g-gaston,Pierre Abelin,Georges Bernard,1,Avenir publicité,Chamber of Deputies,Senate,0,
accambray-l,tournan-i,Léon Accambray,Isidore Tournan,1,"Cie d'Agriculture, de commerce et d'industrie d’Afrique",Chamber of Deputies,Chamber of Deputies; Senate,0,1
adam-a,bouilloux-lafont-m-marcel,Achille Adam,Maurice Bouilloux-Lafont,1,Caisse commerciale et industrielle de Paris,Chamber of Deputies,Chamber of Deputies,1,0
adam-a,fournier-sarloveze-r,Achille Adam,Robert Fournier-Sarlovèze,1,Société Pyrénéenne d'Énergie électrique,Chamber of Deputies,Chamber of Deputies,1,0
adam-a,paquin-i,Achille Adam,Isidore Paquin,1,Compagnie Française du Haut-Congo,Chamber of Deputies,Chamber of Deputies,1,
adam-a,petit-c,Achille Adam,Claude Petit,1,Caisse hypothécaire d'Égypte,Chamber of Deputies,Chamber of Deputies,1,
adam-a,reille-x,Achille Adam,Xavier Reille,1,Société Pyrénéenne d'Énergie électrique,Chamber of Deputies,Chamber of Deputies,1,
amaury-de-la-grange,de-kerquezec-g,Amaury de la Grange,Gustave de Kerquezec,1,Mines de l'Oued-Oudina,Senate,Senate,1,
amaury-de-la-grange,schneiter-p,Amaury de la Grange,Pierre Schneiter,1,Compagnie Industrielle maritime,Senate,Chamber of Deputies,0,
amic-j,sicard-m,Jean Amic,Martial Sicard,1,Société « Fashionable House »,Senate,Chamber of Deputies,0,
andre-a-antonin,burrus-m,Alfred André,Maurice Burrus,1,Paris-Madagascar,Chamber of Deputies,Chamber of Deputies,1,
angoulvant-g-georges,giscard-d-estaing-e,Gabriel ANGOULVANT,Edmond Giscard d'Estaing,1,Société Indochinoise des Cultures tropicales,Chamber of Deputies,Chamber of Deputies,1,
angoulvant-g-georges,lebon-a-alfred,Gabriel ANGOULVANT,André Lebon,1,Compagnie Générale des colonies,Chamber of Deputies,Chamber of Deputies,1,
angoulvant-g-georges,michel-c,Gabriel ANGOULVANT,Charles Michel,1,Riz d'Indochine Denis frères,Chamber of Deputies,Chamber of Deputies; Senate,0,
anquetil-p,jourdain-p,Paul Anquetil,Paul Jourdain,1,Chaux et ciments portland du Haut-Rhin (Altkirch),Chamber of Deputies,Chamber of Deputies; Senate,0,
anquetil-p,michel-c,Paul Anquetil,Charles Michel,1,Société des Grands Travaux en béton armé,Chamber of Deputies,Chamber of Deputies; Senate,0,1
arbel-l,lucien-arbel,Lucien Arbel,[Lucien] Arbel,1,L'Assurance financière,Senate,Senate,1,
arbel-l,morin-p,Lucien Arbel,Paul Morin,1,L'Assurance financière,Senate,Chamber of Deputies,0,
arbel-l,savary-c,Lucien Arbel,Charles Savary,1,L'Assurance financière,Senate,Chamber of Deputies,0,
artaud-a-andre,barety-l,Adrien Artaud,Léon Baréty,1,Cie frse de l'AFRIQUE OCCIDENTALE,Chamber of Deputies,Chamber of Deputies,1,1
artaud-a-andre,benard-l,Adrien Artaud,Léonus Bénard,1,Sucreries coloniales,Chamber of Deputies,Senate,0,
artaud-a-andre,boussenot-g,Adrien Artaud,Georges Boussenot,1,Compagnie Marseillaise de Madagascar,Chamber of Deputies,Chamber of Deputies,1,
artaud-a-andre,lebon-a-alfred,Adrien Artaud,André Lebon,1,Crédit foncier de Madagascar,Chamber of Deputies,Chamber of Deputies,1,
artaud-a-andre,michel-h,Adrien Artaud,Henri Michel,1,Crédit foncier de Madagascar,Chamber of Deputies,Chamber of Deputies; Senate,0,
artaud-a-andre,ratier-a,Adrien Artaud,Antony Ratier,1,Sucreries coloniales,Chamber of Deputies,Senate,0,
aubert-l,barety-l,Louis Aubert,Léon Baréty,1,Marseillaise de crédit,Chamber of Deputies,Chamber of Deputies,1,1
aubert-l,boyer-m,Louis Aubert,Marius Boyer,1,Franco-Coloniale des Bois,Chamber of Deputies,Chamber of Deputies,1,
aubert-l,feray-j,Louis Aubert,Jacques Feray,1,Compagnie du Sebou,Chamber of Deputies,Chamber of Deputies; Senate,0,0
aubert-l,gros-l,Louis Aubert,Louis Gros,1,Société agricole et immobilière franco-africaine Enfida,Chamber of Deputies,Senate,0,
aubert-l,krantz-c,Louis Aubert,Camille Krantz,1,Marseillaise de crédit,Chamber of Deputies,Chamber of Deputies,1,0
aubert-l,perchot-j,Louis Aubert,Justin Perchot,1,Société centrale africaine pour le commerce et l'industrie,Chamber of Deputies,Chamber of Deputies; Senate,0,
aubert-l,richard-a,Louis Aubert,Adrien Richard,1,Cinéma-Tirage Maurice,Chamber of Deputies,Senate,0,
aubrun-j,lebon-a-alfred,Jules Aubrun,André Lebon,1,Énergie électrique du Maroc,Chamber of Deputies,Chamber of Deputies,1,
aubrun-j,michelot-l,Jules Aubrun,Lucien Michelot,1,Compagnie française de Tramways et d’éclairage électriques de Shanghaï,Chamber of Deputies,Chamber of Deputies,1,
bardoux-j,blanchet-v,Jacques-Achille Bardoux,Victor Blanchet,1,Cie de Recherches et d'exploitations minières,Chamber of Deputies; Senate,Chamber of Deputies,0,0
bardoux-j,faure-f-francois,Jacques-Achille Bardoux,Félix Faure,1,Cie de Recherches et d'exploitations minières,Chamber of Deputies; Senate,Chamber of Deputies,0,0
bardoux-j,krantz-c,Jacques-Achille Bardoux,Camille Krantz,1,Compagnie du Maroc,Chamber of Deputies; Senate,Chamber of Deputies,0,0
bardoux-j,meunier-a,Jacques-Achille Bardoux,Albert Meunier,1,Cie industrielle du platine,Chamber of Deputies; Senate,Senate,0,
bardoux-j,michel-c,Jacques-Achille Bardoux,Charles Michel,1,Cie industrielle du platine,Chamber of Deputies; Senate,Chamber of Deputies; Senate,1,0
bardoux-j,simon-s,Jacques-Achille Bardoux,San Simon,1,Compagnie du Maroc,Chamber of Deputies; Senate,Senate,0,
bardoux-j,vincent-a,Jacques-Achille Bardoux,Adolphe Vincent,1,Compagnie du Maroc,Chamber of Deputies; Senate,Chamber of Deputies,0,
barety-l,krantz-c,Léon Baréty,Camille Krantz,1,Marseillaise de crédit,Chamber of Deputies,Chamber of Deputies,1,0
barety-l,le-cesne-j-jules,Léon Baréty,Jules Le Cesne,1,Cie française de l'Afrique occidentale,Chamber of Deputies,Chamber of Deputies,1,
barthou-l-louis,outrey-e,Louis Barthou,Ernest Outrey,1,Compagnie du Cambodge,Chamber of Deputies; Senate,Chamber of Deputies,0,1
barthou-l-louis,thierry-j,Louis Barthou,Joseph Thierry,1,L'Union commerciale indochinoise et africaine,Chamber of Deputies; Senate,Chamber of Deputies,0,1
bascou-o,gerard-f,Olivier Bascou,François Gérard,1,Compagnie des Chemins de fer de l'Ouest-Algérien,Chamber of Deputies,Chamber of Deputies,1,
bascou-o,riche-e,Olivier Bascou,Étienne Riche,1,Forges et aciéries du Nord et de l'Est,Chamber of Deputies,Chamber of Deputies,1,1
bascou-o,villain-h,Olivier Bascou,Henri Villain,1,Compagnie des Chemins de fer de l'Ouest-Algérien,Chamber of Deputies,Chamber of Deputies,1,0
benard-l,de-lareinty,Léonus Bénard,de Lareinty,1,Crédit foncier colonial,Senate,Senate,1,
benard-l,manaut-f,Léonus Bénard,Frédéric-Victor-Adolphe MANAUT,1,Banque industrielle de l'Afrique du Nord,Senate,Chamber of Deputies,0,
benard-l,manaut-r,Léonus Bénard,René-Victor Manaut,1,Banque industrielle de l'Afrique du Nord,Senate,Chamber of Deputies,0,
benard-l,passy-l,Léonus Bénard,Louis Passy,1,Crédit foncier colonial,Senate,Chamber of Deputies,0,
benard-l,ratier-a,Léonus Bénard,Antony Ratier,1,Sucreries coloniales,Senate,Senate,1,
benazet-p,cornu-a,Paul Bénazet,André Cornu,1,Société de l'Ouenza,Chamber of Deputies; Senate,Chamber of Deputies; Senate,1,1
benazet-p,dreyfus-c,Paul Bénazet,Camille Dreyfus,1,Société Agricole et Financière d'Algérie,Chamber of Deputies; Senate,Chamber of Deputies,0,
benazet-p,duboin-j,Paul Bénazet,Jacques DUBOIN,1,Union électrique rurale,Chamber of Deputies; Senate,Chamber of Deputies,0,
benazet-p,largier-e,Paul Bénazet,Edmond Largier,1,Union électrique rurale,Chamber of Deputies; Senate,Chamber of Deputies,0,1
berenger-h,chaumet-c,Henry Bérenger,Charles Chaumet,1,Chargeurs réunis,Senate,Chamber of Deputies; Senate,0,1
berenger-h,simon-s,Henry Bérenger,San Simon,1,Chargeurs réunis,Senate,Senate,1,
berenger-h,tasso-h,Henry Bérenger,Henri Tasso,1,Chargeurs réunis,Senate,Chamber of Deputies,0,
berger-g,talabot-p,Georges Berger,Paulin Talabot,1,Usines métallurgiques de la Basse-Loire et antécédents,Chamber of Deputies,Chamber of Deputies,1,
bernard-g-gaston,noel-l-leon,Georges Bernard,Léon NOËL,1,Comptoir automobile et agricole,Senate,Chamber of Deputies,0,
bernard-g-gaston,vieillard-l,Georges Bernard,Louis Vieillard,1,ACMER (ex Usines Ch,Senate,Senate,1,
berthelot-a,de-beaumont,André Berthelot,de Beaumont,1,Financière des Caoutchoucs,Chamber of Deputies; Senate,Chamber of Deputies,0,
berthelot-a,dubois-l,André Berthelot,Louis Dubois,1,"Union française de fabriques d'engrais, de produits chimiques et de superphosphates, puis Union française d'engrais et de produits chimiques",Chamber of Deputies; Senate,Chamber of Deputies,0,
berthelot-a,fould-a,André Berthelot,Achille Fould,1,Compagnie de Navigation Sud-Atlantique,Chamber of Deputies; Senate,Chamber of Deputies,0,
berthelot-a,frossard-l,André Berthelot,Ludovic-Oscar Frossard,1,Compagnie générale d’Extrême-Orient,Chamber of Deputies; Senate,Chamber of Deputies,0,
berthelot-a,sonnery-r,André Berthelot,René Sonnery,1,Compagnie des Caoutchoucs de Padang,Chamber of Deputies; Senate,Chamber of Deputies,0,
berthoulat-g,blanchet-v,Georges Berthoulat,Victor Blanchet,1,L'Alfa,Chamber of Deputies; Senate,Chamber of Deputies,0,0
berthoulat-g,chapsal-f,Georges Berthoulat,Fernand Chapsal,1,Tramways électriques d'Oran,Chamber of Deputies; Senate,Senate,0,0
berthoulat-g,messimy-a,Georges Berthoulat,Adolphe-Marie Messimy,1,L'Alfa,Chamber of Deputies; Senate,Chamber of Deputies; Senate,1,0
bertier-de-sauvigny,farjon-r,BERTIER DE SAUVIGNY,Roger Farjon,1,"Minière des Terres rouges (à Audun-le-Tiche, Moselle)",Senate,Senate,1,1
bertrand-c,dugueyt-p,Charles BERTRAND,Paul Dugueyt,1,Compagnie Minière des Pétroles de Madagascar,Chamber of Deputies,Chamber of Deputies,1,1
bertrand-c,rocher-c,Charles BERTRAND,Camille Rocher,1,Compagnie Minière des Pétroles de Madagascar,Chamber of Deputies,Chamber of Deputies,1,1
bessonneau-j,michel-c,Julien Bessonneau,Charles Michel,1,Candlot,Chamber of Deputies,Chamber of Deputies; Senate,0,
bignon-p,schleiter-f,Paul BIGNON,François Schleiter,1,Ferodo,Chamber of Deputies; Senate,Senate,0,
binder-m,franklin-bouillon-h,Maurice Binder,Henry Franklin-Bouillon,1,"Mutuelle de France et des Colonies, Lyon. La Nation-Vie et Capitalisation à Paris",Chamber of Deputies,Chamber of Deputies,1,
blanc-a,bon-l,Antoine BLANC,Léon Bon,1,Compagnie nationale du Rhône (CNR),Chamber of Deputies,Senate,0,
blanc-a,chanal-e,Antoine BLANC,Eugène Chanal,1,Compagnie nationale du Rhône (CNR),Chamber of Deputies,Senate,0,
blanc-a,fiancette-e,Antoine BLANC,Eugène Fiancette,1,Compagnie nationale du Rhône (CNR),Chamber of Deputies,Chamber of Deputies,1,
blanc-a,josse-p,Antoine BLANC,Prosper Josse,1,Afrique et Congo,Chamber of Deputies,Chamber of Deputies; Senate,0,
blanc-a,milan-f,Antoine BLANC,François Milan,1,Compagnie nationale du Rhône (CNR),Chamber of Deputies,Senate,0,
blanc-a,prosper-josse,Antoine BLANC,[Prosper] Josse,1,Afrique et Congo,Chamber of Deputies,Senate,0,
blanc-a,robert-p-paul,Antoine BLANC,Pierre Robert,1,Compagnie Générale de transports en Afrique,Chamber of Deputies,Senate,0,
blanc-a,sellier-h,Antoine BLANC,Henri Sellier,1,Compagnie nationale du Rhône (CNR),Chamber of Deputies,Senate,0,
blanc-p,loste-h,Prosper Blanc,Henry Loste,1,Comptoirs Pichot & Renneçon,Chamber of Deputies,Senate,0,
blanchet-v,faure-f-francois,Victor Blanchet,Félix Faure,1,Cie de Recherches et d'exploitations minières,Chamber of Deputies,Chamber of Deputies,1,0
blanchet-v,lebon-a-alfred,Victor Blanchet,André Lebon,1,Compagnie Fasi d'Électricité,Chamber of Deputies,Chamber of Deputies,1,
blanchet-v,messimy-a,Victor Blanchet,Adolphe-Marie Messimy,1,L'Alfa,Chamber of Deputies,Chamber of Deputies; Senate,0,1
blois-l,de-monplanet-h,Louis Blois,Henri de Monplanet,1,Providence-Incendie,Senate,Chamber of Deputies,0,
bluysen-p,calary-de-lamaziere,Paul Bluysen,Calary de Lamazière,1,de la Société du Pacifique,Chamber of Deputies,Chamber of Deputies,1,
boisde-r,lebrun-a,Raymond Boisdé,Albert Lebrun,1,France,Chamber of Deputies,Chamber of Deputies; Senate,0,
boisde-r,manaut-f,Raymond Boisdé,Frédéric-Victor-Adolphe MANAUT,1,Au Bon Marché,Chamber of Deputies,Chamber of Deputies,1,
bon-l,chanal-e,Léon Bon,Eugène Chanal,1,Compagnie nationale du Rhône (CNR),Senate,Senate,1,
bon-l,fiancette-e,Léon Bon,Eugène Fiancette,1,Compagnie nationale du Rhône (CNR),Senate,Chamber of Deputies,0,
bon-l,milan-f,Léon Bon,François Milan,1,Compagnie nationale du Rhône (CNR),Senate,Senate,1,
bon-l,sellier-h,Léon Bon,Henri Sellier,1,Compagnie nationale du Rhône (CNR),Senate,Senate,1,
borgeaud-h,rouland-j,Henri Borgeaud,Julien Rouland,1,"Manufacture de tabacs, cigares et cigarettes J. Bastos",Senate,Chamber of Deputies; Senate,0,
bouilloux-laffont-m,bouilloux-lafont-m-marcel,Maurice Bouilloux-Laffont,Maurice Bouilloux-Lafont,1,Banque française du Maroc,Chamber of Deputies,Chamber of Deputies,1,
bouilloux-laffont-m,petit-c,Maurice Bouilloux-Laffont,Claude Petit,1,Banque française du Maroc,Chamber of Deputies,Chamber of Deputies,1,
bouilloux-lafont-m-marcel,doumer-p,Maurice Bouilloux-Lafont,Paul Doumer,1,Crédit français,Chamber of Deputies,Chamber of Deputies; Senate,0,1
bouilloux-lafont-m-marcel,dumont-c,Maurice Bouilloux-Lafont,Charles Dumont,1,Compagnie Générale des Tabacs,Chamber of Deputies,Chamber of Deputies; Senate,0,
bouilloux-lafont-m-marcel,robaglia-b,Maurice Bouilloux-Lafont,Barthélémy Robaglia,1,Compagnie Générale des Tabacs,Chamber of Deputies,Chamber of Deputies,1,1
bouilloux-lafont-m-marcel,rouland-j,Maurice Bouilloux-Lafont,Julien Rouland,1,Compagnie Générale des Tabacs,Chamber of Deputies,Chamber of Deputies; Senate,0,1
bourre-e,charles-roux-j,Édouard Bourre,Jules Charles-Roux,1,"Banque foncière d'Égypte Land Bank of Egypt, Alexandrie",Chamber of Deputies,Chamber of Deputies,1,
bourre-e,krantz-c,Édouard Bourre,Camille Krantz,1,"Banque foncière d'Égypte Land Bank of Egypt, Alexandrie",Chamber of Deputies,Chamber of Deputies,1,
boussenot-g,dubois-l,Georges Boussenot,Louis Dubois,1,L'Afrique française,Chamber of Deputies,Chamber of Deputies,1,
boussenot-g,georges-b,Georges Boussenot,Barthélémy Georges,1,Societe francaise des Cotons africains,Chamber of Deputies,Chamber of Deputies,1,
boussenot-g,meunier-c-charles,Georges Boussenot,Charles Meunier,1,Cie cotonnière équatoriale française,Chamber of Deputies,Senate,0,
boussenot-g,robert-p-paul,Georges Boussenot,Pierre Robert,1,Societe francaise des Cotons africains,Chamber of Deputies,Senate,0,
boussenot-g,viollette-m,Georges Boussenot,Maurice VIOLLETTE,1,Societe francaise des Cotons africains,Chamber of Deputies,Chamber of Deputies; Senate,0,
boyer-a-amedee,rouland-j,Antide Boyer,Julien Rouland,1,Crédit populaire de France = Chambre syndicale banques populaires,Chamber of Deputies,Chamber of Deputies; Senate,0,
boyer-e-etienne,deschanel-p,Edmond Boyer,Paul Deschanel,1,Compagnie du Chemin de fer franco-éthiopien de Djibouti à Addis-Abeba,Chamber of Deputies,Chamber of Deputies,1,
boyer-e-etienne,dugue-de-la-fauconnerie,Edmond Boyer,Dugué de la Fauconnerie,1,Compagnie Générale Française de Tramways,Chamber of Deputies,Chamber of Deputies,1,0
boyer-e-etienne,francois-marsal-f,Edmond Boyer,Frédéric FRANÇOIS-MARSAL,1,"Compagnie des Vignobles de la Méditerranée, domaine de Monville à Duzerville",Chamber of Deputies,Senate,0,
boyer-e-etienne,krantz-c,Edmond Boyer,Camille Krantz,1,Compagnie du Chemin de fer franco-éthiopien de Djibouti à Addis-Abeba,Chamber of Deputies,Chamber of Deputies,1,0
boyer-e-etienne,robaglia-b,Edmond Boyer,Barthélémy Robaglia,1,Compagnie du Chemin de fer franco-éthiopien de Djibouti à Addis-Abeba,Chamber of Deputies,Chamber of Deputies,1,1
boyer-m,chassaigne-goyon-p,Marius Boyer,Paul Chassaigne-Goyon,1,Éts Gaumont (SN),Chamber of Deputies,Chamber of Deputies,1,
bozerian-j,lebon-a-alfred,Jules Bozérian,André Lebon,1,"Compagnie Centrale d'Éclairage par le gaz, puis Compagnie Lebon",Chamber of Deputies; Senate,Chamber of Deputies,0,
bozerian-j,lebon-p,Jules Bozérian,Pierre Lebon,1,"Compagnie Centrale d'Éclairage par le gaz, puis Compagnie Lebon",Chamber of Deputies; Senate,Chamber of Deputies,0,0
brelay-e,de-verninac,Émile Brelay,de Verninac,1,Messageries fluviales de Cochinchine,Chamber of Deputies,Senate,0,
brelay-e,fourcand-e,Émile Brelay,E. Fourcand,1,"Banque européenne, Bruxelles, Paris. Tentative de reprise des domaines agricoles et de la concession de ramassage d'alfa de la Compagnie franco-algérienne",Chamber of Deputies,Senate,0,
brelay-e,palotte-j,Émile Brelay,J. PALOTTE,1,"Banque européenne, Bruxelles, Paris. Tentative de reprise des domaines agricoles et de la concession de ramassage d'alfa de la Compagnie franco-algérienne",Chamber of Deputies,Senate,0,
