person_id,company_id,n_observations,first_year,last_year,top_role,roles,is_board_seat
roudy-a,abattoirsmunicipauxindustrielsmaroc,2,1926,1938,administrateur,administrateur:2,1
tabard-t,abattoirsmunicipauxindustrielsmaroc,2,1925,1926,president,president:1; administrateur:1,1
weil-l,abattoirsmunicipauxindustrielsmaroc,1,1925,1925,president,president:1,1
yver-de-la-bruchollerie,abattoirsmunicipauxindustrielsmaroc,1,1925,1925,president,president:1,1
atthalin-a,abattoirsmunicipauxmaroc,2,1922,1927,administrateur,administrateur:2,1
braunschvig-g,abattoirsmunicipauxmaroc,2,1922,1927,administrateur,administrateur:2,1
cotte-l,abattoirsmunicipauxmaroc,2,1922,1927,administrateur,administrateur:2,1
dal-piaz-j,abattoirsmunicipauxmaroc,2,1922,1927,administrateur,administrateur:2,1
de-caqueray-g,abattoirsmunicipauxmaroc,2,1922,1927,administrateur,administrateur:2,1
de-montgolfier-j,abattoirsmunicipauxmaroc,2,1922,1927,administrateur,administrateur:2,1
gerard-e,abattoirsmunicipauxmaroc,2,1922,1927,administrateur,administrateur:2,1
godard-l,abattoirsmunicipauxmaroc,2,1922,1927,president,president:2,1
gompel-r,abattoirsmunicipauxmaroc,2,1922,1927,administrateur,administrateur:2,1
jordan-p,abattoirsmunicipauxmaroc,2,1922,1927,administrateur,administrateur:2,1
katz-m,abattoirsmunicipauxmaroc,2,1922,1927,administrateur,administrateur:2,1
lacoin-g,abattoirsmunicipauxmaroc,2,1922,1927,administrateur,administrateur:2,1
aurillac-j,abattoirsregionauxsaigoncholon,1,1942,1942,directeur,directeur:1,0
parisot-e,abattoirsregionauxsaigoncholon,1,1943,1943,administrateur,administrateur:1,1
carre,abeillereassurances,1,1956,1956,administrateur,administrateur:1,1
demeure-h,abeillereassurances,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
genevoix-m,abeillereassurances,1,1956,1956,administrateur,administrateur:1,1
haut-de-sigy-marquis-pierre-de,abeillereassurances,1,1956,1956,administrateur,administrateur:1,1
leveille-nizerolle-hubertep-claire-marchegay-fille,abeillereassurances,1,1956,1956,administrateur,administrateur:1,1
marjoulet-jeanep-anne-marie-barral-de-montauvrard,abeillereassurances,1,1956,1956,president,president:1,1
martin-f,abeillereassurances,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
perilhou-e,abeillereassurances,1,1956,1956,administrateur,administrateur:1,1
perrot-p,abeillereassurances,1,1956,1956,administrateur,administrateur:1,1
carre,abeillerisquesdivers,1,1956,1956,administrateur,administrateur:1,1
genevoix-m,abeillerisquesdivers,1,1956,1956,administrateur,administrateur:1,1
haut-de-sigy-marquis-pierre-de,abeillerisquesdivers,1,1956,1956,administrateur,administrateur:1,1
marjoulet-jeanep-anne-marie-barral-de-montauvrard,abeillerisquesdivers,1,1956,1956,president,president:1,1
perilhou-e,abeillerisquesdivers,1,1956,1956,administrateur,administrateur:1,1
perrot-p,abeillerisquesdivers,1,1956,1956,administrateur,administrateur:1,1
boivin-m,abeillevie,1,1956,1956,directeur,directeur:1,0
carre,abeillevie,1,1956,1956,administrateur,administrateur:1,1
de-haut-de-sigy-p,abeillevie,2,,,administrateur,administrateur:2,1
demeure-h,abeillevie,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
genevoix-m,abeillevie,1,1956,1956,administrateur,administrateur:1,1
leveille-nizerolle-hubertep-claire-marchegay-fille,abeillevie,1,1956,1956,administrateur,administrateur:1,1
martin-f,abeillevie,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
perilhou-e,abeillevie,1,1956,1956,administrateur,administrateur:1,1
vernes-f,abeillevie,1,1956,1956,administrateur,administrateur:1,1
delord-b,abgstesariesbougiebgsfedrreunies1971fusionavecatelierssemca,1,1956,1956,vice_president,vice_president:1,1
didisheim-p,abgstesariesbougiebgsfedrreunies1971fusionavecatelierssemca,1,1956,1956,administrateur,administrateur:1,1
fenouil-p,abgstesariesbougiebgsfedrreunies1971fusionavecatelierssemca,1,1956,1956,administrateur,administrateur:1,1
flichy-michel-ep-frse-lebel,abgstesariesbougiebgsfedrreunies1971fusionavecatelierssemca,1,1956,1956,administrateur,administrateur:1,1
gasne-r,abgstesariesbougiebgsfedrreunies1971fusionavecatelierssemca,1,1956,1956,administrateur,administrateur:1,1
marguery-w,abgstesariesbougiebgsfedrreunies1971fusionavecatelierssemca,1,1956,1956,administrateur,administrateur:1,1
schwander-r,abgstesariesbougiebgsfedrreunies1971fusionavecatelierssemca,1,1956,1956,administrateur,administrateur:1,1
beynis-e,aboisso,2,1932,1963,administrateur,administrateur:2,1
bord,aboisso,1,1932,1932,administrateur,administrateur:1,1
bourceret-p,aboisso,1,1963,1963,administrateur,administrateur:1,1
bretigniere-m,aboisso,1,1932,1932,president,president:1,1
deloffre-g,aboisso,2,1932,1963,administrateur_delegue,administrateur_delegue:1; administrateur:1,1
deveaud-p,aboisso,1,1932,1932,administrateur,administrateur:1,1
faucheux-j,aboisso,1,1963,1963,administrateur,administrateur:1,1
faure-a,aboisso,1,1932,1932,administrateur,administrateur:1,1
gachot-r,aboisso,1,1963,1963,president,president:1,1
guibert-g,aboisso,2,1932,1963,administrateur,administrateur:1; president_directeur_general:1,1
holtzcherer-p,aboisso,1,1932,1932,administrateur,administrateur:1,1
joyel-faure-a,aboisso,1,1963,1963,administrateur,administrateur:1,1
lambert,aboisso,1,1963,1963,administrateur,administrateur:1,1
oudinot-p,aboisso,1,1963,1963,administrateur,administrateur:1,1
r-lemaitre,aboisso,1,1963,1963,administrateur,administrateur:1,1
ratheau-m,aboisso,1,1963,1963,administrateur,administrateur:1,1
sitri-e,aboisso,1,1963,1963,administrateur,administrateur:1,1
thube-a,aboisso,1,1932,1932,president,president:1,1
victor-g,aboisso,1,1932,1932,administrateur,administrateur:1,1
alimentation,abrahamhalmnahon,1,1926,1926,administrateur,administrateur:1,1
kuhn-p,abrahamhalmnahon,1,1926,1926,administrateur,administrateur:1,1
pichard-g,abrahamhalmnahon,1,1926,1926,administrateur,administrateur:1,1
cury-p,abrasifssudouest,1,1956,1956,administrateur,administrateur:1,1
duval-m,abrasifssudouest,1,1956,1956,administrateur,administrateur:1,1
esteve-g,abrasifssudouest,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
foullon-r,abrasifssudouest,1,1956,1956,administrateur,administrateur:1,1
imbs-c,abrasifssudouest,1,1956,1956,administrateur,administrateur:1,1
jullien-l,abrasifssudouest,1,1956,1956,administrateur,administrateur:1,1
matter-jean-ing-polytechnique-pechiney,abrasifssudouest,1,1956,1956,administrateur,administrateur:1,1
osselin-l,abrasifssudouest,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
torchet-p,abrasifssudouest,1,1956,1956,administrateur,administrateur:1,1
bisch-r,abrifamilialoranais,1,1928,1928,administrateur,administrateur:1,1
blanchet-l,abrifamilialoranais,1,1928,1928,administrateur,administrateur:1,1
et-benhamza-ali,abrifamilialoranais,1,1928,1928,commissaire_aux_comptes,commissaire_aux_comptes:1,0
fouque-l,abrifamilialoranais,1,1928,1928,administrateur,administrateur:1,1
frassati-c,abrifamilialoranais,1,1928,1928,administrateur,administrateur:1,1
hernandez-j,abrifamilialoranais,1,1928,1928,administrateur,administrateur:1,1
lesimple-r,abrifamilialoranais,1,1928,1928,administrateur,administrateur:1,1
mohamed-b,abrifamilialoranais,1,1928,1928,administrateur,administrateur:1,1
mohamed-r,abrifamilialoranais,1,1928,1928,commissaire_aux_comptes,commissaire_aux_comptes:1,0
renauld-l,abrifamilialoranais,1,1928,1928,administrateur,administrateur:1,1
toutes-les-prescriptions-de-la-loi,abrifamilialoranais,1,1928,1928,administrateur,administrateur:1,1
allain,abyssinie,1,1921,1921,administrateur,administrateur:1,1
allain-m,abyssinie,3,1921,1926,administrateur,administrateur:3,1
bourel-h,abyssinie,6,1921,1926,administrateur,administrateur:6,1
ce-allain,abyssinie,2,1922,1925,administrateur,administrateur:2,1
de-brommer-f,abyssinie,4,1922,1926,administrateur,administrateur:4,1
de-la-chesnais-e,abyssinie,4,1921,1926,administrateur,administrateur:4,1
dureault-h,abyssinie,2,1925,1926,administrateur,administrateur:2,1
et-frederic-de-brommer,abyssinie,1,1921,1921,administrateur,administrateur:1,1
fdt-hplm,abyssinie,1,1922,1922,administrateur,administrateur:1,1
fernandez,abyssinie,1,1921,1921,administrateur,administrateur:1,1
fernandez-g,abyssinie,5,1921,1926,administrateur,administrateur:5,1
fille-de-francisque-bonnardel,abyssinie,1,1922,1922,administrateur,administrateur:1,1
goupil,abyssinie,1,1921,1921,administrateur,administrateur:1,1
industrielle-c,abyssinie,1,1921,1921,administrateur,administrateur:1,1
van-luppen-j,abyssinie,6,1921,1926,president,president:4; administrateur:2,1
alf-meyer,acajouscoteivoire,1,1929,1929,administrateur,administrateur:1,1
donnefort-m,acajouscoteivoire,2,1926,1929,administrateur,administrateur:2,1
meyer-a,acajouscoteivoire,1,1926,1926,administrateur_delegue,administrateur_delegue:1,1
michenot-e,acajouscoteivoire,3,1922,1929,administrateur,administrateur:3,1
weber-j,acajouscoteivoire,3,1922,1929,president,president:2; administrateur:1,1
zafiropulo-d,acajouscoteivoire,2,1926,1929,vice_president,vice_president:2,1
zafiropulo-g,acajouscoteivoire,2,1926,1929,administrateur,administrateur:2,1
laurens-h,acconagealgerien,1,1910,1910,administrateur,administrateur:1,1
menet-h,acconagealgerien,1,1910,1910,administrateur,administrateur:1,1
scotto-f,acconagealgerien,1,1910,1910,administrateur,administrateur:1,1
shaki-e,acconagealgerien,1,1910,1910,administrateur,administrateur:1,1
balandras-g,acconagecharbonnagejullian,1,1920,1920,administrateur,administrateur:1,1
corbeto-j,acconagecharbonnagejullian,1,1920,1920,administrateur,administrateur:1,1
deros-p,acconagecharbonnagejullian,1,1920,1920,administrateur,administrateur:1,1
et-jean-stern,acconagecharbonnagejullian,1,1920,1920,administrateur,administrateur:1,1
gerbaud-j,acconagecharbonnagejullian,1,1920,1920,administrateur,administrateur:1,1
jullian-g,acconagecharbonnagejullian,1,1920,1920,administrateur,administrateur:1,1
laurens-j,acconagecharbonnagejullian,1,1920,1920,administrateur,administrateur:1,1
boccara-e,acconagecharbonstunisie,1,1926,1926,administrateur,administrateur:1,1
calo,acconagecharbonstunisie,2,1926,1926,administrateur,administrateur:2,1
lemann-c,acconagecharbonstunisie,1,1926,1926,administrateur,administrateur:1,1
lemann-g,acconagecharbonstunisie,1,1926,1926,administrateur,administrateur:1,1
pico-j,acconagecharbonstunisie,1,1926,1926,administrateur,administrateur:1,1
solal,acconagecharbonstunisie,1,1926,1926,administrateur,administrateur:1,1
debre-j,accumulateursfixestractionsaftusineangouleme,1,1956,1956,administrateur,administrateur:1,1
decoux-g,accumulateursfixestractionsaftusineangouleme,1,1956,1956,administrateur,administrateur:1,1
gaveau-r,accumulateursfixestractionsaftusineangouleme,1,1956,1956,president,president:1,1
herold-w,accumulateursfixestractionsaftusineangouleme,1,1956,1956,vice_president,vice_president:1,1
jacquier-p,accumulateursfixestractionsaftusineangouleme,1,1956,1956,administrateur,administrateur:1,1
lalanne-p,accumulateursfixestractionsaftusineangouleme,1,1956,1956,vice_president,vice_president:1,1
marterer-e,accumulateursfixestractionsaftusineangouleme,1,1956,1956,administrateur,administrateur:1,1
monnier-a,accumulateursfixestractionsaftusineangouleme,1,1956,1956,administrateur,administrateur:1,1
balland-a,accumulateursmonoplaque,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
briere-g,accumulateursmonoplaque,1,1956,1956,administrateur,administrateur:1,1
ducellier,accumulateursmonoplaque,1,1956,1956,administrateur,administrateur:1,1
houdaille-m,accumulateursmonoplaque,1,1956,1956,administrateur,administrateur:1,1
compagnie-algerienne-l,acieries,1,,,administrateur_delegue,administrateur_delegue:1,1
de-saint-paul-de-sincay-e,acieries,2,,,administrateur,administrateur:2,1
mines-de-mokta-el-hadid-l,acieries,1,,,administrateur_delegue,administrateur_delegue:1,1
balasse-r,acieriesblancmisseron,1,1956,1956,president_directeur_general,president_directeur_general:1,1
bertot-g,acieriesblancmisseron,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
cambier-f,acieriesblancmisseron,1,1956,1956,administrateur,administrateur:1,1
carde-g,acieriesblancmisseron,1,1956,1956,administrateur,administrateur:1,1
devred-h,acieriesblancmisseron,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
legrand-l,acieriesblancmisseron,1,1956,1956,administrateur,administrateur:1,1
loiseau-m,acieriesblancmisseron,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
paris,acieriesblancmisseron,1,,,administrateur,administrateur:1,1
richard-r,acieriesblancmisseron,1,1956,1956,administrateur,administrateur:1,1
roisin-m,acieriesblancmisseron,1,1956,1956,administrateur,administrateur:1,1
willeme-l,acieriesblancmisseron,1,1956,1956,administrateur,administrateur:1,1
de-souance-h,acierieschampagnole,1,1956,1956,administrateur,administrateur:1,1
faber-m,acierieschampagnole,1,1956,1956,president_directeur_general,president_directeur_general:1,1
messean-a,acierieschampagnole,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
vogue-ctesse-bertrand-denee-simone-de-mun,acierieschampagnole,1,1956,1956,administrateur,administrateur:1,1
bidault-g,acieriesforgesfirminy,1,1956,1956,administrateur,administrateur:1,1
boquien-e,acieriesforgesfirminy,1,1956,1956,administrateur,administrateur:1,1
chalancon-e,acieriesforgesfirminy,1,1956,1956,administrateur,administrateur:1,1
comte-p,acieriesforgesfirminy,1,1956,1956,administrateur,administrateur:1,1
delom-c,acieriesforgesfirminy,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
despaux-a,acieriesforgesfirminy,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
dumuis-m,acieriesforgesfirminy,1,1956,1956,president,president:1,1
germain-a,acieriesforgesfirminy,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
hart-m,acieriesforgesfirminy,1,1956,1956,administrateur,administrateur:1,1
macaux-marcelfils-dhenri,acieriesforgesfirminy,1,1956,1956,president,president:1,1
retail-l,acieriesforgesfirminy,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
acieries,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
aeriens-t,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
belloni-a,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
bernard-j,acieriesforgeshautsfourneauxpiombino,4,1911,1912,administrateur,administrateur:2; president:2,1
bondi-a,acieriesforgeshautsfourneauxpiombino,5,1912,1918,president,president:3; administrateur:2,1
bondi-i,acieriesforgeshautsfourneauxpiombino,2,1912,1912,administrateur,administrateur:2,1
bondi-m,acieriesforgeshautsfourneauxpiombino,3,1912,1912,administrateur,administrateur:3,1
cenni-g,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
cimenterie,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
conte-rosolino-orlando,acieriesforgeshautsfourneauxpiombino,1,1918,1918,administrateur,administrateur:1,1
contini-a,acieriesforgeshautsfourneauxpiombino,1,1918,1918,administrateur,administrateur:1,1
cylindres,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
darse-a,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
fenoglio-p,acieriesforgeshautsfourneauxpiombino,1,1918,1918,administrateur,administrateur:1,1
fera-c,acieriesforgeshautsfourneauxpiombino,1,1918,1918,administrateur,administrateur:1,1
fonderies,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
ghidigha-c,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
grossi-e,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
gulidi-m,acieriesforgeshautsfourneauxpiombino,2,1912,1912,administrateur,administrateur:2,1
habitations,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
industriels-b,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
installation-du-bureau-chimique,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
installations-de-force,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
laminoirs,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
le-gall-l,acieriesforgeshautsfourneauxpiombino,2,1912,1912,administrateur,administrateur:2,1
leopoldo-da-passano,acieriesforgeshautsfourneauxpiombino,1,1918,1918,administrateur,administrateur:1,1
lodolo-a,acieriesforgeshautsfourneauxpiombino,1,1918,1918,administrateur,administrateur:1,1
luigi-della-torre,acieriesforgeshautsfourneauxpiombino,1,1918,1918,administrateur,administrateur:1,1
luzzatto-a,acieriesforgeshautsfourneauxpiombino,1,1918,1918,administrateur,administrateur:1,1
maurice-metayer,acieriesforgeshautsfourneauxpiombino,1,1911,1911,administrateur,administrateur:1,1
metayer-m,acieriesforgeshautsfourneauxpiombino,3,1912,1918,administrateur,administrateur:3,1
moriani-c,acieriesforgeshautsfourneauxpiombino,1,1912,1912,secretaire,secretaire:1,0
musatti-c,acieriesforgeshautsfourneauxpiombino,1,1918,1918,administrateur,administrateur:1,1
musatti-e,acieriesforgeshautsfourneauxpiombino,2,1912,1912,administrateur,administrateur:2,1
nunes-franco-a,acieriesforgeshautsfourneauxpiombino,2,1918,1918,administrateur,administrateur:2,1
odero-m,acieriesforgeshautsfourneauxpiombino,3,1912,1918,administrateur,administrateur:3,1
olivetti-g,acieriesforgeshautsfourneauxpiombino,2,1912,1912,administrateur,administrateur:2,1
outils,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
pacifici-a,acieriesforgeshautsfourneauxpiombino,2,1918,1918,administrateur,administrateur:2,1
poggi-g,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
ponts-de-chargement-a-la-mer,acieriesforgeshautsfourneauxpiombino,1,1912,1912,administrateur,administrateur:1,1
raggio-a,acieriesforgeshautsfourneauxpiombino,1,1912,1912,vice_president,vice_president:1,1
teodoro-kossuth-l,acieriesforgeshautsfourneauxpiombino,2,1912,1912,administrateur,administrateur:2,1
bachelet-h,acierieshirson,1,1956,1956,administrateur,administrateur:1,1
boyd-h,acierieshirson,1,1956,1956,administrateur,administrateur:1,1
everitt-l,acierieshirson,1,1956,1956,administrateur,administrateur:1,1
gillet-pierreep-amy-bailey,acierieshirson,1,1956,1956,president,president:1,1
ventre-c,acierieshirson,1,1956,1956,administrateur,administrateur:1,1
aegerter-f,acierieslongwy,1,1956,1956,administrateur,administrateur:1,1
aviateur-a-paris,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
de-marchena-a,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
doty-j,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
dreux-f,acierieslongwy,1,1956,1956,administrateur,administrateur:1,1
end-avenue-w,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
estrine-l,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
et-joseph-de-villeneuve-bargemont,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
et-mm-e-vessiere,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
et-paul-weiss,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
et-pierre-schweitzer,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
favre-j,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
fitsch-j,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
flaissier-m,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
j-perchot,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
jacquilliat-d,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
kone-l,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
laffon-e,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
lente-j,acierieslongwy,1,1956,1956,administrateur,administrateur:1,1
lindeboom-a,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
marie-g,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
oppermann-a,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
perchot-j,acierieslongwy,3,1920,1920,administrateur,administrateur:3,1
perchot-l,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
raty-d,acierieslongwy,1,1956,1956,administrateur,administrateur:1,1
ruault-f,acierieslongwy,1,1919,1919,administrateur,administrateur:1,1
schweitzer-j,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
superville-m,acierieslongwy,2,1920,1920,administrateur,administrateur:2,1
vieillard-a,acierieslongwy,1,1956,1956,administrateur,administrateur:1,1
waldeck-rousseau-r,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
weiss-j,acierieslongwy,1,1920,1920,administrateur,administrateur:1,1
aegerter-f,acierieslongwylorraineescautlouvroilmontbardaunoyelongometalactuma,1,1956,1956,administrateur,administrateur:1,1
dreux-f,acierieslongwylorraineescautlouvroilmontbardaunoyelongometalactuma,1,1956,1956,administrateur,administrateur:1,1
jacquet-g,acierieslongwylorraineescautlouvroilmontbardaunoyelongometalactuma,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
labbe-roland-ep-raymonde-perchot,acierieslongwylorraineescautlouvroilmontbardaunoyelongometalactuma,1,1956,1956,president_directeur_general,president_directeur_general:1,1
lente-j,acierieslongwylorraineescautlouvroilmontbardaunoyelongometalactuma,1,1956,1956,administrateur,administrateur:1,1
raty-d,acierieslongwylorraineescautlouvroilmontbardaunoyelongometalactuma,1,1956,1956,administrateur,administrateur:1,1
raty-j,acierieslongwylorraineescautlouvroilmontbardaunoyelongometalactuma,1,1956,1956,administrateur,administrateur:1,1
robin-a,acierieslongwylorraineescautlouvroilmontbardaunoyelongometalactuma,1,1956,1956,commissaire_aux_comptes,commissaire_aux_comptes:1,0
