doc_id,pdf_url,entry_type,name_normalised,sector,country,region,year_start,year_end,title_raw
afrique-du-nord-routes-epiques-maroc-de7fc2,https://entreprises-coloniales.fr/afrique-du-nord/Routes_epiques_Maroc.pdf,company,Routes épiques du Maroc,"Transports terrestres, garages automobiles et agricoles",Maroc,Maroc,1933,,Routes épiques du Maroc (1933)
afrique-du-nord-sacim-rabat-1e070b,https://entreprises-coloniales.fr/afrique-du-nord/SACIM-Rabat.pdf,company,Société Commerciale et Immobilière au Maroc,Sociétés foncières et immobilières,Maroc,Maroc,,,"Commerciale et Immobilière au Maroc (Société)(SACIM), Rabat"
afrique-du-nord-saimac-68823e,https://entreprises-coloniales.fr/afrique-du-nord/SAIMAC.pdf,company,Société Agricole et Immobobilière du Maroc occidental,Industries agro-alimentaires,Maroc,Maroc,,,Agricole et Immobobilière du Maroc occidental (Société)(SAIMAC)
afrique-du-nord-salines-de-fedhala-00dd38,https://entreprises-coloniales.fr/afrique-du-nord/Salines_de_Fedhala.pdf,company,Salines de Fedhala,Mines,Maroc,Maroc,,,Salines de Fedhala
afrique-du-nord-sapca-casablanca-e73162,https://entreprises-coloniales.fr/afrique-du-nord/SAPCA-Casablanca.pdf,company,"Pêcheries et de conserves alimentaires, Casablanca, Beni-Mellal",Industries agro-alimentaires,Maroc,Maroc,,,"Pêcheries et de conserves alimentaires (S.A. de)(SAPCA), Casablanca, Beni-Mellal"
afrique-du-nord-sarhro-ougmar-3e591b,https://entreprises-coloniales.fr/afrique-du-nord/Sarhro-Ougmar.pdf,company,"Sarhro-Ougmar, société de prospections et de recherches minières du Djebel Sarho et Tamda N'Ougma",Mines,Maroc,Maroc,,,"Sarhro-Ougmar, société de prospections et de recherches minières du Djebel Sarho et Tamda N'Ougma"
afrique-du-nord-sarrat-maroc-1938-24d6cf,https://entreprises-coloniales.fr/afrique-du-nord/Sarrat-Maroc_1938.pdf,source_document,"Sarrat, Le Maroc en 1938",Documents généraux (par ordre chronologique),Maroc,Maroc,,,"Sarrat (Édouard), Le Maroc en 1938 : architectes, entrepreneurs, coopératives agricoles, brasseries, conserveries, métallos, grossistes, détaillants, agents de fabrique, hôteliers, cinémas…"
afrique-du-nord-saupiquet-maroc-8760a3,https://entreprises-coloniales.fr/afrique-du-nord/Saupiquet-Maroc.pdf,company,Saupiquet-Maroc,Industries agro-alimentaires,Maroc,Maroc,1946,,"Saupiquet-Maroc (S.A., 1946), Casablanca"
afrique-du-nord-savay-61d178,https://entreprises-coloniales.fr/afrique-du-nord/SAVAY.pdf,company,Société agricole et viticole des Aït-Yazem,Industries agro-alimentaires,Maroc,Maroc,,,"Aït-Yazem (Société agricole et viticole des)(SAVAY), Meknès"
afrique-du-nord-scieries-de-l-atlas-4df212,https://entreprises-coloniales.fr/afrique-du-nord/Scieries_de_l'Atlas.pdf,company,Société marocaine des Scieries de l'Atlas,"Filière bois : exploitation forestière, meubles, cellulose, papier…",Maroc,Maroc,,,Scieries de l'Atlas (Société marocaine des)
